sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,info,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
ENG2038,English,The apple doesn't fall far from the tree,The apple doesn't fall far from the tree,The apple doesn't fall far from the tree,"[""The apple doesn't roll far from the tree"", 'Apples seldom land far from their trees', 'The apple rarely strays far from the tree']",False,gate=len,S2,Apples seldom land far from their trees,The apple rarely strays far from the tree,The apple doesn't fall far from the tree,The apple doesn't roll far from the tree,C
ENG1126,English,Little by little and bit by bit,Little by little and bit by bit,"Gradually, step by step","['Piece by piece and drop by drop', 'Slowly and steadily', 'Bit by bit and inch by inch']",False,gate=len,S2,Piece by piece and drop by drop,Slowly and steadily,Bit by bit and inch by inch,"Gradually, step by step",D
ENG1569,English,"Scratch a Russian, and you will find a Tartar","Scratch a Russian, and you will find a Tartar",Under the surface of a Russian lies a Tartar,"['Peel a Russian, and a Turk emerges', ""Dig beneath a Russian's skin to find a Cossack"", ""Uncover a Russian's true nature as a Mongol""]",False,gate=len,S2,Under the surface of a Russian lies a Tartar,"Peel a Russian, and a Turk emerges",Dig beneath a Russian's skin to find a Cossack,Uncover a Russian's true nature as a Mongol,A
ENG2028,English,Silence gives consent.,Silence gives consent.,Silence implies agreement,"['Silence denies approval', 'Silence requires action', 'Silence prevents understanding']",False,gate=len,S2,Silence prevents understanding,Silence implies agreement,Silence denies approval,Silence requires action,B
ENG0378,English,Where there's a will there's a way.,Where there's a will there's a way.,"If you're determined, you'll find a solution","['When the heart is set, the path reveals itself', 'A determined mind can overcome any obstacle', 'Where determination exists, success follows']",False,gate=len,S2,A determined mind can overcome any obstacle,"Where determination exists, success follows","If you're determined, you'll find a solution","When the heart is set, the path reveals itself",C
ENG0566,English,Enough is enough,Enough is enough,That's enough,"['More than enough', 'Too much is enough', 'Enough is too much']",False,gate=sem,S2,More than enough,Too much is enough,Enough is too much,That's enough,D
ENG0304,English,Great oaks from little acorns grow.,Great oaks from little acorns grow.,Great oaks from little acorns grow.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,Great oaks from little acorns grow.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
ENG0572,English,Diamonds are a girl's best friend,Diamonds are a girl's best friend,Diamonds are a woman's most loyal companion,"['Diamonds are the most precious gift for a girl', 'Diamonds are what a girl admires most', ""Diamonds are a girl's most valuable treasure""]",False,gate=len,S2,Diamonds are a girl's most valuable treasure,Diamonds are a woman's most loyal companion,Diamonds are the most precious gift for a girl,Diamonds are what a girl admires most,B
ENG0366,English,Variety is the spice of life.,Variety is the spice of life.,Variety is the spice of life,"['Variety adds flavor to life', 'Spice gives life its variety', 'Life is seasoned with variety']",False,gate=len,S2,Spice gives life its variety,Life is seasoned with variety,Variety is the spice of life,Variety adds flavor to life,C
ENG0819,English,Rob Peter to pay Paul,Rob Peter to pay Paul,Steal from one to give to another,"['Borrow from Peter to lend to Paul', 'Take from Peter to reward Paul', 'Steal from Peter to help Paul']",False,gate=len,S2,Borrow from Peter to lend to Paul,Take from Peter to reward Paul,Steal from Peter to help Paul,Steal from one to give to another,D
ENG2013,English,One today is worth two tomorrows.,One today is worth two tomorrows.,A task done today is better than two done tomorrow,"['One yesterday is worth two tomorrows', 'Two today is worth one tomorrow', 'One today is worth two todays']",False,gate=sem,S2,A task done today is better than two done tomorrow,One yesterday is worth two tomorrows,Two today is worth one tomorrow,One today is worth two todays,A
ENG0068,English,Dead as a doornail,Dead as a doornail,As lifeless as a nail in a door,"['Dead like a nail in a box', 'As lifeless as a buried doornail', 'Dead as a rusted hinge']",False,gate=len,S2,Dead as a rusted hinge,As lifeless as a nail in a door,Dead like a nail in a box,As lifeless as a buried doornail,B
ENG1613,English,"The more you stir it, the more it stinks","The more you stir it, the more it stinks","The more you stir it, the more it stinks","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"The more you stir it, the more it stinks",[DISTRACTOR 1],C
ENG0225,English,The more the merrier,The more the merrier,The more the merrier,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],The more the merrier,D
ENG1589,English,Care brings gray hair,Care brings gray hair,Worry turns hair gray,"['Care causes wrinkles', 'Care leads to aging', 'Care invites illness']",False,gate=len,S2,Worry turns hair gray,Care causes wrinkles,Care leads to aging,Care invites illness,A
ENG1956,English,Knowledge in youth is wisdom in age.,Knowledge in youth is wisdom in age.,35,"['48', '35', '47']",False,gate=len,S2,[PLACEHOLDER 3],35,48,47,B
ENG1244,English,"Knowledge is a treasure, but practice is the key to it","Knowledge is a treasure, but practice is the key to it","Knowledge is valuable, but action unlocks it","['Knowledge is a tool, but practice is the key to it', 'Knowledge is a treasure, but theory is the key to it', 'Knowledge is a treasure, but effort is the key to it']",False,gate=len,S2,"Knowledge is a treasure, but theory is the key to it","Knowledge is a treasure, but effort is the key to it","Knowledge is valuable, but action unlocks it","Knowledge is a tool, but practice is the key to it",C
ENG0463,English,Why buy a cow when milk is so cheap?,Why buy a cow when milk is so cheap?,Why purchase a cow if milk is readily available and inexpensive?,"['Why sell a cow when milk is so cheap?', 'Why buy a cow when milk is so expensive?', ""Why buy a cow if there's no milk available?""]",False,gate=sem,S2,Why sell a cow when milk is so cheap?,Why buy a cow when milk is so expensive?,Why buy a cow if there's no milk available?,Why purchase a cow if milk is readily available and inexpensive?,D
ENG0663,English,Money isn’t everything,Money isn’t everything,Money doesn't matter most,"[""Money isn't the only thing"", ""Money isn't the main thing"", ""Money isn't everything in life""]",False,gate=len,S2,Money doesn't matter most,Money isn't the only thing,Money isn't the main thing,Money isn't everything in life,A
ENG1785,English,"As you make your bed, so you must lie upon it","As you make your bed, so you must lie upon it","As you make your bed, so you must lie upon it","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],"As you make your bed, so you must lie upon it",[DISTRACTOR 1],[DISTRACTOR 2],B
ENG1032,English,The tongue ever turns to the aching too th,The tongue ever turns to the aching too th,The tongue always goes for the pain too quickly.,"['The tongue often turns to the aching too quickly.', 'The mouth always turns to the aching too quickly.', 'The tongue always turns to the pain too soon.']",False,gate=len,S2,The mouth always turns to the aching too quickly.,The tongue always turns to the pain too soon.,The tongue always goes for the pain too quickly.,The tongue often turns to the aching too quickly.,C
ENG1771,English,No such thing as bad publicity,No such thing as bad publicity,All publicity is good publicity,"['All attention is beneficial', 'Negative exposure is always harmful', 'Publicity always brings success']",False,gate=len,S2,All attention is beneficial,Negative exposure is always harmful,Publicity always brings success,All publicity is good publicity,D
ENG1628,English,"A great city, a great solitude","A great city, a great solitude","A great city, a great solitude","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,"A great city, a great solitude",[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
ENG2018,English,Opportunity seldom knocks twice.,Opportunity seldom knocks twice.,A chance doesn't come around twice.,"['Opportunity often knocks twice.', 'Opportunity rarely waits a second time.', 'Opportunity rarely calls twice.']",False,gate=len,S2,Opportunity rarely calls twice.,A chance doesn't come around twice.,Opportunity often knocks twice.,Opportunity rarely waits a second time.,B
ENG1923,English,The best advice is found on the pillow.,The best advice is found on the pillow.,The wisest counsel comes when you're at rest,"[""The best ideas come when you're in bed"", 'The most useful tips are given by the pillow', ""The best solutions are discovered when you're tired""]",False,gate=len,S2,The most useful tips are given by the pillow,The best solutions are discovered when you're tired,The wisest counsel comes when you're at rest,The best ideas come when you're in bed,C
ENG0313,English,Don't wash your dirty linen in public.,Don't wash your dirty linen in public.,Don't wash your dirty linen in public.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],Don't wash your dirty linen in public.,D
ENG2189,English,A prophet is not recognized in his own land,A prophet is not recognized in his own land,A prophet's own country does not honor him,"['Familiarity breeds contempt among neighbors', 'A stranger is not valued in his homeland', 'The wise man is not heeded in his own town']",False,gate=len,S2,A prophet's own country does not honor him,Familiarity breeds contempt among neighbors,A stranger is not valued in his homeland,The wise man is not heeded in his own town,A
ENG1876,English,"Curses, like chickens, come home to roost.","Curses, like chickens, come home to roost.",What you curse will eventually return to haunt you.,"['Curses, like hawks, come home to roost.', 'Curses, like chickens, fly home to nest.', 'Curses, like chickens, stay away from home.']",False,gate=len,S2,"Curses, like chickens, stay away from home.",What you curse will eventually return to haunt you.,"Curses, like hawks, come home to roost.","Curses, like chickens, fly home to nest.",B
ENG1655,English,Better die with honor than live with shame,Better die with honor than live with shame,It's preferable to die honorably than to live in disgrace,"['Better live with honor than die with shame', 'Better to live with dignity than die in disgrace', 'Better die with courage than live with regret']",False,gate=len,S2,Better to live with dignity than die in disgrace,Better die with courage than live with regret,It's preferable to die honorably than to live in disgrace,Better live with honor than die with shame,C
ENG1321,English,There is a thin line between genius and insanity,There is a thin line between genius and insanity,A razor's edge separates brilliance from madness,"['A fine line exists between talent and foolishness', 'The boundary between cleverness and madness is narrow', 'A hairline divides wisdom from eccentricity']",False,gate=len,S2,A fine line exists between talent and foolishness,The boundary between cleverness and madness is narrow,A hairline divides wisdom from eccentricity,A razor's edge separates brilliance from madness,D
ENG1010,English,There are two sides to every question,There are two sides to every question,Every question has two perspectives,"['Each question holds a single truth', 'All problems require two answers', 'Every issue has multiple angles']",False,gate=len,S2,Every question has two perspectives,Each question holds a single truth,All problems require two answers,Every issue has multiple angles,A
ENG0370,English,"Water is a boon in the desert, but the drowning man curses it.","Water is a boon in the desert, but the drowning man curses it.","Water is a boon in the desert, but the drowning man curses it.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],"Water is a boon in the desert, but the drowning man curses it.",[DISTRACTOR 1],[DISTRACTOR 2],B
ENG0109,English,Flogging a dead horse,Flogging a dead horse,Beating a dead horse,"['Chasing a lost opportunity', 'Wasting time on a finished task', 'Pursuing a pointless endeavor']",False,gate=sem,S2,Wasting time on a finished task,Pursuing a pointless endeavor,Beating a dead horse,Chasing a lost opportunity,C
ENG1944,English,Drastic times call for drastic measures.,Drastic times call for drastic measures.,"When the situation is dire, bold actions are required","['Extreme situations require extreme solutions', 'Critical circumstances demand severe actions', 'Crisis periods necessitate aggressive responses']",False,gate=len,S2,Extreme situations require extreme solutions,Critical circumstances demand severe actions,Crisis periods necessitate aggressive responses,"When the situation is dire, bold actions are required",D
ENG0450,English,The highest branch is not the safest roost,The highest branch is not the safest roost,The tallest branch doesn't guarantee the safest perch,"['The highest branch is always the best choice', 'The safest roost is always the lowest branch', 'A high branch ensures safety in a storm']",False,gate=len,S2,The tallest branch doesn't guarantee the safest perch,The highest branch is always the best choice,The safest roost is always the lowest branch,A high branch ensures safety in a storm,A
ENG0928,English,Laugh and grow fat,Laugh and grow fat,Laugh heartily and gain weight,"['Laugh often and accumulate fat', 'Laugh loudly and increase weight', 'Laugh constantly and put on weight']",False,gate=len,S2,Laugh constantly and put on weight,Laugh heartily and gain weight,Laugh often and accumulate fat,Laugh loudly and increase weight,B
ENG2124,English,Honor among thieves – There’s,Honor among thieves – There’s,Honor among thieves – There’s,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],Honor among thieves – There’s,[DISTRACTOR 1],C
ENG0498,English,Children and fools tell the truth,Children and fools tell the truth,Children and fools tell the truth,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],Children and fools tell the truth,D
ENG1133,English,A mill cannot grind with the water that is past,A mill cannot grind with the water that is past,A mill cannot grind with the water that has already passed,"['A mill cannot operate without flowing water', 'A mill cannot grind with water already used', 'A mill cannot grind without sufficient water']",False,gate=len,S2,A mill cannot grind with the water that has already passed,A mill cannot operate without flowing water,A mill cannot grind with water already used,A mill cannot grind without sufficient water,A
ENG1644,English,Fling dirt enough and some will stick,Fling dirt enough and some will stick,Keep throwing mud and eventually some will cling,"['Sprinkle sand frequently and it may remain', 'Toss gravel often and some might adhere', 'Scatter dust repeatedly until it lingers']",False,gate=len,S2,Scatter dust repeatedly until it lingers,Keep throwing mud and eventually some will cling,Sprinkle sand frequently and it may remain,Toss gravel often and some might adhere,B
MID0381,Arabic,اللي ما رضى خببزة يرضى بنصها ,Half a loaf is better than no bread,Half a loaf is better than no bread,"['A whole loaf is better than a half', 'A half loaf is as good as no bread', 'Better to have no bread than a half loaf']",False,gate=len,S2,Half a loaf is better than no bread,A whole loaf is better than a half,A half loaf is as good as no bread,Better to have no bread than a half loaf,A
MID0854,Arabic,إنك تضرب في حديد بارد,You are striking cold iron.,You're hitting iron that's not hot,"[""You're forging cold iron"", ""You're melting cold iron"", ""You're striking hot iron""]",False,gate=len,S2,You're striking hot iron,You're hitting iron that's not hot,You're forging cold iron,You're melting cold iron,B
MID0356,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,Spend money to make money.,Invest now to gain later,"['Save money to earn wealth', 'Give generously to receive more', 'Lose a little to gain much']",False,gate=len,S2,Give generously to receive more,Lose a little to gain much,Invest now to gain later,Save money to earn wealth,C
MID0358,Arabic,الصديق وقت الضيق.,A friend in need is a friend indeed.,A true friend is one who supports you in times of hardship.,"['A friend in times of ease is a friend indeed.', 'A friend who needs help is a true friend.', 'A friend during their own hardship is a real friend.']",False,gate=len,S2,A friend in times of ease is a friend indeed.,A friend who needs help is a true friend.,A friend during their own hardship is a real friend.,A true friend is one who supports you in times of hardship.,D
MID0363,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,Biting the hand that feeds him.,Biting the hand that nourishes you,"['Biting the hand that supports him', 'Biting the hand that cares for him', 'Biting the hand that sustains you']",False,gate=len,S2,Biting the hand that nourishes you,Biting the hand that supports him,Biting the hand that cares for him,Biting the hand that sustains you,A
MID0487,Arabic,وِجّو بيقطع الرزق,a jinx on the house,a curse befalling the home,"['a spell to sever sustenance', ""a hex upon the family's fortune"", ""an ill omen for the household's bread""]",False,gate=sem,S2,an ill omen for the household's bread,a curse befalling the home,a spell to sever sustenance,a hex upon the family's fortune,B
MID0705,Arabic,إطعم الفم تستحى العين.,A bribe works miracles.,A bribe works miracles.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],A bribe works miracles.,[DISTRACTOR 1],C
MID0596,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,Let them drink and forget their poverty and remember their misery no more.,Let them drink and forget their poverty and remember their misery no more.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],Let them drink and forget their poverty and remember their misery no more.,D
MID0552,Arabic,جمل يعصر وجمل ياكل العصارة:,Climbing the ladder of success by stepping on others.,Scaling the heights of achievement by trampling those below,"[""Reaching the peak of prosperity by ignoring others' struggles"", ""Climbing the success ladder by carrying others' burdens"", 'Ascending the staircase of triumph by walking beside others']",False,gate=len,S2,Scaling the heights of achievement by trampling those below,Reaching the peak of prosperity by ignoring others' struggles,Climbing the success ladder by carrying others' burdens,Ascending the staircase of triumph by walking beside others,A
MID0031,Arabic,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
",A penny saved is as good as a penny earned,"['A white coin saved is for a black day', 'Saving a penny is better than earning it', 'Keep your penny until the dark day']",False,gate=len,S2,Keep your penny until the dark day,A penny saved is as good as a penny earned,A white coin saved is for a black day,Saving a penny is better than earning it,B
MID0591,Arabic,رمية من غير رامي,A flash in a pan.,A spark that dies out,"['A throw without a thrower', 'A spark without a striker', 'A flash without a flame']",False,gate=len,S2,A spark without a striker,A flash without a flame,A spark that dies out,A throw without a thrower,C
MID0522,Arabic,فود عوجان.,He who goes out in search of wool often comes home shorn.,He who chases after wool often returns with his own fleece taken,"['He who chases after wool often returns with a heavy burden', 'He who chases after wool often returns with a threadbare coat', 'He who chases after wool often returns with a full fleece']",False,gate=len,S2,He who chases after wool often returns with a heavy burden,He who chases after wool often returns with a threadbare coat,He who chases after wool often returns with a full fleece,He who chases after wool often returns with his own fleece taken,D
MID0216,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,Evil in return for god deed.,Doing harm in response to kindness,"['Good in return for evil deed', 'Holding onto past grievances', 'Putting their hands in my eyes']",False,gate=len,S2,Doing harm in response to kindness,Good in return for evil deed,Holding onto past grievances,Putting their hands in my eyes,A
MID0064,Arabic,المَمنُوع مَرْغُوب.,Forbidden fruit is the sweetest.,Forbidden fruit is the sweetest.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],Forbidden fruit is the sweetest.,[DISTRACTOR 1],[DISTRACTOR 2],B
MID0317,Arabic,اللي فات مات (ماتلا عليه التلفات),let bygones be bygones.,Forget the past and move forward,"['The past is gone, so forget it', ""What's done is done, so don't dwell on it"", ""The dead are gone, so don't mention them""]",False,gate=len,S2,"What's done is done, so don't dwell on it","The dead are gone, so don't mention them",Forget the past and move forward,"The past is gone, so forget it",C
MID0040,Arabic,الإفراط في التّواضع يجلب المذلّة," If you humble yourself too much, you will get trampled on.",Excessive humility leads to being stepped on,"['Overdoing modesty results in disgrace', 'Too much self-deprecation causes humiliation', 'Excessive meekness brings about shame']",False,gate=len,S2,Overdoing modesty results in disgrace,Too much self-deprecation causes humiliation,Excessive meekness brings about shame,Excessive humility leads to being stepped on,D
MID0236,Arabic,اللي فات مات.,let bygones be bygones.,Don't dwell on the past.,"['Let old things burden you.', 'The past is gone forever.', 'Clutch the past tightly.']",False,gate=len,S2,Don't dwell on the past.,Let old things burden you.,The past is gone forever.,Clutch the past tightly.,A
MID0862,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Like a fish in water.,Like a fish in water.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],Like a fish in water.,[DISTRACTOR 1],[DISTRACTOR 2],B
MID0425,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,Sometimes the innocent suffer with the guilty.,The innocent often bear the consequences alongside the guilty,"['The guilty frequently escape punishment while the innocent suffer', 'The innocent and guilty are equally punished for crimes', 'The guilty suffer more than the innocent in misfortunes']",False,gate=len,S2,The innocent and guilty are equally punished for crimes,The guilty suffer more than the innocent in misfortunes,The innocent often bear the consequences alongside the guilty,The guilty frequently escape punishment while the innocent suffer,C
MID0073,Arabic,خاطبوا الناس على قدر عقولهم.,Address people in the language they can understand.,39,"['52', '46', '56']",False,gate=len,S2,52,46,56,39,D
MID0909,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,The world is like a belly dancer: it dances for a little while for everyone,The world is like a belly dancer: it dances for a little while for everyone,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,The world is like a belly dancer: it dances for a little while for everyone,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
MID0169,Arabic,ايش ياخد الريح من البلاط؟,where there is nothing the king loses his rights,"When there's no substance, even the monarch's power fades","['Where there is nothing the king loses his throne', 'Where there is nothing the king loses his crown', 'Where there is nothing the king loses his kingdom']",False,gate=len,S2,Where there is nothing the king loses his kingdom,"When there's no substance, even the monarch's power fades",Where there is nothing the king loses his throne,Where there is nothing the king loses his crown,B
MID0767,Arabic,تجيك التهايم وإنت نايم,Look what the cat dragged in.,Here comes the unexpected guest,"[""Here comes the dog's latest find"", 'What the cat brought home is here', ""Here's what the cat fetched today""]",False,gate=len,S2,What the cat brought home is here,Here's what the cat fetched today,Here comes the unexpected guest,Here comes the dog's latest find,C
MID0622,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.","
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],"Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",D
MID0071,Arabic,بین المطرقة والسندان.,Between the upper and nether millstone.,Caught between two grinding stones,"['Between the hammer and the anvil', 'Between the upper and lower grindstone', 'Between the hammer and the grindstone']",False,gate=len,S2,Caught between two grinding stones,Between the hammer and the anvil,Between the upper and lower grindstone,Between the hammer and the grindstone,A
MID0068,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Prevention is better than cure,Prevention is better than treatment,"['Protection is better than cure', 'Cure is better than prevention', 'Prevention is as good as cure']",False,gate=len,S2,Prevention is as good as cure,Prevention is better than treatment,Protection is better than cure,Cure is better than prevention,B
MID0307,Arabic, انكشحت بين امعاه لحشيشَ.,To break the ice.,Initiate a conversation,"['Ease into a discussion', 'Disregard social norms', 'Engage in idle chatter']",False,gate=len,S2,Disregard social norms,Engage in idle chatter,Initiate a conversation,Ease into a discussion,C
MID0820,Arabic,اللي ما يعرف الغلط ما يتعلم,He who does not know mistakes does not learn,He who does not know mistakes does not learn,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],He who does not know mistakes does not learn,D
MID0719,Arabic,اللي يخالط المسعدين يسعد.,Happiness is contagious.,Joy spreads easily,"['Sadness spreads easily', 'Happiness is rare', 'Happiness is fleeting']",False,gate=len,S2,Joy spreads easily,Sadness spreads easily,Happiness is rare,Happiness is fleeting,A
MID0639,Arabic,يجي الخريف.. واللواري بتقيف,Every dog has its day.,Even the smallest dog has its day in the sun,"['Every cat has its day', 'Every dog has its night', 'Every dog has its day and the big ones too']",False,gate=sem,S2,Every dog has its day and the big ones too,Even the smallest dog has its day in the sun,Every cat has its day,Every dog has its night,B
MID0322,Arabic,كل بخنوس افعين امو اغزال,"Beauty is in the eye of the beholder.
",Beauty lies where the observer sees it,"[""Beauty is judged by the viewer's gaze"", ""The beholder's perspective defines beauty"", 'Each viewer finds their own beauty']",False,gate=len,S2,The beholder's perspective defines beauty,Each viewer finds their own beauty,Beauty lies where the observer sees it,Beauty is judged by the viewer's gaze,C
MID0785,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح ,If you are always dwelling in trouble change the address.,"If your current situation brings you constant trouble, consider moving on","['If you find yourself surrounded by problems, avoid them by staying put', 'When trouble follows you home, close the door and stay', 'If your current path leads to constant issues, take a different route']",False,gate=len,S2,"If you find yourself surrounded by problems, avoid them by staying put","When trouble follows you home, close the door and stay","If your current path leads to constant issues, take a different route","If your current situation brings you constant trouble, consider moving on",D
MID0549,Arabic,بتقول للقمر غيبي وأنا مكانش.,A rose among thorns.,A jewel amidst rough stones,"['A flower in the desert', 'A pearl among shells', 'A star in the night sky']",False,gate=len,S2,A jewel amidst rough stones,A flower in the desert,A pearl among shells,A star in the night sky,A
MID0343,Arabic, بِيشتَري سَمَك في بَحَر ,Buy a pig in a poke.,Buy a pig in a poke.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],Buy a pig in a poke.,[DISTRACTOR 1],[DISTRACTOR 2],B
MID0276,Arabic,أتبدلت غزلانها بقرودها.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,"When the leader stumbles, the follower rises","['A wise servant outshines a foolish master', 'The house is empty when the master leaves', 'Hens lead the rooster in a broken coop']",False,gate=len,S2,The house is empty when the master leaves,Hens lead the rooster in a broken coop,"When the leader stumbles, the follower rises",A wise servant outshines a foolish master,C
MID0502,Arabic,اللسان مافيه عظم.,Think before you speak.,Don't speak without considering first,"[""Don't act before you speak"", ""Don't be afraid to speak your mind"", 'Silence is better than careless words']",False,gate=len,S2,Don't act before you speak,Don't be afraid to speak your mind,Silence is better than careless words,Don't speak without considering first,D
