strategy,model,style,sample_id,language,pred,hit,similarities
S1,mbert,zero-shot,ENG0819,English,D,1,"[0.4574093818664551, 0.323596328496933, 0.33541375398635864, 0.9999999403953552]"
S1,mbert,zero-shot,ENG2013,English,A,1,"[1.0, 0.5429724454879761, 0.40910202264785767, 0.5354225039482117]"
S1,mbert,zero-shot,ENG0068,English,B,1,"[0.5884760618209839, 1.0, 0.4736458361148834, 0.5076698064804077]"
S1,mbert,zero-shot,ENG1613,English,C,1,"[0.6207548975944519, 0.544181227684021, 1.0, 0.5013616681098938]"
S1,mbert,zero-shot,ENG0225,English,D,1,"[0.4245460033416748, 0.4415448307991028, 0.48888424038887024, 1.0]"
S1,mbert,zero-shot,ENG1589,English,A,1,"[1.0, 0.5238192677497864, 0.5935227870941162, 0.5814763307571411]"
S1,mbert,zero-shot,ENG1956,English,B,1,"[0.5270686149597168, 1.0, 0.38806837797164917, 0.4067203104496002]"
S1,mbert,zero-shot,ENG1244,English,C,1,"[0.6428542137145996, 0.5062380433082581, 1.0, 0.6916933059692383]"
S1,mbert,zero-shot,ENG0463,English,D,1,"[0.46663543581962585, 0.6892040967941284, 0.5862934589385986, 1.0000001192092896]"
S1,mbert,zero-shot,ENG0663,English,A,1,"[1.0000001192092896, 0.3594822585582733, 0.5815411806106567, 0.5007572174072266]"
S1,mbert,zero-shot,ENG1785,English,B,1,"[0.5429724454879761, 1.0, 0.5446010828018188, 0.7365131974220276]"
S1,mbert,zero-shot,ENG1032,English,C,1,"[0.5247030854225159, 0.5576949715614319, 1.0, 0.40135112404823303]"
S1,mbert,zero-shot,ENG1771,English,D,1,"[0.5201330184936523, 0.47972846031188965, 0.5745355486869812, 1.0000001192092896]"
S1,mbert,zero-shot,ENG1628,English,A,1,"[1.0000001192092896, 0.7035722732543945, 0.4462522566318512, 0.5995949506759644]"
S1,mbert,zero-shot,ENG2018,English,B,1,"[0.41103991866111755, 0.9999998807907104, 0.4538598656654358, 0.47036024928092957]"
S1,mbert,zero-shot,ENG1923,English,C,1,"[0.4910085201263428, 0.4971802830696106, 1.0, 0.4106755554676056]"
S1,mbert,zero-shot,ENG0313,English,D,1,"[0.454529345035553, 0.43554261326789856, 0.4817449450492859, 1.0]"
S1,mbert,zero-shot,ENG2189,English,A,1,"[1.0, 0.44176703691482544, 0.5153065919876099, 0.6949866414070129]"
S1,mbert,zero-shot,ENG1876,English,B,1,"[0.49494636058807373, 1.0, 0.5356588363647461, 0.4069530963897705]"
S1,mbert,zero-shot,ENG1655,English,C,1,"[0.6763848662376404, 0.48285698890686035, 1.0, 0.5403091311454773]"
S1,mbert,zero-shot,ENG1321,English,D,1,"[0.49810436367988586, 0.5883719325065613, 0.5469387173652649, 1.0000001192092896]"
S1,mbert,zero-shot,ENG1010,English,A,1,"[1.0000001192092896, 0.4242244362831116, 0.47622835636138916, 0.47129449248313904]"
S1,mbert,zero-shot,ENG0370,English,B,1,"[0.5246917009353638, 0.9999999403953552, 0.5738464593887329, 0.5409741997718811]"
S1,mbert,zero-shot,ENG0109,English,C,1,"[0.47775548696517944, 0.47946062684059143, 1.0000001192092896, 0.5739601850509644]"
S1,mbert,zero-shot,ENG1944,English,D,1,"[0.4344625473022461, 0.4547590911388397, 0.36114630103111267, 1.0]"
S1,mbert,zero-shot,ENG0450,English,A,1,"[1.0, 0.5227442383766174, 0.5700637102127075, 0.42810624837875366]"
S1,mbert,zero-shot,ENG0928,English,B,1,"[0.4898618459701538, 0.9999998807907104, 0.677570104598999, 0.4337228536605835]"
S1,mbert,zero-shot,ENG2124,English,C,1,"[0.4435022473335266, 0.4476952850818634, 1.0, 0.47950977087020874]"
S1,mbert,zero-shot,ENG0498,English,D,1,"[0.4479203522205353, 0.6380352973937988, 0.613956868648529, 1.0000001192092896]"
S1,mbert,zero-shot,ENG1133,English,A,1,"[1.0, 0.6544902920722961, 0.47879019379615784, 0.660637378692627]"
S1,mbert,zero-shot,ENG1644,English,B,1,"[0.5395172834396362, 1.0, 0.6212015151977539, 0.5516408681869507]"
S1,mbert,zero-shot,MID0381,Arabic,C,0,"[0.471811443567276, 0.33933523297309875, 0.4830131530761719, 0.329759806394577]"
S1,mbert,zero-shot,MID0854,Arabic,A,0,"[0.39826491475105286, 0.39171507954597473, 0.36939162015914917, 0.38521844148635864]"
S1,mbert,zero-shot,MID0356,Arabic,A,0,"[0.4717254936695099, 0.44752001762390137, 0.4072859585285187, 0.38191670179367065]"
S1,mbert,zero-shot,MID0358,Arabic,C,0,"[0.3726876378059387, 0.36742037534713745, 0.4260135889053345, 0.3246767520904541]"
S1,mbert,zero-shot,MID0363,Arabic,D,0,"[0.34369978308677673, 0.3359367847442627, 0.37421414256095886, 0.3865912854671478]"
S1,mbert,zero-shot,MID0487,Arabic,B,1,"[0.280434250831604, 0.4436677396297455, 0.3616706430912018, 0.2759375274181366]"
S1,mbert,zero-shot,MID0705,Arabic,B,0,"[0.2754429876804352, 0.3399880826473236, 0.25629737973213196, 0.28644976019859314]"
S1,mbert,zero-shot,MID0596,Arabic,A,0,"[0.40260282158851624, 0.31562191247940063, 0.3346835970878601, 0.3177093267440796]"
S1,mbert,zero-shot,MID0552,Arabic,D,0,"[0.3498986065387726, 0.33487820625305176, 0.30181318521499634, 0.40147319436073303]"
S1,mbert,zero-shot,MID0031,Arabic,B,1,"[0.3236559331417084, 0.3359088897705078, 0.29157862067222595, 0.3129795491695404]"
S1,mbert,zero-shot,MID0591,Arabic,B,0,"[0.33185258507728577, 0.37514105439186096, 0.31595703959465027, 0.3394330143928528]"
S1,mbert,zero-shot,MID0522,Arabic,C,0,"[0.3118969798088074, 0.3971436619758606, 0.42077934741973877, 0.26568740606307983]"
S1,mbert,zero-shot,MID0216,Arabic,D,0,"[0.370565801858902, 0.3875483572483063, 0.3340311348438263, 0.3968300223350525]"
S1,mbert,zero-shot,MID0064,Arabic,B,1,"[0.3672700524330139, 0.4051220715045929, 0.37228843569755554, 0.3104136288166046]"
S1,mbert,zero-shot,MID0317,Arabic,A,0,"[0.367249995470047, 0.29135680198669434, 0.3268079459667206, 0.2933673858642578]"
S1,mbert,zero-shot,MID0040,Arabic,B,0,"[0.3718625605106354, 0.47207751870155334, 0.4541660249233246, 0.43676096200942993]"
S1,mbert,zero-shot,MID0236,Arabic,B,0,"[0.2936967611312866, 0.3682954013347626, 0.28855225443840027, 0.32334181666374207]"
S1,mbert,zero-shot,MID0862,Arabic,C,0,"[0.36553388833999634, 0.371537446975708, 0.3805062472820282, 0.30513492226600647]"
S1,mbert,zero-shot,MID0425,Arabic,D,0,"[0.2798578143119812, 0.2227296233177185, 0.36761122941970825, 0.39038148522377014]"
S1,mbert,zero-shot,MID0073,Arabic,D,1,"[0.41560059785842896, 0.4847354292869568, 0.32629042863845825, 0.5168858170509338]"
S1,mbert,zero-shot,MID0909,Arabic,A,1,"[0.3613916337490082, 0.3288936913013458, 0.3322473168373108, 0.3279646635055542]"
S1,mbert,zero-shot,MID0169,Arabic,B,1,"[0.34569382667541504, 0.4335668683052063, 0.39372897148132324, 0.3921230137348175]"
S1,mbert,zero-shot,MID0767,Arabic,D,0,"[0.3064369559288025, 0.2785375714302063, 0.19347119331359863, 0.32001185417175293]"
S1,mbert,zero-shot,MID0622,Arabic,C,0,"[0.24391885101795197, 0.29897814989089966, 0.3323410749435425, 0.3240683376789093]"
S1,mbert,zero-shot,MID0071,Arabic,A,1,"[0.40701425075531006, 0.2893814742565155, 0.28986793756484985, 0.35852065682411194]"
S1,mbert,zero-shot,MID0068,Arabic,B,1,"[0.3027660548686981, 0.4429950416088104, 0.2808978855609894, 0.25216957926750183]"
S1,mbert,zero-shot,MID0307,Arabic,A,0,"[0.4557855725288391, 0.3927841782569885, 0.3344353437423706, 0.3891337811946869]"
S1,mbert,zero-shot,MID0820,Arabic,D,1,"[0.281939834356308, 0.3897075653076172, 0.29691389203071594, 0.5336176753044128]"
S1,mbert,zero-shot,MID0719,Arabic,A,1,"[0.39506471157073975, 0.300354540348053, 0.33272939920425415, 0.3626694083213806]"
S1,mbert,zero-shot,MID0639,Arabic,A,0,"[0.4272761940956116, 0.3698679804801941, 0.32360243797302246, 0.3021925091743469]"
S1,mbert,zero-shot,MID0322,Arabic,A,0,"[0.47017374634742737, 0.24092204868793488, 0.3295291066169739, 0.27237582206726074]"
S1,mbert,zero-shot,MID0785,Arabic,A,0,"[0.5270646810531616, 0.3777409493923187, 0.36922264099121094, 0.36649709939956665]"
S1,mbert,zero-shot,MID0549,Arabic,D,0,"[0.39359229803085327, 0.28402581810951233, 0.3988134264945984, 0.4306989014148712]"
S1,mbert,zero-shot,MID0343,Arabic,A,0,"[0.42042699456214905, 0.38003888726234436, 0.3751940131187439, 0.3335983157157898]"
S1,mbert,zero-shot,MID0276,Arabic,C,1,"[0.383154034614563, 0.37719032168388367, 0.3919728994369507, 0.33568093180656433]"
S1,mbert,zero-shot,MID0502,Arabic,D,1,"[0.3528948724269867, 0.36281922459602356, 0.3719666302204132, 0.45407357811927795]"
S1,mbert,zero-shot,MID0295,Arabic,D,0,"[0.37358787655830383, 0.3594849109649658, 0.3765086233615875, 0.3952975273132324]"
S1,mbert,zero-shot,MID0500,Arabic,A,0,"[0.4480477273464203, 0.38745489716529846, 0.3538544178009033, 0.3785250186920166]"
S1,mbert,zero-shot,MID0631,Arabic,D,0,"[0.3342237174510956, 0.3558708131313324, 0.36626628041267395, 0.3796825408935547]"
S1,mbert,zero-shot,MID0024,Arabic,D,1,"[0.399532675743103, 0.3704228699207306, 0.3048219084739685, 0.4467424154281616]"
S1,mbert,zero-shot,MID0441,Arabic,A,1,"[0.4607188105583191, 0.3315814733505249, 0.3825880289077759, 0.33420735597610474]"
S1,mbert,zero-shot,MID0412,Arabic,A,0,"[0.4380366802215576, 0.3591108024120331, 0.4020247459411621, 0.4252747893333435]"
S1,mbert,zero-shot,MID0219,Arabic,C,1,"[0.27361205220222473, 0.2505246698856354, 0.3617730438709259, 0.31006187200546265]"
S1,mbert,zero-shot,MID0523,Arabic,D,1,"[0.3674999475479126, 0.3630801737308502, 0.4118266701698303, 0.41347286105155945]"
S1,mbert,zero-shot,MID0614,Arabic,B,0,"[0.35160791873931885, 0.40253669023513794, 0.31385475397109985, 0.3122389018535614]"
S1,mbert,zero-shot,MID0912,Arabic,B,1,"[0.3417132496833801, 0.4830666780471802, 0.3242165744304657, 0.38688066601753235]"
S1,mbert,zero-shot,MID0755,Arabic,C,1,"[0.4138597548007965, 0.3267366588115692, 0.4724893867969513, 0.3322584927082062]"
S1,mbert,zero-shot,MID0605,Arabic,A,0,"[0.382874995470047, 0.23969602584838867, 0.3645881414413452, 0.3613972067832947]"
S1,mbert,zero-shot,MID0826,Arabic,D,0,"[0.35658368468284607, 0.3170933723449707, 0.413622111082077, 0.42058607935905457]"
S1,mbert,zero-shot,MID0744,Arabic,C,0,"[0.3917751610279083, 0.40462860465049744, 0.5012205839157104, 0.4418318569660187]"
S1,mbert,zero-shot,YOR1930,Yoruba,A,1,"[0.48840057849884033, 0.34139084815979004, 0.35679811239242554, 0.34602898359298706]"
S1,mbert,zero-shot,YOR1569,Yoruba,A,0,"[0.4817966818809509, 0.41352373361587524, 0.30636313557624817, 0.36795175075531006]"
S1,mbert,zero-shot,YOR2171,Yoruba,D,0,"[0.34517961740493774, 0.3281787037849426, 0.3729671537876129, 0.37657371163368225]"
S1,mbert,zero-shot,YOR1240,Yoruba,D,1,"[0.4532313644886017, 0.34640997648239136, 0.40559229254722595, 0.45952242612838745]"
S1,mbert,zero-shot,YOR3981,Yoruba,A,1,"[0.43597885966300964, 0.35478249192237854, 0.3437332510948181, 0.39036935567855835]"
S1,mbert,zero-shot,YOR1407,Yoruba,D,0,"[0.4278031587600708, 0.44754278659820557, 0.3478569984436035, 0.4661779999732971]"
S1,mbert,zero-shot,YOR2410,Yoruba,A,0,"[0.3973027467727661, 0.31251463294029236, 0.318871408700943, 0.3673432171344757]"
S1,mbert,zero-shot,YOR1521,Yoruba,C,0,"[0.3929750919342041, 0.3443218171596527, 0.434942364692688, 0.3040160536766052]"
S1,mbert,zero-shot,YOR3426,Yoruba,B,0,"[0.2993488311767578, 0.3523941934108734, 0.3037119507789612, 0.31960001587867737]"
S1,mbert,zero-shot,YOR1130,Yoruba,A,0,"[0.4289976954460144, 0.4004218578338623, 0.41333138942718506, 0.32110854983329773]"
S1,mbert,zero-shot,YOR0370,Yoruba,C,1,"[0.37744781374931335, 0.4244246184825897, 0.47455286979675293, 0.3077825605869293]"
S1,mbert,zero-shot,YOR2447,Yoruba,C,0,"[0.29490143060684204, 0.3326898515224457, 0.3382459282875061, 0.2564801573753357]"
S1,mbert,zero-shot,YOR0938,Yoruba,D,0,"[0.3804631531238556, 0.3394405245780945, 0.4006217122077942, 0.4175281524658203]"
S1,mbert,zero-shot,YOR2476,Yoruba,A,0,"[0.41178709268569946, 0.3034845292568207, 0.3323429524898529, 0.33512312173843384]"
S1,mbert,zero-shot,YOR2639,Yoruba,D,0,"[0.3212284445762634, 0.30873996019363403, 0.33252885937690735, 0.3915136158466339]"
S1,mbert,zero-shot,YOR2231,Yoruba,A,0,"[0.5345306396484375, 0.32213762402534485, 0.3019046485424042, 0.3625273108482361]"
S1,mbert,zero-shot,YOR0708,Yoruba,A,1,"[0.40712133049964905, 0.39783698320388794, 0.38764235377311707, 0.3916541039943695]"
S1,mbert,zero-shot,YOR1886,Yoruba,B,1,"[0.5553893446922302, 0.6765535473823547, 0.39007970690727234, 0.3503949046134949]"
S1,mbert,zero-shot,YOR0015,Yoruba,C,1,"[0.3152087330818176, 0.2718155086040497, 0.3685092329978943, 0.3274039924144745]"
S1,mbert,zero-shot,YOR1449,Yoruba,B,0,"[0.21669961512088776, 0.2780623435974121, 0.26221102476119995, 0.2547110617160797]"
S1,mbert,zero-shot,YOR4105,Yoruba,B,0,"[0.36028164625167847, 0.4120464324951172, 0.406156450510025, 0.3635047674179077]"
S1,mbert,zero-shot,YOR1710,Yoruba,A,0,"[0.4514703154563904, 0.4480186104774475, 0.31831273436546326, 0.32190650701522827]"
S1,mbert,zero-shot,YOR1463,Yoruba,C,1,"[0.32974645495414734, 0.3973795771598816, 0.3993099629878998, 0.3496967554092407]"
S1,mbert,zero-shot,YOR1685,Yoruba,B,0,"[0.34869012236595154, 0.5647774934768677, 0.32265210151672363, 0.35434073209762573]"
S1,mbert,zero-shot,YOR2232,Yoruba,D,0,"[0.34290602803230286, 0.3500940203666687, 0.3253995478153229, 0.37739279866218567]"
S1,mbert,zero-shot,YOR1583,Yoruba,B,1,"[0.3564298748970032, 0.5458279848098755, 0.2698810398578644, 0.37384629249572754]"
S1,mbert,zero-shot,YOR3430,Yoruba,C,1,"[0.3529096841812134, 0.3657153248786926, 0.4714661240577698, 0.3840424716472626]"
S1,mbert,zero-shot,YOR3039,Yoruba,C,0,"[0.39011847972869873, 0.35124608874320984, 0.396675705909729, 0.35952991247177124]"
S1,mbert,zero-shot,YOR0282,Yoruba,D,0,"[0.32958871126174927, 0.2700926959514618, 0.27257001399993896, 0.34102094173431396]"
S1,mbert,zero-shot,YOR3313,Yoruba,B,1,"[0.3771441876888275, 0.48946720361709595, 0.43470892310142517, 0.37283816933631897]"
S1,mbert,zero-shot,YOR0761,Yoruba,B,0,"[0.23201718926429749, 0.32979902625083923, 0.21697652339935303, 0.301879346370697]"
S1,mbert,zero-shot,YOR1731,Yoruba,B,0,"[0.30686187744140625, 0.5193920731544495, 0.34947219491004944, 0.45712462067604065]"
S1,mbert,zero-shot,YOR1250,Yoruba,D,0,"[0.40159931778907776, 0.3630485534667969, 0.39734217524528503, 0.4567089080810547]"
S1,mbert,zero-shot,YOR0174,Yoruba,A,0,"[0.3737575113773346, 0.3727822005748749, 0.34528905153274536, 0.32138222455978394]"
S1,mbert,zero-shot,YOR3670,Yoruba,C,1,"[0.4926687180995941, 0.3818814158439636, 0.5366162657737732, 0.388469398021698]"
S1,mbert,zero-shot,YOR3579,Yoruba,A,0,"[0.4551332890987396, 0.3723137080669403, 0.39695480465888977, 0.43687352538108826]"
S1,mbert,zero-shot,YOR1139,Yoruba,D,0,"[0.3366456925868988, 0.3283401429653168, 0.30821657180786133, 0.3564631938934326]"
S1,mbert,zero-shot,YOR3887,Yoruba,A,0,"[0.453609824180603, 0.3376429080963135, 0.3794918656349182, 0.29249128699302673]"
S1,mbert,zero-shot,YOR1776,Yoruba,A,0,"[0.39586523175239563, 0.3420490026473999, 0.39321574568748474, 0.38029444217681885]"
S1,mbert,zero-shot,YOR0204,Yoruba,A,0,"[0.4082196354866028, 0.39968404173851013, 0.3321029245853424, 0.38059237599372864]"
S1,mbert,zero-shot,YOR2401,Yoruba,D,0,"[0.37214353680610657, 0.3605266809463501, 0.30897408723831177, 0.3876388669013977]"
S1,mbert,zero-shot,YOR1873,Yoruba,D,0,"[0.39758026599884033, 0.34808605909347534, 0.396916925907135, 0.4513016641139984]"
S1,mbert,zero-shot,YOR0996,Yoruba,C,1,"[0.25976142287254333, 0.3810693323612213, 0.5650935173034668, 0.33045950531959534]"
S1,mbert,zero-shot,YOR1495,Yoruba,C,0,"[0.37203723192214966, 0.3157031536102295, 0.427754282951355, 0.3608067035675049]"
S1,mbert,zero-shot,YOR2834,Yoruba,D,0,"[0.3805045187473297, 0.29384979605674744, 0.2969118654727936, 0.4805954694747925]"
S1,mbert,zero-shot,YOR2677,Yoruba,C,0,"[0.3278145492076874, 0.26705777645111084, 0.33841633796691895, 0.329318642616272]"
S1,mbert,zero-shot,YOR0827,Yoruba,B,0,"[0.37981006503105164, 0.5808566212654114, 0.34044501185417175, 0.36242109537124634]"
S1,mbert,zero-shot,YOR0033,Yoruba,A,0,"[0.4610447883605957, 0.37967392802238464, 0.42217913269996643, 0.4127206802368164]"
S1,mbert,zero-shot,YOR0072,Yoruba,C,0,"[0.30250704288482666, 0.38860398530960083, 0.4576925039291382, 0.3993496894836426]"
S1,mbert,zero-shot,YOR4139,Yoruba,B,1,"[0.36490580439567566, 0.5782827138900757, 0.44290903210639954, 0.30317097902297974]"
S2,mbert,zero-shot,ENG2109,English,D,0,"[0.5955816507339478, 0.5698075294494629, 0.5547962784767151, 0.6535246968269348]"
S2,mbert,zero-shot,ENG2245,English,C,0,"[0.7461963295936584, 0.4556141793727875, 0.8371967673301697, 0.526058554649353]"
S2,mbert,zero-shot,ENG1267,English,C,1,"[0.6343636512756348, 0.590823769569397, 0.8286831974983215, 0.7742356657981873]"
S2,mbert,zero-shot,ENG1238,English,D,1,"[0.2787010669708252, 0.27421125769615173, 0.2514996826648712, 0.9999998807907104]"
S2,mbert,zero-shot,ENG1638,English,A,1,"[0.9999999403953552, 0.309089720249176, 0.32944273948669434, 0.32813045382499695]"
S2,mbert,zero-shot,ENG0113,English,B,1,"[0.5221181511878967, 0.5867089629173279, 0.43357524275779724, 0.5341356992721558]"
S2,mbert,zero-shot,ENG0148,English,C,1,"[0.47447770833969116, 0.38345685601234436, 0.6421406269073486, 0.5437025427818298]"
S2,mbert,zero-shot,ENG0432,English,B,0,"[0.9165017008781433, 0.9396983981132507, 0.9103344082832336, 0.8947715759277344]"
S2,mbert,zero-shot,ENG1450,English,A,1,"[1.0, 0.2821599543094635, 0.2847513258457184, 0.28562572598457336]"
S2,mbert,zero-shot,ENG0319,English,A,0,"[0.721230685710907, 0.6802864074707031, 0.6648200154304504, 0.6412238478660583]"
S2,mbert,zero-shot,ENG2038,English,C,1,"[0.7168991565704346, 0.753715455532074, 1.0, 0.9703571200370789]"
S2,mbert,zero-shot,ENG1126,English,C,0,"[0.7416225671768188, 0.5193039178848267, 0.76041179895401, 0.6136391758918762]"
S2,mbert,zero-shot,ENG1569,English,C,0,"[0.5876325964927673, 0.7025379538536072, 0.7251260876655579, 0.6262703537940979]"
S2,mbert,zero-shot,ENG2028,English,B,1,"[0.5668368339538574, 0.6381929516792297, 0.6196984052658081, 0.6294995546340942]"
S2,mbert,zero-shot,ENG0378,English,C,1,"[0.5546649694442749, 0.5336510539054871, 0.6816351413726807, 0.5762335062026978]"
S2,mbert,zero-shot,ENG0566,English,C,0,"[0.7369347810745239, 0.8757623434066772, 0.9060604572296143, 0.8100289702415466]"
S2,mbert,zero-shot,ENG0304,English,A,1,"[1.0, 0.2364003211259842, 0.25100505352020264, 0.23861877620220184]"
S2,mbert,zero-shot,ENG0572,English,B,1,"[0.8035114407539368, 0.8110054135322571, 0.7678737044334412, 0.7510589361190796]"
S2,mbert,zero-shot,ENG0366,English,C,1,"[0.5812498927116394, 0.6111675500869751, 0.8756189346313477, 0.6552509665489197]"
S2,mbert,zero-shot,ENG0819,English,C,0,"[0.6232739686965942, 0.6883106827735901, 0.7192078828811646, 0.48809579014778137]"
S2,mbert,zero-shot,ENG2013,English,B,0,"[0.7012919187545776, 0.7817980647087097, 0.7700343728065491, 0.6892877817153931]"
S2,mbert,zero-shot,ENG0068,English,C,0,"[0.7699556946754456, 0.7448705434799194, 0.7859507203102112, 0.7499529123306274]"
S2,mbert,zero-shot,ENG1613,English,C,1,"[0.3741590678691864, 0.3740055561065674, 1.0, 0.3323497474193573]"
S2,mbert,zero-shot,ENG0225,English,D,1,"[0.27588218450546265, 0.3300360441207886, 0.3244420886039734, 1.0000001192092896]"
S2,mbert,zero-shot,ENG1589,English,A,1,"[0.6591305732727051, 0.5325124859809875, 0.5733839869499207, 0.6382043957710266]"
S2,mbert,zero-shot,ENG1956,English,A,0,"[0.31918445229530334, 0.22123678028583527, 0.2523767948150635, 0.2426753044128418]"
S2,mbert,zero-shot,ENG1244,English,A,0,"[0.9783490300178528, 0.9592108726501465, 0.8725202083587646, 0.9583063125610352]"
S2,mbert,zero-shot,ENG0463,English,A,0,"[0.9828678965568542, 0.9713887572288513, 0.8898730278015137, 0.8629902601242065]"
S2,mbert,zero-shot,ENG0663,English,D,0,"[0.7767020463943481, 0.8290345668792725, 0.7846276164054871, 0.8692359328269958]"
S2,mbert,zero-shot,ENG1785,English,B,1,"[0.3593755066394806, 1.0, 0.343693345785141, 0.36198732256889343]"
S2,mbert,zero-shot,ENG1032,English,B,0,"[0.6698207855224609, 0.7049175500869751, 0.6791929006576538, 0.661846399307251]"
S2,mbert,zero-shot,ENG1771,English,D,1,"[0.529872715473175, 0.5524591207504272, 0.5584497451782227, 0.730721652507782]"
S2,mbert,zero-shot,ENG1628,English,A,1,"[1.0000001192092896, 0.35793647170066833, 0.3497020900249481, 0.3577345609664917]"
S2,mbert,zero-shot,ENG2018,English,C,0,"[0.7479510307312012, 0.6041148900985718, 0.8935919404029846, 0.7651945352554321]"
S2,mbert,zero-shot,ENG1923,English,A,0,"[0.6709141731262207, 0.5239481329917908, 0.5664002299308777, 0.4730988144874573]"
S2,mbert,zero-shot,ENG0313,English,D,1,"[0.3487868905067444, 0.3617185950279236, 0.3509378731250763, 1.0]"
S2,mbert,zero-shot,ENG2189,English,A,1,"[0.8407127261161804, 0.5312029719352722, 0.8172860741615295, 0.7951432466506958]"
S2,mbert,zero-shot,ENG1876,English,C,0,"[0.913246214389801, 0.56159508228302, 0.9671584367752075, 0.868841826915741]"
S2,mbert,zero-shot,ENG1655,English,D,0,"[0.8909237384796143, 0.9217003583908081, 0.7639424204826355, 0.9821118116378784]"
S2,mbert,zero-shot,ENG1321,English,A,0,"[0.7503737211227417, 0.7052049040794373, 0.6306155323982239, 0.6315997242927551]"
S2,mbert,zero-shot,ENG1010,English,C,0,"[0.7421107888221741, 0.6216888427734375, 0.7479559779167175, 0.6358224749565125]"
S2,mbert,zero-shot,ENG0370,English,B,1,"[0.42449942231178284, 0.9999999403953552, 0.4280199408531189, 0.42955416440963745]"
S2,mbert,zero-shot,ENG0109,English,C,1,"[0.6433773636817932, 0.6528695225715637, 0.845744252204895, 0.7063761353492737]"
S2,mbert,zero-shot,ENG1944,English,A,0,"[0.6640555262565613, 0.5900172591209412, 0.5646172761917114, 0.6281898021697998]"
S2,mbert,zero-shot,ENG0450,English,C,0,"[0.8265118598937988, 0.7471736073493958, 0.8920905590057373, 0.6554296612739563]"
S2,mbert,zero-shot,ENG0928,English,D,0,"[0.7481808662414551, 0.7821344137191772, 0.7720034122467041, 0.8197717666625977]"
S2,mbert,zero-shot,ENG2124,English,C,1,"[0.2780151963233948, 0.29004937410354614, 1.0, 0.27819404006004333]"
S2,mbert,zero-shot,ENG0498,English,D,1,"[0.306913286447525, 0.31095513701438904, 0.3019832968711853, 1.0000001192092896]"
S2,mbert,zero-shot,ENG1133,English,A,1,"[0.9301952719688416, 0.7644279599189758, 0.8527086973190308, 0.8532875776290894]"
S2,mbert,zero-shot,ENG1644,English,B,1,"[0.5973671674728394, 0.8127330541610718, 0.6150693893432617, 0.6399896740913391]"
S2,mbert,zero-shot,MID0381,Arabic,A,1,"[0.471811443567276, 0.41799238324165344, 0.4099169373512268, 0.41866764426231384]"
S2,mbert,zero-shot,MID0854,Arabic,D,0,"[0.5154985189437866, 0.45887669920921326, 0.5161624550819397, 0.5416271686553955]"
S2,mbert,zero-shot,MID0356,Arabic,C,1,"[0.35764947533607483, 0.39343011379241943, 0.4011261761188507, 0.3472762107849121]"
