sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
786,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"[""A single sign does not mean that a major change has occurred."", ""To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting."", ""As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.""]",False,S1,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",A single sign does not mean that a major change has occurred.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,D
520,English,Love is without reason,You can’t explain why people fall in love with each other.,"[""It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things."", ""Without supervision, people misbehave."", ""Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.""]",False,S1,You can’t explain why people fall in love with each other.,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"Without supervision, people misbehave.",Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,A
778,English,Every law has a loophole,"If one tries hard enough, they can find their way ar ound any law or rule.","[""Don't be hasty in evaluating one's assets."", ""People are more likely to believe in a foreign expert than one from their own kin."", ""Rescued at the last moment.""]",False,S1,Don't be hasty in evaluating one's assets.,People are more likely to believe in a foreign expert than one from their own kin.,Rescued at the last moment.,"If one tries hard enough, they can find their way ar ound any law or rule.",D
ENG0867,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,"[""One who imitat es a desired quality with confidence will eventually realize that quality."", ""As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes."", ""If you have a lot of options, but they are all bad, it is the same as having few or no options at all.""]",False,S1,One should not criticize others for faults similar to one's own and risk retaliation.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",One who imitat es a desired quality with confidence will eventually realize that quality.,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",A
304,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","[""It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things."", ""A person cannot divide their loyalties or pursue two contradictory goals."", ""All kinds of people fall in love regardless of their social or financial status.""]",False,S1,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,A person cannot divide their loyalties or pursue two contradictory goals.,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",All kinds of people fall in love regardless of their social or financial status.,C
878,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,"[""Something beautiful or amazing can easily be followed by something mundane or foolish."", ""Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required."", ""Being desperate may lead you to do illegal things.""]",False,S1,People are more likely to believe in a foreign expert than one from their own kin.,Being desperate may lead you to do illegal things.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",Something beautiful or amazing can easily be followed by something mundane or foolish.,A
1048,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","[""Spoil someone's plans."", ""Rescued at the last moment."", ""Very expensive.""]",False,S1,Rescued at the last moment.,Very expensive.,Spoil someone's plans.,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",D
847,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,"[""Those with the most strength or power think they can do whatever they want."", ""Spoil someone's plans."", ""When people get authority and influence with less accountability, they tend to use that influence in their own interests.""]",False,S1,Make sure your own debts are paid before lending to others.,Those with the most strength or power think they can do whatever they want.,Spoil someone's plans.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",A
32,English,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","[""Being desperate may lead you to do illegal things."", ""The agent of ruin or woe."", ""A single sign does not mean that a major change has occurred.""]",False,S1,A single sign does not mean that a major change has occurred.,Being desperate may lead you to do illegal things.,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",The agent of ruin or woe.,C
ENG1507,English,When the cat's away the mice will play.,"Without supervision, people misbehave.","[""If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well."", ""When people get authority and influence with less accountability, they tend to use that influence in their own interests."", ""Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.""]",False,S1,"Without supervision, people misbehave.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,A
197,English,Fake it until you make it,One who imitat es a desired quality with confidence will eventually realize that quality.,"[""Being married can either help or hinder you in your life."", ""Mistakes or mishaps are inevitable."", ""Heaven is more kind to the weak.""]",False,S1,One who imitat es a desired quality with confidence will eventually realize that quality.,Mistakes or mishaps are inevitable.,Heaven is more kind to the weak.,Being married can either help or hinder you in your life.,A
69,English,Power corrupts,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","[""Successful people tend to attract followers, while the less fortunate get left behind ."", ""Being married can either help or hinder you in your life."", ""Rescued at the last moment.""]",False,S1,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","Successful people tend to attract followers, while the less fortunate get left behind .",Rescued at the last moment.,Being married can either help or hinder you in your life.,A
ENG0610,English,Don’t throw the baby out with the bathwater,Avoid discarding valuables.,"[""As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes."", ""When people get authority and influence with less accountability, they tend to use that influence in their own interests."", ""Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.""]",False,S1,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Avoid discarding valuables.,D
ENG0025,English,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you.","[""Successful people tend to attract followers, while the less fortunate get left behind ."", ""Honor is more important than life itself."", ""If one tries hard enough, they can find their way ar ound any law or rule.""]",False,S1,"If one tries hard enough, they can find their way ar ound any law or rule.","If you carry out your plans boldly, luck is more likely to favor you.","Successful people tend to attract followers, while the less fortunate get left behind .",Honor is more important than life itself.,B
ENG0794,English,Never go to bed on an argument,Resolve disputes before sleeping.,"[""People are more likely to believe in a foreign expert than one from their own kin."", ""Heaven is more kind to the weak."", ""It is important to think of the needs of others, not only your own.""]",False,S1,People are more likely to believe in a foreign expert than one from their own kin.,"It is important to think of the needs of others, not only your own.",Resolve disputes before sleeping.,Heaven is more kind to the weak.,C
985,English,From the sublime to the ridiculous is but a step,Something beautiful or amazing can easily be followed by something mundane or foolish.,"[""If you begin to feel sorry for someone, you may start to love them."", ""It is important to think of the needs of others, not only your own."", ""Happiness is fleeting.""]",False,S1,"It is important to think of the needs of others, not only your own.","If you begin to feel sorry for someone, you may start to love them.",Happiness is fleeting.,Something beautiful or amazing can easily be followed by something mundane or foolish.,D
ENG0097,English,Saved by the bell.,Rescued at the last moment.,"[""Those with the most strength or power think they can do whatever they want."", ""Happiness is fleeting."", ""Good fortune sometimes comes to people who can no longer use it or enjoy it.""]",False,S1,Rescued at the last moment.,Those with the most strength or power think they can do whatever they want.,Happiness is fleeting.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,A
358,English,One swallow does not make a summer,A single sign does not mean that a major change has occurred.,"[""The agent of ruin or woe."", ""One who imitat es a desired quality with confidence will eventually realize that quality."", ""It is important to think of the needs of others, not only your own.""]",False,S1,One who imitat es a desired quality with confidence will eventually realize that quality.,The agent of ruin or woe.,A single sign does not mean that a major change has occurred.,"It is important to think of the needs of others, not only your own.",C
ENG0527,English,Accidents will happen,Mistakes or mishaps are inevitable.,"[""Nothing is for free."", ""The agent of ruin or woe."", ""Without supervision, people misbehave.""]",False,S1,Nothing is for free.,Mistakes or mishaps are inevitable.,"Without supervision, people misbehave.",The agent of ruin or woe.,B
842,English,"If you're not paying, you're the product",Nothing is for free.,"[""Avoid discarding valuables."", ""Honor is more important than life itself."", ""Spoil someone's plans.""]",False,S1,Nothing is for free.,Spoil someone's plans.,Avoid discarding valuables.,Honor is more important than life itself.,A
ENG0372,English,Might is right.,Those with the most strength or power think they can do whatever they want.,"[""Don't be hasty in evaluating one's assets."", ""Translating a sentence perfectly from one language to another is technically impossible."", ""If you carry out your plans boldly, luck is more likely to favor you.""]",False,S1,Don't be hasty in evaluating one's assets.,"If you carry out your plans boldly, luck is more likely to favor you.",Those with the most strength or power think they can do whatever they want.,Translating a sentence perfectly from one language to another is technically impossible.,C
ENG0342,English,Liars need good memories.,People who do not tell the truth must be careful to remember what they say.,"[""What is forbidden is the most tempting."", ""If you begin to feel sorry for someone, you may start to love them."", ""Honor is more important than life itself.""]",False,S1,"If you begin to feel sorry for someone, you may start to love them.",People who do not tell the truth must be careful to remember what they say.,What is forbidden is the most tempting.,Honor is more important than life itself.,B
1067,English,Love lives in cottages as well as in courts,All kinds of people fall in love regardless of their social or financial status.,"[""Mistakes or mishaps are inevitable."", ""Good fortune sometimes comes to people who can no longer use it or enjoy it."", ""It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.""]",False,S1,All kinds of people fall in love regardless of their social or financial status.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",Mistakes or mishaps are inevitable.,A
1160,English,Rather death than shame,Honor is more important than life itself.,"[""All kinds of people fall in love regardless of their social or financial status."", ""It is important to think of the needs of others, not only your own."", ""Translating a sentence perfectly from one language to another is technically impossible.""]",False,S1,"It is important to think of the needs of others, not only your own.",All kinds of people fall in love regardless of their social or financial status.,Honor is more important than life itself.,Translating a sentence perfectly from one language to another is technically impossible.,C
342,English,Everybody loves a winner,"Successful people tend to attract followers, while the less fortunate get left behind .","[""Being desperate may lead you to do illegal things."", ""Being married can either help or hinder you in your life."", ""All kinds of people fall in love regardless of their social or financial status.""]",False,S1,All kinds of people fall in love regardless of their social or financial status.,Being married can either help or hinder you in your life.,"Successful people tend to attract followers, while the less fortunate get left behind .",Being desperate may lead you to do illegal things.,C
210,English,Speak softly and carry a big stick,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.","[""Being desperate may lead you to do illegal things."", ""Mistakes or mishaps are inevitable."", ""Honor is more important than life itself.""]",False,S1,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",Mistakes or mishaps are inevitable.,Honor is more important than life itself.,Being desperate may lead you to do illegal things.,A
101,English,Forbidden fruit is the sweetest.,"When something is not allowed, we are more tempted to it.","[""To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting."", ""Resolve disputes before sleeping."", ""Rescued at the last moment.""]",False,S1,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","When something is not allowed, we are more tempted to it.",Rescued at the last moment.,Resolve disputes before sleeping.,B
1182,English,The gods send nuts to those who have no teeth,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"[""The agent of ruin or woe."", ""It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are."", ""When people get authority and influence with less accountability, they tend to use that influence in their own interests.""]",False,S1,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","When people get authority and influence with less accountability, they tend to use that influence in their own interests.",The agent of ruin or woe.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,D
168,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"[""Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required."", ""Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it."", ""Resolve disputes before sleeping.""]",False,S1,Resolve disputes before sleeping.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,B
432,English,Pity is akin to love.,"If you begin to feel sorry for someone, you may start to love them.","[""When people get authority and influence with less accountability, they tend to use that influence in their own interests."", ""Being married can either help or hinder you in your life."", ""Good fortune sometimes comes to people who can no longer use it or enjoy it.""]",False,S1,"If you begin to feel sorry for someone, you may start to love them.",Being married can either help or hinder you in your life.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",A
ENG0453,English,Stolen fruit is sweet,What is forbidden is the most tempting.,"[""It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are."", ""Great tasks take time, hard work and perseverance."", ""It is better to be cautious and discreet than to try to be funny.""]",False,S1,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","Great tasks take time, hard work and perseverance.",What is forbidden is the most tempting.,It is better to be cautious and discreet than to try to be funny.,C
237,English,The bane of my life,The agent of ruin or woe.,"[""Without supervision, people misbehave."", ""Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required."", ""Resolve disputes before sleeping.""]",False,S1,"Without supervision, people misbehave.",Resolve disputes before sleeping.,The agent of ruin or woe.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",C
976,English,Prosperity makes friends; adversity tries them,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","[""The agent of ruin or woe."", ""It is better to be cautious and discreet than to try to be funny."", ""A single sign does not mean that a major change has occurred.""]",False,S1,A single sign does not mean that a major change has occurred.,The agent of ruin or woe.,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",It is better to be cautious and discreet than to try to be funny.,C
ENG0417,English,ounce of discretion is worth a pound of wit.,It is better to be cautious and discreet than to try to be funny.,"[""Without supervision, people misbehave."", ""You can’t explain why people fall in love with each other."", ""One should not criticize others for faults similar to one's own and risk retaliation.""]",False,S1,One should not criticize others for faults similar to one's own and risk retaliation.,It is better to be cautious and discreet than to try to be funny.,"Without supervision, people misbehave.",You can’t explain why people fall in love with each other.,B
388,English,He that is not with me is against me,Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,"[""As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes."", ""If you have a lot of options, but they are all bad, it is the same as having few or no options at all."", ""It is important to think of the needs of others, not only your own.""]",False,S1,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","It is important to think of the needs of others, not only your own.","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,D
123,English,Rome was not built in a day.,"Great tasks take time, hard work and perseverance.","[""All kinds of people fall in love regardless of their social or financial status."", ""Successful people tend to attract followers, while the less fortunate get left behind ."", ""Very expensive.""]",False,S1,Very expensive.,All kinds of people fall in love regardless of their social or financial status.,"Successful people tend to attract followers, while the less fortunate get left behind .","Great tasks take time, hard work and perseverance.",D
424,English,Necessity knows no law,Being desperate may lead you to do illegal things.,"[""If you begin to feel sorry for someone, you may start to love them."", ""If you have a lot of options, but they are all bad, it is the same as having few or no options at all."", ""Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.""]",False,S1,"If you begin to feel sorry for someone, you may start to love them.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",Being desperate may lead you to do illegal things.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,C
242,English,Every horse thinks its own pack is heaviest,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,"[""You can’t explain why people fall in love with each other."", ""Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it."", ""If you begin to feel sorry for someone, you may start to love them.""]",False,S1,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,"If you begin to feel sorry for someone, you may start to love them.",Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,You can’t explain why people fall in love with each other.,A
ENG0010,English,{Costs an arm and a leg},Very expensive.,"[""Don't be hasty in evaluating one's assets."", ""Rescued at the last moment."", ""If you carry out your plans boldly, luck is more likely to favor you.""]",False,S1,Very expensive.,Rescued at the last moment.,"If you carry out your plans boldly, luck is more likely to favor you.",Don't be hasty in evaluating one's assets.,A
1030,English,Call no man happy till he is dead,Happiness is fleeting.,"[""Very expensive."", ""We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others."", ""Mistakes or mishaps are inevitable.""]",False,S1,Mistakes or mishaps are inevitable.,Happiness is fleeting.,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,Very expensive.,B
MID0381,Arabic,اللي ما رضى خببزة يرضى بنصها ,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,"[""Every dog has its day."", ""This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people."", ""Prohibition may increase people's desire to obtain or experience the forbidden thing.""]",False,S1,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,Every dog has its day.,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.",A
MID0051,Arabic,إنك تضرب في حديد بارد,You’re trying to change something that you can’t.,"[""It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite."", ""It means that communication with people should be done according to their level of understanding and intellect."", ""Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.""]",False,S1,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.",It means that communication with people should be done according to their level of understanding and intellect.,You’re trying to change something that you can’t.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,C
MID0356,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.","[""It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: \""Birds of one kind and colour always fly in one flock\"", the phrase was slightly different than it is today, but the main meaning is the same."", ""It is a popular proverb used to emphasize the need to save and avoid extravagance."", ""Someone is a natural.""]",False,S1,Someone is a natural.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.",It is a popular proverb used to emphasize the need to save and avoid extravagance.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",D
MID0358,Arabic,الصديق وقت الضيق.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,"[""It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides."", ""It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities)"", ""This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.""]",False,S1,It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.","It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,D
MID0363,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,This proverb is used to describe a person who is ungrateful and betrays others.,"[""Everyone who was arrogant became mean, and everyone who was carefree migrated to the city."", ""This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. "", ""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.""]",False,S1,"Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.",This proverb is used to describe a person who is ungrateful and betrays others.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,B
