sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info
ENG0025,English,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you.","If you carry out your plans boldly, luck is more likely to favor you.","[""Only people who take risks will ever become rich."", ""Bravery guarantees success in all situations."", ""Fortune only rewards those who follow tradition.""]",False,S2,"If you carry out your plans boldly, luck is more likely to favor you.",Only people who take risks will ever become rich.,Bravery guarantees success in all situations.,Fortune only rewards those who follow tradition.,A,1,generated
ENG0794,English,Never go to bed on an argument,Resolve disputes before sleeping.,Resolve disputes before sleeping.,"[""Ignore conflicts to avoid stress."", ""Arguments are more important than sleep."", ""Sleeping through arguments is beneficial.""]",False,S2,Arguments are more important than sleep.,Ignore conflicts to avoid stress.,Sleeping through arguments is beneficial.,Resolve disputes before sleeping.,D,1,generated
985,English,From the sublime to the ridiculous is but a step,Something beautiful or amazing can easily be followed by something mundane or foolish.,Something beautiful or amazing can easily be followed by something mundane or foolish.,"[""A great idea will always lead to an even greater result."", ""Only foolish people can appreciate beautiful things."", ""Sublime and ridiculous are the same thing.""]",False,S2,Something beautiful or amazing can easily be followed by something mundane or foolish.,Only foolish people can appreciate beautiful things.,Sublime and ridiculous are the same thing.,A great idea will always lead to an even greater result.,A,1,generated
ENG0097,English,Saved by the bell.,Rescued at the last moment.,Rescued at the last moment.,"[""Taught a valuable lesson."", ""Caught in a mistake."", ""Warned in advance.""]",False,S2,Taught a valuable lesson.,Caught in a mistake.,Rescued at the last moment.,Warned in advance.,C,1,generated
358,English,One swallow does not make a summer,A single sign does not mean that a major change has occurred.,A single sign does not mean that a major change has occurred.,"[""Having one success guarantees overall victory."", ""A single event is enough proof for a pattern."", ""One experience can define an entire season.""]",False,S2,One experience can define an entire season.,A single sign does not mean that a major change has occurred.,A single event is enough proof for a pattern.,Having one success guarantees overall victory.,B,1,generated
ENG0527,English,Accidents will happen,Mistakes or mishaps are inevitable.,Mistakes or mishaps are inevitable.,"[""Accidents are caused by carelessness."", ""Only serious injuries are considered accidents."", ""Accidents only happen to certain people.""]",False,S2,Accidents are caused by carelessness.,Mistakes or mishaps are inevitable.,Accidents only happen to certain people.,Only serious injuries are considered accidents.,B,1,generated
842,English,"If you're not paying, you're the product","If you're not paying, you're the product",Nothing is for free.,"[""Money can't buy happiness"", ""You get what you pay for"", ""The customer is always right""]",False,S2,Money can't buy happiness,You get what you pay for,"If you're not paying, you're the product",The customer is always right,C,1,generated
ENG0372,English,Might is right.,Those with the most strength or power think they can do whatever they want.,Those with the most strength or power think they can do whatever they want.,"[""People who are physically strong are always morally correct."", ""Right actions are determined by how many people support them."", ""Only those who are the most intelligent can make the right decisions.""]",False,S2,Right actions are determined by how many people support them.,Only those who are the most intelligent can make the right decisions.,People who are physically strong are always morally correct.,Those with the most strength or power think they can do whatever they want.,D,1,generated
ENG0342,English,Liars need good memories.,People who do not tell the truth must be careful to remember what they say.,People who do not tell the truth must be careful to remember what they say.,"[""Lying helps improve memory skills over time."", ""Telling the truth requires remembering many details."", ""Only people with bad memories tell lies.""]",False,S2,People who do not tell the truth must be careful to remember what they say.,Telling the truth requires remembering many details.,Only people with bad memories tell lies.,Lying helps improve memory skills over time.,A,1,generated
1067,English,Love lives in cottages as well as in courts,All kinds of people fall in love regardless of their social or financial status.,All kinds of people fall in love regardless of their social or financial status.,"[""Love is only found in simple homes and not in fancy places."", ""People who live in cities cannot experience true love."", ""Love only exists in wealthy and powerful families.""]",False,S2,All kinds of people fall in love regardless of their social or financial status.,Love only exists in wealthy and powerful families.,Love is only found in simple homes and not in fancy places.,People who live in cities cannot experience true love.,A,1,generated
1160,English,Rather death than shame,Honor is more important than life itself.,Honor is more important than life itself.,"[""It is better to live in shame than to die."", ""Shame is preferable to death in certain situations."", ""Death is the greatest fear one can have.""]",False,S2,Shame is preferable to death in certain situations.,It is better to live in shame than to die.,Honor is more important than life itself.,Death is the greatest fear one can have.,C,1,generated
342,English,Everybody loves a winner,"Successful people tend to attract followers, while the less fortunate get left behind","Successful people tend to attract followers, while the less fortunate get left behind .","[""People only care about winning in sports"", ""Everyone is naturally talented at something"", ""Winners are always happier than others""]",False,S2,Everyone is naturally talented at something,"Successful people tend to attract followers, while the less fortunate get left behind",Winners are always happier than others,People only care about winning in sports,B,1,generated
210,English,Speak softly and carry a big stick,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.","Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.","[""It means that one should always be loud and aggressive to avoid being taken advantage of."", ""It means that it's best to hide one's strength and never show any signs of power."", ""It means that words are more powerful than physical force and should always be used instead.""]",False,S2,It means that it's best to hide one's strength and never show any signs of power.,It means that words are more powerful than physical force and should always be used instead.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",It means that one should always be loud and aggressive to avoid being taken advantage of.,C,1,generated
101,English,Forbidden fruit is the sweetest.,"When something is not allowed, we are more tempted to it.","When something is not allowed, we are more tempted to it.","[""People enjoy eating fruit that is illegal to grow."", ""Banned foods taste better than allowed ones."", ""Fruit that is hidden is usually of higher quality.""]",False,S2,"When something is not allowed, we are more tempted to it.",Banned foods taste better than allowed ones.,People enjoy eating fruit that is illegal to grow.,Fruit that is hidden is usually of higher quality.,A,1,generated
1182,English,The gods send nuts to those who have no teeth,Good fortune sometimes comes to people who can no longer use it or enjoy it.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"[""People who work hard will always be rewarded by fate."", ""Those who are unprepared will still receive blessings from above."", ""Good things happen to those who are the most deserving.""]",False,S2,Good things happen to those who are the most deserving.,Those who are unprepared will still receive blessings from above.,People who work hard will always be rewarded by fate.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,D,1,generated
168,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"[""Having a good thing means you will always have bad luck afterward."", ""Only bad things can be overused, good things can never be too much."", ""You should always avoid good things to prevent problems.""]",False,S2,"Only bad things can be overused, good things can never be too much.",Having a good thing means you will always have bad luck afterward.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,You should always avoid good things to prevent problems.,C,1,generated
432,English,Pity is akin to love.,"If you begin to feel sorry for someone, you may start to love them.","If you begin to feel sorry for someone, you may start to love them.","[""Feeling pity for someone will make them hate you."", ""Love cannot exist without pity."", ""Pity is stronger than love in all situations.""]",False,S2,"If you begin to feel sorry for someone, you may start to love them.",Love cannot exist without pity.,Feeling pity for someone will make them hate you.,Pity is stronger than love in all situations.,A,1,generated
ENG0453,English,Stolen fruit is sweet,What is forbidden is the most tempting.,What is forbidden is the most tempting.,"[""Taking what is not yours always brings joy."", ""Things obtained quickly are the most satisfying."", ""Eating fruit you haven't paid for feels better.""]",False,S2,What is forbidden is the most tempting.,Things obtained quickly are the most satisfying.,Taking what is not yours always brings joy.,Eating fruit you haven't paid for feels better.,A,1,generated
237,English,The bane of my life,The agent of ruin or woe,The agent of ruin or woe.,"[""The source of my greatest joy"", ""A temporary annoyance in my day"", ""A symbol of my past achievements""]",False,S2,A symbol of my past achievements,The agent of ruin or woe,A temporary annoyance in my day,The source of my greatest joy,B,1,generated
976,English,Prosperity makes friends; adversity tries them,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","[""Friends are only useful during good times and should be ignored during hard times."", ""Adversity is better than prosperity because it brings more genuine relationships."", ""Prosperity is the best way to test the strength of a friendship.""]",False,S2,Adversity is better than prosperity because it brings more genuine relationships.,Friends are only useful during good times and should be ignored during hard times.,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",Prosperity is the best way to test the strength of a friendship.,C,1,generated
ENG0417,English,ounce of discretion is worth a pound of wit.,It is better to be cautious and discreet than to try to be funny.,It is better to be cautious and discreet than to try to be funny.,"[""Humor is more valuable than careful thinking in difficult situations."", ""A small amount of intelligence is as good as a lot of carefulness."", ""Wit is more important than being careful in most situations.""]",False,S2,Wit is more important than being careful in most situations.,A small amount of intelligence is as good as a lot of carefulness.,Humor is more valuable than careful thinking in difficult situations.,It is better to be cautious and discreet than to try to be funny.,D,1,generated
388,English,He that is not with me is against me,Some people take the stand that if someone is not supportive of their cause then they automatically consider them to be against it.,Some people take the stand that if someone is not supportive of their cause then they automatic ally consider them to be against it.,"[""It means that everyone must actively support you or they are considered neutral."", ""This saying suggests that only those who are vocal about their support are truly allies."", ""The phrase implies that silence from others is a sign of agreement with your views.""]",False,S2,This saying suggests that only those who are vocal about their support are truly allies.,Some people take the stand that if someone is not supportive of their cause then they automatically consider them to be against it.,It means that everyone must actively support you or they are considered neutral.,The phrase implies that silence from others is a sign of agreement with your views.,B,1,generated
123,English,Rome was not built in a day.,"Great tasks take time, hard work and perseverance.","Great tasks take time, hard work and perseverance.","[""Rome is a very old city that should be preserved."", ""The people of Rome worked very quickly to build their city."", ""Only the strongest materials can build something lasting.""]",False,S2,Rome is a very old city that should be preserved.,The people of Rome worked very quickly to build their city.,"Great tasks take time, hard work and perseverance.",Only the strongest materials can build something lasting.,C,1,generated
424,English,Necessity knows no law,Being desperate may lead you to do illegal things.,Being desperate may lead you to do illegal things.,"[""Laws are unnecessary in times of need."", ""Necessity always follows the law closely."", ""Only the wealthy can ignore the law.""]",False,S2,Only the wealthy can ignore the law.,Laws are unnecessary in times of need.,Being desperate may lead you to do illegal things.,Necessity always follows the law closely.,C,1,generated
242,English,Every horse thinks its own pack is heaviest,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,"[""People are always trying to outdo each other in terms of physical strength."", ""It is better to compare ourselves to others to determine who is working harder."", ""Horses are naturally competitive and do not trust each other's workloads.""]",False,S2,Horses are naturally competitive and do not trust each other's workloads.,People are always trying to outdo each other in terms of physical strength.,It is better to compare ourselves to others to determine who is working harder.,We think that we work the hardest. This is also called responsibility bias: People tend to overvalue their own contributions and undervalue contributions of others.,D,1,generated
ENG0010,English,{Costs an arm and a leg},Very expensive,Very expensive.,"[""Very time-consuming"", ""Causes physical harm"", ""Requires great effort""]",False,S2,Very time-consuming,Requires great effort,Causes physical harm,Very expensive,D,1,generated
1030,English,Call no man happy till he is dead,Happiness is fleeting.,Happiness is fleeting.,"[""Only the dead can be truly happy."", ""People pretend to be happy when they're alive."", ""It's best to avoid celebrating others' happiness.""]",False,S2,Only the dead can be truly happy.,Happiness is fleeting.,People pretend to be happy when they're alive.,It's best to avoid celebrating others' happiness.,B,1,generated
MID0381,Arabic,اللي ما رضى خببزة يرضى بنصها,إنه مثال على الشخص الذي لا يرضى بما قسمه الله له ويضطر في النهاية لقبول أقل,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,"[""هو تذكير بأن الممتلئ يبحث دائمًا عن مزيد من المكاسب"", ""يُشير إلى أن التواضع يجلب الحظ السعيد في الحياة"", ""يتحدث عن ضرورة تجنب النزاعات لضمان الاستقرار""]",False,S2,يتحدث عن ضرورة تجنب النزاعات لضمان الاستقرار,يُشير إلى أن التواضع يجلب الحظ السعيد في الحياة,هو تذكير بأن الممتلئ يبحث دائمًا عن مزيد من المكاسب,إنه مثال على الشخص الذي لا يرضى بما قسمه الله له ويضطر في النهاية لقبول أقل,D,1,generated
MID0051,Arabic,إنك تضرب في حديد بارد,إنك تضرب في حديد بارد يعني: أنت تحاول تغيير شيء لا يمكنك تغييره.,You’re trying to change something that you can’t.,"[""هذا المثل يُستخدم عندما ينجح الشخص في إقناع شخص صعب."", ""يعني أن الشخص يعمل بجد دون أي مقاومة."", ""هذا يدل على أنك تبدأ مشروعًا جديدًا بحماس كبير.""]",False,S2,إنك تضرب في حديد بارد يعني: أنت تحاول تغيير شيء لا يمكنك تغييره.,هذا المثل يُستخدم عندما ينجح الشخص في إقناع شخص صعب.,هذا يدل على أنك تبدأ مشروعًا جديدًا بحماس كبير.,يعني أن الشخص يعمل بجد دون أي مقاومة.,A,1,generated
MID0356,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,إصرف ما في الجيب يأتيك ما في الغيب يعني أن إنفاقك حالياً سيعود عليك بالنفع من مصدر غير متوقع، ويعكس ثقة بالله.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.","[""إصرف ما في الجيب يأتيك ما في الغيب يعني أن عليك الانتظار حتى يعطيك الله المال من مكان مجهول."", ""إصرف ما في الجيب يأتيك ما في الغيب يعني أن إنفاقك يجلب لك الحظ العشوائي دون تدخلك."", ""إصرف ما في الجيب يأتيك ما في الغيب يعني أن المال الذي تصرفه يعود إليك بشكل سري.""]",False,S2,إصرف ما في الجيب يأتيك ما في الغيب يعني أن المال الذي تصرفه يعود إليك بشكل سري.,إصرف ما في الجيب يأتيك ما في الغيب يعني أن إنفاقك يجلب لك الحظ العشوائي دون تدخلك.,إصرف ما في الجيب يأتيك ما في الغيب يعني أن عليك الانتظار حتى يعطيك الله المال من مكان مجهول.,إصرف ما في الجيب يأتيك ما في الغيب يعني أن إنفاقك حالياً سيعود عليك بالنفع من مصدر غير متوقع، ويعكس ثقة بالله.,D,1,generated
MID0358,Arabic,الصديق وقت الضيق.,الصديق وقت الضيق يعني أن الصديق الحقيقي هو الذي يدعمك عندما تواجه الصعوبات والمشاكل في الحياة.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,"[""الصديق وقت الضيق يعني أن الصديق يكون صديقًا فقط عندما تكون بحاجة إليه وليس في الأوقات العادية."", ""الصديق وقت الضيق يعني أن الصديق الحقيقي هو الذي ينصحك بالوقت المناسب فقط."", ""الصديق وقت الضيق يعني أن الصداقة تُقيَّم بناءً على مدى معرفتك بالصديق وليس على الدعم في الأوقات الصعبة.""]",False,S2,الصديق وقت الضيق يعني أن الصديق الحقيقي هو الذي يدعمك عندما تواجه الصعوبات والمشاكل في الحياة.,الصديق وقت الضيق يعني أن الصديق يكون صديقًا فقط عندما تكون بحاجة إليه وليس في الأوقات العادية.,الصديق وقت الضيق يعني أن الصداقة تُقيَّم بناءً على مدى معرفتك بالصديق وليس على الدعم في الأوقات الصعبة.,الصديق وقت الضيق يعني أن الصديق الحقيقي هو الذي ينصحك بالوقت المناسب فقط.,A,1,generated
MID0363,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,يُستخدم هذا المثل لوصف الشخص الذي لا يشكر ويخون الآخرين.,This proverb is used to describe a person who is ungrateful and betrays others.,"[""يُستخدم هذا المثل لوصف الشخص الذي دائم التردد وعدم اتخاذ قرارات."", ""يُستخدم هذا المثل لوصف الشخص الذي يحب التدخل في شؤون الآخرين."", ""يُستخدم هذا المثل لوصف الشخص الذي ينسى أصدقائه عندما ينجح.""]",False,S2,يُستخدم هذا المثل لوصف الشخص الذي دائم التردد وعدم اتخاذ قرارات.,يُستخدم هذا المثل لوصف الشخص الذي ينسى أصدقائه عندما ينجح.,يُستخدم هذا المثل لوصف الشخص الذي يحب التدخل في شؤون الآخرين.,يُستخدم هذا المثل لوصف الشخص الذي لا يشكر ويخون الآخرين.,D,1,generated
MID0487,Arabic,وِجّو بيقطع الرزق,هذا المثل يشير إلى الأشخاص غير المحظوظين.,This phrase is said to refer to the unlucky people.,"[""هذا المثل يُستخدم للتعبير عن الأشخاص الذين يبذرون مالهم بلا طائل."", ""هذا المثل يُقصد به الأشخاص الذين يعانون من نقص في الوقت."", ""هذا المثل يُشير إلى الأشخاص الذين يهتمون بسمعة الآخرين.""]",False,S2,هذا المثل يشير إلى الأشخاص غير المحظوظين.,هذا المثل يُشير إلى الأشخاص الذين يهتمون بسمعة الآخرين.,هذا المثل يُقصد به الأشخاص الذين يعانون من نقص في الوقت.,هذا المثل يُستخدم للتعبير عن الأشخاص الذين يبذرون مالهم بلا طائل.,A,1,generated
MID0705,Arabic,إطعم الفم تستحى العين.,إطعم الفم تستحى العين,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.","[""إذا أعطيت للشخص ما، فإنه سيحترمك أكثر."", ""كلما أطعمت فمك بالطعام، تزداد نظرة عينك جمالًا."", ""إذا أعطيت شخصًا طعامًا، فإنه يشكرك بعينه.""]",False,S2,إذا أعطيت شخصًا طعامًا، فإنه يشكرك بعينه.,إطعم الفم تستحى العين,كلما أطعمت فمك بالطعام، تزداد نظرة عينك جمالًا.,إذا أعطيت للشخص ما، فإنه سيحترمك أكثر.,B,1,generated
