task,strategy,language,sample_id,source_proverb,proverb_en,correct_meaning,cultural_context_available,Choice_A,Choice_B,Choice_C,Choice_D,Answer,distractor_1,distractor_2,distractor_3,raw_response,parse,complete,len_r,distinct,quality
b,cot_xl,Arabic,MID0020,إذا هبّت رياحك فاغتنمها,Make hay while the sun shines.,"This proverb is quoted from a line of poetry, urging people to seize opportunities if they are available. The Arabs used to rely on this proverb in sorting out crops and grains such as barley and wheat, as they relied on the winds to separate the wheat from the straw. Just as sailors relied on the winds and their directions in order to move their sailing ships, these ships were a means for them to move between countries, and were not a means of luxury and comfort.",True,"The proverb 'إذا هبّت رياحك فاغتنمها' is a warning about the dangers of excessive use of scented candles and incense. When the wind blows, it carries the fragrances to the wrong places, causing discomfort to others.","In Arabic culture, the 'رياح' is a symbol of good fortune and prosperity, and the proverb is urging people to decorate their homes and businesses with wind chimes and other ornaments to attract more luck.","The Arabic proverb 'إذا هبّت رياحك فاغتنمها' is a reference to the importance of having a strong and healthy nose. A person's 'رياح' or wind refers to the breaths they exhale through their nostrils, and seizing opportunities means to breathe deeply and regularly.","This proverb is quoted from a line of poetry, urging people to seize opportunities if they are available. The Arabs used to rely on this proverb in sorting out crops and grains such as barley and wheat, as they relied on the winds to separate the wheat from the straw. Just as sailors relied on the winds and their directions in order to move their sailing ships, these ships were a means for them to move between countries, and were not a means of luxury and comfort.",D,"The Arabic proverb 'إذا هبّت رياحك فاغتنمها' is a reference to the importance of having a strong and healthy nose. A person's 'رياح' or wind refers to the breaths they exhale through their nostrils, and seizing opportunities means to breathe deeply and regularly.","In Arabic culture, the 'رياح' is a symbol of good fortune and prosperity, and the proverb is urging people to decorate their homes and businesses with wind chimes and other ornaments to attract more luck.","The proverb 'إذا هبّت رياحك فاغتنمها' is a warning about the dangers of excessive use of scented candles and incense. When the wind blows, it carries the fragrances to the wrong places, causing discomfort to others.","[""The Arabic proverb 'إذا هبّت رياحك فاغتنمها' is a reference to the importance of having a strong and healthy nose. A person's 'رياح' or wind refers to the breaths they exhale through their nostrils, and seizing opportunities means to breathe deeply and regularly."", ""In Arabic culture, the 'رياح' is a symbol of good fortune and prosperity, and the proverb is urging people to decorate their homes ",1.0,1.0,0.44,0.8,94.0
b,cot_xl,Arabic,MID0021,إلى حتفي مشت قدمي.,I dug my own grave.,A short phrase that means I strove with all my will to an end that I discovered I had chosen for myself.,True,The speaker has intentionally moved their feet in a hurried manner.,The speaker is describing a physical injury that occurred due to their own clumsiness.,The speaker has taken a long journey on foot.,A short phrase that means I strove with all my will to an end that I discovered I had chosen for myself.,D,The speaker has intentionally moved their feet in a hurried manner.,The speaker is describing a physical injury that occurred due to their own clumsiness.,The speaker has taken a long journey on foot.,"[""wrong 1"": ""The speaker has intentionally moved their feet in a hurried manner."", 
""wrong 2"": ""The speaker is describing a physical injury that occurred due to their own clumsiness."", 
""wrong 3"": ""The speaker has taken a long journey on foot.""]",1.0,1.0,0.52,0.8,94.0
b,cot_xl,Arabic,MID0022,إن البعوضة تدمي مقلة الأسد.,Little enemies and little wounds must not be despised,"""Do not belittle a small person in a quarrel... A mosquito can bleed a lion's eye."" This is a popular proverb that means not to underestimate your enemy or anyone you are in a quarrel with, because a mosquito is the smallest insect in size, but it can sting the lion's eyeball and make it bleed severely, and the lion, with all its strength, cannot do anything to it or harm it at all. There is a verse in the Quran that indicates the same meaning, when God Almighty said, meaning that if a fly takes something from someone, he can never get it back. So, your enemy may have a high ability to harm you and you do not know, so do not belittle anyone, no matter how weak he appears to you.",True,The lion's eyeball is vulnerable to stinging insects due to its unique anatomy.,A mosquito's bite can be an indicator of a lion's poor health.,This proverb suggests that lions are prone to eye diseases.,"""Do not belittle a small person in a quarrel... A mosquito can bleed a lion's eye."" This is a popular proverb that means not to underestimate your enemy or anyone you are in a quarrel with, because a mosquito is the smallest insect in size, but it can sting the lion's eyeball and make it bleed severely, and the lion, with all its strength, cannot do anything to it or harm it at all. There is a verse in the Quran that indicates the same meaning, when God Almighty said, meaning that if a fly takes something from someone, he can never get it back. So, your enemy may have a high ability to harm you and you do not know, so do not belittle anyone, no matter how weak he appears to you.",D,A mosquito's bite can be an indicator of a lion's poor health.,This proverb suggests that lions are prone to eye diseases.,The lion's eyeball is vulnerable to stinging insects due to its unique anatomy.,"[""A mosquito's bite can be an indicator of a lion's poor health."", ""This proverb suggests that lions are prone to eye diseases."", ""The lion's eyeball is vulnerable to stinging insects due to its unique anatomy.""]",1.0,1.0,0.09,0.97,99.1
b,cot_xl,Arabic,MID0023,إن الجبان حتفه من فوقه.,the destiny of a coward comes from over him.,"The proverb indicates that a coward dies faster than a brave man, because death comes to him from where he has no defense. The proverb is used to show the uselessness of caution in the face of fate.",True,"The proverb indicates that a coward dies faster than a brave man, because death comes to him from where he has no defense. The proverb is used to show the uselessness of caution in the face of fate.",A coward's fate is to be ruled by forces beyond their geographical location.,The coward is more likely to be killed by a falling object.,"The destiny of a coward comes from over him, referring to their tendency to look up to people in positions of power.",A,The coward is more likely to be killed by a falling object.,A coward's fate is to be ruled by forces beyond their geographical location.,"The destiny of a coward comes from over him, referring to their tendency to look up to people in positions of power.","[""The coward is more likely to be killed by a falling object."", ""A coward's fate is to be ruled by forces beyond their geographical location."", ""The destiny of a coward comes from over him, referring to their tendency to look up to people in positions of power.""]",1.0,1.0,0.41,0.83,94.9
b,cot_xl,Arabic,MID0024,إنّ الطيور على أشكالها تقع, Birds of a feather flock together.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.",True,This proverb suggests that the bird's physical appearance is a reflection of their true nature.,"If you dress like a bird, you will be accepted by their community.","It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","The phrase is warning people not to fly as a bird, lest they get hurt.",C,"If you dress like a bird, you will be accepted by their community.",This proverb suggests that the bird's physical appearance is a reflection of their true nature.,"The phrase is warning people not to fly as a bird, lest they get hurt.","[""If you dress like a bird, you will be accepted by their community."", ""This proverb suggests that the bird's physical appearance is a reflection of their true nature."", ""The phrase is warning people not to fly as a bird, lest they get hurt.""]",1.0,1.0,0.12,0.91,97.3
b,cot_xl,Arabic,MID0025,إن كان لك عند الكلب حاجة قل له يا سيدي.,"Call the bear “uncle” till, you are safe across the bridge.","
This phrase is often used by some people to encourage using any means necessary to achieve a goal or objective, even if the methods are low or dishonorable.",True,The phrase advises that you should call your enemies 'uncle' to avoid conflict.,"
This phrase is often used by some people to encourage using any means necessary to achieve a goal or objective, even if the methods are low or dishonorable.","In this proverb, the speaker is literally urging someone to be affectionate with a bear until they safely cross a bridge.",This proverb suggests that a bear named 'uncle' has the power to protect you as you cross a bridge.,B,"In this proverb, the speaker is literally urging someone to be affectionate with a bear until they safely cross a bridge.",The phrase advises that you should call your enemies 'uncle' to avoid conflict.,This proverb suggests that a bear named 'uncle' has the power to protect you as you cross a bridge.,"[""In this proverb, the speaker is literally urging someone to be affectionate with a bear until they safely cross a bridge."", ""The phrase advises that you should call your enemies 'uncle' to avoid conflict."", ""This proverb suggests that a bear named 'uncle' has the power to protect you as you cross a bridge.""]",1.0,1.0,0.63,0.83,94.9
b,cot_xl,Arabic,MID0026,إن مع العسر یسرا.,Every cloud has a silver lining.,"It means that after difficulties and problems comes relief and ease. This proverb is used to encourage people to be patient and endure the difficult times, as relief will come later.",True,To literally find a silver lining on a cloud,"It means that after difficulties and problems comes relief and ease. This proverb is used to encourage people to be patient and endure the difficult times, as relief will come later.",One must make an effort to turn their hardships into silver,It is always the wealthy who benefit from clouds,B,To literally find a silver lining on a cloud,One must make an effort to turn their hardships into silver,It is always the wealthy who benefit from clouds,"[""To literally find a silver lining on a cloud"", ""One must make an effort to turn their hardships into silver"", ""It is always the wealthy who benefit from clouds""]",1.0,1.0,0.31,0.96,98.8
b,cot_xl,Arabic,MID0027,إنك لا تجني من الشوك العنب,You can't make a silk purse out of a sow's ear.,This proverb is used for someone who does good to the wrong people and for someone who tries to reform an abnormal person but to no avail in all his attempts.,True,This proverb is used for someone who has too many resources at their disposal.,This proverb is used for someone who has the capability to produce high-quality material or products.,This proverb is used for someone who does good to the wrong people and for someone who tries to reform an abnormal person but to no avail in all his attempts.,This proverb is used when referring to a difficult situation or problem that cannot be easily solved.,C,This proverb is used for someone who has too many resources at their disposal.,This proverb is used when referring to a difficult situation or problem that cannot be easily solved.,This proverb is used for someone who has the capability to produce high-quality material or products.,"[""This proverb is used for someone who has too many resources at their disposal."", ""This proverb is used when referring to a difficult situation or problem that cannot be easily solved."", ""This proverb is used for someone who has the capability to produce high-quality material or products.""]",1.0,1.0,0.51,0.76,92.8
b,cot_xl,Arabic,MID0028,إنما الأعمال بالنیّات.,Take the will for the deed.,"It means that the value of actions depends on the intention of the person who does them. The intention behind the action is what determines its value and impact, not just the action itself.",True,The intention behind the action excuses any harm caused by it.,The quality of the plan is more important than the quality of the execution.,The person who performs the action doesn't actually have to put in any effort.,"It means that the value of actions depends on the intention of the person who does them. The intention behind the action is what determines its value and impact, not just the action itself.",D,The person who performs the action doesn't actually have to put in any effort.,The intention behind the action excuses any harm caused by it.,The quality of the plan is more important than the quality of the execution.,"[""The person who performs the action doesn't actually have to put in any effort."", ""The intention behind the action excuses any harm caused by it."", ""The quality of the plan is more important than the quality of the execution.""]",1.0,1.0,0.38,0.92,97.6
b,cot_xl,Arabic,MID0029,اتَّكَلْنا منه على خُصٍّ الاتحاد قوة,Unity is strength.,"When Aktham bin Al-Saifi Al-Tamimi felt his death was approaching, he called his sons, gave them a bundle of sticks, and asked each one of them to break it into small and separate pieces. No one, no matter how strong, could break the bundle while it was together. So the father took the bundle and separated it from each other, then gave it to his sons, and gave it to them to break it again while it was separate. They found it easy to break it, and each one of them was able to break it without any effort. He said to them: ""My sons, there is strength in unity, and your coming together will make all your enemies unable to break you, just as you were unable to break these sticks together. Division is weakness and disagreement is destruction. A person is like a stick, if he unites with others, he becomes strong and powerful. Perhaps the weak who unite are better than the strong who separate, for one of you is weak on his own but strong with his brother."" These were the best words of his.",True,"This proverb suggests that strength is only found in unity, but unity itself is the source of weakness.","In this proverb, the father is symbolizing that a single, strong individual is more powerful than multiple weaker individuals.","If we gather a large quantity of individual sticks, the strength of unity will become apparent.","When Aktham bin Al-Saifi Al-Tamimi felt his death was approaching, he called his sons, gave them a bundle of sticks, and asked each one of them to break it into small and separate pieces. No one, no matter how strong, could break the bundle while it was together. So the father took the bundle and separated it from each other, then gave it to his sons, and gave it to them to break it again while it was separate. They found it easy to break it, and each one of them was able to break it without any effort. He said to them: ""My sons, there is strength in unity, and your coming together will make all your enemies unable to break you, just as you were unable to break these sticks together. Division is weakness and disagreement is destruction. A person is like a stick, if he unites with others, he becomes strong and powerful. Perhaps the weak who unite are better than the strong who separate, for one of you is weak on his own but strong with his brother."" These were the best words of his.",D,"If we gather a large quantity of individual sticks, the strength of unity will become apparent.","This proverb suggests that strength is only found in unity, but unity itself is the source of weakness.","In this proverb, the father is symbolizing that a single, strong individual is more powerful than multiple weaker individuals.","[""If we gather a large quantity of individual sticks, the strength of unity will become apparent."", ""This proverb suggests that strength is only found in unity, but unity itself is the source of weakness."", ""In this proverb, the father is symbolizing that a single, strong individual is more powerful than multiple weaker individuals.""]",1.0,1.0,0.09,0.86,95.8
