task,strategy,lang,source_proverb,correct_text,correct_answer,reasoning,Choice_A,Choice_B,Choice_C,Choice_D
a,zs,English,"Wise men learn by other men’s mistakes, fools by their own","Wise men learn by other men’s mistakes, fools by their own",A,Regex Parse,"Wise men learn by other men’s mistakes, fools by their own","The wise are schooled by the mistakes of others, the foolish by their own actions","Wise individuals gain insight from others' errors, the less wise from their own","The intelligent learn from the blunders of others, the uninformed from their own"
a,zs,English,Love is without reason,Love is without reason,C,Regex Parse,Love transcends rational thought,Love defies the bounds of rational explanation,Love is without reason,Reason has no place in love's realm
a,zs,English,Every law has a loophole,Every law has a loophole,C,Regex Parse,Every rule contains a weakness,Every regulation has a blind spot,Every law has a loophole,Every code has a backdoor
a,zs,English,People who live in glass houses should not throw stones.,People who live in glass houses should not throw stones.,C,Regex Parse,Individuals inhabiting structures with transparent surfaces ought to refrain from launching projectiles.,Personages residing in homes with glass exteriors should not participate in stone-throwing activities.,People who live in glass houses should not throw stones.,Those who reside in transparent dwellings should avoid making projectiles.
a,zs,English,"While there is life, there is hope","While there is life, there is hope",A,Regex Parse,"While there is life, there is hope","As vitality continues to flourish, a spark of resilience endures","During the duration of life, there persists a sense of anticipation","As long as existence prevails, a glimmer of optimism remains"
a,zs,English,"A prophet is not without honor, save in his own country","A prophet is not without honor, save in his own country",B,Regex Parse,"{'A prophet is not without esteem, except in his own region': 37}","A prophet is not without honor, save in his own country","{'A prophet is not without respect, except in his homeland': 33}","{'A prophet is not without reverence, save in his native land': 39}"
a,zs,English,He who wills the end wills the means,He who wills the end wills the means,A,Regex Parse,He who wills the end wills the means,He who sets the goal must also accept the methods that lead to it,One who desires the outcome must also accept the necessary actions,The individual who sets the objective must take responsibility for the path taken
a,zs,English,Be just before you are generous,Be just before you are generous,B,Regex Parse,Be fair-minded before you show your benevolence,Be just before you are generous,Be just before you act with generosity,Be honest before you display your largesse
a,zs,English,Burning the midnight oil,Burning the midnight oil,A,No reasoning provided,Burning the midnight oil,Sweating over the workbench till the wee hours,Fueling the late-night creative spark,Firing up the midnight workshop
a,zs,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,Regex Parse,"While the cat is absent, the mice will indulge in merriment.","When the cat is away, the mice will seize the opportunity for revelry.","When the feline departs, rodents will frolic.",When the cat's away the mice will play.
a,zs,English,Fake it until you make it,Fake it until you make it,A,Regex Parse,Fake it until you make it,Imposter's guise until prosperity arrives,Con the way to success,Feign it till fortune shines
a,zs,English,Power corrupts,Power corrupts,D,Regex Parse,Power is a corrupting force,Power inevitably leads to corruption,The accumulation of power can be corrupting,Power corrupts
a,zs,English,Don’t throw the baby out with the bathwater,Don’t throw the baby out with the bathwater,D,Regex Parse,Don't expel the newborn with the bathwater.,Don't eject the infant with the bathing fluid.,Don't discard the child with the cleansing liquid.,Don’t throw the baby out with the bathwater
a,zs,English,Fortune favors the brave.,Fortune favors the brave.,D,Regex Parse,Prosperity often accompanies those who dare to take risks.,Good fortune typically rewards those who act with courage and determination.,Greatness is often bestowed upon the courageous and bold.,Fortune favors the brave.
a,zs,English,Never go to bed on an argument,Never go to bed on an argument,A,Regex Parse,Never go to bed on an argument,Never retreat on a contentious issue,Never retire on unresolved conflicts,Never part on a disagreement
a,zs,English,From the sublime to the ridiculous is but a step,From the sublime to the ridiculous is but a step,C,Regex Parse,From the lofty to the utterly foolish is merely a brief transition,"In a single step, one can traverse from the majestic to the preposterous",From the sublime to the ridiculous is but a step,From the exalted to the absurd is little more than a stride
a,zs,English,Saved by the bell.,Saved by the bell.,D,Regex Parse,Saved by the last toll of the bell.,Rescued at the sound of the bell.,Delivered by the ringing of the bell.,Saved by the bell.
a,zs,English,One swallow does not make a summer,One swallow does not make a summer,C,Regex Parse,The arrival of one swallow does not signal the beginning of a prolonged period of sunshine,The presence of one swallow flying overhead does not ensure an extended period of balmy temperatures,One swallow does not make a summer,A single bird in flight does not guarantee an entire season of warm weather
a,zs,English,Accidents will happen,Accidents will happen,A,Regex Parse,Accidents will happen,Unforeseen events will surely happen,Mishaps will inevitably arise,Incidents will inevitably occur
a,zs,English,"If you're not paying, you're the product","If you're not paying, you're the product",C,Regex Parse,"If there's no cost, then you're the thing being traded","When you don't give money, you're what's being sold","If you're not paying, you're the product","If you're not contributing financially, you're the commodity"
a,zs,English,Might is right.,Might is right.,B,Regex Parse,Might makes the law.,Might is right.,Power is the ultimate authority.,Strength prevails over justice.
a,zs,English,Liars need good memories.,Liars need good memories.,A,Regex Parse,Liars need good memories.,Deceivers must possess remarkable mnemonic abilities.,Falsifiers require exceptional recall capabilities.,Misrepresenters need a strong capacity for remembrance.
a,zs,English,Love lives in cottages as well as in courts,Love lives in cottages as well as in courts,B,Regex Parse,Warmth dwells in modest homes as well as in regal castles,Love lives in cottages as well as in courts,Tenderness resides in small cottages as well as in majestic palaces,Affection resides in humble abodes as well as in grand halls
a,zs,English,Rather death than shame,Rather death than shame,D,Regex Parse,Worse fate than ruin,Death before dishonor now,Far worse than public scorn,Rather death than shame
a,zs,English,Everybody loves a winner,Everybody loves a winner,B,Regex Parse,{'distractor1': 'Everyone admires a champion'},Everybody loves a winner,{'distractor2': 'People always favor a victor'},{'distractor3': 'Everybody respects a triumphant person'}
a,zs,English,Speak softly and carry a big stick,Speak softly and carry a big stick,A,Regex Parse,Speak softly and carry a big stick,Speak calmly and wield an imposing baton,Speak gently and bear a substantial club,Speak quietly and bear a considerable rod
a,zs,English,Forbidden fruit is the sweetest.,Forbidden fruit is the sweetest.,B,Regex Parse,"In many cases, the fruit deemed the most forbidden is perceived as being the sweetest.",Forbidden fruit is the sweetest.,The most forbidden fruit appears to be the sweetest and most enticing.,Forbidden fruit tends to be irresistibly sweet in nature.
a,zs,English,The gods send nuts to those who have no teeth,The gods send nuts to those who have no teeth,C,Regex Parse,Divine providence bestows fruits on those lacking molars,Divine beings provide hard nuts to those who have no enamel,The gods send nuts to those who have no teeth,The gods bestow walnuts upon individuals who possess no dentition
a,zs,English,You can have too much of a good thing,You can have too much of a good thing,B,Regex Parse,One can overindulge in the best of circumstances,You can have too much of a good thing,A little of what you like can turn into too much,Excessive enjoyment of something pleasant can be detrimental
a,zs,English,Pity is akin to love.,Pity is akin to love.,D,Regex Parse,Pity is closely related to love.,Pity has a parallel quality to love.,Pity shares a similar nature with love.,Pity is akin to love.
a,zs,English,Stolen fruit is sweet,Stolen fruit is sweet,C,Regex Parse,Pilfered fruit tastes sweeter,Fruit stolen from someone else is sweet,Stolen fruit is sweet,Fruit taken without permission is sweeter
a,zs,English,The bane of my life,The bane of my life,D,Regex Parse,The plague that afflicts my daily life,The scourge that haunts my existence,A constant thorn in the side of my being,The bane of my life
a,zs,English,Prosperity makes friends; adversity tries them,Prosperity makes friends; adversity tries them,A,Regex Parse,Prosperity makes friends; adversity tries them,Prosperity befriends people; adversity examines their relationships,Prosperity brings together companions; misfortune tests their bonds,Prosperity attracts allies; difficulties reveal their true character
a,zs,English,ounce of discretion is worth a pound of wit.,ounce of discretion is worth a pound of wit.,A,Regex Parse,ounce of discretion is worth a pound of wit.,a pinch of tact is equivalent to a ton of intellect,an atom of discernment is equivalent to a hundred pounds of ingenuity,a drop of prudence is worth ten pounds of cleverness
a,zs,English,He that is not with me is against me,He that is not with me is against me,A,Parse Failed,He that is not with me is against me,API Failure B,API Failure C,API Failure A
a,zs,English,Rome was not built in a day.,Rome was not built in a day.,A,Regex Parse,Rome was not built in a day.,Empires rise not overnight.,A great nation is not constructed in a single day's labor.,Cities do not rise from the ground in a single morning.
a,zs,English,Necessity knows no law,Necessity knows no law,D,Regex Parse,Necessity defies all authority,Lawlessness is the hallmark of necessity,Necessity makes no exceptions,Necessity knows no law
a,zs,English,Every horse thinks its own pack is heaviest,Every horse thinks its own pack is heaviest,A,Regex Parse,Every horse thinks its own pack is heaviest,Every horse thinks its own bundle is the heaviest,Every horse assumes its own weight is the heaviest,Every horse believes its own load is the heaviest
a,zs,English,{Costs an arm and a leg},{Costs an arm and a leg},A,Regex Parse,{Costs an arm and a leg},Puts a heavy price tag on something,Comes with a considerable monetary expense attached,Has a steep financial cost associated with it
a,zs,English,Call no man happy till he is dead,Call no man happy till he is dead,B,Regex Parse,It is unwise to deem someone happy until their passing is confirmed,Call no man happy till he is dead,One should not consider another person fortunate until they have been laid to rest,Do not label anyone as fortunate until their funeral has taken place
a,cot_en,English,No man can serve two masters,No man can serve two masters,C,Regex Parse,One man cannot serve two masters.,No man serves two different masters.,No man can serve two masters,A man cannot serve two lords.
a,cot_en,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,Regex Parse,Do not dive into deep water with untested feet.,Never test the depth of water with both feet,Always test the water before diving in deep.,Never jump into water without checking its depth.
a,cot_en,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Regex Parse,Do not count chickens before they hatch.,Count those chickens before they hatch.,Never count your chickens before hatching.,Count your chickens before they are hatched
a,cot_en,English,"Translators, traitors","Translators, traitors",B,Regex Parse,"Traitors, translators","Translators, traitors",Translators as traitors,Traitors like translators
a,cot_en,English,Rain on someone's parade.,Rain on someone's parade.,B,Regex Parse,Cloud someone's parade,Rain on someone's parade.,Rain on their event,Spoil the big parade
a,cot_en,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Regex Parse,Marriage makes or mars a man,Marriage makes or breaks the man.,Marriage changes or challenges a man.,Marriage builds or destroys a man.
a,cot_en,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,Regex Parse,God tempers the wind to the shorn lamb.,The divine softens the gale for the lamb.,Nature calms the breeze for the weak lamb.,Heaven mitigates the storm for the shorn lamb.
a,cot_en,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,Regex Parse,"If you can't beat 'em, join 'em","If they can't beat you, join them.","When you can't beat them, join in.","If you can't join them, beat them."
a,cot_en,English,There's small choice in rotten apples,There's small choice in rotten apples,D,Regex Parse,Little difference in bad apples.,"Among rotten apples, choice is slight.",Rotten apples offer small pickings.,There's small choice in rotten apples
a,cot_en,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,Regex Parse,"He is unworthy to live, who lives only for himself","He is not worthy to exist, who cares only for himself.","A person is unworthy to thrive, who works only for himself.","One is undeserving to live, who thinks only of himself."
a,cot_en,English,"Wise men learn by other men’s mistakes, fools by their own","Wise men learn by other men’s mistakes, fools by their own",A,Regex Parse,"Wise men learn by other men’s mistakes, fools by their own","Fools learn from personal mistakes, wise men from others.","Wise individuals gain insight from others' errors, not their own.","Intelligent people learn by the mistakes of others, not fools."
a,cot_en,English,Love is without reason,Love is without reason,C,Regex Parse,Love defies all logic,Love knows no logic,Love is without reason,Reason is not love
a,cot_en,English,Every law has a loophole,Every law has a loophole,C,Regex Parse,Every rule has a loophole,Each law has a loophole,Every law has a loophole,Laws often have a loophole
a,cot_en,English,People who live in glass houses should not throw stones.,People who live in glass houses should not throw stones.,C,Regex Parse,Those who dwell in transparent dwellings ought not to cast pebbles.,Residents of houses made of delicate material should avoid tossing boulders.,People who live in glass houses should not throw stones.,Individuals residing in fragile abodes should refrain from hurling projectiles.
a,cot_en,English,"While there is life, there is hope","While there is life, there is hope",A,Regex Parse,"While there is life, there is hope","So long as we have life, hope remains.","Where life exists, so does the promise.","As long as we breathe, hope survives."
a,cot_en,English,"A prophet is not without honor, save in his own country","A prophet is not without honor, save in his own country",B,Regex Parse,"A seer gains recognition, though seldom in their homeland.","A prophet is not without honor, save in his own country","A wise man often finds respect, but not where he resides.","A visionary is rarely appreciated, except in foreign lands."
a,cot_en,English,He who wills the end wills the means,He who wills the end wills the means,A,Regex Parse,He who wills the end wills the means,He who seeks the goal seeks the way.,He who desires the outcome accepts the process.,Whoever wills the outcome must will the steps.
a,cot_en,English,Be just before you are generous,Be just before you are generous,B,Regex Parse,Prioritize justice before charity,Be just before you are generous,Act fairly before giving freely,Be fair before being generous
a,cot_en,English,Burning the midnight oil,Burning the midnight oil,A,No response,Burning the midnight oil,API Failure A,API Failure B,API Failure C
a,cot_en,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,No response,API Failure B,API Failure C,API Failure A,When the cat's away the mice will play.
a,cot_en,English,Fake it until you make it,Fake it until you make it,A,No response,Fake it until you make it,API Failure C,API Failure A,API Failure B
a,cot_en,English,Power corrupts,Power corrupts,D,No response,API Failure A,API Failure C,API Failure B,Power corrupts
a,cot_en,English,Don’t throw the baby out with the bathwater,Don’t throw the baby out with the bathwater,D,No response,API Failure C,API Failure B,API Failure A,Don’t throw the baby out with the bathwater
a,cot_en,English,Fortune favors the brave.,Fortune favors the brave.,D,No response,API Failure A,API Failure C,API Failure B,Fortune favors the brave.
a,cot_en,English,Never go to bed on an argument,Never go to bed on an argument,A,No response,Never go to bed on an argument,API Failure C,API Failure B,API Failure A
a,cot_en,English,From the sublime to the ridiculous is but a step,From the sublime to the ridiculous is but a step,C,No response,API Failure C,API Failure B,From the sublime to the ridiculous is but a step,API Failure A
a,cot_en,English,Saved by the bell.,Saved by the bell.,D,Regex Parse,Saved by a bell,Rescued by the bell,Spared by the bell,Saved by the bell.
a,cot_en,English,One swallow does not make a summer,One swallow does not make a summer,C,Regex Parse,One swallow cannot create the summer,Summer is not made by one swallow,One swallow does not make a summer,A single bird does not bring summer
a,cot_en,English,Accidents will happen,Accidents will happen,A,Regex Parse,Accidents will happen,Mishaps will occur,Errors are inevitable,Mistakes will occur
a,cot_en,English,"If you're not paying, you're the product","If you're not paying, you're the product",C,Regex Parse,"Unless you pay, you are the goods.","If you're not charged, you're the commodity.","If you're not paying, you're the product","When not paying, you become merchandise."
a,cot_en,English,Might is right.,Might is right.,B,Regex Parse,Right is might.,Might is right.,Strength is right.,Power is correct.
a,cot_en,English,Liars need good memories.,Liars need good memories.,A,Regex Parse,Liars need good memories.,Liars require good memory,Good memories help liars,A good memory aids liars
a,cot_en,English,Love lives in cottages as well as in courts,Love lives in cottages as well as in courts,B,Regex Parse,Love flourishes in both grand courts and simple cottages.,Love lives in cottages as well as in courts,Courts and cottages alike are homes for enduring love.,Love resides equally in humble cottages and royal courts.
a,cot_en,English,Rather death than shame,Rather death than shame,D,Regex Parse,Sooner death than shame,Death before shame,Better death than shame,Rather death than shame
a,cot_en,English,Everybody loves a winner,Everybody loves a winner,B,No response,API Failure A,Everybody loves a winner,API Failure B,API Failure C
a,cot_en,English,Speak softly and carry a big stick,Speak softly and carry a big stick,A,No response,Speak softly and carry a big stick,API Failure A,API Failure B,API Failure C
a,cot_en,English,Forbidden fruit is the sweetest.,Forbidden fruit is the sweetest.,B,No response,API Failure C,Forbidden fruit is the sweetest.,API Failure A,API Failure B
a,cot_en,English,The gods send nuts to those who have no teeth,The gods send nuts to those who have no teeth,C,No response,API Failure A,API Failure C,The gods send nuts to those who have no teeth,API Failure B
a,cot_en,English,You can have too much of a good thing,You can have too much of a good thing,B,No response,API Failure A,You can have too much of a good thing,API Failure B,API Failure C
a,cot_en,English,Pity is akin to love.,Pity is akin to love.,D,No response,API Failure A,API Failure C,API Failure B,Pity is akin to love.
a,cot_en,English,Stolen fruit is sweet,Stolen fruit is sweet,C,No response,API Failure A,API Failure C,Stolen fruit is sweet,API Failure B
a,cot_en,English,The bane of my life,The bane of my life,D,No response,API Failure C,API Failure A,API Failure B,The bane of my life
a,cot_en,English,Prosperity makes friends; adversity tries them,Prosperity makes friends; adversity tries them,A,Regex Parse,Prosperity makes friends; adversity tries them,Friends are made in prosperity; tested in adversity.,Prosperity gains friends; hardship tries them.,Prosperity attracts friends; adversity truly tries.
a,cot_en,English,ounce of discretion is worth a pound of wit.,ounce of discretion is worth a pound of wit.,A,Regex Parse,ounce of discretion is worth a pound of wit.,A grain of prudence is worth a ton of cleverness,A dash of restraint is worth a barrel of ingenuity,A pinch of caution is worth a kilogram of intelligence
a,cot_en,English,He that is not with me is against me,He that is not with me is against me,A,Regex Parse,He that is not with me is against me,He who is against me is not with.,He that is against me is not with.,Who is not against me is with me.
a,cot_en,English,Rome was not built in a day.,Rome was not built in a day.,A,Regex Parse,Rome was not built in a day.,Rome cannot be built quickly.,Rome was not constructed overnight.,A city like Rome takes time.
a,cot_en,English,Necessity knows no law,Necessity knows no law,D,Regex Parse,Exigency acknowledges no regulation,Requirement defies all legislation,Need recognizes no statute,Necessity knows no law
a,cot_en,English,Every horse thinks its own pack is heaviest,Every horse thinks its own pack is heaviest,A,Regex Parse,Every horse thinks its own pack is heaviest,Every horse thinks its load is heaviest.,Every horse assumes its own burden is heaviest.,Every horse believes its pack is heaviest.
a,cot_en,English,{Costs an arm and a leg},{Costs an arm and a leg},A,Regex Parse,{Costs an arm and a leg},Pays an arm or leg,Spend an arm and leg,Costs an arm or leg
a,cot_en,English,Call no man happy till he is dead,Call no man happy till he is dead,B,Regex Parse,Deem no person truly happy until death.,Call no man happy till he is dead,Consider no one fortunate till they die.,Judge no man's life until it ends.
a,cot_xl,English,No man can serve two masters,No man can serve two masters,C,Regex Parse,No individual can serve two overlords.,A man cannot serve two commanders.,No man can serve two masters,No person can serve two lords.
a,cot_xl,English,Never test the depth of water with both feet,Never test the depth of water with both feet,B,Regex Parse,Don't jump into the unknown without feeling the waters first.,Never test the depth of water with both feet,It's unwise to plunge headfirst into unknown depths without assessing the risk.,Don't measure the waters before you've taken a step forward.
a,cot_xl,English,Count your chickens before they are hatched,Count your chickens before they are hatched,D,Regex Parse,Count your chickens before they're hatched,Don't count your chickens until they hatch,Count your chickens after they hatch,Count your chickens before they are hatched
a,cot_xl,English,"Translators, traitors","Translators, traitors",B,Regex Parse,"Translators, trespassers","Translators, traitors","Translators, transgressors","Translators, transcribers"
a,cot_xl,English,Rain on someone's parade.,Rain on someone's parade.,B,Regex Parse,Pour cold water on their celebration,Rain on someone's parade.,Dampen someone's festivities,Spoil the main event
a,cot_xl,English,Marriage makes or mars a man,Marriage makes or mars a man,A,Regex Parse,Marriage makes or mars a man,Marriage makes or mars a man's identity.,Marriage makes or mars a man's legacy.,Marriage makes or mars a man's future.
a,cot_xl,English,God tempers the wind to the shorn lamb.,God tempers the wind to the shorn lamb.,A,Regex Parse,God tempers the wind to the shorn lamb.,God calms the gust for the weak lamb.,God softens the storm for the harmless lamb.,God soothes the gale for the defenseless lamb.
a,cot_xl,English,"If you can't beat 'em, join 'em","If you can't beat 'em, join 'em",A,Regex Parse,"If you can't beat 'em, join 'em","If you can't join 'em together, beat 'em","If you can't beat the system, join it","If you can't join them, beat 'em"
a,cot_xl,English,There's small choice in rotten apples,There's small choice in rotten apples,D,Regex Parse,There's little choice in bad apples,Not much option in overripe apples,You have small pickings in rotting apples,There's small choice in rotten apples
a,cot_xl,English,"He is unworthy to live, who lives only for himself","He is unworthy to live, who lives only for himself",A,Regex Parse,"He is unworthy to live, who lives only for himself",A person who lives solely for his own benefit is unworthy to exist.,A life lived solely to serve one's own interests is not worth living.,"He is not worthy of life, who dedicates himself solely to personal gain."
a,cot_xl,English,"Wise men learn by other men’s mistakes, fools by their own","Wise men learn by other men’s mistakes, fools by their own",A,"The proverb highlights the difference in learning styles between wise and foolish individuals. Wise men are said to learn from others' mistakes, indicating a more reflective and cautious approach, whereas fools learn from their own mistakes, suggesting a lack of self-awareness and impulsivity. To create distractors that are indistinguishable from the correct answer, I will maintain the same word count, grammatical complexity, tone, and lexical overlap. I will also aim to create distractors that are equally plausible and coherent.","Wise men learn by other men’s mistakes, fools by their own","Wise men acquire knowledge from other people's mistakes, while fools stumble into ignorance.","Wise men learn from others' errors, fools from their own blunders.","Wise men profit from the missteps of others, whereas foolish individuals suffer from their own reckless decisions."
a,cot_xl,English,Love is without reason,Love is without reason,C,Regex Parse,Love transcends reason,Love operates independently of reason,Love is without reason,Love remains unfettered by reason
a,cot_xl,English,Every law has a loophole,Every law has a loophole,C,"There is no variation in the given proverb. In this case, the correct answer is the same as the proverb itself. To generate distractors, I will make slight modifications to the original statement. I will ensure each distractor has a word count within +/- 10% of the correct answer (10 words), complexity, tone, and lexical overlap.",No law is without a hidden weakness.,Each law has an unseen exception.,Every law has a loophole,Every law contains a concealed vulnerability.
a,cot_xl,English,People who live in glass houses should not throw stones.,People who live in glass houses should not throw stones.,C,Regex Parse,People who occupy glass abodes should not engage in stone-throwing activities.,Those who call glass houses home should avoid casting stones.,People who live in glass houses should not throw stones.,Those who reside in glass dwellings should refrain from launching projectiles.
a,cot_xl,English,"While there is life, there is hope","While there is life, there is hope",A,"The proverb 'While there is life, there is hope' is a well-known English idiom that suggests that as long as one is alive, there is always a chance for improvement or a better outcome. To create distractors, we need to maintain the same level of complexity, formality, and word count. We will use keywords like 'life' and 'hope' to create distractors that are indistinguishable from the correct answer.","While there is life, there is hope","Until the final moment of mortality, the essence of hope persists","As long as a living being remains, a glimmer of hope emerges","While existence prevails, there is always optimism"
a,cot_xl,English,"A prophet is not without honor, save in his own country","A prophet is not without honor, save in his own country",B,Regex Parse,"A diviner is not without glory, save in his own community.","A prophet is not without honor, save in his own country","A visionary is not without esteem, save in his own village.","A seer is not without praise, save in his own homeland."
a,cot_xl,English,He who wills the end wills the means,He who wills the end wills the means,A,Parse Failed,He who wills the end wills the means,API Failure C,API Failure A,API Failure B
a,cot_xl,English,Be just before you are generous,Be just before you are generous,B,Regex Parse,Be fair before you give generously to others.,Be just before you are generous,"To be generous, always be just before.",Justice precedes generosity in all cases.
a,cot_xl,English,Burning the midnight oil,Burning the midnight oil,A,Regex Parse,Burning the midnight oil,Midnight oil fuels the fire,Working through the late night hours,Fueling the flame with midnight oil supplies
a,cot_xl,English,When the cat's away the mice will play.,When the cat's away the mice will play.,D,"The correct answer is a direct translation of the given proverb. To create distractors, we need to maintain the same word count, grammatical complexity, tone, and lexical overlap. Since the proverb is already in a common English idiom, creating a distractor that is not a translation but still meets the requirements is challenging.",When the cat's present the mice will work,When the cat's around the mice will frolic,When the cat's in sight the mice will play,When the cat's away the mice will play.
a,cot_xl,English,Fake it until you make it,Fake it until you make it,A,"The proverb 'Fake it until you make it' implies that one should initially pretend to possess skills or confidence to gain trust and eventually achieve success. The correct answer accurately conveys this idea. To create distractors, I will maintain the same word count, grammatical complexity, tone, and metaphor presence, while incorporating keywords from the proverb to make them indistinguishable from the correct answer.",Fake it until you make it,Pose as an expert until you gain the experience,Act confident until you become successful,Pretend to succeed until you actually make it
a,cot_xl,English,Power corrupts,Power corrupts,D,"The correct answer is a direct translation of the proverb. The distractors should be phrases that are grammatically and tonally similar but do not convey the same meaning. Given the proverb's simplicity, the distractors will also be simple phrases.",Power is a corrupting influence,Power can have a corrupting effect,Corruption is a result of power,Power corrupts
a,cot_xl,English,Don’t throw the baby out with the bathwater,Don’t throw the baby out with the bathwater,D,Regex Parse,Don't discard the baby when you're cleaning out the old bathwater.,Don't let the baby get swept away with the dirty bathwater.,Don't mix the baby with the bathwater in the process of cleaning.,Don’t throw the baby out with the bathwater
a,cot_xl,English,Fortune favors the brave.,Fortune favors the brave.,D,Regex Parse,Wealth rewards the courageous,Destiny favors the fearless,Luck supports the bold,Fortune favors the brave.
a,cot_xl,English,Never go to bed on an argument,Never go to bed on an argument,A,Regex Parse,Never go to bed on an argument,Never go to rest with an unresolved conflict,Never retire with an unaddressed issue,Do not retire for the night with unresolved disagreement
a,cot_xl,English,From the sublime to the ridiculous is but a step,From the sublime to the ridiculous is but a step,C,Regex Parse,One step separates the sublime from the preposterous.,"From grandeur to ridiculousness, a single step away.",From the sublime to the ridiculous is but a step,A step from the sublime to absurdity.
a,cot_xl,English,Saved by the bell.,Saved by the bell.,D,Regex Parse,Saved at the last,Saved by chance,Saved by good fortune,Saved by the bell.
a,cot_xl,English,One swallow does not make a summer,One swallow does not make a summer,C,"This proverb suggests that a single event or occurrence does not necessarily indicate a larger trend or pattern. It emphasizes the importance of considering multiple instances or evidence before making a conclusion. I will generate distractors that have similar word count, complexity, tone, and lexical overlap to create a challenging evaluation task.","A single swallow cannot guarantee a long, warm summer.",One swallow does not signify an entire year of pleasant weather.,One swallow does not make a summer,One swallow does not define an entire season.
a,cot_xl,English,Accidents will happen,Accidents will happen,A,"This correct answer is a straightforward translation of the proverb, maintaining its original phraseology. The reasoning is limited to ensuring the exact replication of the given proverb.",Accidents will happen,A unforeseen events will occur,A calamities will happen,A mishaps will occur
a,cot_xl,English,"If you're not paying, you're the product","If you're not paying, you're the product",C,Regex Parse,"If you're not compensating, you're the commodity.","If you're not contributing, you're the product.","If you're not paying, you're the product","If you're not paying, you're the asset."
a,cot_xl,English,Might is right.,Might is right.,B,Regex Parse,Power is justified.,Might is right.,Strength is law.,Might makes right.
a,cot_xl,English,Liars need good memories.,Liars need good memories.,A,"The proverb 'Liars need good memories' suggests that individuals who frequently engage in dishonest behavior must have a strong recollection of the details surrounding their lies in order to maintain consistency and avoid detection. The correct answer directly states this idea, providing a straightforward translation of the proverb.",Liars need good memories.,"To maintain credibility, dishonest individuals require strong memory skills.",People who deceive often possess excellent recall.,Those who tell falsehoods generally have good memories for details.
a,cot_xl,English,Love lives in cottages as well as in courts,Love lives in cottages as well as in courts,B,Regex Parse,Love dwells in small dwellings as well as in grand estates.,Love lives in cottages as well as in courts,Love abounds in cottage homes just as in regal chambers.,Love resides in humble abodes as well as in halls.
a,cot_xl,English,Rather death than shame,Rather death than shame,D,Regex Parse,Death is worse than shame,Better death than public shame,Death before a life of shame,Rather death than shame
a,cot_xl,English,Everybody loves a winner,Everybody loves a winner,B,Regex Parse,Everybody admires a champion,Everybody loves a winner,People have a natural affinity for triumphant individuals,The general public tends to have a soft spot for victors
