Sample_ID,source_text,english_translation,Cultural_Context
MID0024,إنّ الطيور على أشكالها تقع, Birds of a feather flock together.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same."
MID0025,إن كان لك عند الكلب حاجة قل له يا سيدي.,"Call the bear “uncle” till, you are safe across the bridge.","
This phrase is often used by some people to encourage using any means necessary to achieve a goal or objective, even if the methods are low or dishonorable."
MID0026,إن مع العسر یسرا.,Every cloud has a silver lining.,"It means that after difficulties and problems comes relief and ease. This proverb is used to encourage people to be patient and endure the difficult times, as relief will come later."
MID0027,إنك لا تجني من الشوك العنب,You can't make a silk purse out of a sow's ear.,This proverb is used for someone who does good to the wrong people and for someone who tries to reform an abnormal person but to no avail in all his attempts.
MID0028,إنما الأعمال بالنیّات.,Take the will for the deed.,"It means that the value of actions depends on the intention of the person who does them. The intention behind the action is what determines its value and impact, not just the action itself."
MID0029,اتَّكَلْنا منه على خُصٍّ الاتحاد قوة,Unity is strength.,"When Aktham bin Al-Saifi Al-Tamimi felt his death was approaching, he called his sons, gave them a bundle of sticks, and asked each one of them to break it into small and separate pieces. No one, no matter how strong, could break the bundle while it was together. So the father took the bundle and separated it from each other, then gave it to his sons, and gave it to them to break it again while it was separate. They found it easy to break it, and each one of them was able to break it without any effort. He said to them: ""My sons, there is strength in unity, and your coming together will make all your enemies unable to break you, just as you were unable to break these sticks together. Division is weakness and disagreement is destruction. A person is like a stick, if he unites with others, he becomes strong and powerful. Perhaps the weak who unite are better than the strong who separate, for one of you is weak on his own but strong with his brother."" These were the best words of his."
MID0030,احذر عدوّك مرّة وصديقك ألف مرّة، فإن انقلب الصّديق فهو أعلم بالمضرّة,Better to have an enemy who slaps you in the face than a friend who stabs you in the back.,"When a friend turns into an enemy, his stabs become more painful than the enemy's stabs. Your enemy's stab may be hurtful, but a friend knows your weak point and will direct one stab that will be fatal."
MID0031,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
",It is a popular proverb used to emphasize the need to save and avoid extravagance.
MID0032,اختلط الحابل بالنابل.,Things got chaotic.,"There was confusion among them, and the hunter with arrows could not be distinguished from the hunter with ropes."
MID0033,اذكروا محاسن أمواتكم.,Speak well of the dead.,"It is better to keep in mind the positive and good actions that the deceased did, rather than focusing on their faults or negative actions. This proverb encourages us to maintain respect and appreciation for the deceased and not to say things that might harm their memory."
MID0034,ازرع جمیلًا ولو في غیر موضعه، فلن یضیع جمیل أینما زرعا,A good deed is never lost.,"Do good deeds everywhere, and do not belittle any good deed, even if it is not great, for you will find that one day in your life, the lives of your children, and family after, and it will not be lost in this world or in the hereafter."
MID0035,اضرب حديدًا حاميًا لا نفع منه أن يبرد,Strike while the iron is hot.,The proverb indicates the importance of acting quickly when circumstances are available.
MID0036,اطلبوا العلم من المهد إلى اللحد,Learn from the cradle to the grave.,Our noble Prophet commands us in this saying to learn and seek knowledge from the time we are born (from the cradle) until we die (to the grave).
MID0037,اعقلها وتوكّل," Trust in the Lord with all your heart, and do not lean on your own understanding.","A man came to our beloved Prophet, may Allah bless him and grant him peace, and he had a she-camel with him. He asked the Prophet, may Allah bless him and grant him peace, for advice: ""Should I leave my she-camel without tying it? Or should I tie it up to prevent it from moving and getting lost, and then put my trust in Allah?"" The Prophet, may Allah bless him and grant him peace, responded eloquently: ""Tie it up and put your trust in Allah."""
MID0038,الأقربون أولى بالمعروف.,Charity begins at home.,"Priority is to support and help those close to you, because they deserve it more."
MID0039,الأمور بخواتمها,All is well that ends well.,Things depend on their results and consequences.
MID0040,الإفراط في التّواضع يجلب المذلّة," If you humble yourself too much, you will get trampled on.",It means that appearing too humble can demean a person and make him vulnerable to humiliation.
MID0041,الاعتراف بالخطأ فضیلة.,A fault confessed is half redressed.,"Admitting mistakes and guilt is a noble and virtuous behavior. The proverb indicates that courage and honesty in facing mistakes and learning from them are valuable manners, and are considered as a moral maturity."
MID0042,البضاعة تيسر الحاجة.,A bribe works like magic. ,It is used to describe giving bribes and gifts to achieve what one wants. 
MID0043,التأني من الرحمن والعجلة من الشيطان.,haste makes waste.,The proverb refers to the importance of taking things slowly and carefully to get better results.
MID0044,الجار قبل الدّار," A bad neighbor is a misfortune, as much as a good one is a great blessing.","This proverb has Arab origins, as it is repeated in many Arab countries, especially Egypt, and Egyptians say, ""Choose your neighbor before your house."" There is a story behind this proverb. It goes back to a man who was a neighbor of Abu Daf Al-Baghdadi. This man's need became severe and his debts increased, so he had no choice but to sell his house. He actually put his house up for sale for 1,000 dinars, while his house was valued at only 500 dinars, and this is what most of his neighbors told him. When Abu Daf Al-Baghdadi repeated the information that the house was valued at 500 dinars, he said to him, ""I am selling the house for 500 dinars, and the neighbors for 500 dinars."" Abu Daf Al-Baghdadi was surprised by his response, so he offered him help and assistance and paid off his debts. The man confirmed that when he bought his house 20 years ago, he was thinking about the neighborhood with whom he had a brotherly and friendly relationship and found them to be of good origin. When his sons got married and left him, he refused to leave his friendship and neighborhood, which he saw as valuable to him as much as the value of his house."
MID0045,الحاجة أمّ الاختراع,Necessity is the mother of invention.,It states that the primary driving force for most new inventions is a need.
MID0046,الحُبُّ أَعْمَى. ,Love is blind,Love can be so emotional that it affects a person's ability to think rationally.
MID0047,الدّالّ على الخير كفاعله, But remember that good intentions pave many roads. Not all of them lead to hell.,Someone who directs or helps others to do a good deed is considered as if he had done the deed himself. The person who directs others to do a good deed is rewarded as much as the person who did the deed.
MID0048,الصباح رباح.,let's call it a night.,"Whatever you do in the morning will bring you profit and benefit, and it is proverb describes preferring to do something in the morning rather than in the evening."
MID0049,الصحة تاج على رؤوس الأصحاء لا یراه إلا المرضى.,Health is not valued till sickness comes.,"It means that health is a great blessing and a precious treasure, but healthy people may not fully appreciate it. They do not realize its real value until they face health problems or get sick, and they become more aware of the importance of the health they had without noticing its value."
MID0050,الصّديق وقت الضّيق, A friend in need is a friend indeed.,"There was a man who advised his son to choose his friends carefully and to be close to only one and stay away from the rest because they are of no use to him when he needs them, but the son refused and defended them, saying, ""My friends are loyal like your friends, father.""

The father decided to test his son's friends to prove that he is true, so he asked him to slaughter a sheep and stain the ground with blood. He went to his son's first friend at night and knocked on the door. He came out and greeted him, and the father said, ""The son of your friend's neighbor had a quarrel with your friend, and killed him. We want you to come with us to look into the matter."" He said, ""He is not my friend, and I do not know him."" And so on until the last of his friends.

The father asked his son to go to his friends and tell them what happened, because they were all his father's friends. They all came to the house, and when they entered, they said, ""Where is the dead man?"" Then he took them into the dining room and found a cooked sheep!

The friends got angry and said, ""This is a test for us,"" and he said, ""No, but it is a lesson for my son, so that he may know that ""a friend in need is a friend indeed."" This proverb is repeated to this day."
MID0051,الطبع يغلب التطبّع, What is bred in the bone cannot come out of the flesh.,"It means that the fact that a person has two types of characteristics; characteristics that are inherent in him and others that are acquired. The first of these cannot be changed, and if it is changed, the change is very difficult, and it is the nature. It is not a necessary that these characteristics are positive or negative. For example: generosity, kindness, good origin, goodness, and the person being one-faced with all people."
MID0052,الطيور على أشكالها تقع.,Birds of feather flock together,"The proverb expresses that the connection between people in life is not random, as good pmen are for good women and bad men are for bad women."
MID0053,الطیبون للطیبات.,A good Jack makes a good Jill.,It suggests that people with good morals and good intentions attract and deserve each other in social or personal relationships.
MID0054,العقل السلیم في الجسم السلیم.,A sound mind in a sound body.,"It indicates that body care, good nutrition and exercise contribute to improving mental and intellectual abilities."
MID0055,العلم قوّة.,Knowledge is power.,"Knowledge and science give power and the ability to influence. An educated person has tools and resources that help him achieve his goals and face challenges, while ignorance restricts him and limits his ability to progress and influence."
MID0056,الغاية تبرر الوسيلة ,The end justifies the means,"If the goal is big and important, the method used to achieve it, even if it is not ideal, is allowed."
MID0057,القَشَّة التي قَصمَت ظَهِر البَعير.,The last straw.,This proverb expresses how a simple event or small problem can lead to the collapse of something greater.
MID0058,القناعة كنز لا یفنى.,Enough is as good as a feast.,It indicates that contentment and satisfaction with the blessings you have brings more happiness and reassurance than looking forward to what you do not have.
MID0059,الكتاب يُقرأ من عنوانه,English equivalent is actually the opposite meaning: never judge a book by its cover.,It means that we can judge people by their appearance or the way they deal with and talk. It is as if we know their secrets and what is in their hearts. This is contrary to what we have experienced in our lives and our dealings with people and situations.
MID0060,اللّبيب بالإشارة يفهم,A word to a wise man is enough.,"The intelligent person understands quickly and does not need much explanation and clarification, to the point that he can understand the matter by hand hint and other things without speaking."
MID0061,المَرء على دين خليله ,A man is known by the company he keeps.,Choosing the right friends is important because it affects an individual's behavior and beliefs.
MID0062,المصائب لا تأتي فرادى.,An evil chance seldom comes alone.,"Hard times may come and go, making them more difficult to deal with."
MID0063,المكتوب ما منه مهروب.,No flying from fate.,"The proverb indicates that no one can prevent the destiny, as everyone has a destiny in this life that is written for him and he cannot change it."
MID0064,المَمنُوع مَرْغُوب.,Forbidden fruit is the sweetest.,Prohibition may increase people's desire to obtain or experience the forbidden thing.
MID0065,النظافة من الإيمان,Cleanliness is next to godliness.,A wisdom that urges cleanliness and that a person’s cleanliness reflects his faith.
MID0066,الهُدُوءُ الّذي يَسْبِقُ العَاصِفَةَ ,calm before the storm.,It means that there is a period of stillness or calm before a major event or upcoming crisis occurs.
MID0067,الوحدة خیر من جلیس السوء.,It is better to be alone than in bad company,Abu Ubaid said that this is one of their common proverbs in ancient and modern times.
MID0068,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Prevention is better than cure,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
MID0069,الوقتُ كالسَّيْفِ إن لم تَقْطعهُ قَطَعَك. ,Time is money,"Time is like a sword, because it can be a useful tool if you use it right, or it can hurt you if you neglect it."
MID0070,بلغ السيل الزبى,to become unbearable ,"This proverb is used to express that a situation has reached the point of extreme aggravation or distress, and cannot be tolerated any longer."
MID0071,بین المطرقة والسندان.,Between the upper and nether millstone.,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides."
MID0072,تجري الرياح بما لا تشتهي السّفن,Things don’t always go as they’re planned.,"This is a line from a verse by Al-Mutanabbi, which is a metaphor means that life does not always go according to one’s desires."
MID0073,خاطبوا الناس على قدر عقولهم.,Address people in the language they can understand.,It means that communication with people should be done according to their level of understanding and intellect.
MID0074,خذو الحكمة من أفواه البسطاء.,For the LORD gives wisdom; from his mouth come knowledge and understanding.,Wisdom and advice are taken from someone who has been in the same situation. 
MID0075,خير البر عاجله,"The sooner, the better ",The proverb refers to the importance of doing good quickly and not postponing it.
MID0076,خير الكلام ما قلّ ودلّ,Less is more.,"It is an equivalent for the popular proverb, “If speech is silver, then silence is gold.” This proverb and wisdom were used in many situations where people prolong their speech without benefit or advantage. It was also used to give advice to children and teach them the principles of public speaking and sobriety."
MID0077,خیر الأمور أوسطھا.,Everything in moderation.,"It is used to urge us to be economical. An Arab said to Al-Hasan Al-Basri: Teach me a moderate religion, neither going too far nor falling too low. He said: Well done, O Arab. The best things are the middle ones."
MID0078,دق الحديد وهو حامي.,Strike while the iron is hot.,"The proverb means hurry up to accomplish what is asked of you without delay or slowing down. For example, when the required work is postponed, a person may lose an important opportunity that was destined for him, or it may become more difficult to implement what is required of him. This is like striking iron when it is hot, so it becomes easier to bend and shape it."
MID0079,رُب أخ لم تلده أمك.,Your brother from another mother.,"This proverb describes a loyal friend who is like a brother not born of our mother. The story behind it has nothing to do with loyalty. According to the story, Luqman the Wise passed by a tent and found a woman sitting with a man. He asked her for a drink, so she gave him some to drink. Then he saw a child crying without anyone caring about him, so he asked who this child was. She replied that he belonged to her husband. He asked her about the man sitting with her, and she replied that he was her brother. He said, “There may be a brother you have whom your mother did not give birth to.” What he meant by that was that he realized that this man was not her brother and left the house."
MID0080,رحم الله امرءًا عرف قدر نفسه.,Cut your coat according to your cloth.,It indicates the importance of a person being realistic and knowing the limits of his abilities and ambitions without bragging or overestimating.
MID0081,طباخ السم يذوقه.,What goes around comes around.,"Anyone who participates in a work must get his share of it. If this work or cooking is poisonous, the cook may forget and taste it."
MID0082,عاد بخفي حُنَيْن / عاد خالي الوفاض,Cut off without a penny ,"Hunayn, a cobbler from Al-Hirah, was angered when a Bedouin haggled over a pair of shoes and then left without buying them. To teach him a lesson, Hunayn placed one shoe on a tree and another along the Bedouin's path. When the Bedouin dismounted to collect the shoes, Hunayn stole his camel and fled. The Bedouin returned to his people with only the shoes, leading to the saying ""I brought you Hunayn's shoes,"" used to describe returning empty-handed and disappointed."
MID0083,عادت حليمة لعادتها القديمة.,Old habits die hard.,"This proverb is used when someone gives up a habit, generally bad, and then returns to it again. There are many stories behind it, but the most common one is about Halima, the wife of Hatim al-Ta'i, who was famous for his generosity. She was known for her extreme stinginess. She used to put very small amounts of ghee when cooking, and her husband told her that the ancients used to say that every time a woman put a spoonful of ghee in a cooking pot, Allah would extend her life by a day. So she started adding more spoonfuls of ghee to her cooking. But after a while, her only son died, so she wished for death and started adding less ghee to shorten her life. People said: Halima has returned to her old habit."
MID0084,عامل الناس كما تحب أن تُعامَل.,Do as you would be done.,"This proverb encourages empathy and mutual respect, and urges behavior in ways that make human relationships more positive and polite."
MID0085,عُصْفُورٌ باليَدّ خيرٌ من عشرة على الشجرة.,A bird in the hand is worth two in the bush.,"An old popular proverb that is said to indicate the importance of doing things that have guaranteed results, even if they do not involve great benefits, instead of doing things that are not thought out and may not bring any benefit to the person, no matter how many potential benefits they may have."
MID0086,على أحر من الجمر,On pins and needles ,It refers to a person who feels very tense or anxious and waiting nervously.
MID0087,على قدم و ساق,In full swing.,It is used to refer to the effort put into carrying out a work or project quickly and efficiently.
MID0088,على نفسها جَنَتْ براقش.,She digs her own grave.,This proverb is an ancient Arabic proverb. The story of a proverb: (Baraqish) is a dog that led the enemy soldiers to her family because of her barking. It was said (Baraqish has brought it upon its family.) and it was said (upon itself). This ancient popular proverb is used to describe someone who harms himself. It is an equivalent for: (He asked for it).
MID0089,عن ظهر قلب ,Like the back of my hand,It means that the person knows something very well or has memorized it completely.
MID0090,عند البطون ضاعت العقول,A hungry stomach has no ears.,"This proverb refers to a person who loses all his mental strength when he is hungry, as all he is thinking about is how to get food, so he becomes weak and unable to speak or resist, and he uses force instead of reason."
MID0091,فرق تسد,Divide and conquer ,This proverb refers to a strategy used to divide individuals or groups in order to gain control or benefit from the division.
MID0092,في الاتحاد قوة.,Unity is power.,"When Aktham bin Al-Saifi Al-Tamimi felt his death was approaching, he called his sons, gave them a bundle of sticks, and asked each one of them to break it into small and separate pieces. No one, no matter how strong, could break the bundle while it was together. So the father took the bundle and separated it from each other, then gave it to his sons, and gave it to them to break it again while it was separate. They found it easy to break it, and each one of them was able to break it without any effort. He said to them: ""My sons, there is strength in unity, and your coming together will make all your enemies unable to break you, just as you were unable to break these sticks together. Division is weakness and disagreement is destruction. A person is like a stick, if he unites with others, he becomes strong and powerful. Perhaps the weak who unite are better than the strong who separate, for one of you is weak on his own but strong with his brother."" These were the best words of his."
MID0093,في التأني السلامة وفي العجلة الندامة.,Haste makes waste ,It emphasizes the importance of thinking and taking time before acting to avoid mistakes and problems.
MID0094,في الحب و الحرب كل وسیلة مشروعة.,All is fair in love and war.,It is an expression of justification for using unusual or even dishonest methods to achieve desires in these special cases.
MID0095,قاب قوسين أو أدنى,Just around the corner.,Indicates that something or someone is very close to achieving their goal or reaching their desired status.
MID0096,كالمستجیر من الرمضاء بالنار.,Out of the frying-pan into the fire.,This proverb refers to a person who escapes the heat of the scorching heat by taking refuge in the fire is like someone who escapes from a problem only to fall into an even more serious one.
MID0097,كل إناء ينضح بما فيه.,What's bred in the bone will come out in the flesh.,Everything comes out looking like the original.
MID0098,كل بنى آدم خطاء,To err is human,"It means that all humans make mistakes, and that making mistakes is part of human nature. It indicates that perfection is not possible for humans and that everyone makes mistakes from time to time."
MID0099,كما تزرع تحصد.,"As you sow, so shall you reap.",It is used to encourage doing good.
MID0100,لكل مقام مقال، لكل حادث حديث ,There is a time and place for everything.,"It means that every matter, action, or speech has a place that cannot be placed anywhere else. Ibn al-A'rabi recited:
Have mercy on me, may God guide you... For every situation there are suitable words
He said: It means be good to me so that I may remember you in every situation with your good deeds."
MID0101,ما خاب من استشار.,Advice is ever in want.,"The proverb means that it is wise and sensible to seek advice from others in cases of uncertainty related to making a decision or embarking on a new experience or when confused about choosing between multiple options, as well as in the event of facing personal problems or even when facing conflicts in the work environment and other similar situations, as consultation increases the likelihood of reaching the prefect decision."
MID0102,مصائب قوم عند قوم فوائد,One man’s meat is another man’s poison.,"The problems or disturbances that your opponent or enemy suffer may be useful for you, as you can benefit from problems they have, so that you can make progress or outperform your opponent."
MID0103,من تدخل فيما لا يعنيه، سمع ما لا يرضيه.,keep your nose out of other people's business.,"Interfering in the affairs of others is intended to find fault with people, and is religiously forbidden. Moreover, it is an immoral act. Your non-interference in the affairs of others is your duty, not a favor."
MID0104,من خرج من داره قلَّ مقداره.,"East or west, home is best ","This old Arabic proverb shows the importance of a person not imposing himself on others and not going to a place where he has no value. He should not be a burden on anyone, and this is what makes him be great for people and preserve his value and worth. Whoever imposes himself on others will not be valued by them."
MID0105,من طلب العلا سهر الليالي,"No pain, no gain.","The meaning of the proverb lies in working hard and diligence in order to achieve the desired wishes, and also that many sacrifices must be made and not surrender in the face of obstacles."
MID0106,يحصد المرء ما زرع,you reap what you sow.,He got what he deserved.
MID0107,يزيد الطين بلّة.,Add fuel to the fire.,It is said for those who make things more difficult and complicated.
MID0108,يضحك كثيرا من يضحك أخيرا,He laughs best who laughs last.,It is a proverb with a great motivational meaning that the end is for those who laugh last.
MID0109,آخرِةْ المَعروف الضَرب بِالكُفوف,No good deed goes unpunished.,It is said to punish good with evil. They say: “He was hit by a hand” if he slapped him in the face. There is a similar proverb: “The last service of the invaders was beating.”
MID0110,آدي الجَمَل وآدي الجَمَّال,Let’s get everything out on the table.,This proverb emphasizes the full presence of all parties to an event.
MID0111,أبو بلاش كتر منه,No such thing as a free lunch.,"If there is something free does no harm, but it is considered booty; so take as much of it as you can."
MID0112,أَبُو جُعْرَانْ فِي بِيتُهْ سُلْطَانْ,Every dog is a tiger in his own street.,"No matter how lowly a person is despised in the eyes of others, he has pride in himself and his home that he feels."
MID0113,أقول له طور، يقول احلبوه.,Like talking to a brick wall.,"It is said about someone who deviates from the clear truth, even if he is told about an animal that it is a bull (i.e. a male bull), he says: Milk it, and the male is not milked."
MID0114,أهي ليلة وفراقها صُبح,Gloom of night will lift and vanish,We have to endure the darkness of the night because it will soon end at the break of dawn.
MID0115,إدي العيش لخبازه، ولو أكل نصه,Never send a boy to do a man's job.,"A person should seek the help of people with knowledge and experience, no matter what the cost; this is better than entrusting his projects or affairs to those who do not know (in order to save money), and then what he wants will end up being lost."
MID0116,إذا كان الكلام من فضة فالسكوت من ذهب.,"Speech is silver, silence is gold.","It is said when talking about something that increases problems, then silence is better."
MID0117,إذا كان حبيبك عسل ما تلحسوش كله                                       ,Don't take advantage of a good thing.,"It means if someone lets you do something, don't go any further."
MID0118,إن عشقت اعشق قَمر، وإن سرقت اسرق جمل.,Go big or go home.,"If you are to be blamed for something, then do something so great that is worthy to be blamed."
MID0119,إن غاب القط، العب يا الفار,When the cat is away the mice will play.,This proverb is used to describe the chaos that occurs in the absence of officials.
MID0120,إيد واحدة ما تسقفش,It takes two to tango.,People must work together to achieve success.
MID0121,ابجني تجدني ,Show me your green,"Pay me the money, and I will be at your service."
MID0122,ابن الوز عوام,The apple doesn’t fall far from the tree.,"This proverb refers to someone's talent that is inherited from his father, or to praise both the son and the father. The story of the proverb: There was a goose that laid two eggs and died, so the owner of the goose took these two eggs and put them with the eggs of a hen so that they would hatch together, and after the eggs hatched, the two geese lived with the chickens. One day, the hen and her children approached a water basin, so the two geese jumped into the water and started swimming without any prior training, so the owner of the hen said, ""The son of a goose is a swimmer."""
MID0123,ابنك زي ما تربيه، وجوزك زي ما تعوديه.,The apple doesn’t fall far from the tree.,"The proverb is used for someone who inherits certain skills from his parents, and as another proverb says, “This cub is from that lion.”"
MID0124,اِتْعَلِّم الحِجَامَة فِي رُوسِ الْيَتَامَى,A burnt child dreads the fire.,"Meaning: He was trained in this craft in the heads of orphans, because they need to get a haircut without paying money, and none of them would object if he made a mistake. It is used for someone who take an advantage of the weak people to benefit him, even if it will harm them."
MID0125,اِتْغَدَّى بُهْ قَبْلْ مَا يِتْعَشَّى بَكْ,Get your blow in first.,Eat him before he eats you. It comes from the Arab proverb: “Eat a goat for lunch before it eats you for dinner.” It is used to encourage being firm. Among the proverbs of the modern generation mentioned in Majma’ al-Amthal with the same meaning is: “Catch the thief before he catches you.”
MID0126,اتقل عالرز يستوي,Easy does it.,"There are things that require patience and endurance, just as rice needs a very low flame to cook on."
MID0127,احنا في الهوا سوا.,We are in the same boat.,It is a metaphorical expression that means that we are in the same situation.
MID0128,اربُط الحمار مَطرح ما صاحبه عايز,"Obey orders, if you break owners.","This proverb is said as a warning against not doing something without asking its owner, in order to be safe from the consequences. It means you have to implement the what is required without discussing it, because the donkey might be lost or stolen, so you will not be blamed."
MID0129,اسأل مجرب ولا تسأل طبيب.,Experience is the best teacher.,The proverb shows the preference of someone who has tried something or gone through an experience over a doctor.
MID0130,اسمع كلامك أصدقك أشوف أمورك استعجب,Put your money where your mouth is.,It indicates a contradiction in actions that do not match what is said and a lack of honesty.
MID0131,اشتري دماغك,Ease your mind.,It means not getting into an argument and giving your mind a break from getting into potentially trivial discussions.
MID0132,اضرب المربوط يخاف السايب,kill the chicken to scare the monkey.,"If a person intends to do something and sees another person being beaten or humiliated for doing the same thing, he becomes terrified and does not do it for fear of being humiliated."
MID0133,اطبخى يا جاريه كلِّف يا سيدي.,If you pay peanuts you get monkeys.,The maid cannot cook unless her master brings her the ingredients to prepare the food. Meaning: Nothing comes from nothing or without preparation. It also means that you can make anything by money.
MID0134,اقلب القدرة على فُمها تطلع البنت لأمها,Like mother like daughter.,"It means that nature prevails over nurture in women, even if a woman practices behavior that is different from her mother, she will have the same characteristics as her mother."
MID0135,اكل مسني واعيش مهني، ولا كبابك اللي قتلني/ لاقيني ولا تغديني.,A civil denial is better than a rude grant.,A little food with peace of mind is better than the best food with humiliation or harm.
MID0136,الأرض تضرب ويا اصحابها.,Defend your home.,Defend your land.
MID0137,الإبرة اللي فيها خيطين ما تخيطش,Two cooks spoil the broth.,"Because a needle is so fine that only one thread can go into a garment. A matter that depends on two things cannot be completed, because they may differ. Similar to this is the proverb: “A ship that has two captains will sink.”"
MID0138,الجايات أحسن من الرايحات.,There’s always a next time. ,"It is said by someone who is trying to convince another person that he will satisfy him next time, whether in an invitation, paying money, or in anything else."
MID0139,الجوع كافر.,A hungry belly has no ears.,"Severe hunger may lead some people to disbelief, disobedience, and abandonment of acts of obedience."
MID0140,الحِدَّاية ما بِتْحَدِّفْش كَتاكيت.,"-There’s always a catch.
-You don’t get something for nothing.","The proverb is said for someone who expects something good from evil people, such as a gift from a miser, a trust from a thief, or a free gift from someone whose only intention is always to make a profit."
