sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
ENG0378,English,Where there's a will there's a way.,Where there's a will there's a way.,Where there's a will there's a way.,"['A prophet is not recognized in his own land', 'Money doesn’t grow on trees', 'Rob Peter to pay Paul']",False,S1,Money doesn’t grow on trees,Rob Peter to pay Paul,Where there's a will there's a way.,A prophet is not recognized in his own land,C
ENG0566,English,Enough is enough,Enough is enough,Enough is enough,"[""Diamonds are a girl's best friend"", 'One today is worth two tomorrows.', 'Laugh and grow fat']",False,S1,Diamonds are a girl's best friend,One today is worth two tomorrows.,Laugh and grow fat,Enough is enough,D
ENG0304,English,Great oaks from little acorns grow.,Great oaks from little acorns grow.,Great oaks from little acorns grow.,"[""Fool's errand"", 'As you make your bed, so you must lie upon it', ""The apple doesn't fall far from the tree""]",False,S1,Great oaks from little acorns grow.,Fool's errand,"As you make your bed, so you must lie upon it",The apple doesn't fall far from the tree,A
ENG0572,English,Diamonds are a girl's best friend,Diamonds are a girl's best friend,Diamonds are a girl's best friend,"['Opportunity seldom knocks twice.', 'The more you stir it, the more it stinks', 'Fling dirt enough and some will stick']",False,S1,Fling dirt enough and some will stick,Diamonds are a girl's best friend,Opportunity seldom knocks twice.,"The more you stir it, the more it stinks",B
ENG0366,English,Variety is the spice of life.,Variety is the spice of life.,Variety is the spice of life.,"['A great city, a great solitude', 'A mill cannot grind with the water that is past', 'Rob Peter to pay Paul']",False,S1,A mill cannot grind with the water that is past,Rob Peter to pay Paul,Variety is the spice of life.,"A great city, a great solitude",C
ENG0819,English,Rob Peter to pay Paul,Rob Peter to pay Paul,Rob Peter to pay Paul,"['Little by little and bit by bit', 'Money doesn’t grow on trees', 'The highest branch is not the safest roost']",False,S1,Little by little and bit by bit,Money doesn’t grow on trees,The highest branch is not the safest roost,Rob Peter to pay Paul,D
ENG2013,English,One today is worth two tomorrows.,One today is worth two tomorrows.,One today is worth two tomorrows.,"['As you make your bed, so you must lie upon it', 'Enough is enough', 'Stone -dead hath no fellow']",False,S1,One today is worth two tomorrows.,"As you make your bed, so you must lie upon it",Enough is enough,Stone -dead hath no fellow,A
ENG0068,English,Dead as a doornail,Dead as a doornail,Dead as a doornail,"['Men are blind in their own cause', 'Curses, like chickens, come home to roost.', 'Children and fools tell the truth']",False,S1,Children and fools tell the truth,Dead as a doornail,Men are blind in their own cause,"Curses, like chickens, come home to roost.",B
ENG1613,English,"The more you stir it, the more it stinks","The more you stir it, the more it stinks","The more you stir it, the more it stinks","['Every dog has his day.', 'Where there’s a will there’s a way.', 'Opportunity seldom knocks twice.']",False,S1,Where there’s a will there’s a way.,Opportunity seldom knocks twice.,"The more you stir it, the more it stinks",Every dog has his day.,C
ENG0225,English,The more the merrier,The more the merrier,The more the merrier,"['Curses, like chickens, come home to roost.', ""Diamonds are a girl's best friend"", 'One today is worth two tomorrows.']",False,S1,"Curses, like chickens, come home to roost.",Diamonds are a girl's best friend,One today is worth two tomorrows.,The more the merrier,D
ENG1589,English,Care brings gray hair,Care brings gray hair,Care brings gray hair,"['Stone -dead hath no fellow', 'Children and fools tell the truth', 'Knowledge is a treasure, but practice is the key to it']",False,S1,Care brings gray hair,Stone -dead hath no fellow,Children and fools tell the truth,"Knowledge is a treasure, but practice is the key to it",A
ENG1956,English,Knowledge in youth is wisdom in age.,Knowledge in youth is wisdom in age.,Knowledge in youth is wisdom in age.,"['Horse-sense', 'Where there’s a will there’s a way.', 'One today is worth two tomorrows.']",False,S1,One today is worth two tomorrows.,Knowledge in youth is wisdom in age.,Horse-sense,Where there’s a will there’s a way.,B
ENG1244,English,"Knowledge is a treasure, but practice is the key to it","Knowledge is a treasure, but practice is the key to it","Knowledge is a treasure, but practice is the key to it","['Variety is the spice of life.', 'Water is a boon in the desert, but the drowning man curses it.', 'The tongue ever turns to the aching too th']",False,S1,"Water is a boon in the desert, but the drowning man curses it.",The tongue ever turns to the aching too th,"Knowledge is a treasure, but practice is the key to it",Variety is the spice of life.,C
ENG0463,English,Why buy a cow when milk is so cheap?,Why buy a cow when milk is so cheap?,Why buy a cow when milk is so cheap?,"['Stone -dead hath no fellow', ""Don't wash your dirty linen in public."", ""The apple doesn't fall far from the tree""]",False,S1,Stone -dead hath no fellow,Don't wash your dirty linen in public.,The apple doesn't fall far from the tree,Why buy a cow when milk is so cheap?,D
ENG0663,English,Money isn’t everything,Money isn’t everything,Money isn’t everything,"['Rob Peter to pay Paul', 'A mill cannot grind with the water that is past', 'A great city, a great solitude']",False,S1,Money isn’t everything,Rob Peter to pay Paul,A mill cannot grind with the water that is past,"A great city, a great solitude",A
ENG1785,English,"As you make your bed, so you must lie upon it","As you make your bed, so you must lie upon it","As you make your bed, so you must lie upon it","['Stone -dead hath no fellow', 'The more you stir it, the more it stinks', 'One today is worth two tomorrows.']",False,S1,One today is worth two tomorrows.,"As you make your bed, so you must lie upon it",Stone -dead hath no fellow,"The more you stir it, the more it stinks",B
ENG1032,English,The tongue ever turns to the aching too th,The tongue ever turns to the aching too th,The tongue ever turns to the aching too th,"['Variety is the spice of life.', 'Laugh and grow fat', 'Stone -dead hath no fellow']",False,S1,Laugh and grow fat,Stone -dead hath no fellow,The tongue ever turns to the aching too th,Variety is the spice of life.,C
ENG1771,English,No such thing as bad publicity,No such thing as bad publicity,No such thing as bad publicity,"['Laugh and grow fat', 'Knowledge in youth is wisdom in age.', 'There will be sleeping enough in the grave']",False,S1,Laugh and grow fat,Knowledge in youth is wisdom in age.,There will be sleeping enough in the grave,No such thing as bad publicity,D
ENG1628,English,"A great city, a great solitude","A great city, a great solitude","A great city, a great solitude","['The more you stir it, the more it stinks', 'Great oaks from little acorns grow.', 'Knowledge is a treasure, but practice is the key to it']",False,S1,"A great city, a great solitude","The more you stir it, the more it stinks",Great oaks from little acorns grow.,"Knowledge is a treasure, but practice is the key to it",A
ENG2018,English,Opportunity seldom knocks twice.,Opportunity seldom knocks twice.,Opportunity seldom knocks twice.,"['Stone -dead hath no fellow', 'There will be sleeping enough in the grave', 'Enough is enough']",False,S1,Enough is enough,Opportunity seldom knocks twice.,Stone -dead hath no fellow,There will be sleeping enough in the grave,B
ENG1923,English,The best advice is found on the pillow.,The best advice is found on the pillow.,The best advice is found on the pillow.,"['The tongue ever turns to the aching too th', 'As you make your bed, so you must lie upon it', 'There are two sides to every question']",False,S1,"As you make your bed, so you must lie upon it",There are two sides to every question,The best advice is found on the pillow.,The tongue ever turns to the aching too th,C
ENG0313,English,Don't wash your dirty linen in public.,Don't wash your dirty linen in public.,Don't wash your dirty linen in public.,"['Great oaks from little acorns grow.', 'There is a thin line between genius and insanity', 'Silence gives consent.']",False,S1,Great oaks from little acorns grow.,There is a thin line between genius and insanity,Silence gives consent.,Don't wash your dirty linen in public.,D
ENG2189,English,A prophet is not recognized in his own land,A prophet is not recognized in his own land,A prophet is not recognized in his own land,"['Variety is the spice of life.', 'Care brings gray hair', 'Knowledge is a treasure, but practice is the key to it']",False,S1,A prophet is not recognized in his own land,Variety is the spice of life.,Care brings gray hair,"Knowledge is a treasure, but practice is the key to it",A
ENG1876,English,"Curses, like chickens, come home to roost.","Curses, like chickens, come home to roost.","Curses, like chickens, come home to roost.","['The more you stir it, the more it stinks', 'There are two sides to every question', 'Flogging a dead horse']",False,S1,Flogging a dead horse,"Curses, like chickens, come home to roost.","The more you stir it, the more it stinks",There are two sides to every question,B
ENG1655,English,Better die with honor than live with shame,Better die with honor than live with shame,Better die with honor than live with shame,"['Dead as a doornail', 'Knowledge is a treasure, but practice is the key to it', ""Don't wash your dirty linen in public.""]",False,S1,"Knowledge is a treasure, but practice is the key to it",Don't wash your dirty linen in public.,Better die with honor than live with shame,Dead as a doornail,C
ENG1321,English,There is a thin line between genius and insanity,There is a thin line between genius and insanity,There is a thin line between genius and insanity,"['A great city, a great solitude', 'Variety is the spice of life.', 'Money doesn’t grow on trees']",False,S1,"A great city, a great solitude",Variety is the spice of life.,Money doesn’t grow on trees,There is a thin line between genius and insanity,D
ENG1010,English,There are two sides to every question,There are two sides to every question,There are two sides to every question,"['Honor among thieves – There’s', 'Laugh and grow fat', 'Scratch a Russian, and you will find a Tartar']",False,S1,There are two sides to every question,Honor among thieves – There’s,Laugh and grow fat,"Scratch a Russian, and you will find a Tartar",A
ENG0370,English,"Water is a boon in the desert, but the drowning man curses it.","Water is a boon in the desert, but the drowning man curses it.","Water is a boon in the desert, but the drowning man curses it.","['Scratch a Russian, and you will find a Tartar', 'Flogging a dead horse', ""The apple doesn't fall far from the tree""]",False,S1,The apple doesn't fall far from the tree,"Water is a boon in the desert, but the drowning man curses it.","Scratch a Russian, and you will find a Tartar",Flogging a dead horse,B
ENG0109,English,Flogging a dead horse,Flogging a dead horse,Flogging a dead horse,"['Money isn’t everything', 'Horse-sense', 'A prophet is not recognized in his own land']",False,S1,Horse-sense,A prophet is not recognized in his own land,Flogging a dead horse,Money isn’t everything,C
ENG1944,English,Drastic times call for drastic measures.,Drastic times call for drastic measures.,Drastic times call for drastic measures.,"['Variety is the spice of life.', 'The tongue ever turns to the aching too th', ""Fool's errand""]",False,S1,Variety is the spice of life.,The tongue ever turns to the aching too th,Fool's errand,Drastic times call for drastic measures.,D
ENG0450,English,The highest branch is not the safest roost,The highest branch is not the safest roost,The highest branch is not the safest roost,"['Money doesn’t grow on trees', 'A mill cannot grind with the water that is past', 'Knowledge in youth is wisdom in age.']",False,S1,The highest branch is not the safest roost,Money doesn’t grow on trees,A mill cannot grind with the water that is past,Knowledge in youth is wisdom in age.,A
ENG0928,English,Laugh and grow fat,Laugh and grow fat,Laugh and grow fat,"['Care brings gray hair', 'Great oaks from little acorns grow.', 'Money isn’t everything']",False,S1,Money isn’t everything,Laugh and grow fat,Care brings gray hair,Great oaks from little acorns grow.,B
ENG2124,English,Honor among thieves – There’s,Honor among thieves – There’s,Honor among thieves – There’s,"['There will be sleeping enough in the grave', 'Drastic times call for drastic measures.', ""Diamonds are a girl's best friend""]",False,S1,Drastic times call for drastic measures.,Diamonds are a girl's best friend,Honor among thieves – There’s,There will be sleeping enough in the grave,C
ENG0498,English,Children and fools tell the truth,Children and fools tell the truth,Children and fools tell the truth,"['The best advice is found on the pillow.', 'Believe not all that you see nor half what you hear', 'Enough is enough']",False,S1,The best advice is found on the pillow.,Believe not all that you see nor half what you hear,Enough is enough,Children and fools tell the truth,D
ENG1133,English,A mill cannot grind with the water that is past,A mill cannot grind with the water that is past,A mill cannot grind with the water that is past,"['The more you stir it, the more it stinks', 'Knowledge in youth is wisdom in age.', 'Knowledge is a treasure, but practice is the key to it']",False,S1,A mill cannot grind with the water that is past,"The more you stir it, the more it stinks",Knowledge in youth is wisdom in age.,"Knowledge is a treasure, but practice is the key to it",A
ENG1644,English,Fling dirt enough and some will stick,Fling dirt enough and some will stick,Fling dirt enough and some will stick,"['Good beginning makes a good ending', 'The more the merrier', 'Great oaks from little acorns grow.']",False,S1,Great oaks from little acorns grow.,Fling dirt enough and some will stick,Good beginning makes a good ending,The more the merrier,B
MID0381,Arabic,اللي ما رضى خببزة يرضى بنصها ,Half a loaf is better than no bread,Half a loaf is better than no bread,"['let bygones be bygones.', 'Born to suffer./ You can not escape bad luck', 'The best answer will come from the person who is not angry.']",False,S1,Half a loaf is better than no bread,let bygones be bygones.,Born to suffer./ You can not escape bad luck,The best answer will come from the person who is not angry.,A
MID0854,Arabic,إنك تضرب في حديد بارد,You are striking cold iron.,You are striking cold iron.,"['Let them drink and forget their poverty and remember their misery no more.', 'He who does not know mistakes does not learn', ""A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.""]",False,S1,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,You are striking cold iron.,Let them drink and forget their poverty and remember their misery no more.,He who does not know mistakes does not learn,B
MID0356,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,Spend money to make money.,Spend money to make money.,"['Cut your coat according to your cloth.', 'Let them drink and forget their poverty and remember their misery no more.', 'For the Bedouin, it’s all soap']",False,S1,Let them drink and forget their poverty and remember their misery no more.,"For the Bedouin, it’s all soap",Spend money to make money.,Cut your coat according to your cloth.,C
MID0358,Arabic,الصديق وقت الضيق.,A friend in need is a friend indeed.,A friend in need is a friend indeed.,"['What goes around comes around.', 'Climbing the ladder of success by stepping on others.', 'Spend money to make money.']",False,S1,What goes around comes around.,Climbing the ladder of success by stepping on others.,Spend money to make money.,A friend in need is a friend indeed.,D
MID0363,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,Biting the hand that feeds him.,Biting the hand that feeds him.,"['Apples and oranges.', 'The grass is always greener on the other side', 'A friend in need is a friend indeed.']",False,S1,Biting the hand that feeds him.,Apples and oranges.,The grass is always greener on the other side,A friend in need is a friend indeed.,A
MID0487,Arabic,وِجّو بيقطع الرزق,a jinx on the house,a jinx on the house,"['Putting lipstick on a pig.', 'The worst is yet to come.', 'If you are always dwelling in trouble change the address.']",False,S1,If you are always dwelling in trouble change the address.,a jinx on the house,Putting lipstick on a pig.,The worst is yet to come.,B
MID0705,Arabic,إطعم الفم تستحى العين.,A bribe works miracles.,A bribe works miracles.,"['A penny saved is a penny earned.\n', 'A friend in need is a friend indeed.', 'For the Bedouin, it’s all soap']",False,S1,A friend in need is a friend indeed.,"For the Bedouin, it’s all soap",A bribe works miracles.,A penny saved is a penny earned.,C
MID0596,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,Let them drink and forget their poverty and remember their misery no more.,Let them drink and forget their poverty and remember their misery no more.,"[' If you humble yourself too much, you will get trampled on.', 'Happiness is contagious.', 'Prevention is better than cure']",False,S1,"If you humble yourself too much, you will get trampled on.",Happiness is contagious.,Prevention is better than cure,Let them drink and forget their poverty and remember their misery no more.,D
MID0552,Arabic,جمل يعصر وجمل ياكل العصارة:,Climbing the ladder of success by stepping on others.,Climbing the ladder of success by stepping on others.,"['Think before you speak.', 'You are striking cold iron.', 'For the Bedouin, it’s all soap']",False,S1,Climbing the ladder of success by stepping on others.,Think before you speak.,You are striking cold iron.,"For the Bedouin, it’s all soap",A
MID0031,Arabic,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
","A penny saved is a penny earned.
","['Biting the hand that feeds him.', 'The best answer will come from the person who is not angry.', 'What goes around comes around.']",False,S1,What goes around comes around.,A penny saved is a penny earned.,Biting the hand that feeds him.,The best answer will come from the person who is not angry.,B
MID0591,Arabic,رمية من غير رامي,A flash in a pan.,A flash in a pan.,"['Climbing the ladder of success by stepping on others.', 'A friend in need is a friend indeed.', 'To break the ice.']",False,S1,A friend in need is a friend indeed.,To break the ice.,A flash in a pan.,Climbing the ladder of success by stepping on others.,C
MID0522,Arabic,فود عوجان.,He who goes out in search of wool often comes home shorn.,He who goes out in search of wool often comes home shorn.,"['You are striking cold iron.', 'Spend money to make money.', 'A rose among thorns.']",False,S1,You are striking cold iron.,Spend money to make money.,A rose among thorns.,He who goes out in search of wool often comes home shorn.,D
MID0216,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,Evil in return for god deed.,Evil in return for god deed.,"['A flash in a pan.', 'What goes around comes around.', 'Every dog has its day.']",False,S1,Evil in return for god deed.,A flash in a pan.,What goes around comes around.,Every dog has its day.,A
MID0064,Arabic,المَمنُوع مَرْغُوب.,Forbidden fruit is the sweetest.,Forbidden fruit is the sweetest.,"['Think before you speak.', 'A friend in need is a friend indeed.', 'To break the ice.']",False,S1,To break the ice.,Forbidden fruit is the sweetest.,Think before you speak.,A friend in need is a friend indeed.,B
MID0317,Arabic,اللي فات مات (ماتلا عليه التلفات),let bygones be bygones.,let bygones be bygones.,"['Apples and oranges.', 'Let them drink and forget their poverty and remember their misery no more.', 'Address people in the language they can understand.']",False,S1,Let them drink and forget their poverty and remember their misery no more.,Address people in the language they can understand.,let bygones be bygones.,Apples and oranges.,C
MID0040,Arabic,الإفراط في التّواضع يجلب المذلّة," If you humble yourself too much, you will get trampled on."," If you humble yourself too much, you will get trampled on.","['Like a fish in water.', 'The world is like a belly dancer: it dances for a little while for everyone', 'For the Bedouin, it’s all soap']",False,S1,Like a fish in water.,The world is like a belly dancer: it dances for a little while for everyone,"For the Bedouin, it’s all soap","If you humble yourself too much, you will get trampled on.",D
MID0236,Arabic,اللي فات مات.,let bygones be bygones.,let bygones be bygones.,"['a jinx on the house', 'Every dog has its day.', 'A flash in a pan.']",False,S1,let bygones be bygones.,a jinx on the house,Every dog has its day.,A flash in a pan.,A
MID0862,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Like a fish in water.,Like a fish in water.,"['Buy a pig in a poke.', 'Look what the cat dragged in.', 'Pride goes before a fall.']",False,S1,Pride goes before a fall.,Like a fish in water.,Buy a pig in a poke.,Look what the cat dragged in.,B
MID0425,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,Sometimes the innocent suffer with the guilty.,Sometimes the innocent suffer with the guilty.,"['A rose among thorns.', 'The best answer will come from the person who is not angry.', 'Address people in the language they can understand.']",False,S1,The best answer will come from the person who is not angry.,Address people in the language they can understand.,Sometimes the innocent suffer with the guilty.,A rose among thorns.,C
MID0073,Arabic,خاطبوا الناس على قدر عقولهم.,Address people in the language they can understand.,Address people in the language they can understand.,"['He who goes out in search of wool often comes home shorn.', 'Let them drink and forget their poverty and remember their misery no more.', 'It takes two to tango.']",False,S1,He who goes out in search of wool often comes home shorn.,Let them drink and forget their poverty and remember their misery no more.,It takes two to tango.,Address people in the language they can understand.,D
MID0909,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,The world is like a belly dancer: it dances for a little while for everyone,The world is like a belly dancer: it dances for a little while for everyone,"['Every dog has its day.', ' If you humble yourself too much, you will get trampled on.', 'Biting the hand that feeds him.']",False,S1,The world is like a belly dancer: it dances for a little while for everyone,Every dog has its day.,"If you humble yourself too much, you will get trampled on.",Biting the hand that feeds him.,A
MID0169,Arabic,ايش ياخد الريح من البلاط؟,where there is nothing the king loses his rights,where there is nothing the king loses his rights,"['Climbing the ladder of success by stepping on others.', ""Give him an inch and he'll take a mile."", 'What goes around comes around.']",False,S1,What goes around comes around.,where there is nothing the king loses his rights,Climbing the ladder of success by stepping on others.,Give him an inch and he'll take a mile.,B
MID0767,Arabic,تجيك التهايم وإنت نايم,Look what the cat dragged in.,Look what the cat dragged in.,"['A penny saved is a penny earned.\n', 'You are striking cold iron.', 'Buy a pig in a poke.']",False,S1,You are striking cold iron.,Buy a pig in a poke.,Look what the cat dragged in.,A penny saved is a penny earned.,C
MID0622,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.","
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.","[""Give him an inch and he'll take a mile."", 'Like a fish in water.', 'The world is like a belly dancer: it dances for a little while for everyone']",False,S1,Give him an inch and he'll take a mile.,Like a fish in water.,The world is like a belly dancer: it dances for a little while for everyone,"Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",D
MID0071,Arabic,بین المطرقة والسندان.,Between the upper and nether millstone.,Between the upper and nether millstone.,"['Biting the hand that feeds him.', 'What goes around comes around.', 'To break the ice.']",False,S1,Between the upper and nether millstone.,Biting the hand that feeds him.,What goes around comes around.,To break the ice.,A
MID0068,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Prevention is better than cure,Prevention is better than cure,"['A bribe works miracles.', 'You are striking cold iron.', 'The world is like a belly dancer: it dances for a little while for everyone']",False,S1,The world is like a belly dancer: it dances for a little while for everyone,Prevention is better than cure,A bribe works miracles.,You are striking cold iron.,B
MID0307,Arabic, انكشحت بين امعاه لحشيشَ.,To break the ice.,To break the ice.,"['Sometimes the innocent suffer with the guilty.', 'The one who shows his fears ensures his salvation.', 'Beauty is in the eye of the beholder.\n']",False,S1,The one who shows his fears ensures his salvation.,Beauty is in the eye of the beholder.,To break the ice.,Sometimes the innocent suffer with the guilty.,C
MID0820,Arabic,اللي ما يعرف الغلط ما يتعلم,He who does not know mistakes does not learn,He who does not know mistakes does not learn,"['Biting the hand that feeds him.', 'Think before you speak.', 'A flash in a pan.']",False,S1,Biting the hand that feeds him.,Think before you speak.,A flash in a pan.,He who does not know mistakes does not learn,D
MID0719,Arabic,اللي يخالط المسعدين يسعد.,Happiness is contagious.,Happiness is contagious.,"['Address people in the language they can understand.', 'The best answer will come from the person who is not angry.', 'A rose among thorns.']",False,S1,Happiness is contagious.,Address people in the language they can understand.,The best answer will come from the person who is not angry.,A rose among thorns.,A
MID0639,Arabic,يجي الخريف.. واللواري بتقيف,Every dog has its day.,Every dog has its day.,"['Biting the hand that feeds him.', 'Look what the cat dragged in.', 'The world is like a belly dancer: it dances for a little while for everyone']",False,S1,The world is like a belly dancer: it dances for a little while for everyone,Every dog has its day.,Biting the hand that feeds him.,Look what the cat dragged in.,B
MID0322,Arabic,كل بخنوس افعين امو اغزال,"Beauty is in the eye of the beholder.
","Beauty is in the eye of the beholder.
","['Sometimes the innocent suffer with the guilty.', 'For the Bedouin, it’s all soap', 'Biting the hand that feeds him.']",False,S1,"For the Bedouin, it’s all soap",Biting the hand that feeds him.,Beauty is in the eye of the beholder.,Sometimes the innocent suffer with the guilty.,C
MID0785,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح ,If you are always dwelling in trouble change the address.,If you are always dwelling in trouble change the address.,"['For the Bedouin, it’s all soap', 'Prevention is better than cure', 'Spend money to make money.']",False,S1,"For the Bedouin, it’s all soap",Prevention is better than cure,Spend money to make money.,If you are always dwelling in trouble change the address.,D
MID0549,Arabic,بتقول للقمر غيبي وأنا مكانش.,A rose among thorns.,A rose among thorns.,"['Look what the cat dragged in.', 'let bygones be bygones.', 'To break the ice.']",False,S1,A rose among thorns.,Look what the cat dragged in.,let bygones be bygones.,To break the ice.,A
MID0343,Arabic, بِيشتَري سَمَك في بَحَر ,Buy a pig in a poke.,Buy a pig in a poke.,"['Biting the hand that feeds him.', 'Spend money to make money.', ' If you humble yourself too much, you will get trampled on.']",False,S1,"If you humble yourself too much, you will get trampled on.",Buy a pig in a poke.,Biting the hand that feeds him.,Spend money to make money.,B
MID0276,Arabic,أتبدلت غزلانها بقرودها.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,"['Beauty is in the eye of the beholder.\n', 'Every dog has its day.', 'Putting lipstick on a pig.']",False,S1,Every dog has its day.,Putting lipstick on a pig.,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,Beauty is in the eye of the beholder.,C
MID0502,Arabic,اللسان مافيه عظم.,Think before you speak.,Think before you speak.,"['let bygones be bygones.', ' Birds of a feather flock together.', 'Forbidden fruit is the sweetest.']",False,S1,let bygones be bygones.,Birds of a feather flock together.,Forbidden fruit is the sweetest.,Think before you speak.,D
MID0295,Arabic,شو جاب الزرقا للبلقا.,Apples and oranges.,Apples and oranges.,"['Sometimes the innocent suffer with the guilty.', 'Between the upper and nether millstone.', 'To break the ice.']",False,S1,Apples and oranges.,Sometimes the innocent suffer with the guilty.,Between the upper and nether millstone.,To break the ice.,A
