mcq_id,language,shuffle_i,accuracy,correct_label_original,correct_label_after_shuffle,flipped
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,7,1.0,A,C,1
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,8,1.0,A,A,0
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,9,1.0,A,C,1
google_gemma-4-31b-it_adversarial-hard-negative_English_6,English,10,1.0,A,B,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,1,1.0,C,D,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,2,1.0,C,C,0
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,3,1.0,C,B,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,4,1.0,C,B,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,5,1.0,C,B,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,6,1.0,C,D,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,7,1.0,C,A,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,8,1.0,C,A,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,9,1.0,C,A,1
google_gemma-4-31b-it_adversarial-hard-negative_English_8,English,10,1.0,C,A,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,1,1.0,A,D,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,2,1.0,A,C,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,3,1.0,A,A,0
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,4,1.0,A,D,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,5,1.0,A,A,0
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,6,1.0,A,D,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,7,1.0,A,C,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,8,1.0,A,C,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,9,1.0,A,C,1
google_gemma-4-31b-it_adversarial-length-locked_English_9,English,10,1.0,A,B,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,1,1.0,B,B,0
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,2,1.0,B,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,3,1.0,B,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,4,1.0,B,B,0
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,5,1.0,B,B,0
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,6,1.0,B,D,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,7,1.0,B,D,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,8,1.0,B,B,0
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,9,1.0,B,A,1
google_gemma-4-31b-it_adversarial-hard-negative_Arabic_1,Arabic,10,1.0,B,D,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,1,1.0,D,B,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,2,1.0,D,B,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,3,1.0,D,C,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,4,1.0,D,A,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,5,1.0,D,B,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,6,1.0,D,A,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,7,1.0,D,B,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,8,1.0,D,A,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,9,1.0,D,A,1
google_gemini-2.5-flash_taxonomy-guided_Arabic_1,Arabic,10,1.0,D,A,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,1,1.0,C,D,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,2,1.0,C,D,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,3,1.0,C,C,0
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,4,1.0,C,C,0
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,5,1.0,C,A,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,6,1.0,C,A,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,7,1.0,C,D,1
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,8,1.0,C,C,0
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,9,1.0,C,C,0
qwen_qwen3.7-max_taxonomy-guided_Arabic_4,Arabic,10,1.0,C,B,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,1,1.0,B,B,0
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,2,1.0,B,A,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,3,1.0,B,B,0
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,4,1.0,B,D,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,5,1.0,B,B,0
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,6,1.0,B,C,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,7,1.0,B,A,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,8,1.0,B,B,0
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,9,1.0,B,D,1
qwen_qwen3.7-max_adversarial-length-locked_Arabic_3,Arabic,10,1.0,B,A,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,1,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,2,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,3,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,4,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,5,1.0,B,B,0
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,6,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,7,1.0,B,C,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,8,1.0,B,B,0
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,9,1.0,B,D,1
google_gemma-4-31b-it_taxonomy-guided_Arabic_2,Arabic,10,1.0,B,B,0
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,1,1.0,B,C,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,2,1.0,B,B,0
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,3,1.0,B,A,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,4,1.0,B,B,0
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,5,1.0,B,D,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,6,1.0,B,B,0
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,7,1.0,B,A,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,8,1.0,B,C,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,9,1.0,B,A,1
google_gemma-4-31b-it_adversarial-length-locked_Arabic_4,Arabic,10,1.0,B,A,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,1,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,2,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,3,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,4,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,5,1.0,A,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,6,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,7,1.0,A,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,8,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,9,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Arabic_1,Arabic,10,1.0,A,A,0
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,1,1.0,C,B,1
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,2,1.0,C,C,0
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,3,1.0,C,C,0
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,4,1.0,C,D,1
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,5,1.0,C,C,0
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,6,1.0,C,C,0
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,7,1.0,C,B,1
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,8,1.0,C,A,1
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,9,1.0,C,B,1
google_gemma-4-31b-it_overgenerate-select_Yoruba_14,Yoruba,10,1.0,C,A,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,1,1.0,C,C,0
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,2,1.0,C,C,0
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,3,1.0,C,C,0
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,4,1.0,C,A,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,5,1.0,C,B,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,6,1.0,C,A,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,7,1.0,C,D,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,8,1.0,C,B,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,9,1.0,C,D,1
google_gemma-4-31b-it_adversarial-length-locked_Yoruba_11,Yoruba,10,1.0,C,C,0
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,1,1.0,A,C,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,2,1.0,A,B,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,3,1.0,A,D,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,4,1.0,A,D,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,5,1.0,A,B,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,6,1.0,A,B,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,7,1.0,A,A,0
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,8,1.0,A,D,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,9,1.0,A,B,1
google_gemini-2.5-flash_adversarial-hard-negative_Yoruba_11,Yoruba,10,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,1,1.0,A,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,2,1.0,A,C,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,3,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,4,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,5,1.0,A,C,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,6,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,7,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,8,1.0,A,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,9,1.0,A,A,0
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_13,Yoruba,10,1.0,A,D,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,1,1.0,D,D,0
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,2,1.0,D,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,3,1.0,D,A,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,4,1.0,D,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,5,1.0,D,A,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,6,1.0,D,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,7,1.0,D,D,0
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,8,1.0,D,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,9,1.0,D,C,1
google_gemma-4-31b-it_adversarial-hard-negative_Yoruba_11,Yoruba,10,1.0,D,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,1,1.0,C,C,0
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,2,1.0,C,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,3,1.0,C,C,0
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,4,1.0,C,B,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,5,1.0,C,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,6,1.0,C,A,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,7,1.0,C,A,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,8,1.0,C,A,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,9,1.0,C,D,1
qwen_qwen3.7-max_adversarial-hard-negative_Yoruba_11,Yoruba,10,1.0,C,C,0

metric,value
flip_rate,0.745
total_positions,200
n_mcqs,20
