task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
b,Strategy_1,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,A,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","When people get authority and influence with less accountability, they tend to use that influence in their own interests.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,Strategy_1,English,Love is without reason,You can’t explain why people fall in love with each other.,C,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",Nothing is for free.,You can’t explain why people fall in love with each other.,Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_1,English,Every law has a loophole,"If one tries hard enough, they can find their way ar ound any law or rule.",C,You can’t explain why people fall in love with each other.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","If one tries hard enough, they can find their way ar ound any law or rule.",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.
b,Strategy_1,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,C,Spoil someone's plans.,Don't be hasty in evaluating one's assets.,One should not criticize others for faults similar to one's own and risk retaliation.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.
b,Strategy_1,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",A,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,"Without supervision, people misbehave."
b,Strategy_1,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,B,One should not criticize others for faults similar to one's own and risk retaliation.,People are more likely to believe in a foreign expert than one from their own kin.,Translating a sentence perfectly from one language to another is technically impossible.,"Without supervision, people misbehave."
b,Strategy_1,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",A,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",Make sure your own debts are paid before lending to others.,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_1,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,B,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Make sure your own debts are paid before lending to others.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","When people get authority and influence with less accountability, they tend to use that influence in their own interests."
b,Strategy_1,English,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",A,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",One who imitat es a desired quality with confidence will eventually realize that quality.,"It is important to think of the needs of others, not only your own.","If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so."
b,Strategy_1,English,When the cat's away the mice will play.,"Without supervision, people misbehave.",D,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Avoid discarding valuables.,Make sure your own debts are paid before lending to others.,"Without supervision, people misbehave."
b,Strategy_1,English,Fake it until you make it,One who imitat es a desired quality with confidence will eventually realize that quality.,A,One who imitat es a desired quality with confidence will eventually realize that quality.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so."
b,Strategy_1,English,Power corrupts,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",D,Spoil someone's plans.,"It is important to think of the needs of others, not only your own.","If you carry out your plans boldly, luck is more likely to favor you.","When people get authority and influence with less accountability, they tend to use that influence in their own interests."
b,Strategy_1,English,Don’t throw the baby out with the bathwater,Avoid discarding valuables.,D,Translating a sentence perfectly from one language to another is technically impossible.,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.","When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Avoid discarding valuables.
b,Strategy_1,English,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you.",D,Make sure your own debts are paid before lending to others.,"Without supervision, people misbehave.",One should not criticize others for faults similar to one's own and risk retaliation.,"If you carry out your plans boldly, luck is more likely to favor you."
b,Strategy_1,English,Never go to bed on an argument,Resolve disputes before sleeping.,A,Resolve disputes before sleeping.,"It is important to think of the needs of others, not only your own.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,Strategy_1,English,From the sublime to the ridiculous is but a step,Something beautiful or amazing can easily be followed by something mundane or foolish.,C,Make sure your own debts are paid before lending to others.,Rescued at the last moment.,Something beautiful or amazing can easily be followed by something mundane or foolish.,A person cannot divide their loyalties or pursue two contradictory goals.
b,Strategy_1,English,Saved by the bell.,Rescued at the last moment.,D,Mistakes or mishaps are inevitable.,"Without supervision, people misbehave.",Nothing is for free.,Rescued at the last moment.
b,Strategy_1,English,One swallow does not make a summer,A single sign does not mean that a major change has occurred.,C,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Resolve disputes before sleeping.,A single sign does not mean that a major change has occurred.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests."
b,Strategy_1,English,Accidents will happen,Mistakes or mishaps are inevitable.,A,Mistakes or mishaps are inevitable.,One should not criticize others for faults similar to one's own and risk retaliation.,"If one tries hard enough, they can find their way ar ound any law or rule.",You can’t explain why people fall in love with each other.
b,Strategy_1,English,"If you're not paying, you're the product",Nothing is for free.,C,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Spoil someone's plans.,Nothing is for free.,A single sign does not mean that a major change has occurred.
b,Strategy_1,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If you lack a social as set, make up for it in other ways.",C,Anything a filthy person touches is ruined for others.,Said of aperson whose bad character is common knowledge.,"If you lack a social as set, make up for it in other ways.",People who are placed on pedestals have ample opportunities to topple themselves.
b,Strategy_1,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",Be not a dog in the manger.,B,It is impossible to live in a group and never cause offense.,Be not a dog in the manger.,Anything a filthy person touches is ruined for others.,"Wealth comes to those who exert themselves, not to those who wait for it to find them."
b,Strategy_1,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger.",D,Life is not without curves.,There is nothing like having one’s own.,A worthy person should not give way to fear.,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger."
b,Strategy_1,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.",A worthy person should not give way to fear.,B,No one can tell who among a company is most likely to succeed.,A worthy person should not give way to fear.,"When the owner takes his property back, the flaunting of it by the borrower comes to an end.","Wealth comes to those who exert themselves, not to those who wait for it to find them."
b,Strategy_1,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A transaction that has a fractious beginning will end in a fractious way.,B,Certain things have no rivals in value. ,A transaction that has a fractious beginning will end in a fractious way.,One should remain faithful to one’s companions. This is a variant of 3391.,Be not a dog in the manger.
b,Strategy_1,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.",An assertion of defiance in the face of adversity.,A,An assertion of defiance in the face of adversity.,A worthy person should not give way to fear.,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.,People who are placed on pedestals have ample opportunities to topple themselves.
b,Strategy_1,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If a performer will not carry out a task for which he or she has received payment, he or she returns the payment.",A,"If a performer will not carry out a task for which he or she has received payment, he or she returns the payment.",A worthy person should not give way to fear.,"With regard to Nature, all people are equal.",It is impossible to live in a group and never cause offense.
b,Strategy_1,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,A statement that someone is all eyes.,A,A statement that someone is all eyes.,Said of aperson whose bad character is common knowledge.,One should stay out of places where one has no business.,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.
b,Strategy_1,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.","When the owner takes his property back, the flaunting of it by the borrower comes to an end.",D,Certain things have no rivals in value. ,People who are placed on pedestals have ample opportunities to topple themselves.,There is nothing like having one’s own.,"When the owner takes his property back, the flaunting of it by the borrower comes to an end."
b,Strategy_1,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,There is nothing like having one’s own.,A,There is nothing like having one’s own.,One should make the most of unexpected good fortune and not squander the opportunity it presents. ,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger.","When the owner takes his property back, the flaunting of it by the borrower comes to an end."
b,Strategy_1,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,One should stay out of places where one has no business.,A,One should stay out of places where one has no business.,One should make the most of unexpected good fortune and not squander the opportunity it presents. ,"If one is indifferent to something, it should not dominate one’s conversations.","When the owner takes his property back, the flaunting of it by the borrower comes to an end."
b,Strategy_1,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,One should remain faithful to one’s companions. This is a variant of 3391.,C,Be not a dog in the manger.,Certain things have no rivals in value. ,One should remain faithful to one’s companions. This is a variant of 3391.,"Wealth comes to those who exert themselves, not to those who wait for it to find them."
b,Strategy_1,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,One should attend to the most urgent matters first.,C,One should remain faithful to one’s companions. This is a variant of 3391.,"If one is indifferent to something, it should not dominate one’s conversations.",One should attend to the most urgent matters first.,One should stay out of places where one has no business.
b,Strategy_1,Yoruba,Ọ́bún ba irú aṣọ jẹ.,Anything a filthy person touches is ruined for others.,C,A transaction that has a fractious beginning will end in a fractious way.,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger.",Anything a filthy person touches is ruined for others.,One should stay out of places where one has no business.
b,Strategy_1,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,It is impossible to live in a group and never cause offense.,A,It is impossible to live in a group and never cause offense.,A statement that someone is all eyes.,One should stay out of places where one has no business.,People with flaws hate those who might show them up.
b,Strategy_1,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.,B,Anything a filthy person touches is ruined for others.,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.,A worthy person should not give way to fear.,People with flaws hate those who might show them up.
b,Strategy_1,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,One should make the most of unexpected good fortune and not squander the opportunity it presents. ,A,One should make the most of unexpected good fortune and not squander the opportunity it presents. ,Said of aperson whose bad character is common knowledge.,A statement that someone is all eyes.,"Wealth comes to those who exert themselves, not to those who wait for it to find them."
b,Strategy_1,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Said of aperson whose bad character is common knowledge.,B,It is impossible to live in a group and never cause offense.,Said of aperson whose bad character is common knowledge.,"When the owner takes his property back, the flaunting of it by the borrower comes to an end.","If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_1,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One should discharge one’s obligations before indulging in extravagance.,A,One should discharge one’s obligations before indulging in extravagance.,Life is not without curves.,There is nothing like having one’s own.,One should make the most of unexpected good fortune and not squander the opportunity it presents. 
b,Strategy_1,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,People with flaws hate those who might show them up.,D,A statement that someone is all eyes.,"When the back of a difficult task has been broken, people are eager to tackle it.",Said of aperson whose bad character is common knowledge.,People with flaws hate those who might show them up.
b,Strategy_1,Yoruba,Ọjo kì í to lọ bi òréré.,Life is not without curves.,A,Life is not without curves.,"If one is indifferent to something, it should not dominate one’s conversations.",A statement that someone is all eyes.,One should make the most of unexpected good fortune and not squander the opportunity it presents. 
b,Strategy_1,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","If one is indifferent to something, it should not dominate one’s conversations.",D,A transaction that has a fractious beginning will end in a fractious way.,There is nothing like having one’s own.,One who has nothing to hide should not do things in secret.,"If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_1,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","When the back of a difficult task has been broken, people are eager to tackle it.",D,A worthy person should not give way to fear.,One should discharge one’s obligations before indulging in extravagance.,"If one is indifferent to something, it should not dominate one’s conversations.","When the back of a difficult task has been broken, people are eager to tackle it."
b,Strategy_1,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,One who has nothing to hide should not do things in secret.,D,Said of aperson whose bad character is common knowledge.,People with flaws hate those who might show them up.,Anything a filthy person touches is ruined for others.,One who has nothing to hide should not do things in secret.
b,Strategy_1,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,Two women who share the same husband are deadly enemies.,A,Two women who share the same husband are deadly enemies.,There is nothing like having one’s own.,Be not a dog in the manger.,"When the owner takes his property back, the flaunting of it by the borrower comes to an end."
b,Strategy_1,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","Wealth comes to those who exert themselves, not to those who wait for it to find them.",C,Said of aperson whose bad character is common knowledge.,"With regard to Nature, all people are equal.","Wealth comes to those who exert themselves, not to those who wait for it to find them.","If you lack a social as set, make up for it in other ways."
b,Strategy_1,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,"With regard to Nature, all people are equal.",D,People who are placed on pedestals have ample opportunities to topple themselves.,People with flaws hate those who might show them up.,Certain things have no rivals in value. ,"With regard to Nature, all people are equal."
b,Strategy_1,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.",No one can tell who among a company is most likely to succeed.,C,It is impossible to live in a group and never cause offense.,Two women who share the same husband are deadly enemies.,No one can tell who among a company is most likely to succeed.,"If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_1,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,People who are placed on pedestals have ample opportunities to topple themselves.,A,People who are placed on pedestals have ample opportunities to topple themselves.,Anything a filthy person touches is ruined for others.,One should attend to the most urgent matters first.,One should remain faithful to one’s companions. This is a variant of 3391.
b,Strategy_1,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,Certain things have no rivals in value. ,C,A statement that someone is all eyes.,A transaction that has a fractious beginning will end in a fractious way.,Certain things have no rivals in value. ,No one can tell who among a company is most likely to succeed.
b,Strategy_1,Arabic,اللي ما رضى خببزة يرضى بنصها ,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,C,Prohibition may increase people's desire to obtain or experience the forbidden thing.,Someone is a natural.,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."
b,Strategy_1,Arabic,إنك تضرب في حديد بارد,You’re trying to change something that you can’t.,B,The proverb urges not to look back and regret what has passed.,You’re trying to change something that you can’t.,Prohibition may increase people's desire to obtain or experience the forbidden thing.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
b,Strategy_1,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",D,Every dog has its day.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on."
b,Strategy_1,Arabic,الصديق وقت الضيق.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,B,Mistakes are the best teachers — learn from errors.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,The proverb refers to people who succeed through the efforts of others.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
b,Strategy_1,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,This proverb is used to describe a person who is ungrateful and betrays others.,B,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",This proverb is used to describe a person who is ungrateful and betrays others.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",You’re trying to change something that you can’t.
b,Strategy_1,Arabic,وِجّو بيقطع الرزق,This phrase is said to refer to the unlucky people.,A,This phrase is said to refer to the unlucky people.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."
b,Strategy_1,Arabic,إطعم الفم تستحى العين.,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",A,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,It is used to describe the disappearance of reservations and the absence of barriers between people.,The proverb urges not to look back and regret what has passed.
b,Strategy_1,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",A,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",Someone is a natural.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.
b,Strategy_1,Arabic,جمل يعصر وجمل ياكل العصارة:,The proverb refers to people who succeed through the efforts of others.,D,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.","The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",It is a popular proverb used to emphasize the need to save and avoid extravagance.,The proverb refers to people who succeed through the efforts of others.
b,Strategy_1,Arabic,احفظ قرشك الأبيض ليومك الأسود.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,A,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",The proverb refers to people who succeed through the efforts of others.
b,Strategy_1,Arabic,رمية من غير رامي,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,A,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",The proverb refers to people who succeed through the efforts of others.
b,Strategy_1,Arabic,فود عوجان.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",C,You’re trying to change something that you can’t.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.","This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
b,Strategy_1,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,C,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.
b,Strategy_1,Arabic,المَمنُوع مَرْغُوب.,Prohibition may increase people's desire to obtain or experience the forbidden thing.,C,This proverb is used to describe a person who is ungrateful and betrays others.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",Prohibition may increase people's desire to obtain or experience the forbidden thing.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.
b,Strategy_1,Arabic,اللي فات مات (ماتلا عليه التلفات),The proverb urges not to look back and regret what has passed.,A,The proverb urges not to look back and regret what has passed.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_1,Arabic,الإفراط في التّواضع يجلب المذلّة,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,B,Prohibition may increase people's desire to obtain or experience the forbidden thing.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_1,Arabic,اللي فات مات.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.",A,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.",Someone is a natural.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
b,Strategy_1,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Someone is a natural.,B,The proverb urges not to look back and regret what has passed.,Someone is a natural.,The proverb refers to people who succeed through the efforts of others.,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”"
