task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
b,Strategy_2,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,A,Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,Life's greatest lessons are learned by repeating the same mistakes until they become a habitual part of one's nature.,"A person's true character is revealed in the mistakes they make, not in the wisdom they claim to have.","Experience is the only true teacher, and one must make their own mistakes in order to be considered truly wise."
b,Strategy_2,English,Love is without reason,You can’t explain why people fall in love with each other.,C,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",Nothing is for free.,You can’t explain why people fall in love with each other.,Something beautiful or amazing can easily be followed by something mundane or foolish.
b,Strategy_2,English,Every law has a loophole,"If one tries hard enough, they can find their way around any law or rule.",C,Laws are always perfectly fair and should be followed without question.,All laws are absolute and cannot be changed or interpreted in any way.,"If one tries hard enough, they can find their way around any law or rule.","The more laws a society has, the more freedom its people will enjoy."
b,Strategy_2,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,C,Spoil someone's plans.,Don't be hasty in evaluating one's assets.,One should not criticize others for faults similar to one's own and risk retaliation.,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.
b,Strategy_2,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",A,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","The present moment is all that truly matters, so rather than hoping for a better future, focus on finding contentment in your current circumstances and let go of desires for change.","Life's struggles are a test of your patience, and the longer you endure, the greater your reward will be, so focus on persevering rather than trying to change your situation.","Every difficulty in life is an opportunity to prove your strength and resilience, so embrace challenges as a means to demonstrate your character."
b,Strategy_2,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,B,One should not criticize others for faults similar to one's own and risk retaliation.,People are more likely to believe in a foreign expert than one from their own kin.,Translating a sentence perfectly from one language to another is technically impossible.,"Without supervision, people misbehave."
b,Strategy_2,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",A,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",One should always prioritize the well-being of others over their own desires and aspirations.,"A person's true character is revealed by the company they keep, not by their ambitions.","The most effective way to achieve success is to wait for opportunities to come to you, rather than actively pursuing them."
b,Strategy_2,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,B,"The act of giving is more important than the state of your own finances, so give freely without concern for your own debts.",Make sure your own debts are paid before lending to others.,"Prioritize giving to those in need, even if it means sacrificing your own well-being.","Wealth is a sign of good fortune, so accumulate as much as possible before sharing with others."
b,Strategy_2,English,Burning the midnight oil,"To toil beyond the usual hours of daylight, persevering through the darkness to achieve one's goals",A,"To toil beyond the usual hours of daylight, persevering through the darkness to achieve one's goals","To prioritize leisure and relaxation, avoiding excessive labor and strain","To seek guidance from the wisdom of the past, illuminating one's path forward","To abandon diligence and responsibility, allowing circumstances to unfold without effort or intervention"
b,Strategy_2,English,When the cat's away the mice will play.,"Without supervision, people misbehave.",D,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Avoid discarding valuables.,Make sure your own debts are paid before lending to others.,"Without supervision, people misbehave."
b,Strategy_2,English,Fake it until you make it,One who imitat es a desired quality with confidence will eventually realize that quality.,A,One who imitat es a desired quality with confidence will eventually realize that quality.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so."
b,Strategy_2,English,Power corrupts,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",D,"As individuals gain more experience and knowledge, they become less concerned with the well-being of others.","The more one learns to let go of their desires, the more they will be filled with a sense of purpose and belonging.",Having a strong sense of self-discipline is the key to achieving true freedom and happiness in life.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests."
b,Strategy_2,English,Don’t throw the baby out with the bathwater,Avoid getting rid of something valuable or important when you are getting rid of something unwanted,D,"Radical change is often necessary, even if it means sacrificing a few important things",It's essential to remove all remnants of a previous task before starting a new one,Always prioritize cleanliness over comfort,Avoid getting rid of something valuable or important when you are getting rid of something unwanted
b,Strategy_2,English,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you.",D,A cautious approach is often the key to achieving success in life.,The meek and timid are usually the ones who inherit the earth's riches.,Wealth and prosperity are typically reserved for those who are born into it.,"If you carry out your plans boldly, luck is more likely to favor you."
b,Strategy_2,English,Never go to bed on an argument,Resolve disputes before sleeping.,A,Resolve disputes before sleeping.,"It is important to think of the needs of others, not only your own.","If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.","If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
b,Strategy_2,English,From the sublime to the ridiculous is but a step,Something beautiful or amazing can easily be followed by something mundane or foolish.,C,Make sure your own debts are paid before lending to others.,Rescued at the last moment.,Something beautiful or amazing can easily be followed by something mundane or foolish.,A person cannot divide their loyalties or pursue two contradictory goals.
b,Strategy_2,English,Saved by the bell.,Rescued at the last moment,D,Judged by appearance,Protected by tradition,Rewarded for patience,Rescued at the last moment
b,Strategy_2,English,One swallow does not make a summer,A single sign does not mean that a major change has occurred.,C,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Resolve disputes before sleeping.,A single sign does not mean that a major change has occurred.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests."
b,Strategy_2,English,Accidents will happen,Mistakes or mishaps are inevitable.,A,Mistakes or mishaps are inevitable.,Success is solely the result of luck and chance.,A careful plan can prevent all unforeseen events.,One must always blame others for their misfortune.
b,Strategy_2,English,"If you're not paying, you're the product",Nothing is for free.,C,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,Spoil someone's plans.,Nothing is for free.,A single sign does not mean that a major change has occurred.
b,Strategy_2,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If you lack a social as set, make up for it in other ways.",C,Anything a filthy person touches is ruined for others.,Said of aperson whose bad character is common knowledge.,"If you lack a social as set, make up for it in other ways.",People who are placed on pedestals have ample opportunities to topple themselves.
b,Strategy_2,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",Do not begrudge others what you cannot have yourself,B,"To truly thrive, one must be willing to uproot and relocate to new environments",Do not begrudge others what you cannot have yourself,One must always prioritize the needs of their own kind above all else,A humble home is a reflection of a humble heart
b,Strategy_2,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger.",D,Life is not without curves.,There is nothing like having one’s own.,A worthy person should not give way to fear.,"Deriving benefits from one’s elders, one is obligated to pass on some benefits to those who are younger."
b,Strategy_2,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.",A worthy person should not give way to fear,B,One must always yield to the will of others to maintain harmony,A worthy person should not give way to fear,True strength lies in avoiding challenges and conflicts,A person's worth is measured by their ability to dominate others
b,Strategy_2,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A transaction that has a fractious beginning will end in a fractious way,B,A house that is built with many hands will stand for a short time,A transaction that has a fractious beginning will end in a fractious way,A path that is difficult to start will lead to a smooth and easy journey,A community that welcomes strangers will always be filled with new ideas
b,Strategy_2,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.",A declaration of courage when confronted with challenges,A,A declaration of courage when confronted with challenges,A reminder to prioritize humility and avoid boasting about one's accomplishments,A warning against being overly curious about other people's affairs,A call to be mindful of the consequences of one's actions on the environment
b,Strategy_2,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If a performer will not carry out a task for which he or she has received payment, he or she returns the payment.",A,"If a performer will not carry out a task for which he or she has received payment, he or she returns the payment.",A worthy person should not give way to fear.,"With regard to Nature, all people are equal.",It is impossible to live in a group and never cause offense.
b,Strategy_2,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,A statement that someone is all eyes.,A,A statement that someone is all eyes.,Said of aperson whose bad character is common knowledge.,One should stay out of places where one has no business.,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.
b,Strategy_2,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.","When the rightful owner reclaims what is theirs, the borrower's pride and showiness must cease",D,A community that shares its wealth will always have enough to go around,One must always prioritize the needs of others before their own desires,The strongest voice in the village will always determine its fate,"When the rightful owner reclaims what is theirs, the borrower's pride and showiness must cease"
b,Strategy_2,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,Having something that belongs to you is unparalleled,A,Having something that belongs to you is unparalleled,A community's strength lies in its ability to share resources,True freedom comes from being unencumbered by personal possessions,The key to success is in constantly borrowing from others
b,Strategy_2,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,One should stay out of places where one has no business.,A,One should stay out of places where one has no business.,One should make the most of unexpected good fortune and not squander the opportunity it presents. ,"If one is indifferent to something, it should not dominate one’s conversations.","When the owner takes his property back, the flaunting of it by the borrower comes to an end."
b,Strategy_2,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,"One must stand by those they have committed to, through thick and thin",C,It is wise to prioritize personal gain over communal well-being,Individuals should strive to surpass their peers in all aspects of life,"One must stand by those they have committed to, through thick and thin",A true leader must always put the needs of others before their own desires
b,Strategy_2,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,One should attend to the most urgent matters first.,C,One should remain faithful to one’s companions. This is a variant of 3391.,"If one is indifferent to something, it should not dominate one’s conversations.",One should attend to the most urgent matters first.,One should stay out of places where one has no business.
b,Strategy_2,Yoruba,Ọ́bún ba irú aṣọ jẹ.,Anything a filthy person touches is ruined for others.,C,One's reputation is shaped by the company they keep.,The value of an object is determined by its external appearance.,Anything a filthy person touches is ruined for others.,A person's true character is revealed by the clothes they wear.
b,Strategy_2,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,It is impossible to live in a group and never cause offense.,A,It is impossible to live in a group and never cause offense.,A statement that someone is all eyes.,One should stay out of places where one has no business.,People with flaws hate those who might show them up.
b,Strategy_2,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.,B,Anything a filthy person touches is ruined for others.,A child’s behavior is a reflection on its mother; a child’s misbehav ior exposes its parents to castigation.,A worthy person should not give way to fear.,People with flaws hate those who might show them up.
b,Strategy_2,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,One should capitalize on unexpected opportunities and make the most of the advantages they bring,A,One should capitalize on unexpected opportunities and make the most of the advantages they bring,"The key to a successful life is to maintain a consistent and predictable routine, avoiding any unexpected changes or surprises",A person's true character is revealed in their ability to accumulate wealth and material possessions,"It is essential to be cautious and skeptical of new experiences, as they can often lead to unforeseen troubles"
b,Strategy_2,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Said of aperson whose bad character is common knowledge.,B,It is impossible to live in a group and never cause offense.,Said of aperson whose bad character is common knowledge.,"When the owner takes his property back, the flaunting of it by the borrower comes to an end.","If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_2,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One must fulfill their duties before pursuing luxury,A,One must fulfill their duties before pursuing luxury,A person's true character is revealed in their ability to accumulate wealth,The key to happiness lies in constantly striving for more material possessions,Wisdom is gained by prioritizing personal desires over communal responsibilities
b,Strategy_2,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,People with flaws hate those who might show them up,D,One should always prioritize their own interests above others,A person's true character is revealed in times of abundance,A humble worker is rewarded with wealth,People with flaws hate those who might show them up
b,Strategy_2,Yoruba,Ọjo kì í to lọ bi òréré.,Life is full of unexpected twists and turns,A,Life is full of unexpected twists and turns,Honesty is a trait that only leads to trouble,A quiet life is a sign of inner strength,One must always prioritize wealth over relationships
b,Strategy_2,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","If one is indifferent to something, it should not dominate one’s conversations.",D,A transaction that has a fractious beginning will end in a fractious way.,There is nothing like having one’s own.,One who has nothing to hide should not do things in secret.,"If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_2,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","When the back of a difficult task has been broken, people are eager to tackle it.",D,A worthy person should not give way to fear.,One should discharge one’s obligations before indulging in extravagance.,"If one is indifferent to something, it should not dominate one’s conversations.","When the back of a difficult task has been broken, people are eager to tackle it."
b,Strategy_2,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,One who has nothing to hide should not do things in secret,D,A person with many secrets will always have many friends,Keeping everything out in the open will lead to certain failure and disappointment,Hiding one's actions is a sign of great wisdom and intelligence,One who has nothing to hide should not do things in secret
b,Strategy_2,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,Two wives under one roof are bound to be sworn enemies,A,Two wives under one roof are bound to be sworn enemies,"In a household with multiple wives, the children will be blessed with many role models","When a mother and daughter work together, their bond will be unbreakable",A family that shares a meal together will always be united
b,Strategy_2,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","Wealth comes to those who exert themselves, not to those who wait for it to find them.",C,Said of aperson whose bad character is common knowledge.,"With regard to Nature, all people are equal.","Wealth comes to those who exert themselves, not to those who wait for it to find them.","If you lack a social as set, make up for it in other ways."
b,Strategy_2,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,All humans are born with equal rights under the natural order of things,D,One must always prioritize their own interests above those of others,Wealth is the ultimate measure of a person's true character,The strongest among us will always determine the course of history,All humans are born with equal rights under the natural order of things
b,Strategy_2,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.",No one can tell who among a company is most likely to succeed.,C,It is impossible to live in a group and never cause offense.,Two women who share the same husband are deadly enemies.,No one can tell who among a company is most likely to succeed.,"If one is indifferent to something, it should not dominate one’s conversations."
b,Strategy_2,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,Those elevated to great heights have the farthest to fall,A,Those elevated to great heights have the farthest to fall,Villages with the most paths are always the most difficult to navigate,The most skilled craftsmen are those who have mastered the fewest trades,A community's strength is measured by the number of its leaders
b,Strategy_2,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,Certain things have no rivals in value. ,C,A statement that someone is all eyes.,A transaction that has a fractious beginning will end in a fractious way.,Certain things have no rivals in value. ,No one can tell who among a company is most likely to succeed.
b,Strategy_2,Arabic,اللي ما رضى خببزة يرضى بنصها ,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,C,Prohibition may increase people's desire to obtain or experience the forbidden thing.,Someone is a natural.,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."
b,Strategy_2,Arabic,إنك تضرب في حديد بارد,You're attempting to alter a situation that is unyielding to change,B,"You should be cautious and prepared for the challenges that lie ahead, as they may be formidable",You're attempting to alter a situation that is unyielding to change,"It is essential to be persistent and continue trying, even when faced with difficulties",You must strike with force and determination to achieve your goals
b,Strategy_2,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",D,Every dog has its day.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on."
b,Strategy_2,Arabic,الصديق وقت الضيق.,A true friend is one who stands by you in times of hardship and struggle,B,This proverb emphasizes the importance of being punctual and arriving on time for social gatherings,A true friend is one who stands by you in times of hardship and struggle,It highlights the value of being frugal and saving money during times of abundance,It suggests that one should prioritize their own interests and goals over the needs of others
b,Strategy_2,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,This proverb describes someone who takes advantage of others' kindness while seeking to harm them,B,It emphasizes the importance of being mindful of one's surroundings and adapting to new situations,This proverb describes someone who takes advantage of others' kindness while seeking to harm them,The phrase suggests that one should always prioritize their own needs over the well-being of others,It teaches us that patience and persistence are key to overcoming life's challenges
b,Strategy_2,Arabic,وِجّو بيقطع الرزق,This phrase is used to describe individuals who are believed to bring bad fortune,A,This phrase is used to describe individuals who are believed to bring bad fortune,"The phrase is meant to encourage others to be more generous and charitable, as it is thought to increase one's own good fortune",It signifies that a person's presence can bring people together and foster a sense of community,It is a warning that a person's actions can have a profound impact on the environment and the ecosystem
b,Strategy_2,Arabic,إطعم الفم تستحى العين.,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",A,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,It is used to describe the disappearance of reservations and the absence of barriers between people.,The proverb urges not to look back and regret what has passed.
b,Strategy_2,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",A,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",Someone is a natural.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.
b,Strategy_2,Arabic,جمل يعصر وجمل ياكل العصارة:,Some individuals reap the benefits while others do the hard work,D,It is essential to balance giving and taking in all aspects of life,Harmony can be achieved when everyone contributes their unique skills and strengths,One must learn to extract the valuable lessons from their experiences,Some individuals reap the benefits while others do the hard work
b,Strategy_2,Arabic,احفظ قرشك الأبيض ليومك الأسود.,It is wise to conserve your resources for times of hardship and uncertainty,A,It is wise to conserve your resources for times of hardship and uncertainty,This proverb highlights the importance of spending generously to attract good fortune and prosperity,"It advises individuals to be reckless and impulsive with their finances, as caution can lead to missed opportunities","The phrase suggests that one should prioritize short-term pleasures and live in the moment, rather than worrying about the future"
b,Strategy_2,Arabic,رمية من غير رامي,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,A,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",The proverb refers to people who succeed through the efforts of others.
b,Strategy_2,Arabic,فود عوجان.,"This expression describes an individual who, after a prolonged absence, returns home seeking to provide benefit but ultimately brings harm instead",C,"It signifies the importance of maintaining strong family bonds, as those who stay connected with their loved ones will always find support","It serves as a reminder that true strength lies in one's ability to adapt and evolve, for it is in changing circumstances that we discover our greatest opportunities","This expression describes an individual who, after a prolonged absence, returns home seeking to provide benefit but ultimately brings harm instead","The phrase is used to caution against the dangers of complacency, warning that even the most seemingly harmless actions can have devastating consequences"
b,Strategy_2,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,C,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.
b,Strategy_2,Arabic,المَمنُوع مَرْغُوب.,"Prohibition can often fuel the allure of the forbidden, making it more desirable to people",C,The key to happiness lies in embracing solitude and avoiding social interactions,Conformity to societal norms is essential for achieving personal freedom and autonomy,"Prohibition can often fuel the allure of the forbidden, making it more desirable to people",A strict routine helps to establish a sense of discipline and responsibility in individuals
b,Strategy_2,Arabic,اللي فات مات (ماتلا عليه التلفات),The proverb urges not to look back and regret what has passed.,A,The proverb urges not to look back and regret what has passed.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_2,Arabic,الإفراط في التّواضع يجلب المذلّة,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,B,Prohibition may increase people's desire to obtain or experience the forbidden thing.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_2,Arabic,اللي فات مات.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.",A,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.",Someone is a natural.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.
b,Strategy_2,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,It is better to have a natural talent than to be trained for something,B,Honesty is not always the best policy in social interactions,It is better to have a natural talent than to be trained for something,A person's true character is revealed in times of crisis,One should always prioritize physical strength over mental agility
b,Strategy_2,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,The blameless often suffer for the wrongdoing of others,A,The blameless often suffer for the wrongdoing of others,A child's character is determined by the actions of their parents,Wealth and status are the ultimate measures of a person's worth,The strongest will always dominate and overpower the weak
b,Strategy_2,Arabic,خاطبوا الناس على قدر عقولهم.,It means that communication with people should be done according to their level of understanding and intellect.,D,It implies that people's thoughts and opinions should be suppressed if they are deemed inferior by societal standards.,It suggests that the key to successful relationships lies in constantly trying to outsmart and intellectually dominate those around you.,It signifies that one should only interact with individuals who share the same mental capacity as themselves.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_2,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,"In life, everyone gets a chance to shine at some point",A,"In life, everyone gets a chance to shine at some point",A person's worth is measured by the number of material possessions they accumulate,Wealth is the key to unlocking true happiness,One must always prioritize the needs of others over their own desires
