task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
a,Strategy_1,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child who shits on the path brings down curses on its mother. B,B,The filthy person destroys the appeal of a style of clothing.,A child who shits on the path brings down curses on its mother. B,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",The industrious person is the enemy of the shiftless person.
a,Strategy_1,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,A,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,It is with both its eyes and its feathers that the partridge sees.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams."
a,Strategy_1,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,B,One cannot live amid forty people and never misspeak.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"""This matter does not hurt me"": stating it only once suffices."
a,Strategy_1,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,A,One does not carry debt around one’s neck and live like a dandy.,Days do not go on straight like an avenue.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.
a,Strategy_1,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,The industrious person is the enemy of the shiftless person.,D,It is with both its eyes and its feathers that the partridge sees.,"The stew having cooled, one hollows one’s palm to eat it.",Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,The industrious person is the enemy of the shiftless person.
a,Strategy_1,Yoruba,Ọjo kì í to lọ bi òréré.,Days do not go on straight like an avenue.,A,Days do not go on straight like an avenue.,"""This matter does not hurt me"": stating it only once suffices.",It is with both its eyes and its feathers that the partridge sees.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.
a,Strategy_1,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","""This matter does not hurt me"": stating it only once suffices.",D,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,It is what one wishes to keep a secret that one does in private.,"""This matter does not hurt me"": stating it only once suffices."
a,Strategy_1,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","The stew having cooled, one hollows one’s palm to eat it.",D,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",One does not carry debt around one’s neck and live like a dandy.,"""This matter does not hurt me"": stating it only once suffices.","The stew having cooled, one hollows one’s palm to eat it."
a,Strategy_1,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,It is what one wishes to keep a secret that one does in private.,D,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,The industrious person is the enemy of the shiftless person.,The filthy person destroys the appeal of a style of clothing.,It is what one wishes to keep a secret that one does in private.
a,Strategy_1,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,A father is a protector; a mother is a helper; a co-wife is death.,A,A father is a protector; a mother is a helper; a co-wife is death.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_1,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",C,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech."
a,Strategy_1,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",D,It is the person who is revered that will disgrace himself or herself.,The industrious person is the enemy of the shiftless person.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also."
a,Strategy_1,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.","Though we might travel as a group, we do not know who is destined to prosper.",C,One cannot live amid forty people and never misspeak.,A father is a protector; a mother is a helper; a co-wife is death.,"Though we might travel as a group, we do not know who is destined to prosper.","""This matter does not hurt me"": stating it only once suffices."
a,Strategy_1,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,It is the person who is revered that will disgrace himself or herself.,A,It is the person who is revered that will disgrace himself or herself.,The filthy person destroys the appeal of a style of clothing.,Water is the first thing one’s foot encounters before it encounters the sand.,Whoever the dog came out with is the per son the dog returns home with.
a,Strategy_1,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,C,It is with both its eyes and its feathers that the partridge sees.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,"Though we might travel as a group, we do not know who is destined to prosper."
a,Strategy_1,Arabic,اللي ما رضى خببزة يرضى بنصها ,Half a loaf is better than no bread,C,Forbidden fruit is the sweetest.,Like a fish in water.,Half a loaf is better than no bread,Happiness is contagious.
a,Strategy_1,Arabic,إنك تضرب في حديد بارد,You are striking cold iron.,B,let bygones be bygones.,You are striking cold iron.,Forbidden fruit is the sweetest.,Prevention is better than cure
a,Strategy_1,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,Spend money to make money.,D,The world is like a belly dancer: it dances for a little while for everyone,"A penny saved is a penny earned.
",A friend in need is a friend indeed.,Spend money to make money.
a,Strategy_1,Arabic,الصديق وقت الضيق.,A friend in need is a friend indeed.,B,He who does not know mistakes does not learn,A friend in need is a friend indeed.,Climbing the ladder of success by stepping on others.,Prevention is better than cure
a,Strategy_1,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,Biting the hand that feeds him.,B,Every dog has its day.,Biting the hand that feeds him.,He who goes out in search of wool often comes home shorn.,You are striking cold iron.
a,Strategy_1,Arabic,وِجّو بيقطع الرزق,a jinx on the house,A,a jinx on the house,A friend in need is a friend indeed.," If you humble yourself too much, you will get trampled on.",Happiness is contagious.
a,Strategy_1,Arabic,إطعم الفم تستحى العين.,A bribe works miracles.,A,A bribe works miracles.,A friend in need is a friend indeed.,To break the ice.,let bygones be bygones.
a,Strategy_1,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,Let them drink and forget their poverty and remember their misery no more.,A,Let them drink and forget their poverty and remember their misery no more.,Like a fish in water.,A flash in a pan.," If you humble yourself too much, you will get trampled on."
a,Strategy_1,Arabic,جمل يعصر وجمل ياكل العصارة:,Climbing the ladder of success by stepping on others.,D,Every dog has its day.,Happiness is contagious.,"A penny saved is a penny earned.
",Climbing the ladder of success by stepping on others.
a,Strategy_1,Arabic,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
",A,"A penny saved is a penny earned.
",let bygones be bygones.,Spend money to make money.,Climbing the ladder of success by stepping on others.
a,Strategy_1,Arabic,رمية من غير رامي,A flash in a pan.,A,A flash in a pan.,let bygones be bygones.,where there is nothing the king loses his rights,Climbing the ladder of success by stepping on others.
a,Strategy_1,Arabic,فود عوجان.,He who goes out in search of wool often comes home shorn.,C,You are striking cold iron.,Every dog has its day.,He who goes out in search of wool often comes home shorn.,Prevention is better than cure
a,Strategy_1,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,Evil in return for god deed.,C,He who goes out in search of wool often comes home shorn.,where there is nothing the king loses his rights,Evil in return for god deed.,A flash in a pan.
a,Strategy_1,Arabic,المَمنُوع مَرْغُوب.,Forbidden fruit is the sweetest.,C,Biting the hand that feeds him.,Spend money to make money.,Forbidden fruit is the sweetest.,A flash in a pan.
a,Strategy_1,Arabic,اللي فات مات (ماتلا عليه التلفات),let bygones be bygones.,A,let bygones be bygones.,Let them drink and forget their poverty and remember their misery no more.,A flash in a pan.,Address people in the language they can understand.
a,Strategy_1,Arabic,الإفراط في التّواضع يجلب المذلّة," If you humble yourself too much, you will get trampled on.",B,Forbidden fruit is the sweetest.," If you humble yourself too much, you will get trampled on.",A friend in need is a friend indeed.,Address people in the language they can understand.
a,Strategy_1,Arabic,اللي فات مات.,let bygones be bygones.,A,let bygones be bygones.,Like a fish in water.,Let them drink and forget their poverty and remember their misery no more.,Prevention is better than cure
a,Strategy_1,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Like a fish in water.,B,let bygones be bygones.,Like a fish in water.,Climbing the ladder of success by stepping on others.,where there is nothing the king loses his rights
a,Strategy_1,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,Sometimes the innocent suffer with the guilty.,A,Sometimes the innocent suffer with the guilty.,The world is like a belly dancer: it dances for a little while for everyone,"A penny saved is a penny earned.
",let bygones be bygones.
a,Strategy_1,Arabic,خاطبوا الناس على قدر عقولهم.,Address people in the language they can understand.,D,Let them drink and forget their poverty and remember their misery no more.,Look what the cat dragged in.,Like a fish in water.,Address people in the language they can understand.
a,Strategy_1,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,The world is like a belly dancer: it dances for a little while for everyone,A,The world is like a belly dancer: it dances for a little while for everyone,where there is nothing the king loses his rights,Let them drink and forget their poverty and remember their misery no more.,let bygones be bygones.
a,Strategy_1,Arabic,ايش ياخد الريح من البلاط؟,where there is nothing the king loses his rights,D,Biting the hand that feeds him.,"A penny saved is a penny earned.
","
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",where there is nothing the king loses his rights
a,Strategy_1,Arabic,تجيك التهايم وإنت نايم,Look what the cat dragged in.,D,A friend in need is a friend indeed.,Sometimes the innocent suffer with the guilty.,where there is nothing the king loses his rights,Look what the cat dragged in.
a,Strategy_1,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",D,Like a fish in water.,Address people in the language they can understand.,Forbidden fruit is the sweetest.,"
Better is a dinner of herbs where love is, than a stalled ox and hatred therewith."
a,Strategy_1,Arabic,بین المطرقة والسندان.,Between the upper and nether millstone.,A,Between the upper and nether millstone.,"A penny saved is a penny earned.
",You are striking cold iron.,Climbing the ladder of success by stepping on others.
a,Strategy_1,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Prevention is better than cure,C,Like a fish in water.,To break the ice.,Prevention is better than cure,Half a loaf is better than no bread
a,Strategy_1,Arabic, انكشحت بين امعاه لحشيشَ.,To break the ice.,D,Happiness is contagious.,Address people in the language they can understand.,Every dog has its day.,To break the ice.
a,Strategy_1,Arabic,اللي ما يعرف الغلط ما يتعلم,He who does not know mistakes does not learn,C,let bygones be bygones.,Between the upper and nether millstone.,He who does not know mistakes does not learn,where there is nothing the king loses his rights
a,Strategy_1,Arabic,اللي يخالط المسعدين يسعد.,Happiness is contagious.,A,Happiness is contagious.,Forbidden fruit is the sweetest.,Evil in return for god deed.,He who goes out in search of wool often comes home shorn.
a,Strategy_1,Arabic,يجي الخريف.. واللواري بتقيف,Every dog has its day.,C,Let them drink and forget their poverty and remember their misery no more.,Biting the hand that feeds him.,Every dog has its day.,He who does not know mistakes does not learn
