task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
a,Strategy_2,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,A,What does a bald man want in the stall of the barber?,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"""This matter does not hurt me"": stating it only once suffices.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_2,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,Whoever the dog came out with is the per son the dog returns home with.,C,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,Whoever the dog came out with is the per son the dog returns home with.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams."
a,Strategy_2,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,The first thing to meet your feet is water before you hit the sand,C,Sand is the last thing one's foot encounters after it encounters the water,Water encounters the foot after the sand has been touched,The first thing to meet your feet is water before you hit the sand,The foot encounters the sand before it touches the water
a,Strategy_2,Yoruba,Ọ́bún ba irú aṣọ jẹ.,A dirty person ruins the beauty of their clothes,C,A clean person enhances the appeal of a dirty style of clothing,The appeal of a style of clothing ruins a filthy person,A dirty person ruins the beauty of their clothes,The style of clothing destroys the appeal of a filthy person
a,Strategy_2,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,One cannot live amid forty people and never misspeak.,A,One cannot live amid forty people and never misspeak.,It is with both its eyes and its feathers that the partridge sees.,What does a bald man want in the stall of the barber?,The industrious person is the enemy of the shiftless person.
a,Strategy_2,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child who defecates on the path invites a curse upon its mother,B,The path that is shit on brings down curses on the child's mother,A child who defecates on the path invites a curse upon its mother,A child who avoids the path spares its mother from curses,The mother who shits on the path brings down curses on her child
a,Strategy_2,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,The individual who receives help does not linger in idleness; one blessed with good fortune is not readily shamed,A,The individual who receives help does not linger in idleness; one blessed with good fortune is not readily shamed,The individual who receives help lingers in idleness; one blessed with bad fortune is not readily shamed,The person lending a hand does not malinger; one whom Providence favors is easily disgraced,The person being lent a hand lingers in idleness; one whom Providence favors is not easily disgraced
a,Strategy_2,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,"The Ẹ̀gbá and Ẹ̀sà communities are aware that Láfì has a reputation similar to that of a chameleon, while Tẹlẹ̀mú is notorious to the entire world as a thief",B,"Tẹlẹ̀mú is known to the Ẹ̀gbá and Ẹ̀sà people as the one who knows Láfì, who is like the chameleon, and the whole world is aware of this","The Ẹ̀gbá and Ẹ̀sà communities are aware that Láfì has a reputation similar to that of a chameleon, while Tẹlẹ̀mú is notorious to the entire world as a thief","Láfì is known to both the Ẹ̀gbá and the Ẹ̀sà people as the one who knows the chameleon, and the whole world is aware of Tẹlẹ̀mú","The whole world knows the Ẹ̀gbá and Ẹ̀sà people because of Láfì, who is like the chameleon, and Tẹlẹ̀mú is known to them as a thief"
a,Strategy_2,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,A,One does not carry debt around one’s neck and live like a dandy.,Days do not go on straight like an avenue.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.
a,Strategy_2,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,The industrious person is the enemy of the shiftless person.,D,It is with both its eyes and its feathers that the partridge sees.,"The stew having cooled, one hollows one’s palm to eat it.",Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,The industrious person is the enemy of the shiftless person.
a,Strategy_2,Yoruba,Ọjo kì í to lọ bi òréré.,Life's path is never straightforward,A,Life's path is never straightforward,Days go on straight because of the avenue,Avenues do not go on straight like days,An avenue goes on straight like the days
a,Strategy_2,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","It doesn't bother me, no need to repeat",D,This matter hurts me only when stated once,It hurts me because it's not being repeated,Stating it once is enough to hurt me,"It doesn't bother me, no need to repeat"
a,Strategy_2,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","The stew having cooled, one hollows one’s palm to eat it.",D,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",One does not carry debt around one’s neck and live like a dandy.,"""This matter does not hurt me"": stating it only once suffices.","The stew having cooled, one hollows one’s palm to eat it."
a,Strategy_2,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,It's what someone wants to hide from others that they do discreetly,D,What one does openly is what they wish to keep secret,One only keeps private what they have already made public,It's what one wishes to reveal that they do in private,It's what someone wants to hide from others that they do discreetly
a,Strategy_2,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,A father is a protector; a mother is a helper; a co-wife is death.,A,A father is a protector; a mother is a helper; a co-wife is death.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.
a,Strategy_2,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",C,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech."
a,Strategy_2,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,The moon doesn't distinguish between the homes of the rich and the poor; it shines on every yard equally,D,"The yard does not know which moon is poor; if a wealthy man's home is reached, then mine will be reached as well","A poor man does not know which moon belongs to his yard; if it reaches a wealthy man's house, it will reach mine too","A wealthy man's home is reached by the moon only if a poor man's yard is not reached first; in that case, it will also reach my home",The moon doesn't distinguish between the homes of the rich and the poor; it shines on every yard equally
a,Strategy_2,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.","Although we travel together, we can't predict who will succeed",C,"Though we travel alone, we know who is destined to prosper","Though we might travel as a group, we do not know who is destined to struggle","Although we travel together, we can't predict who will succeed","Though we might travel as a group, we know who is not destined to prosper"
a,Strategy_2,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,It is the person who is revered that will disgrace himself or herself.,A,It is the person who is revered that will disgrace himself or herself.,The filthy person destroys the appeal of a style of clothing.,Water is the first thing one’s foot encounters before it encounters the sand.,Whoever the dog came out with is the per son the dog returns home with.
a,Strategy_2,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,C,It is with both its eyes and its feathers that the partridge sees.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,"Though we might travel as a group, we do not know who is destined to prosper."
a,Strategy_2,Arabic,اللي ما رضى خببزة يرضى بنصها ,Half a loaf is more desirable than having no loaf at all,C,A full loaf is the only thing better than half of one,Having no loaf is more desirable if you can't have a full one,Half a loaf is more desirable than having no loaf at all,No bread is better than half a loaf
a,Strategy_2,Arabic,إنك تضرب في حديد بارد,You are hitting iron when it's cold,B,Iron is being struck by you when it's cold,You are hitting iron when it's cold,You are striking iron when it's hot,Cold iron is striking you
a,Strategy_2,Arabic,إصرف ما في الجيب يأتيك ما في الغيب.,Invest to gain more,D,Keep to waste more,Save to lose more,Earn to spend more,Invest to gain more
a,Strategy_2,Arabic,الصديق وقت الضيق.,A true friend is one who helps in times of trouble,B,The friend is in need of time,A true friend is one who helps in times of trouble,A friend is needed when the time is tight,"In times of need, the friend is indeed tight"
a,Strategy_2,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,He is biting the hand that feeds him,B,The one being fed is biting his hand,He is biting the hand that feeds him,He feeds the hand that bites him,The hand that feeds him is biting him
a,Strategy_2,Arabic,وِجّو بيقطع الرزق,a curse on the household,A,a curse on the household,livelihood cuts off the house,the house cuts off the livelihood,the house is cut off by livelihood
a,Strategy_2,Arabic,إطعم الفم تستحى العين.,A bribe can work wonders,A,A bribe can work wonders,Miracles happen when the eye is fed,The eye feeds the mouth,The mouth is ashamed when it is fed
a,Strategy_2,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,"When life gets tough, drink to forget your troubles",A,"When life gets tough, drink to forget your troubles","If life is going smoothly, drink and recall your hardships",Let them drink and remember their poverty and forget their misery,"If you're doing well, drink to remember your struggles"
a,Strategy_2,Arabic,جمل يعصر وجمل ياكل العصارة:,Climbing the ladder of success by stepping on others.,D,Every dog has its day.,Happiness is contagious.,"A penny saved is a penny earned.
",Climbing the ladder of success by stepping on others.
a,Strategy_2,Arabic,احفظ قرشك الأبيض ليومك الأسود.,"A penny saved is a penny earned.
",A,"A penny saved is a penny earned.
",let bygones be bygones.,Spend money to make money.,Climbing the ladder of success by stepping on others.
a,Strategy_2,Arabic,رمية من غير رامي,A brief burst of energy,A,A brief burst of energy,A spark without a flame,A flash from the thrower,A beam from an inactive shooter
a,Strategy_2,Arabic,فود عوجان.,He who goes out in search of wool often comes home shorn.,C,You are striking cold iron.,Every dog has its day.,He who goes out in search of wool often comes home shorn.,Prevention is better than cure
a,Strategy_2,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,Evil in return for god deed.,C,He who goes out in search of wool often comes home shorn.,where there is nothing the king loses his rights,Evil in return for god deed.,A flash in a pan.
a,Strategy_2,Arabic,المَمنُوع مَرْغُوب.,What's forbidden is often the most desirable,C,Fruit that isn't forbidden is sweeter,Forbidden things are never tempting,What's forbidden is often the most desirable,The sweetest fruit is forbidden
a,Strategy_2,Arabic,اللي فات مات (ماتلا عليه التلفات),let bygones be bygones.,A,let bygones be bygones.,Let them drink and forget their poverty and remember their misery no more.,A flash in a pan.,Address people in the language they can understand.
a,Strategy_2,Arabic,الإفراط في التّواضع يجلب المذلّة,Excessive humility will lead to being disrespected,B,Humility will prevent you from getting trampled on,Excessive humility will lead to being disrespected,Being disrespected will make you humble yourself,"If you get trampled on, you will humble yourself too much"
a,Strategy_2,Arabic,اللي فات مات.,the past is best left behind,A,the past is best left behind,what is gone is dead,what died has passed,those who passed away have gone
a,Strategy_2,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,It's better to hear about something than to see it as a fish in water,B,Seeing a fish in water is more desirable than hearing about it,It's better to hear about something than to see it as a fish in water,A fish in water is more visible than it sounds,Hearing is better when the fish is out of water
a,Strategy_2,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,The blameless often pay the price along with the guilty,A,The blameless often pay the price along with the guilty,The guilty are usually spared because of the innocent,It's usually the guilty who escape the consequences of the innocent,The innocent are typically rewarded while the guilty are punished
a,Strategy_2,Arabic,خاطبوا الناس على قدر عقولهم.,Address people in a way that matches their level of understanding,D,Intellects should be spoken to by people,People's language should address their understanding,People should speak to their intellect,Address people in a way that matches their level of understanding
a,Strategy_2,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,"The world is like a belly dancer, it gives everyone a brief performance",A,"The world is like a belly dancer, it gives everyone a brief performance","A belly dancer dances to the world for a short time, like everyone else",Everyone dances for a little while to the world like a belly dancer,"The world dances for a long time for only a few people, like a belly dancer"
a,Strategy_2,Arabic,ايش ياخد الريح من البلاط؟,"Where there's nothing, the king's authority is lost",D,The king loses his rights where the wind takes from the palace,The wind takes rights from the king where there's a palace,The palace loses its rights where the king has nothing,"Where there's nothing, the king's authority is lost"
a,Strategy_2,Arabic,تجيك التهايم وإنت نايم,Look what the cat dragged in.,D,A friend in need is a friend indeed.,Sometimes the innocent suffer with the guilty.,where there is nothing the king loses his rights,Look what the cat dragged in.
a,Strategy_2,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,A meal of simple food with loved ones is better than a feast of fine food with those you hate,D,It's better to have a stalled ox with hatred than a dinner of herbs with love,Hatred is more tolerable with a stalled ox than love is with a dinner of herbs,A dinner of herbs is worse when love is present than a stalled ox with hatred,A meal of simple food with loved ones is better than a feast of fine food with those you hate
a,Strategy_2,Arabic,بین المطرقة والسندان.,Between the upper and nether millstone.,A,Between the upper and nether millstone.,"A penny saved is a penny earned.
",You are striking cold iron.,Climbing the ladder of success by stepping on others.
a,Strategy_2,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Preventing problems is more effective than solving them,C,Medication is always more effective when used as a preventative measure rather than a cure,Treatment is more beneficial when started before prevention,Preventing problems is more effective than solving them,Cure is better than prevention when it comes to most diseases
a,Strategy_2,Arabic, انكشحت بين امعاه لحشيشَ.,To break the ice.,D,Happiness is contagious.,Address people in the language they can understand.,Every dog has its day.,To break the ice.
a,Strategy_2,Arabic,اللي ما يعرف الغلط ما يتعلم,He who is unaware of his mistakes will not learn,C,Learning only occurs when mistakes are already known,"If mistakes are known, then one will not learn",He who is unaware of his mistakes will not learn,Mistakes that are not known will not teach
a,Strategy_2,Arabic,اللي يخالط المسعدين يسعد.,Being around happy people brings happiness,A,Being around happy people brings happiness,Contagion only occurs when people are unhappy,Sadness is what happy people spread,Happiness contaminates those who are sad
a,Strategy_2,Arabic,يجي الخريف.. واللواري بتقيف,Every dog has its day.,C,Let them drink and forget their poverty and remember their misery no more.,Biting the hand that feeds him.,Every dog has its day.,He who does not know mistakes does not learn
