stage,variant,language,proverb,correct_meaning,raw_model_output,status,error,mcq_id,model,prompt,extracted_vote
generation,taxonomy-guided,Arabic,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Arabic,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Arabic,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Arabic,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,English,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,English,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,English,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,English,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Yoruba,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Yoruba,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Yoruba,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Yoruba,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,,parse_fallback,Could not parse JSON options.,,,,
generation,taxonomy-guided,Yoruba,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Arabic,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Arabic,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Arabic,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Arabic,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Arabic,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,English,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,English,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,English,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,English,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Yoruba,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Yoruba,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Yoruba,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Yoruba,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,,parse_fallback,Could not parse JSON options.,,,,
generation,few-shot-predictive,Yoruba,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Arabic,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Arabic,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Arabic,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Arabic,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Arabic,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,English,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,English,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,English,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,English,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Yoruba,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Yoruba,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Yoruba,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Yoruba,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,,parse_fallback,Could not parse JSON options.,,,,
generation,overgenerate-select,Yoruba,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,,parse_fallback,Could not parse JSON options.,,,,
audit,baseline,,,,D,,,baseline_Arabic_0,anthropic/claude-opus-4.8,"Which option is correct?

A. Winds blow counter to what the ship wants.
B. The dove is not bothered that one sets fire to the brush; the fire rages, and the bird flies away.
C. Planning is half of living.
D. There is no cause for staggering about, except for the person pushing himself or herself. I",D
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Arabic_0,openai/gpt-5,"Which option is correct?

A. Winds blow counter to what the ship wants.
B. The dove is not bothered that one sets fire to the brush; the fire rages, and the bird flies away.
C. Planning is half of living.
D. There is no cause for staggering about, except for the person pushing himself or herself. I",
audit,baseline,,,,,,,baseline_Arabic_0,google/gemini-2.5-pro,"Which option is correct?

A. Winds blow counter to what the ship wants.
B. The dove is not bothered that one sets fire to the brush; the fire rages, and the bird flies away.
C. Planning is half of living.
D. There is no cause for staggering about, except for the person pushing himself or herself. I",
audit,baseline,,,,"We are asked: ""Which option is",,,baseline_Arabic_0,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Winds blow counter to what the ship wants.
B. The dove is not bothered that one sets fire to the brush; the fire rages, and the bird flies away.
C. Planning is half of living.
D. There is no cause for staggering about, except for the person pushing himself or herself. I",
audit,baseline,,,,C,,,baseline_Arabic_1,anthropic/claude-opus-4.8,"Which option is correct?

A. One never arrives at the home of the ayò game without finding children.
B. Love is blind.
C. The goat would wish that its kid was a hegoat, only God the King did not consent; the robust sheep would wish its lamb was a ram, only God the King would not agree; the big hen would wish its chick was a cock, only God the King would not grant her wish.
D. This is an ironic way of saying, “Truth does not necessarily prevail.",C
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Arabic_1,openai/gpt-5,"Which option is correct?

A. One never arrives at the home of the ayò game without finding children.
B. Love is blind.
C. The goat would wish that its kid was a hegoat, only God the King did not consent; the robust sheep would wish its lamb was a ram, only God the King would not agree; the big hen would wish its chick was a cock, only God the King would not grant her wish.
D. This is an ironic way of saying, “Truth does not necessarily prevail.",
audit,baseline,,,,,,,baseline_Arabic_1,google/gemini-2.5-pro,"Which option is correct?

A. One never arrives at the home of the ayò game without finding children.
B. Love is blind.
C. The goat would wish that its kid was a hegoat, only God the King did not consent; the robust sheep would wish its lamb was a ram, only God the King would not agree; the big hen would wish its chick was a cock, only God the King would not grant her wish.
D. This is an ironic way of saying, “Truth does not necessarily prevail.",
audit,baseline,,,,The user is asking which option is correct,,,baseline_Arabic_1,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. One never arrives at the home of the ayò game without finding children.
B. Love is blind.
C. The goat would wish that its kid was a hegoat, only God the King did not consent; the robust sheep would wish its lamb was a ram, only God the King would not agree; the big hen would wish its chick was a cock, only God the King would not grant her wish.
D. This is an ironic way of saying, “Truth does not necessarily prevail.",
audit,baseline,,,,I need more context to determine which,,,baseline_Arabic_2,anthropic/claude-opus-4.8,"Which option is correct?

A. Deal with a situation when it happens and not unnecessarily worry about it in advance.
B. A person might be overcome by trouble or adversity when least expected.
C. Charity begins at home.
D. Evil people give good people a bad name.",
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Arabic_2,openai/gpt-5,"Which option is correct?

A. Deal with a situation when it happens and not unnecessarily worry about it in advance.
B. A person might be overcome by trouble or adversity when least expected.
C. Charity begins at home.
D. Evil people give good people a bad name.",
audit,baseline,,,,,,,baseline_Arabic_2,google/gemini-2.5-pro,"Which option is correct?

A. Deal with a situation when it happens and not unnecessarily worry about it in advance.
B. A person might be overcome by trouble or adversity when least expected.
C. Charity begins at home.
D. Evil people give good people a bad name.",
audit,baseline,,,,"The user is asking ""Which option is",,,baseline_Arabic_2,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Deal with a situation when it happens and not unnecessarily worry about it in advance.
B. A person might be overcome by trouble or adversity when least expected.
C. Charity begins at home.
D. Evil people give good people a bad name.",
audit,baseline,,,,A,,,baseline_Arabic_3,anthropic/claude-opus-4.8,"Which option is correct?

A. It is human nature to maintain hope even in a trying or doubtful situation.
B. What is acquired without effort especially money is likely to be lost.
C. There is nothing that gets hard that does not eventually become soft.
D. A bird in the hand is worth two in the bush.",A
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Arabic_3,openai/gpt-5,"Which option is correct?

A. It is human nature to maintain hope even in a trying or doubtful situation.
B. What is acquired without effort especially money is likely to be lost.
C. There is nothing that gets hard that does not eventually become soft.
D. A bird in the hand is worth two in the bush.",
audit,baseline,,,,,,,baseline_Arabic_3,google/gemini-2.5-pro,"Which option is correct?

A. It is human nature to maintain hope even in a trying or doubtful situation.
B. What is acquired without effort especially money is likely to be lost.
C. There is nothing that gets hard that does not eventually become soft.
D. A bird in the hand is worth two in the bush.",
audit,baseline,,,,"The user is asking ""Which option is",,,baseline_Arabic_3,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. It is human nature to maintain hope even in a trying or doubtful situation.
B. What is acquired without effort especially money is likely to be lost.
C. There is nothing that gets hard that does not eventually become soft.
D. A bird in the hand is worth two in the bush.",
audit,baseline,,,,A,,,baseline_Arabic_4,anthropic/claude-opus-4.8,"Which option is correct?

A. A bad workman always blames his tools.
B. Shortness is an asset in dancing.
C. Were it not for the fact that they were transported together, what would a goat want in the chicken’s stall? .
D. Even small gifts or payments are welcome.",A
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Arabic_4,openai/gpt-5,"Which option is correct?

A. A bad workman always blames his tools.
B. Shortness is an asset in dancing.
C. Were it not for the fact that they were transported together, what would a goat want in the chicken’s stall? .
D. Even small gifts or payments are welcome.",
audit,baseline,,,,,,,baseline_Arabic_4,google/gemini-2.5-pro,"Which option is correct?

A. A bad workman always blames his tools.
B. Shortness is an asset in dancing.
C. Were it not for the fact that they were transported together, what would a goat want in the chicken’s stall? .
D. Even small gifts or payments are welcome.",
audit,baseline,,,,"The user is asking ""Which option is",,,baseline_Arabic_4,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. A bad workman always blames his tools.
B. Shortness is an asset in dancing.
C. Were it not for the fact that they were transported together, what would a goat want in the chicken’s stall? .
D. Even small gifts or payments are welcome.",
audit,baseline,,,,B,,,baseline_English_5,anthropic/claude-opus-4.8,"Which option is correct?

A. Even negative attention can benefit by increasing visibility.
B. A person might be overcome by trouble or adversity when least expected.
C. The elderly person who acts his proper part will always be respected as an elder.
D. Trying to obtain everything will often result in gaining nothing.",B
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_English_5,openai/gpt-5,"Which option is correct?

A. Even negative attention can benefit by increasing visibility.
B. A person might be overcome by trouble or adversity when least expected.
C. The elderly person who acts his proper part will always be respected as an elder.
D. Trying to obtain everything will often result in gaining nothing.",
audit,baseline,,,,,,,baseline_English_5,google/gemini-2.5-pro,"Which option is correct?

A. Even negative attention can benefit by increasing visibility.
B. A person might be overcome by trouble or adversity when least expected.
C. The elderly person who acts his proper part will always be respected as an elder.
D. Trying to obtain everything will often result in gaining nothing.",
audit,baseline,,,,"We are asked: ""Which option is",,,baseline_English_5,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Even negative attention can benefit by increasing visibility.
B. A person might be overcome by trouble or adversity when least expected.
C. The elderly person who acts his proper part will always be respected as an elder.
D. Trying to obtain everything will often result in gaining nothing.",
audit,baseline,,,,C,,,baseline_English_6,anthropic/claude-opus-4.8,"Which option is correct?

A. Inexperience squanders vitality.
B. The rain of one day conquers the drought.
C. This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.
D. Facial scarification causes with a great deal of pain; when it heals, its beauty becomes one’s pride.",C
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_English_6,openai/gpt-5,"Which option is correct?

A. Inexperience squanders vitality.
B. The rain of one day conquers the drought.
C. This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.
D. Facial scarification causes with a great deal of pain; when it heals, its beauty becomes one’s pride.",
audit,baseline,,,,,,,baseline_English_6,google/gemini-2.5-pro,"Which option is correct?

A. Inexperience squanders vitality.
B. The rain of one day conquers the drought.
C. This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.
D. Facial scarification causes with a great deal of pain; when it heals, its beauty becomes one’s pride.",
audit,baseline,,,,"We are asked: ""Which option is",,,baseline_English_6,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Inexperience squanders vitality.
B. The rain of one day conquers the drought.
C. This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.
D. Facial scarification causes with a great deal of pain; when it heals, its beauty becomes one’s pride.",
audit,baseline,,,,C,,,baseline_English_7,anthropic/claude-opus-4.8,"Which option is correct?

A. An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.
B. It is a strong finish that matters most, even if one experiences a shaky start.
C. Were one’s child to resemble one, one would rejoice; the child of a Hausa man takes up the rope-weaving trade.
D. No rule or principle is perfectly inflexible, permanent, or unchanging .",C
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_English_7,openai/gpt-5,"Which option is correct?

A. An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.
B. It is a strong finish that matters most, even if one experiences a shaky start.
C. Were one’s child to resemble one, one would rejoice; the child of a Hausa man takes up the rope-weaving trade.
D. No rule or principle is perfectly inflexible, permanent, or unchanging .",
audit,baseline,,,,,,,baseline_English_7,google/gemini-2.5-pro,"Which option is correct?

A. An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.
B. It is a strong finish that matters most, even if one experiences a shaky start.
C. Were one’s child to resemble one, one would rejoice; the child of a Hausa man takes up the rope-weaving trade.
D. No rule or principle is perfectly inflexible, permanent, or unchanging .",
audit,baseline,,,,"We are asked: ""Which option is",,,baseline_English_7,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.
B. It is a strong finish that matters most, even if one experiences a shaky start.
C. Were one’s child to resemble one, one would rejoice; the child of a Hausa man takes up the rope-weaving trade.
D. No rule or principle is perfectly inflexible, permanent, or unchanging .",
audit,baseline,,,,B,,,baseline_English_8,anthropic/claude-opus-4.8,"Which option is correct?

A. Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.
B. When people get authority and influence with less accountability, they tend to use that influence in their own interests.
C. Two rams will not meet on a narrow bridge.
D. It is through resemblance that one knows those who are related.",B
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_English_8,openai/gpt-5,"Which option is correct?

A. Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.
B. When people get authority and influence with less accountability, they tend to use that influence in their own interests.
C. Two rams will not meet on a narrow bridge.
D. It is through resemblance that one knows those who are related.",
audit,baseline,,,,,,,baseline_English_8,google/gemini-2.5-pro,"Which option is correct?

A. Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.
B. When people get authority and influence with less accountability, they tend to use that influence in their own interests.
C. Two rams will not meet on a narrow bridge.
D. It is through resemblance that one knows those who are related.",
audit,baseline,,,,"The user asks: ""Which option is",,,baseline_English_8,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.
B. When people get authority and influence with less accountability, they tend to use that influence in their own interests.
C. Two rams will not meet on a narrow bridge.
D. It is through resemblance that one knows those who are related.",
audit,baseline,,,,A,,,baseline_English_9,anthropic/claude-opus-4.8,"Which option is correct?

A. Your actions will determine your future outcomes.
B. As long as the outcome is good, problems on the way don’t matter.
C. Grasp all lose all.
D. A masochistic woman hardens her head against her husband.",A
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_English_9,openai/gpt-5,"Which option is correct?

A. Your actions will determine your future outcomes.
B. As long as the outcome is good, problems on the way don’t matter.
C. Grasp all lose all.
D. A masochistic woman hardens her head against her husband.",
audit,baseline,,,,,,,baseline_English_9,google/gemini-2.5-pro,"Which option is correct?

A. Your actions will determine your future outcomes.
B. As long as the outcome is good, problems on the way don’t matter.
C. Grasp all lose all.
D. A masochistic woman hardens her head against her husband.",
audit,baseline,,,,"The user is asking ""Which option is",,,baseline_English_9,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. Your actions will determine your future outcomes.
B. As long as the outcome is good, problems on the way don’t matter.
C. Grasp all lose all.
D. A masochistic woman hardens her head against her husband.",
audit,baseline,,,,B,,,baseline_Yoruba_10,anthropic/claude-opus-4.8,"Which option is correct?

A. There is no drum that can surpass the b b .
B. The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.
C. Dirt does not matter; only the sanitary inspector fusses.
D. Scurrying around does not ensure prosperity; working like a slave results in nothing.",B
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Yoruba_10,openai/gpt-5,"Which option is correct?

A. There is no drum that can surpass the b b .
B. The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.
C. Dirt does not matter; only the sanitary inspector fusses.
D. Scurrying around does not ensure prosperity; working like a slave results in nothing.",
audit,baseline,,,,,,,baseline_Yoruba_10,google/gemini-2.5-pro,"Which option is correct?

A. There is no drum that can surpass the b b .
B. The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.
C. Dirt does not matter; only the sanitary inspector fusses.
D. Scurrying around does not ensure prosperity; working like a slave results in nothing.",
audit,baseline,,,,"We are asked: ""Which option is",,,baseline_Yoruba_10,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. There is no drum that can surpass the b b .
B. The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.
C. Dirt does not matter; only the sanitary inspector fusses.
D. Scurrying around does not ensure prosperity; working like a slave results in nothing.",
audit,baseline,,,,B,,,baseline_Yoruba_11,anthropic/claude-opus-4.8,"Which option is correct?

A. The believer is not bitten from the same hole twice
B. A new dress impels its owner to roam out doors.
C. One who is aggressive or violent toward others will likely suffer in a similar attitude.
D. Going-and-returning is the manner of the hand’s journey to the mouth. B",B
audit,baseline,,,,,,400 Client Error: Bad Request for url: https://openrouter.ai/api/v1/chat/completions,baseline_Yoruba_11,openai/gpt-5,"Which option is correct?

A. The believer is not bitten from the same hole twice
B. A new dress impels its owner to roam out doors.
C. One who is aggressive or violent toward others will likely suffer in a similar attitude.
D. Going-and-returning is the manner of the hand’s journey to the mouth. B",
audit,baseline,,,,,,,baseline_Yoruba_11,google/gemini-2.5-pro,"Which option is correct?

A. The believer is not bitten from the same hole twice
B. A new dress impels its owner to roam out doors.
C. One who is aggressive or violent toward others will likely suffer in a similar attitude.
D. Going-and-returning is the manner of the hand’s journey to the mouth. B",
audit,baseline,,,,The user is asking which option is correct,,,baseline_Yoruba_11,nvidia/nemotron-3-ultra-550b-a55b:free,"Which option is correct?

A. The believer is not bitten from the same hole twice
B. A new dress impels its owner to roam out doors.
C. One who is aggressive or violent toward others will likely suffer in a similar attitude.
D. Going-and-returning is the manner of the hand’s journey to the mouth. B",
