variant,mcq_id,language,correct_label,consensus_label,consensus_frac,consensus_correct,vote_anthropic_claude-opus-4.8,hit_anthropic_claude-opus-4.8,vote_openai_gpt-5,hit_openai_gpt-5,vote_google_gemini-2.5-pro,hit_google_gemini-2.5-pro,vote_nvidia_nemotron-3-ultra-550b-a55b:free,hit_nvidia_nemotron-3-ultra-550b-a55b:free
misconception-based,misconception-based_Yoruba_11,Yoruba,D,B,1.0,0,B,0.0,,,,,,
misconception-based,misconception-based_Yoruba_12,Yoruba,A,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_Yoruba_13,Yoruba,B,D,1.0,0,D,0.0,,,,,,
misconception-based,misconception-based_Yoruba_14,Yoruba,C,A,1.0,0,A,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Arabic_0,Arabic,A,B,1.0,0,B,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Arabic_1,Arabic,B,D,1.0,0,D,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Arabic_2,Arabic,C,D,1.0,0,D,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Arabic_3,Arabic,D,A,1.0,0,A,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Arabic_4,Arabic,A,B,1.0,0,B,0.0,,,,,,
taxonomy-guided,taxonomy-guided_English_5,English,B,B,1.0,1,B,1.0,,,,,,
taxonomy-guided,taxonomy-guided_English_6,English,C,C,1.0,1,C,1.0,,,,,,
taxonomy-guided,taxonomy-guided_English_7,English,D,C,1.0,0,C,0.0,,,,,,
taxonomy-guided,taxonomy-guided_English_8,English,A,A,1.0,1,A,1.0,,,,,,
taxonomy-guided,taxonomy-guided_English_9,English,B,A,1.0,0,A,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Yoruba_10,Yoruba,C,A,1.0,0,A,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Yoruba_11,Yoruba,D,D,1.0,1,D,1.0,,,,,,
taxonomy-guided,taxonomy-guided_Yoruba_12,Yoruba,A,B,1.0,0,B,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Yoruba_13,Yoruba,B,A,1.0,0,A,0.0,,,,,,
taxonomy-guided,taxonomy-guided_Yoruba_14,Yoruba,C,A,1.0,0,A,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Arabic_0,Arabic,A,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Arabic_1,Arabic,B,B,1.0,1,B,1.0,,,,,,
few-shot-predictive,few-shot-predictive_Arabic_2,Arabic,C,B,1.0,0,B,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Arabic_3,Arabic,D,C,1.0,0,C,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Arabic_4,Arabic,A,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_English_5,English,B,B,1.0,1,B,1.0,,,,,,
few-shot-predictive,few-shot-predictive_English_6,English,C,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_English_7,English,D,D,1.0,1,D,1.0,,,,,,
few-shot-predictive,few-shot-predictive_English_8,English,A,A,1.0,1,A,1.0,,,,,,
few-shot-predictive,few-shot-predictive_English_9,English,B,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Yoruba_10,Yoruba,C,B,1.0,0,B,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Yoruba_11,Yoruba,D,B,1.0,0,B,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Yoruba_12,Yoruba,A,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Yoruba_13,Yoruba,B,D,1.0,0,D,0.0,,,,,,
few-shot-predictive,few-shot-predictive_Yoruba_14,Yoruba,C,C,1.0,1,C,1.0,,,,,,
overgenerate-select,overgenerate-select_Arabic_0,Arabic,A,D,1.0,0,D,0.0,,,,,,
overgenerate-select,overgenerate-select_Arabic_1,Arabic,B,A,1.0,0,A,0.0,,,,,,
overgenerate-select,overgenerate-select_Arabic_2,Arabic,C,C,1.0,1,C,1.0,,,,,,
overgenerate-select,overgenerate-select_Arabic_3,Arabic,D,D,1.0,1,D,1.0,,,,,,
overgenerate-select,overgenerate-select_Arabic_4,Arabic,A,A,1.0,1,A,1.0,,,,,,
overgenerate-select,overgenerate-select_English_5,English,B,B,1.0,1,B,1.0,,,,,,
overgenerate-select,overgenerate-select_English_6,English,C,C,1.0,1,C,1.0,,,,,,
overgenerate-select,overgenerate-select_English_7,English,D,B,1.0,0,B,0.0,,,,,,
overgenerate-select,overgenerate-select_English_8,English,A,A,1.0,1,A,1.0,,,,,,
overgenerate-select,overgenerate-select_English_9,English,B,A,1.0,0,A,0.0,,,,,,
overgenerate-select,overgenerate-select_Yoruba_10,Yoruba,C,D,1.0,0,D,0.0,,,,,,
overgenerate-select,overgenerate-select_Yoruba_11,Yoruba,D,B,1.0,0,B,0.0,,,,,,
overgenerate-select,overgenerate-select_Yoruba_12,Yoruba,A,B,0.5,0,B,0.0,,,,,A,1.0
overgenerate-select,overgenerate-select_Yoruba_13,Yoruba,B,C,1.0,0,C,0.0,,,,,,
overgenerate-select,overgenerate-select_Yoruba_14,Yoruba,C,C,0.5,1,C,1.0,,,,,B,0.0
