variant,mcq_id,language,sample_id,proverb,correct_meaning,correct_label,option_A,option_B,option_C,option_D,generation_status,fallback_count
baseline,baseline_Yoruba_10,Yoruba,3756,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,C,There is no drum that can surpass the b b .,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",Dirt does not matter; only the sanitary inspector fusses.,Scurrying around does not ensure prosperity; working like a slave results in nothing.,parse_fallback,0
baseline,baseline_Yoruba_11,Yoruba,3596,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,D,The believer is not bitten from the same hole twice,A new dress impels its owner to roam out doors.,One who is aggressive or violent toward others will likely suffer in a similar attitude.,Going-and-returning is the manner of the hand’s journey to the mouth. B,parse_fallback,0
baseline,baseline_Yoruba_12,Yoruba,324,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,A,A house does not burn and fill the eyes with sleep.,Health is not valued till sickness comes.,"It is in the household that a featherless chicken is shunned; were it a partridge, humans would have killed it for food.",The pathway gaboon viper defiantly occu pies the whole path.,parse_fallback,0
baseline,baseline_Yoruba_13,Yoruba,355,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,B,"Watch out, watch out, for here it comes!’’ For such a thing one would best prepare a snare.",The toad is only slightly taller than the earth.,That a calabash faces downward is no anti-social sign; the calabash is only acting ac cording to its nature.,"Don’t waste your time trying to make a stubborn, il logical person understand your point; it will likely go over their head anyway.",parse_fallback,0
baseline,baseline_Yoruba_14,Yoruba,799,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,C,"Instead of apologizing for past misbehavior, a child should rather guard against a repeti tion.",Those who have experienced trauma from a mistake are less likely to repeat it.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,It is the potsherd that precedes the live coal gatherer,parse_fallback,0
misconception-based,misconception-based_Arabic_0,Arabic,865,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,A,Winds blow counter to what the ship wants.,Sharing of food is not pleasant if one par ticipant has nothing; it is when one has something that one shares.,The parrot never dies in the grazing field. ,Whoever steals a poor person’s chicken steals from an incessant complainer.,parse_fallback,0
misconception-based,misconception-based_Arabic_1,Arabic,185,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,B,"If one tries hard enough, they can find their way ar ound any law or rule.",Love is blind.,The pot calling the kettle black.,Whoever gets burned by soup blows on yogurt,parse_fallback,0
misconception-based,misconception-based_Arabic_2,Arabic,161,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,C,"in insignificant nail resulted in the loss of the rider. Small things can have huge implications. So, don’t ignore nuances and minute details. They’re the ones that stand people out.",The trouble that befalls the eyes will also af fect the nose.,Charity begins at home.,"However long it may take, the stammerer will eventually say, ‘‘Father.’’",parse_fallback,0
misconception-based,misconception-based_Arabic_3,Arabic,179,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,D,Out of the frying pan into the fire.,Even small gifts or payments are welcome.,The snail rejects the fate of being swallowed by a snake.,A bird in the hand is worth two in the bush.,parse_fallback,0
misconception-based,misconception-based_Arabic_4,Arabic,296,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,A,A bad workman always blames his tools.,The husband’s death is the bane of a woman.,Two hundred animals will not lie in ambush for a leopard.,Continuous effort is necessary in order to accomplish something.,parse_fallback,0
misconception-based,misconception-based_English_5,English,1611,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,B,It is the person taller than another who shows no respect for the other.,A person might be overcome by trouble or adversity when least expected.,The lion claims the forest; the lion claims the forest without a quiver of arrows.,Half a loaf is better than no bread.,parse_fallback,0
misconception-based,misconception-based_English_6,English,581,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",C,"If you haven’t met or spoken to a friend or relative in long time, he’ll be forgotten. Such friendships eventually wither away or may just remain a distant acquaintance.","An elder who does not secretly lend one six pence: if he embarks on building a house, one does not show up to help.","This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",The cane rat that attempts to uproot a palm tree will lose all its teeth in the attempt.,parse_fallback,0
misconception-based,misconception-based_English_7,English,987,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",D,"Before the child was born, one had someone as a playmate.",The orderliness is the orderliness of termites; the multiplicity is the multiplicity of the swarming brown ants.,"You can only shop, buy, or acquire based on your financial resources.","No rule or principle is perfectly inflexible, permanent, or unchanging .",parse_fallback,0
misconception-based,misconception-based_English_8,English,679,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,A,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,Who is as great as God? No human being knows tomorrow.,He-who-lives-with-one-without-knowing one’s-habits: he is one’s enemy.,Internal conflict weakens a group.,parse_fallback,0
misconception-based,misconception-based_English_9,English,390,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",B,"A proverbial saying, often used in circumstances where it is thought that saying nothing is preferable to speaking.","As long as the outcome is good, problems on the way don’t matter.",A good deed is never lost.,Take benefit from what you have,parse_fallback,0
misconception-based,misconception-based_Yoruba_10,Yoruba,3756,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,C,The world does not wish that one rid oneself of the burden one carries; it is one’s head that relieves one.,Mistakes or mishaps are inevitable.,Dirt does not matter; only the sanitary inspector fusses.,"If one removes secreted matter from the eye, one shows it to the eye.",parse_fallback,0
misconception-based,misconception-based_Yoruba_11,Yoruba,3596,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,D,There is an excess of familiarity at the root of all hostilities.,"Quality of people is a good indicator of the quality of their leader. We expect our bureaucracy, politicians, and other leaders to be impeccable. But they don’t descend from heavens. They come from the very people they represent, and hence their quality will be reflective of the quality of people.","In a battle, someti mes a retreat is the best tactic.",Going-and-returning is the manner of the hand’s journey to the mouth. B,parse_fallback,0
misconception-based,misconception-based_Yoruba_12,Yoruba,324,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,A,A house does not burn and fill the eyes with sleep.,It is with the wise person in mind that one makes the idiot’s garment full length.,The eyes never see a beautiful person with out acknowledging him or her.,"The squirrel is waiting for an excuse to get away and is told that its parents-in-law’s slave has escaped; the eagle prepares to depart for Ìbarà, and the breeze lifts its tail feathers; time, it says, to get going.",parse_fallback,0
misconception-based,misconception-based_Yoruba_13,Yoruba,355,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,B,"An animal that performs valuable service to humans, often with reference to dogs.",The toad is only slightly taller than the earth.,Detractors are not scarce; nothing is more difficult to find than reputation menders; reputation menders are far fewer than de tractors.,Don’t get sidetracked by trivial details; only a thing’s essence truly matters.,parse_fallback,0
misconception-based,misconception-based_Yoruba_14,Yoruba,799,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,C,A small mistake may be a warning sign of something worse to come.,The son of the butcher inherits a knife.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,A king derives only awe from beheading people; the king does not drink blood.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Arabic_0,Arabic,865,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,A,Winds blow counter to what the ship wants.,"Avoid the company of liars, but if you can’t, don’t believe them.",Consistency is the key to success.,There-is-no-problem always travels in the company of problem.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Arabic_1,Arabic,185,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,B,"No matter how someone dresses, it's the same person underneath.",Love is blind.,I wish I have the patience of a saint.,"Tortoise has entered into a narrow-necked pot; now, getting out is a problem.",parse_fallback,0
taxonomy-guided,taxonomy-guided_Arabic_2,Arabic,161,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,C,Kindness begets kindness.,Seeking-until-finding is how a woman looks for ingredients for stew.,Charity begins at home.,You cannot be successful in life and reach your goal without going through hardships.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Arabic_3,Arabic,179,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,D,"Like a needle, like a needle, one compiles falsehood; the day it is as big as the hoe one uses on a farm, that is the day it kills one.",Love is blind.,"A literal meaning, advocating patience.",A bird in the hand is worth two in the bush.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Arabic_4,Arabic,296,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,A,A bad workman always blames his tools.,"The more one weeds kukù, the more it sprouts leaves; the more one tramples aṣẹro, the more it grows; the more one rails against Ògún, the more he thrives.","Whether the child will survive or not, let us rejoice with a person who has a baby. ",One does not come into this world without becoming something; what one does not know is what one will become.,parse_fallback,0
taxonomy-guided,taxonomy-guided_English_5,English,1611,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,B,Some tas ks are not suited to everyone.,A person might be overcome by trouble or adversity when least expected.,No threat or danger should be regarded as small enough to dismiss and neglect.,"If one insults the guinea fowl, the guinea fowl gets a headache.",parse_fallback,0
taxonomy-guided,taxonomy-guided_English_6,English,581,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",C,Anger accomplishes nothing; forbearance is the father of character traits; an elder who has forbearance has everything.,"The wife was the one made love to, but it is the husband who got pregnant.","This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",Being upset for something that happened in the past.,parse_fallback,0
taxonomy-guided,taxonomy-guided_English_7,English,987,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",D,Bad people seem to succeed and get away with breaking rules or committing crimes.,One never knows how to negotiate the dark ness of a night that did not fall in one’s presence.,Each nation has its own culture.,"No rule or principle is perfectly inflexible, permanent, or unchanging .",parse_fallback,0
taxonomy-guided,taxonomy-guided_English_8,English,679,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,A,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,No illness can be more grave than that of the person who died.,The partridge meets its death on the dry season-marsh farm.,It can be very costly to always learn through one’s own mistakes.,parse_fallback,0
taxonomy-guided,taxonomy-guided_English_9,English,390,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",B,To strike while the iron is hot is to act decisively and take an opportunity when it arises.,"As long as the outcome is good, problems on the way don’t matter.","If love is shallow, people will find faults in each other.",You learn best from doing.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Yoruba_10,Yoruba,3756,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,C,Entities with greater power or size experience more significant consequences when they fail.,One’s name is one’s bridle.,Dirt does not matter; only the sanitary inspector fusses.,Don't trust your enemies.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Yoruba_11,Yoruba,3596,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,D,Those in need must accept what is available without complaint.,bluster one's way out,It is better to be in safe than sorry,Going-and-returning is the manner of the hand’s journey to the mouth. B,parse_fallback,0
taxonomy-guided,taxonomy-guided_Yoruba_12,Yoruba,324,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,A,A house does not burn and fill the eyes with sleep.,What you learn when you are young will be invaluable when your grow old.,"The effort is big, but the reward none",It is an alarm that is raised without moderation that finds no helpers.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Yoruba_13,Yoruba,355,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,B,A little precaution before a crisis is better than lot of firefighting afterwards.,The toad is only slightly taller than the earth.,Coming-to-earth is nothing like going-to heaven.,A woman does not take a lover’s money and then complain of menorrhagia.,parse_fallback,0
taxonomy-guided,taxonomy-guided_Yoruba_14,Yoruba,799,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,C,"We prepared stew for Fádípẹ̀, and Fájẹbẹ̀ ate it; the person who deserved the stew got it.",Whoever finds something can keep it.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,"Don’t try to fix imaginary problems as they may never hap pen, but face them when they actually come to you.",parse_fallback,0
few-shot-predictive,few-shot-predictive_Arabic_0,Arabic,865,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,A,Winds blow counter to what the ship wants.,You can't teach an old dog new tricks.,Two people doing something together share the responsibility equally.,A young chick that goes missing cannot thereby justify the presentation of a he-goat to the masquerader as replacement. Ọ,parse_fallback,0
few-shot-predictive,few-shot-predictive_Arabic_1,Arabic,185,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,B,"When an animal falls to the ground, the hunter’s eyes lose their wildness.",Love is blind.,Foolish inquiries elicit inappropriate responses.,Don't give a fool a platform.,parse_fallback,0
few-shot-predictive,few-shot-predictive_Arabic_2,Arabic,161,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,C,One’s master cannot be so tyrannical that he orders one not to shit. 430 rights and responsibilities,The person to whom a bride is being brought does not strain his neck [to see her from a distance].,Charity begins at home.,"The harder you work, the more ideas and chances you may make for yourself.",parse_fallback,0
few-shot-predictive,few-shot-predictive_Arabic_3,Arabic,179,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,D,The child spawned by a fish resembles a fish; the child sired by a leopard resembles a leopard; the child born to a Fulbe per son will weave ropes.,It is inside oneself that the name one will name one’s child resides.,Whatever outcome the majority of people in a nation or community desire is the one that is most likely to happen.,A bird in the hand is worth two in the bush.,parse_fallback,0
few-shot-predictive,few-shot-predictive_Arabic_4,Arabic,296,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,A,A bad workman always blames his tools.,That a calabash faces downward is no anti-social sign; the calabash is only acting ac cording to its nature.,"If you give a greedy person something small, he will expect more and more from you.",One sees only other peoples’ occiputs; only others can see one’s own.,parse_fallback,0
few-shot-predictive,few-shot-predictive_English_5,English,1611,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,B,People who came to the world are far fewer than people who came as companions.,A person might be overcome by trouble or adversity when least expected.,You have to wait for the donkey's years.,There are many routes one can take to reach a destinat ion.,parse_fallback,0
few-shot-predictive,few-shot-predictive_English_6,English,581,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",C,"Moderate your preening and strutting, beautiful woman of [the town of] Ṣàpn. ","The snake is hungry, and the tortoise saunters by.","This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",I curse my own child but I hate whoever says “amen.”,parse_fallback,0
few-shot-predictive,few-shot-predictive_English_7,English,987,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",D,The evildoer seeks good people to associate with.,There’s always one person in a given social group who is a disgrace or embarrassment.,Death killed the lender; a river carried off the pawn; the guarantor died of smallpox; there is hardly anyone left who knows the amount of the debt.,"No rule or principle is perfectly inflexible, permanent, or unchanging .",parse_fallback,0
few-shot-predictive,few-shot-predictive_English_8,English,679,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,A,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,Water is never so scarce that one does not give some to the outdoor earth to drink.,A surfeit of locust-bean seasoning does not ruin a stew.,It is he who shares one’s throne that knows one’s strategy in battle.,parse_fallback,0
few-shot-predictive,few-shot-predictive_English_9,English,390,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",B,Someone who constantly makes threats rarely carries them out.,"As long as the outcome is good, problems on the way don’t matter.","Physical attacks may harm me, but cruel words will not.","If a lazy person has a fever, one lets him die; neither a live nor a dead lazy person does anything for one.",parse_fallback,0
few-shot-predictive,few-shot-predictive_Yoruba_10,Yoruba,3756,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,C,Put oneself in an isolated position in one's support of someone or something.,To turn a blind eye is to knowingly refuse to acknowledge something which you know to be real.,Dirt does not matter; only the sanitary inspector fusses.,Everything belongs to me.,parse_fallback,0
few-shot-predictive,few-shot-predictive_Yoruba_11,Yoruba,3596,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,D,Don’t give up because something doesn’t work out the first time you try it.,Young palm fruits are the support of ripe ones; one’s children are one’s support.,A man who has no wife does not father born-to-die children.,Going-and-returning is the manner of the hand’s journey to the mouth. B,parse_fallback,0
few-shot-predictive,few-shot-predictive_Yoruba_12,Yoruba,324,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,A,A house does not burn and fill the eyes with sleep.,"No rule or principle is perfectly inflexible, permanent, or unchanging .",There is no longer anything worth calling a child in a child that eats ashes.,Better to have an enemy who slaps you in the face than a friend who stabs you in the back.,parse_fallback,0
few-shot-predictive,few-shot-predictive_Yoruba_13,Yoruba,355,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,B,An almighty boil has attacked the mouth of the sage.,The toad is only slightly taller than the earth.,A person who strays from the company and safety of the group is more vulnerable to a dangerous or untrustworthy person.,"When you have a choice to make and neither option is attractive, choose the one that is less damaging or costly.",parse_fallback,0
few-shot-predictive,few-shot-predictive_Yoruba_14,Yoruba,799,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,C,The masquerader says he wants to dance; the rain says it wants to fall; and the child says he wants to perform wonders.,To see a person is to greet the person; to be greeted is to respond.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,A person who has a certain flaw most easily recognizes that flaw in others.,parse_fallback,0
overgenerate-select,overgenerate-select_Arabic_0,Arabic,865,تجري الرياح بما لا تشتهي السفن,Winds blow counter to what the ship wants.,A,Winds blow counter to what the ship wants.,A farmer does not know which planting will bring prosperity; a trader does not know which transaction will be his last.,Don’t trust a custom simply because it is tradition; you need to questi on the logic and moral behind it.,The intrepid person does not consult the Ifá oracle on his own behalf; the sagacious per son does not enthrone himself; the sharpest knife does not carve its own hilt.,parse_fallback,0
overgenerate-select,overgenerate-select_Arabic_1,Arabic,185,مراية الحب عمياء/بصلة المحب خروف,Love is blind.,B,It is better to keep what you have rather than to risk losing it by searching for something better.,Love is blind.,Privacy and security are of utmost importance when it comes to the home.,People tend to make the same mistakes again and again over the course of history.,parse_fallback,0
overgenerate-select,overgenerate-select_Arabic_2,Arabic,161,اللي يعوزه البيت يحرم على الجامع,Charity begins at home.,C,It is completely that smoke fills the forest.,Here I come!’’ ‘‘Come on already!’’ Both of them are afraid.,Charity begins at home.,All of us assembled here are of a type; the cat comes face to face with the offspring of the leopard.,parse_fallback,0
overgenerate-select,overgenerate-select_Arabic_3,Arabic,179,عصفور في اليد خير من عشرة على الشجرة:,A bird in the hand is worth two in the bush.,D,Early dawn does not wake one twice; early dawn is the morning; deep darkness is night.,True beauty is everlasting; the memory of a beautiful experience rests eternally in the mind.,The lizard resembles the crocodile; it is their strength that is different.,A bird in the hand is worth two in the bush.,parse_fallback,0
overgenerate-select,overgenerate-select_Arabic_4,Arabic,296,عتبها على أهلها من قلة عقلها.,A bad workman always blames his tools.,A,A bad workman always blames his tools.,"Until it matures, the young bird is fed by having food placed in its mouth.",The poor person’s mouth is a machete; its use is to clear the bush.,"Rather than the child of the priest dying of hunger, he or she will feed to satisfaction on goods provided for sacrifice.",parse_fallback,0
overgenerate-select,overgenerate-select_English_5,English,1611,After a calm comes a storm,A person might be overcome by trouble or adversity when least expected.,B,"When the eyes see, the mouth remains quiet.",A person might be overcome by trouble or adversity when least expected.,Do not eat up my stew with pounded yam made from water yams before your trip to the forest farm.,Leave the hooked stick alone for the leaf plucker; leave the husband alone for the jealous woman.,parse_fallback,0
overgenerate-select,overgenerate-select_English_6,English,581,Know thyself,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",C,The king is the defense of the person who has no kin.,Do things in their p roper order; don’t get ahead of yourself.,"This proverb can be used as a caution that we should know our limits and weaknesses, or as motivation to disc over our strengths and hidden talents.",The scorpion travels accompanied by venom.,parse_fallback,0
overgenerate-select,overgenerate-select_English_7,English,987,There is an exception to every rule,"No rule or principle is perfectly inflexible, permanent, or unchanging .",D,"The condition that gave a sheep a cold, if it befell a goat, would result in its death.","Trouble has found you, just as the compulsion to kneel has found the cripple",Pooled contributions earn no profit; one winds up with only how much one contributed.,"No rule or principle is perfectly inflexible, permanent, or unchanging .",parse_fallback,0
overgenerate-select,overgenerate-select_English_8,English,679,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,A,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,An elder does not hold a rat and see it turn into a lizard.,Whoever has riches should act like a king; what kind of feat can a miser perform with money?,"‘‘I am not upset, I am not upset!’’ Yet a grown man swears angrily six times because of last night’s pounded yam.",parse_fallback,0
overgenerate-select,overgenerate-select_English_9,English,390,All is well that ends well,"As long as the outcome is good, problems on the way don’t matter.",B,Fashionable people will endure discomfort in order to impress others.,"As long as the outcome is good, problems on the way don’t matter.","An elder who climbs palm trees: if he crashes from the tree, he will find himself in heaven.","-There’s always a catch.
-You don’t get something for nothing.",parse_fallback,0
overgenerate-select,overgenerate-select_Yoruba_10,Yoruba,3756,Ìdtí ò mátà; woléwolé lẹj bá wí.,Dirt does not matter; only the sanitary inspector fusses.,C,Your age doesn't matter as long as you are fit and healthy.,"If cohabitation does not work, let us give each other some space.",Dirt does not matter; only the sanitary inspector fusses.,kill the chicken to scare the monkey.,parse_fallback,0
overgenerate-select,overgenerate-select_Yoruba_11,Yoruba,3596,Àyúnbọ̀ lọwọ́ ńyún ẹnu.,Going-and-returning is the manner of the hand’s journey to the mouth. B,D,God bestows one with wealth so that they may share it with others.,A bird’s beak cannot snap up a rock.,Whatever one handles gently will not be ruined; it is what one attempts with force that causes grief.,Going-and-returning is the manner of the hand’s journey to the mouth. B,parse_fallback,0
overgenerate-select,overgenerate-select_Yoruba_12,Yoruba,324,Ilé kì í jó kí oorun kun ojú.,A house does not burn and fill the eyes with sleep.,A,A house does not burn and fill the eyes with sleep.,Pay attention to detail; a minor misstep can cause a big problem.,The world accepts only adding on.,"[If] all was ruined during one’s watch, that spells a defect in character.",parse_fallback,0
overgenerate-select,overgenerate-select_Yoruba_13,Yoruba,355,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,B,"Where one finds I-will-kill-him-for-sure, even there too will one find I-will-save-him.",The toad is only slightly taller than the earth.,Laziness in youth leads to poverty in old age.,There is no manner of death that is inconvenient for the chicken.,parse_fallback,0
overgenerate-select,overgenerate-select_Yoruba_14,Yoruba,799,Kìtì ò mọ́là; ká ṣíṣẹ́ bí ẹrú ò da nǹkan.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,C,It is from childhood that the elephant was greater than the buffalo.,It is an insatiable chief of the masqueraders’ cult that stands on tiptoe to watch a performing masquerader.,Sudden pouncing does not capture greatness; working like a slave does not ensure anything.,It is the retail merchant who makes mer chandise dear.,parse_fallback,0
