sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info,semantic_max_sim
MID0363,Arabic,أنا باللقمة لفمو وهو بالمشهاب لعيني.,يُشير هذا المثل إلى الشخص الجاحد الذي ينتقم من الآخرين أو يخونهم بعدما يُحسن إليه.,This proverb is used to describe a person who is ungrateful and betrays others.,"[""يصف شخصًا يحب食物 كثيرًا ويُظهر اهتمامه بالطعام أكثر من الناس."", ""يُقصد به الشخص الذي يكافئ الآخرين ويُظهر امتنانه لهم."", ""يُستخدم لوصف العلاقة بين الأصدقاء الذين يتفاهمون ويتفاوضون بصدق.""]",False,S2,يصف شخصًا يحب食物 كثيرًا ويُظهر اهتمامه بالطعام أكثر من الناس.,يُستخدم لوصف العلاقة بين الأصدقاء الذين يتفاهمون ويتفاوضون بصدق.,يُقصد به الشخص الذي يكافئ الآخرين ويُظهر امتنانه لهم.,يُشير هذا المثل إلى الشخص الجاحد الذي ينتقم من الآخرين أو يخونهم بعدما يُحسن إليه.,D,1,generated,0.7078
MID0487,Arabic,وِجّو بيقطع الرزق,يُقال للأشخاص غير الحظوظ,This phrase is said to refer to the unlucky people.,"[""يُقال لمن يعاني من نقص في الطعام"", ""يُقال للأشخاص الذين يجلبون الحظ للآخرين"", ""يُقال لمن يهدرون المال بلا طائل""]",False,S2,يُقال للأشخاص غير الحظوظ,يُقال لمن يهدرون المال بلا طائل,يُقال للأشخاص الذين يجلبون الحظ للآخرين,يُقال لمن يعاني من نقص في الطعام,A,1,generated,0.6674
MID0705,Arabic,إطعم الفم تستحى العين.,إذا أردت أن يبقى شخص بجانبك أو ينفعك، فعليك أن تكون سخياً عليه مالياً,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.","[""إذا أطعمت شخصاً فسيكون منحشك بالعين"", ""إذا كنت لا تريده أن ينفعك، فعليك أن تُحسن إليه مالياً"", ""إذا أطعمت شخصاً فسيكون سعيداً ويتفرج دون تدخل""]",False,S2,إذا أطعمت شخصاً فسيكون سعيداً ويتفرج دون تدخل,إذا أردت أن يبقى شخص بجانبك أو ينفعك، فعليك أن تكون سخياً عليه مالياً,إذا كنت لا تريده أن ينفعك، فعليك أن تُحسن إليه مالياً,إذا أطعمت شخصاً فسيكون منحشك بالعين,B,1,generated,0.7535
MID0596,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,إذا واجهت صعوبة، فاحلِلها بحكمة وعقل,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.","[""إذا شعرت بالضيق، فاسترح بالخمر"", ""كلما سهُل الأمر عليك، اشرب الخمر"", ""عندما تجد الأمور سهلة، فضّها بشرب الخمر""]",False,S2,إذا شعرت بالضيق، فاسترح بالخمر,كلما سهُل الأمر عليك، اشرب الخمر,إذا واجهت صعوبة، فاحلِلها بحكمة وعقل,عندما تجد الأمور سهلة، فضّها بشرب الخمر,C,1,generated,0.5218
MID0552,Arabic,جمل يعصر وجمل ياكل العصارة:,يُشير إلى الأشخاص الذين يستفيدون من جهود الآخرين لتحقيق النجاح,The proverb refers to people who succeed through the efforts of others.,"[""يُشير إلى شخص يتعب ويقوم بجهد بينما يأكله الآخرون حرفيًا"", ""يُشير إلى الأشخاص الذين يكافحون ويحققون النجاح بينما الآخرون يستغلونهم"", ""يُشير إلى التنافس الشريف بين الأصدقاء في تحقيق الأهداف""]",False,S2,يُشير إلى الأشخاص الذين يكافحون ويحققون النجاح بينما الآخرون يستغلونهم,يُشير إلى شخص يتعب ويقوم بجهد بينما يأكله الآخرون حرفيًا,يُشير إلى الأشخاص الذين يستفيدون من جهود الآخرين لتحقيق النجاح,يُشير إلى التنافس الشريف بين الأصدقاء في تحقيق الأهداف,C,1,generated,0.8426
MID0031,Arabic,احفظ قرشك الأبيض ليومك الأسود.,احفظ المال في الأوقات الجيدة لاستخدامه في الأوقات الصعبة.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"[""استهلك قرشك الأبيض عندما ترى يومًا أسود."", ""الاستهلاك المفرط يجلب الحظ السعيد."", ""يُستخدم هذا المثل لوصف الفرح في الأوقات الصعبة.""]",False,S2,الاستهلاك المفرط يجلب الحظ السعيد.,استهلك قرشك الأبيض عندما ترى يومًا أسود.,يُستخدم هذا المثل لوصف الفرح في الأوقات الصعبة.,احفظ المال في الأوقات الجيدة لاستخدامه في الأوقات الصعبة.,D,1,generated,0.5343
MID0591,Arabic,رمية من غير رامي,أن يُنسب قول حكيم أو جيد إلى شخص غير مؤهل قاله دون أن يُعرف هويته الحقيقية,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,"[""أن يرمي شخص غير متعمد ويفوت هدفه عمدًا"", ""أن يُنسب الفضل في قول ما إلى الشخص الأهل فقط"", ""أن يُستخدم هذا القول في سياق الشخص الذي يخطئ ويكشف عن جهله""]",False,S2,أن يُستخدم هذا القول في سياق الشخص الذي يخطئ ويكشف عن جهله,أن يُنسب الفضل في قول ما إلى الشخص الأهل فقط,أن يرمي شخص غير متعمد ويفوت هدفه عمدًا,أن يُنسب قول حكيم أو جيد إلى شخص غير مؤهل قاله دون أن يُعرف هويته الحقيقية,D,1,generated,0.7332
MID0522,Arabic,فود عوجان.,يُستخدم هذا المثل لوصف الشخص الذي يعود إلى عائلته بعد غياب طويل يبحث عن منفعة، لكنه يجلب ضررًا بدلًا من منفعة.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental.","[""يُشير إلى الشخص الذي يعود إلى عائلته بعد غياب ليمتص الدعم المادي دون إعطاء شيء في المقابل."", ""يُستخدم هذا المثل لوصف الشخص الذي يعود إلى عائلته بعد غياب ويبعث بالخير والمنفعة لهم."", ""يُستخدم هذا المثل للدلالة على الشخص الذي يترك عائلته طمعًا في الربح.""]",False,S2,يُستخدم هذا المثل للدلالة على الشخص الذي يترك عائلته طمعًا في الربح.,يُستخدم هذا المثل لوصف الشخص الذي يعود إلى عائلته بعد غياب طويل يبحث عن منفعة، لكنه يجلب ضررًا بدلًا من منفعة.,يُشير إلى الشخص الذي يعود إلى عائلته بعد غياب ليمتص الدعم المادي دون إعطاء شيء في المقابل.,يُستخدم هذا المثل لوصف الشخص الذي يعود إلى عائلته بعد غياب ويبعث بالخير والمنفعة لهم.,B,1,generated,0.8431
MID0216,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,يعني أن هناك من يفعل الخير الكثير في حين يقابل بعدم الوفاء,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,"[""يعني أن يأخذ الآخرون مني ويعطون لي"", ""يعني أن يكافئ المرء من يسيئ إليه"", ""يُستخدم للتعبير عن الفرح والامتنان""]",False,S2,يعني أن هناك من يفعل الخير الكثير في حين يقابل بعدم الوفاء,يُستخدم للتعبير عن الفرح والامتنان,يعني أن يكافئ المرء من يسيئ إليه,يعني أن يأخذ الآخرون مني ويعطون لي,A,1,generated,0.6907
MID0064,Arabic,المَمنُوع مَرْغُوب.,المنع قد يزيد من رغبة الناس في الحصول على الشيء الممنوع أو التجربة,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"[""الشيء الممنوع دائمًا هو الأفضل"", ""كلما زاد الرغب في الشيء، زاد احتمال منعه"", ""يُستخدم هذا المثل لوصف تأثير الحوافز على السلوك""]",False,S2,يُستخدم هذا المثل لوصف تأثير الحوافز على السلوك,كلما زاد الرغب في الشيء، زاد احتمال منعه,المنع قد يزيد من رغبة الناس في الحصول على الشيء الممنوع أو التجربة,الشيء الممنوع دائمًا هو الأفضل,C,1,generated,0.6551
MID0317,Arabic,اللي فات مات (ماتلا عليه التلفات),لا تندم على الماضي ولا تهتم بما فقدته,The proverb urges not to look back and regret what has passed.,"[""من يموت يظل مرتبطًا بالماضي"", ""من الأفضل التعلق بالماضي والاستمرار في متابعته"", ""الشخص الذي ينظر إلى الوراء يجد مشاكل جديدة""]",False,S2,الشخص الذي ينظر إلى الوراء يجد مشاكل جديدة,من يموت يظل مرتبطًا بالماضي,من الأفضل التعلق بالماضي والاستمرار في متابعته,لا تندم على الماضي ولا تهتم بما فقدته,D,1,generated,0.5931
MID0040,Arabic,الإفراط في التّواضع يجلب المذلّة,الإفراط في التواضع يجعل الإنسان ضعيفًا وعرضة للإهانة,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,"[""التواضع يجلب على الإنسان المجد والكثير من الاحترام"", ""من يُظهر فخره يجد نفسه في المذلة"", ""الإفراط في التواضع يُظهر قوة الشخصية وسمو الأخلاق""]",False,S2,من يُظهر فخره يجد نفسه في المذلة,الإفراط في التواضع يجعل الإنسان ضعيفًا وعرضة للإهانة,الإفراط في التواضع يُظهر قوة الشخصية وسمو الأخلاق,التواضع يجلب على الإنسان المجد والكثير من الاحترام,B,1,generated,0.8013
MID0236,Arabic,اللي فات مات.,يعني أنه يجب ألا نتعلق بالماضي ونبكي على الماضي، بل نتعلم منه ونستقبل المستقبل بتفاؤل,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","[""يعني أن الماضي يعود مرة أخرى ويُعاقبنا على أفعالنا السابقة"", ""يُوصي الشخص بالبقاء مُتعلقًا بالماضي لأنه يحتوي على ذكريات جيدة لا يجب تجاهلها"", ""يُشير إلى أن الماضي يمكن إعادته من خلال الأحلام والطموحات المستقبلية""]",False,S2,يعني أنه يجب ألا نتعلق بالماضي ونبكي على الماضي، بل نتعلم منه ونستقبل المستقبل بتفاؤل,يُوصي الشخص بالبقاء مُتعلقًا بالماضي لأنه يحتوي على ذكريات جيدة لا يجب تجاهلها,يُشير إلى أن الماضي يمكن إعادته من خلال الأحلام والطموحات المستقبلية,يعني أن الماضي يعود مرة أخرى ويُعاقبنا على أفعالنا السابقة,A,1,generated,0.6753
MID0059,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,الاستماع إلى شخص ما من بعيد أفضل من رؤيته في بيئة غير مناسبة، أي أنه يبدو أفضل من بعيد,Someone is a natural.,"[""الاستماع إلى شخص ما يُظهر قدراته أكثر من رؤيته في الماء"", ""من الأفضل رؤية الشخص في محيطه الطبيعي بدلاً من سماعه من بعيد"", ""الشخص الذي يظهر جيدًا في البداية قد يخيب ظنك لاحقًا""]",False,S2,من الأفضل رؤية الشخص في محيطه الطبيعي بدلاً من سماعه من بعيد,الاستماع إلى شخص ما من بعيد أفضل من رؤيته في بيئة غير مناسبة، أي أنه يبدو أفضل من بعيد,الاستماع إلى شخص ما يُظهر قدراته أكثر من رؤيته في الماء,الشخص الذي يظهر جيدًا في البداية قد يخيب ظنك لاحقًا,B,3,generated,0.8458
MID0425,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,يعني أن الشخص البريء هو الذي يتحمل عواقب أفعال الشخص الذنب,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,"[""يعني أن الشخص الذي يرتكب الحرام يتعامل مع الأمور بمساواة"", ""يعني أن الشخص الحلال يتحمل أخطاء الشخص الحرام"", ""يعني أن هذا القول ينطبق على من يأكلون الحلال والحرام بالتساوي""]",False,S2,يعني أن الشخص الحلال يتحمل أخطاء الشخص الحرام,يعني أن الشخص البريء هو الذي يتحمل عواقب أفعال الشخص الذنب,يعني أن الشخص الذي يرتكب الحرام يتعامل مع الأمور بمساواة,يعني أن هذا القول ينطبق على من يأكلون الحلال والحرام بالتساوي,B,1,generated,0.8414
MID0073,Arabic,خاطبوا الناس على قدر عقولهم.,التواصل مع الناس يجب أن يكون وفقاً لمستوى فهمهم وذكائهم,It means that communication with people should be done according to their level of understanding and intellect.,"[""يجب على الناس التحدث معك بحسب مستوى ذكائهم الخاص بهم"", ""التواصل مع الناس يجب أن يكون بمستوى أعلى من فهمهم ليتعلموا منه"", ""يجب على المرء أن يعامل الناس بشكل متساوٍ بغض النظر عن فهمهم""]",False,S2,يجب على المرء أن يعامل الناس بشكل متساوٍ بغض النظر عن فهمهم,التواصل مع الناس يجب أن يكون بمستوى أعلى من فهمهم ليتعلموا منه,يجب على الناس التحدث معك بحسب مستوى ذكائهم الخاص بهم,التواصل مع الناس يجب أن يكون وفقاً لمستوى فهمهم وذكائهم,D,1,generated,0.832
MID0155,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,كل كلب ليومه,Every dog has its day.,"[""الدنيا ترقص للجميع بنفس القدر"", ""من لا يعمل لا يفرح"", ""الفرح يعتمد على المكانة الاجتماعية""]",False,S2,كل كلب ليومه,الدنيا ترقص للجميع بنفس القدر,الفرح يعتمد على المكانة الاجتماعية,من لا يعمل لا يفرح,A,1,generated,0.3494
MID0169,Arabic,ايش ياخد الريح من البلاط؟,يُقال عن الشخص الذي لا يُشتهيه أحد لأنه لا يملك شيئًا أو ليس له قيمة,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”","[""يُقال عن الشخص الذي يأخذ الرياح ما يملكه من بلاط"", ""يُقال عن الشخص الذي يُقدّر عليه الناس ويُحترمونه لعدم امتلاكه شيئًا"", ""يُقال لمن يشك في نوايا الآخرين ويُتهمونهم بالحسد دون سبب""]",False,S2,يُقال عن الشخص الذي لا يُشتهيه أحد لأنه لا يملك شيئًا أو ليس له قيمة,يُقال لمن يشك في نوايا الآخرين ويُتهمونهم بالحسد دون سبب,يُقال عن الشخص الذي يأخذ الرياح ما يملكه من بلاط,يُقال عن الشخص الذي يُقدّر عليه الناس ويُحترمونه لعدم امتلاكه شيئًا,A,1,generated,0.7356
MID0767,Arabic,تجيك التهايم وإنت نايم,يصف شخصًا بريئًا يتعرض للاتهام بالخطأ,This proverb is used to describe an innocent person who is accused of committing something wrong.,"[""يُستخدم لوصف شخص يرتكب فعلًا خاطئًا أثناء نومه"", ""يُستخدم ليدل على أن الشيطان يُلهِّي الشخص عن ذنبه"", ""يُستخدم لوصف شخص يحلم بأفعال سيئة""]",False,S2,يصف شخصًا بريئًا يتعرض للاتهام بالخطأ,يُستخدم ليدل على أن الشيطان يُلهِّي الشخص عن ذنبه,يُستخدم لوصف شخص يحلم بأفعال سيئة,يُستخدم لوصف شخص يرتكب فعلًا خاطئًا أثناء نومه,A,1,generated,0.5002
MID0622,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,من يُعطِيّ القليل بحبٍّ وابتسامةٍ خيرٌ من من يُعطِيني الكثير بلا لطف,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","[""من يقدّم لك طعامًا دافئًا خيرٌ من من يقدّم لك طعامًا باردًا"", ""الشخص الذي يعطيك الكثير بلا لطف هو الأفضل على الإطلاق"", ""ال proverb يُشير إلى تفضيل الزواج السريع على طهي وجبة كثيرة""]",False,S2,الشخص الذي يعطيك الكثير بلا لطف هو الأفضل على الإطلاق,من يقدّم لك طعامًا دافئًا خيرٌ من من يقدّم لك طعامًا باردًا,ال proverb يُشير إلى تفضيل الزواج السريع على طهي وجبة كثيرة,من يُعطِيّ القليل بحبٍّ وابتسامةٍ خيرٌ من من يُعطِيني الكثير بلا لطف,D,1,generated,0.7626
MID0071,Arabic,بین المطرقة والسندان.,إنه يصف حالة شخص أو موقف يواجهان صعوبتين من جانبيه ولا يوجد له خيار سهل,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.","[""إنه يشير إلى أن الشخص يتخذ قرارًا حكيمًا بعد التفكير الجيد"", ""إنه يُظهر أن الشخص يستطيع التغلب على كل الصعاب بذكاء وقوة"", ""إنه يُستخدم لوصف شخص يأخذ قراراته بسرعة دون التفكير""]",False,S2,إنه يصف حالة شخص أو موقف يواجهان صعوبتين من جانبيه ولا يوجد له خيار سهل,إنه يشير إلى أن الشخص يتخذ قرارًا حكيمًا بعد التفكير الجيد,إنه يُستخدم لوصف شخص يأخذ قراراته بسرعة دون التفكير,إنه يُظهر أن الشخص يستطيع التغلب على كل الصعاب بذكاء وقوة,A,1,generated,0.5322
MID0068,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,من الأفضل اتخاذ إجراءات وقائية لتجنب المشاكل أو الأمراض بدلاً من انتظار حدوثها ثم معالجتها,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,"[""الوقاية هي أفضل طريقة للعلاج الفوري"", ""من الأفضل معالجة المشكلة بعد حدوثها بدلاً من الوقاية منها"", ""يجب دائمًا اختيار العلاج الفوري بدلًا من الانتباه إلى الوقاية""]",False,S2,يجب دائمًا اختيار العلاج الفوري بدلًا من الانتباه إلى الوقاية,الوقاية هي أفضل طريقة للعلاج الفوري,من الأفضل اتخاذ إجراءات وقائية لتجنب المشاكل أو الأمراض بدلاً من انتظار حدوثها ثم معالجتها,من الأفضل معالجة المشكلة بعد حدوثها بدلاً من الوقاية منها,C,2,generated,0.8136
MID0307,Arabic, انكشحت بين امعاه لحشيشَ.,يعني اختفاء الحواجز والخلافات بين الناس,It is used to describe the disappearance of reservations and the absence of barriers between people.,"[""يعني وجود خلافات كبيرة بين الأشخاص"", ""يعني الحفاظ على المسافات والحدود بين الناس"", ""يُستخدم للإشارة إلى الفرح والاحتفال بين المعارف القديمة""]",False,S2,يعني وجود خلافات كبيرة بين الأشخاص,يُستخدم للإشارة إلى الفرح والاحتفال بين المعارف القديمة,يعني اختفاء الحواجز والخلافات بين الناس,يعني الحفاظ على المسافات والحدود بين الناس,C,1,generated,0.7113
MID0017,Arabic,اللي ما يعرف الغلط ما يتعلم,من يرتكب الأخطاء يتعلم أفضل,Mistakes are the best teachers — learn from errors.,"[""من لا يرتكب أخطاء لا يرتكب أخطاء"", ""من يرتكب الأخطاء يظل مُخطئًا للأبد"", ""من لا يرتكب الأخطاء لا يحتاج إلى التعلم""]",False,S2,من يرتكب الأخطاء يظل مُخطئًا للأبد,من يرتكب الأخطاء يتعلم أفضل,من لا يرتكب أخطاء لا يرتكب أخطاء,من لا يرتكب الأخطاء لا يحتاج إلى التعلم,B,1,generated,0.7829
MID0719,Arabic,اللي يخالط المسعدين يسعد.,السعادة معديّة، فلو عشيت مع شخص سعيد ستصبح سعيدًا,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","[""الشخص السعيد يعطيك ماله ويساعدك مادّيًا"", ""من يعيش مع الأشخاص المكتئبين سيصبح سعيدًا"", ""الكلاب المسعِدة تجلب الحظ السعيد للعائلة""]",False,S2,الشخص السعيد يعطيك ماله ويساعدك مادّيًا,الكلاب المسعِدة تجلب الحظ السعيد للعائلة,السعادة معديّة، فلو عشيت مع شخص سعيد ستصبح سعيدًا,من يعيش مع الأشخاص المكتئبين سيصبح سعيدًا,C,1,generated,0.7287
MID0639,Arabic,يجي الخريف.. واللواري بتقيف,يُستخدم هذا المثل عندما يطلب شخص حاجة من آخر يمتلكها، فيرفض الآخر، فيذكّره الأول بأنه سيحتاج يومًا ما إلى شيء منه.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.","[""يُستخدم هذا المثل ليُذكر الناس أن الفصول تتغير وأن الخريف يأتي بعد الصيف."", ""يُستخدم هذا المثل ليُذكّر الناس أن من يساعد الآخرين سيُنسى مساعدته."", ""يُستخدم هذا المثل عندما يتفق شخصان على تبادل المنفعة في المستقبل.""]",False,S2,يُستخدم هذا المثل ليُذكر الناس أن الفصول تتغير وأن الخريف يأتي بعد الصيف.,يُستخدم هذا المثل عندما يطلب شخص حاجة من آخر يمتلكها، فيرفض الآخر، فيذكّره الأول بأنه سيحتاج يومًا ما إلى شيء منه.,يُستخدم هذا المثل عندما يتفق شخصان على تبادل المنفعة في المستقبل.,يُستخدم هذا المثل ليُذكّر الناس أن من يساعد الآخرين سيُنسى مساعدته.,B,1,generated,0.6812
MID0322,Arabic,كل بخنوس افعين امو اغزال,المعنى: تعبير عن حب الأم لילדتها، حيث لا ترى أي عيب فيهم حتى لو رآه الآخرون.,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.","[""المعنى: كل شخص يرى العيب كما هو عليه بالفعل."", ""المعنى: الأم ترى أخطاء أطفالها أكثر من غيرها."", ""المعنى: يُستخدم لوصف الصداقة الصادقة بين الأصدقاء.""]",False,S2,المعنى: كل شخص يرى العيب كما هو عليه بالفعل.,المعنى: يُستخدم لوصف الصداقة الصادقة بين الأصدقاء.,المعنى: الأم ترى أخطاء أطفالها أكثر من غيرها.,المعنى: تعبير عن حب الأم لילדتها، حيث لا ترى أي عيب فيهم حتى لو رآه الآخرون.,D,1,generated,0.5481
MID0785,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح ,لا تسمح بدخول المشاكل إلى حياتك لتفادي الخلافات والانقسامات,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.","[""الريح دايرة من الباب فاغلقه حتى لا تدخل"", ""إذا وجدت مشكلة فابقَ فيها واستمتع بها"", ""يُستخدم للتشجيع على الانخراط في المناقشات الجدلية لتوسيع الأفق""]",False,S2,يُستخدم للتشجيع على الانخراط في المناقشات الجدلية لتوسيع الأفق,لا تسمح بدخول المشاكل إلى حياتك لتفادي الخلافات والانقسامات,الريح دايرة من الباب فاغلقه حتى لا تدخل,إذا وجدت مشكلة فابقَ فيها واستمتع بها,B,1,generated,0.622
MID0549,Arabic,بتقول للقمر غيبي وأنا مكانش.,تعني أن المرأة جمالها يشبه نور القمر,It is a popular proverb describes a woman who is as beautiful as the moonlight.,"[""تعني أن القمر يختفي عندما تقول لك شيئاً"", ""تعني أن المرأة تطلب من القمر أن يختفي بدلاً من أن تُمدح"", ""تعني أن الشخص يهتم فقط بالظواهر الطبيعية""]",False,S2,تعني أن القمر يختفي عندما تقول لك شيئاً,تعني أن المرأة جمالها يشبه نور القمر,تعني أن الشخص يهتم فقط بالظواهر الطبيعية,تعني أن المرأة تطلب من القمر أن يختفي بدلاً من أن تُمدح,B,1,generated,0.5802
MID0343,Arabic, بِيشتَري سَمَك في بَحَر ,يشتري سمك في البحر يعني يشتري شيء لم يره أو يتفق على شراء شيء بدون رؤيته أو تقييمه,"This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen.","[""يشتري السمك من البحر عندما يكون ضيفًا على صديق"", ""يُستخدم عندما يرى المرء الشيء ويتفق على السعر قبل الشراء"", ""يُستخدم عندما يشتري شخص سمكًا من السوق ويبيعه لآخر""]",False,S2,يُستخدم عندما يشتري شخص سمكًا من السوق ويبيعه لآخر,يُستخدم عندما يرى المرء الشيء ويتفق على السعر قبل الشراء,يشتري السمك من البحر عندما يكون ضيفًا على صديق,يشتري سمك في البحر يعني يشتري شيء لم يره أو يتفق على شراء شيء بدون رؤيته أو تقييمه,D,1,generated,0.7536
MID0276,Arabic,أتبدلت غزلانها بقرودها.,أصبحت الظروف أسوأ وتغيّر الحال من الأفضل إلى الأسوأ.,The proverb refers to the change of conditions and bad replaces good.,"[""استبدل الشخص الأشياء الجميلة بالشيء المُماثل."", ""أصبح الشخص أكثر حكمة واعية بمرور الوقت."", ""يُشير إلى تحسن الظروف بدلاً من تدهورها.""]",False,S2,استبدل الشخص الأشياء الجميلة بالشيء المُماثل.,أصبح الشخص أكثر حكمة واعية بمرور الوقت.,أصبحت الظروف أسوأ وتغيّر الحال من الأفضل إلى الأسوأ.,يُشير إلى تحسن الظروف بدلاً من تدهورها.,C,1,generated,0.4918
MID0502,Arabic,اللسان مافيه عظم.,الكلمة تُقال بوعي ولا تُلقى عشوائيًا,This proverb urges being caution and think wisely before talking.,"[""الكلام لا يؤثر لأنه لا يحتوي على عظمة"", ""يُفضل التحدث كثيرًا دون تفكير"", ""يُستخدم هذا القول للدلالة على قوة الكتابة""]",False,S2,الكلمة تُقال بوعي ولا تُلقى عشوائيًا,يُستخدم هذا القول للدلالة على قوة الكتابة,يُفضل التحدث كثيرًا دون تفكير,الكلام لا يؤثر لأنه لا يحتوي على عظمة,A,1,generated,0.5076
MID0295,Arabic,شو جاب الزرقا للبلقا.,يُستخدم للدلالة على مقارنة مكانين مختلفين أو شيئين متعارضين.,It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"[""يشير إلى أن أحدهما قد سبب الضرر للآخر بشكل مباشر."", ""يُفهم منه أن الهدف من القول هو التوصيل إلى تقارب وجهات النظر."", ""يُستخدم للإشارة إلى أن الزرقا والبلقاء يمثلان حالة تعاون وتفاهم.""]",False,S2,يُستخدم للإشارة إلى أن الزرقا والبلقاء يمثلان حالة تعاون وتفاهم.,يشير إلى أن أحدهما قد سبب الضرر للآخر بشكل مباشر.,يُستخدم للدلالة على مقارنة مكانين مختلفين أو شيئين متعارضين.,يُفهم منه أن الهدف من القول هو التوصيل إلى تقارب وجهات النظر.,C,1,generated,0.4452
MID0500,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,يقال هذا المثل عن الشخص الذي كنت تراه بعين التقدير، لكنه يستحق أن تراه بعين الاستخفاف,"This proverb is said about a person you thought well of, but he deserves you to think badly of him.","[""هذا المثل يشير إلى الشخص الذي يظهر أمام الناس كعالم ثم يعود إلى أفعاله السيئة"", ""هذا المثل يدل على أن الشخص يستحق الاحترام أكثر مما ظننت"", ""هذا المثل يُستخدم لوصف الشخص الذي يتفاخر بعلمه في المكان الخطأ""]",False,S2,يقال هذا المثل عن الشخص الذي كنت تراه بعين التقدير، لكنه يستحق أن تراه بعين الاستخفاف,هذا المثل يدل على أن الشخص يستحق الاحترام أكثر مما ظننت,هذا المثل يشير إلى الشخص الذي يظهر أمام الناس كعالم ثم يعود إلى أفعاله السيئة,هذا المثل يُستخدم لوصف الشخص الذي يتفاخر بعلمه في المكان الخطأ,A,1,generated,0.6984
MID0631,Arabic,مد رجليك قدر لحافك,لا تطمح إلى أكثر مما تستطيع تحمله مالياً أو اجتماعياً,"Always keep your ambitions within the limits of your financial and social status, and so on. For example, if a poor man wants to propose to a beautiful and wealthy girl, he is told, “Stretch your legs to the length of your blanket.”","[""قم بتوسيع إمكانياتك حتى تتجاوز حدودك"", ""كلما زادت ثروتك، زادت قدرتك على تجاهل العواقب"", ""يُستخدم في سياق تجاهل المخاطر في الاستثمار""]",False,S2,كلما زادت ثروتك، زادت قدرتك على تجاهل العواقب,يُستخدم في سياق تجاهل المخاطر في الاستثمار,قم بتوسيع إمكانياتك حتى تتجاوز حدودك,لا تطمح إلى أكثر مما تستطيع تحمله مالياً أو اجتماعياً,D,1,generated,0.5734
