Sample_ID,Proverb,Correct_Meaning
34,Bury your head in the sand,Refuse to confront or acknowledge a problem.
36,Butter no parsnips - Fine words,The proverb 'Fine words butter no parsnips' means that nothing concrete is achieved by empty words or flattery.
37,By hook or by crook,To do something 'by hook or by crook' is to do it by whatever means are necessary - be they fair or foul.
38,By the skin of your teeth,Narrowly; barely. Usually used in regard to a narrow escape from a disaster.
39,Bygones be bygones - Let,To 'let bygones be bygones' is to allow the unpleasant things that have happened in the past be forgotten.
40,Call a spade a spade,To call a spade a spade is to speak plainly - to describe something as it really is.
41,Can't hold a candle to,The expression 'can't hold a candle to' refers to someone who compares badly to an known authority - to be unfit even to hold a subordinate position.
42,Carry coals to Newcastle,To do something pointless and superfluous.
43,Cart before the horse - Put the,Reverse the accepted or logical order of things.
44,Cast the first stone,"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'."
45,Cat may look at a king - A,An inferior isn't completely restricted in what they may do in the presence of a superior.
46,Cat out of the bag - Let the,"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently."
47,Chain is only as strong as its weakest link - A,"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain."
48,Charity begins at home,"The proverb 'charity begins at home' expresses the overriding demand to take care of one's family, before caring for others."
49,Chickens come home to roost,Bad deeds or words return to discomfort their perpetrator.
50,Cleanliness is next to godliness,The proverb 'cleanliness is next to godliness' expresses the idea that those who are pure and wholesome are close to God.
51,"Close, but no cigar",The expression 'close but no cigar' is used to indicate that someone has fallen just short of a successful outcome and failed to secure any reward.
52,Clutch at straws,"Try any route to get out of a desperate situation, no matter how unlikely it is to succeed."
54,Cock and bull story,A fanciful and unbelievable tale.
55,Cold feet,"To 'get cold feet' is to become disheartened or timid, losing one's previous enthusiasm or courage."
56,Come clean,To make a full disclosure; to confess.
57,Come up trumps,"To complete something well or successfully, especially in circumstances in which it isn't expected."
58,Come what come may,Let whatever events crop up come to pass.
60,Cool as a cucumber,As cool as a cucumber' means calm and unruffled.
61,Cost an arm and a leg,"A large, possibly exorbitant, amount of money."
62,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.
63,Crocodile tears,To weep crocodile tears is to put on an insincere show of sorrow.
64,Curate's egg,Something bad that is called good out of politeness or timidity.
65,Curiosity killed the cat,Inquisitiveness can lead one into dangerous situations.
66,Customer is always right - The,"The customer is always right' is a trading slogan that states a company's keenness to be seen to put the customer first. The implied suggestion is that the company is so customer focussed that they will say the customer is right, even if they aren't."
67,Cut off your nose to spite your face,To 'cut off your nose to spite your face' is to disadvantage yourself in order to do harm to an adversary.
68,Daniel come to judgement,Someone who makes a wise judgement about something that has previously proven difficult to resolve.
69,Dark horse,"A dark horse is someone, who was previously little known, emerges to prominence in a competition."
70,Darkest hour - The,The darkest hour is the time when bad events are at their worst and most dispiriting.
71,Darkest hour is just before the dawn - The,"There is hope, even in the worst of circumstances."
72,Dead as a dodo,Unambiguously and unequivocally dead.
73,Dead as a doornail,"To be 'as dead as a doornail' is to be utterly dead, devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects)."
74,Dead in the water,A dead in the water ship is one that is motionless and without power. The figurative expression 'dead in the water' means 'unable to function; without hope of future success; doomed'.
75,Devil and the deep blue sea,"In difficulty, faced with two dangerous alternatives."
76,Devil take the hindmost - The,A proverbial phrase indicating that those who lag behind will receive no aid.
77,Diamond in the rough,Someone who is basically good hearted but lacking social graces and respect for the law.
78,Die has been cast - The,The die has been cast' means that an irrevocable choice has been made.
79,Different kettle of fish,A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.
80,Dish fit for the gods - A,An offering of high quality.
82,Dog in the manger,Spiteful and mean-spirited.
83,Dog is a man's best friend,"An animal that performs valuable service to humans, often with reference to dogs."
84,Dollars to doughnuts,An outcome that is almost assured; a certainty.
85,Donkey's years,A very long time.
86,Don't cast your pearls before swine,Items of quality offered to those who aren't cultured enough to appreciate them.
87,Don't change horses in midstream,Don't change your leader or your basic position when part-way through a campaign or a project .
88,Don't keep a dog and bark yourself,The proverbial saying 'don't keep a dog and bark yourself' is advice that you should not pay someone to do a task and then do it yourself.
89,Don't look a gift horse in the mouth,The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.
90,Don't shut the stable door after the horse has bolted,Don't waste time taking precautions when the damage has already been done.
91,Don't throw good money after bad,"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good."
92,Don't throw the baby out with the bathwater,Don't discard something valuable along with something undesirable.
93,Don't try to teach your Grandma to suck eggs,Don't offer advice to someone who has more experience than oneself.
94,Drop in the bucket - A,A drop in the bucket is a very small and insignificant proportion of the whole.
95,Early bird catches the worm - The,Success comes to those who prepare well and put in effort.
97,"East, west, home's best","This proverbial saying express the idea that, wherever you travel in the world, your home is the best place to be."
98,Eat humble pie,"Act submissively and apologetically, especially in admitting an error."
99,Elephant in the room,"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable."
100,Emperor's new clothes,The label given to any fictional item that viewers have been induced into believing as real..
101,Enough is as good as a feast,To get Enough is enough is to come off worst in a bargain or contest.
102,Englishman's home is his castle,The English dictum that a man's home is his refuge.
103,Every cloud has a silver lining,"The proverbial saying 'every cloud has a silver lining' is used to convey the notion that, no matter how bad a situation might seem, there is always has some good aspect to it."
104,Exception that proves the rule - The,"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood."
105,Face the music,Accept the unpleasant consequences of one's actions.
107,Fair exchange is no robbery,An exchange of two things of equal value is a reasonable and honest trade.
108,Faith will move mountains,Faith is immensely powerful.
109,Fall on your sword,"To 'fall on your sword' is, literally, to commit suicide or, figuratively, to offer your resignation."
110,Feather in one's cap - A,A symbol of honour and achievement.
111,Fiddling while Rome burns,To occupy oneself with unimportant matters and neglect priorities during a crisis.
112,Fight fire with fire,Respond to an attack by using a similar method as one's attacker.
114,Fish rot from the head down,"When an organization or state fails, it is the leadership that is the root cause."
115,Fish or cut bait,"There is some uncertainty about the precise meaning of this phrase. Some use it to mean 'make a choice about what you intend to do'; others have it that it means 'either get to work in a productive manner or do something else and let someone else work'. The second meaning, which I favour, and which is more common, is similar in meaning to 'put up or shut up', or the 20th century US vulgarism 'shit or get off the pot'."
116,Fish out of water - A,Someone who is in a situation they are unsuited to.
117,Flash in the pan,"Something which disappoints by failing to deliver anything of value, despite a showy beginning."
118,Flogging a dead horse,To flog a dead horse is to attempt to revive an interest which has died out; to engage in fruitless effort.
119,Fly by the seat of one's pants,"To 'fly by the seat of your pants' is to decide a course of action as you go along, using your own initiative and perceptions rather than a predetermined plan or mechanical aids."
120,Fly in the ointment,A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil an otherwise faultless plan.
122,Fools rush in where angels fear to tread,The rash or inexperienced will attempt things that wiser people are more cautious of.
123,Fool's errand,A pointless undertaking.
124,Fool's paradise - A,A state of happiness based on false hope.
125,Foot in the door - A,"An introduction or way in to something, made in order that progress may be made later."
126,For all intents and purposes,In effect; for all practical purposes.
127,For every thing there is a season,There is an appropriate time for everything.
128,Foregone conclusion,A decision made before the evidence for it is known. An inevitable conclusion.
129,Forewarned is forearmed,Advance warning provides an advantage.
131,From strength to strength,Progress from one success to another higher level of success.
132,Genius is one percent inspiration and 99 percent perspiration,"Genius is largely the result of hard work, rather than an inspired flash of insight."
133,Get down to brass tacks,Engage with the basic facts or realities.
134,Gild the lily,To apply unnecessary ornament - to over embellish.
135,Give a man a fish and you will feed him for a day,This proverbial saying suggests that the ability to work is of greater benefit than a one-off handout.
136,Go by the book,Correctly; according to the rules.
137,Go off half-cocked,Speak or act prematurely.
138,Go out on a limb,Put oneself in an isolated position in one's support of someone or something.
139,Go the whole hog,To perform some act or adopt some opinion fully and thoroughly.
140,Golden key can open any door - A,"A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish."
143,grain of salt,To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.
144,Grasp the nettle,To tackle a difficult problem boldly.
145,Great minds think alike,"The proverb 'great minds think alike' has a straightforward literal meaning. However, the usage is often ironic, that is, it is used when two unexceptional minds have the same thought."
146,Grist to the mill,All things are a potential source of profit or advantage.
147,Half a loaf is better than no bread,"Something, even if it isn't what you ideally would prefer, is better than nothing."
148,Handle with kid gloves,"Handle a situation, or a person or an object, delicately and gingerly."
149,Hard and fast,Rigidly adhered to - without doubt or debate.
150,Hard cases make bad law,"Hard', that is, exceptional, legal cases aren't suitable as the source of generalised laws."
151,Haste makes waste,Rushing into a decision may cause mistakes that waste more time than would have been taken by proceeding more carefully.
152,Have an axe to grind,"To have an axe to grind is to have a dispute to take up with someone or, to have an ulterior motive; to have private ends to serve."
153,He who laughs last laughs longest,See also: the List of Proverbs.
154,He who sups with the devil should have a long spoon,"This proverbial saying suggests that, if you have dealings with wicked people you should be cautious and distance yourself from them, or else you may be corrupted into their evil ways."
155,Hedge your bets,To avoid committing oneself; to leave a means of retreat open.
156,Hell has no fury like a woman scorned,"Hell has no fury like a woman scorned' conveys the idea that a scorned woman (that is, one who has been betrayed) is more furious than anything that hell can devise."
157,Here lies one whose name is writ in water,"Fame, and indeed life, is fleeting."
158,Home is where the heart is,"The proverb 'home is where the heart is' means that, wherever you are and whoever you are with, your home and family provide the greatest emotional bond."
159,Honesty is the best policy,"The proverb 'Honesty is the best policy' has a straightforward literal meaning, which encourages the populace to tell the turth and avoid crime."
160,Honey catches more flies than vinegar,This proverbial saying expresses the idea that it is more effective to be polite and ingratiating than to be hostile or demanding.
161,Horse-sense,A robust form of common sense believed to be found in poorly educated but shrewd people.
162,"If the mountain will not come to Muhammad, then Muhammad must go to the mountain","The proverbial phrase 'If the mountain will not come to Muhammad...' means that , if one's will does not prevail, one must submit to an alternative."
164,"If you can't stand the heat, get out of the kitchen","Don't persist with a task if the pressure of it is too much for you. The implication being that, if you can't cope, you should leave the work to someone who can."
165,"If you think that, you have another think coming","To have 'another think coming' is to be greatly mistaken. The phrase is usually spoken by an antagonist as 'you have another think coming'; the implication being that one will shortly be obliged to adopt a different viewpoint, either by the presentation of indisputable evidence, or by force."
167,It's better to give than to receive,The proverb 'It's better to give than to receive' has a straightforward literal meaning which needs no further explanation.
168,It's better to have loved and lost than never to have loved at all,The proverbial saying 'It's better to have loved and lost than never to have loved at all' has a straightforward literal meaning.
170,Necessity is the mother of invention,Difficult situations inspire ingenious solutions.
171,Nothing is certain but death and taxes,A rather fatalistic and sardonic proverb. It draws on the actual inevitability of death to highlight the difficulty in avoiding the burden of taxes.
172,Nothing succeeds like success,"A proverb, expressing the idea that success breeds further success."
173,"Nothing ventured, nothing gained","In order to achieve, you need to act and take risks."
174,"Once bitten, twice shy","The proverb 'once bitten, twice shy' suggests that, when someone is hurt doing something, they are wary of doing it again for fear of being hurt a second time."
175,One-hit wonder,"A performer or act, usually a singer or band, who has just one popular success."
176,One good turn deserves another,"One good turn deserves another' is a proverbial expression that means, when someone does you a good turn, a good turn done in return is appropriate."
177,One hand washes the other,The proverb 'one hand washes the other' expresses the idea that mutual cooperation can help both parties.
178,One swallow doesn't make a summer,A single instance of something is just that; it doesn't indicate a trend.
179,One's heart's content,To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content.
180,Paddle your own canoe,Act independently and decide your own fate.
181,Penny saved is a penny earned - A,The notion expressed in the proverbial saying 'A penny saved is a penny earned' is that it is as useful to save money that you already have as it is to earn more.
183,Place for everything and everything in its place - A,The proverbial notion that there should be 'a place for everything and everything in its place' is the idea that everything should have somewhere to be stored and that it should be tidily returned there when not in use.
184,Plague on both your houses - A,A frustrated curse on both sides of an argument.
185,Pound of flesh,Something which is owed that is ruthlessly required to be paid back.
186,Pour oil on troubled waters,Attempt to calm a problematic situation.
188,Pride comes before a fall,The proverbial saying 'pride comes before a fall' is a warning that haughtiness and hubris leads to failure and loss.
189,Procrastination is the thief of time,"Putting off an action leads to time wasting. If something is necessary, it is best to act quickly to accomplish it."
190,Proof of the pudding is in the eating - The,To fully judge how effective something is you need to use it for its intended purpose.
192,Rose by any other name would smell as sweet - A,"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called."
193,Rose is a rose is a rose,"The meaning most often attributed to 'a rose is a rose is a rose' is the notion that, when all is said and done, a thing is what it is. This is in similar vein to Shakespeare's 'a rose by any other name would smell as sweet'. However, that's not the interpretation given by the author of the phrase - see below."
195,Rule of thumb,"A rule of thumb is a means of estimation made according to a rough and ready practical rule, not based on science or exact measurement."
196,"See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day",A proverb extolling the virtue of thrift.
197,Seek and you shall find,"The proverbial saying 'Seek and you shall find' means, in the Biblical sense, 'come to God and your prayers will be answered. In a wider literal sense it just means 'effort will be rewarded'."
198,Seen better days,To have been more wealthy or in better condition in former times.
199,Separate the sheep from the goats,Separate the good from the bad.
200,Shebang - The whole,All of it; the whole thing.
201,Share and share alike,To 'share and share alike' is to give equal shares to all.
202,Shiver my timbers,"An oath, expressing annoyance or surprise."
204,Silence is golden,"A proverbial saying, often used in circumstances where it is thought that saying nothing is preferable to speaking."
205,sky's the limit,There is no apparent limit.
206,Snug as a bug in a rug,To be 'as snug as a bug in a rug' is to be very comfortable and cosy.
207,Sour grapes,Acting meanly after a disappointment.
208,Spare the rod and spoil the child,"Spare the rod and spoil the child' is the notion that children will become weak and vulnerable if not chastised, physically or otherwise, for any wrongdoing."
209,Speak of the Devil,A reference to someone who appears unexpectedly while being talked about.
210,Speak softly and carry a big stick,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required."
211,Standing on the shoulders of giants,Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.
212,Sticks and stones may break my bones,"Sticks and stones may break my bones' is a response to an insult, implying that ""You might be hurt able to hurt me by physical force but not by insults""."
213,Stiff upper lip,"Remain resolute and unemotional in the face of adversity, or even tragedy."
215,Storm in a teacup,"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence."
216,Strike while the iron is hot,To strike while the iron is hot is to act decisively and take an opportunity when it arises.
217,Such is life,"An acceptance of the unpredictable fortunes of existence, often spoken with an air of weary resignation."
218,Survival of the fittest,The idea that species adapt and change by natural selection with the best suited mutations becoming dominant.
219,Take a back seat,To 'take a back seat' is take a subordinate or reclusive position.
221,Take down a peg or two,"To 'take (or pull, or bring) down a peg (or two)' is to lower someone's high opinion of themselves."
222,Take the bit between your teeth,Take control of a situation.
223,Take the cake,"Carry off the honours. Sometimes used to express incredulity; for example, ""That's three goals he's missed in one game. If that don't take the cake...""."
224,Take the gilt off the gingerbread,Remove an item's most attractive qualities.
225,Take the Mickey,Tease or make fun of.
226,Take the upper hand,Take a dominant position.
227,Take umbrage,To be displeased or offended by the actions of others.
229,Taken aback,To be taken aback is to be surprised or startled by a sudden turn of events.
230,Taken for a ride,"To be 'taken for a ride' is to be deliberately misled or cheated. Alternatively, and primarily in the USA, it means to be abducted in a vehicle and murdered."
232,Talk the talk,Back up one's talk with action.
233,Tall story,An untrue and unbelievable story.
234,Tanstaafl -,"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl."
235,The apple never falls far from the tree,"The proverbial saying 'the apple never falls far from the tree', or 'the apple doesn't fall far from the tree' expresses the idea that a person inevitably shares traits with or resembles his or her parents or family.."
236,The apple of my eye,"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others."
237,The bane of my life,The agent of ruin or woe.
238,The best defense is a good offence,The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.
239,The best laid schemes of mice and men,The most carefully prepared plans may go wrong.
240,The bitter end,To the limit of one's efforts - to the last extremity.
242,The child is father to the man,The proverb 'The child is father to the man' expresses the idea that the character that we form as children stays with us into our adult life.
244,The Devil is in the details,"The details of a plan, while seeming insignificant, may contain hidden problems that threaten its overall feasibility."
245,The Devil makes work for idle hands to do,The devil makes work for idle hands' is one of the numerous variants of phrase that express the idea that trouble or evil arises from not keeping busy.
247,The Devil to pay,The devil to pay' means serious trouble because of a particular circumstance or obligation.
251,The ends of the earth,The furthest reaches of the land.
254,The jury is still out,Judgement has not yet been finalised on a particular subject; especially due to information being incomplete.
255,The last straw,The final additional small burden that makes the entirety of one's difficulties unbearable.
256,The law is an ass,Said of the application of the law that is contrary to common sense.
257,The monstrous regiment of women,"A disparaging description, often used to describe feminist or rowdy women by their detractors."
258,The more the merrier,"The more people who are present, the better an occasion or situation (especially a party) will be."
259,The mutt's nuts,Excellent - the highest quality.
260,The nth degree,To the utmost degree; without limit.
261,The opera ain't over till the fat lady sings,Nothing is irreversible until the final act is played out.
262,The pip - Get/got/have,Become irritated or annoyed.
264,The real McCoy,The real thing - not a substitute.
265,The road less travelled,"The road less travelled is the unconventional or uninvestigated option. More metaphorically, it is also used to refer to 'the life you never had' - what might have been had you made different choices. The notion is near to what is nowadays called 'alternative'."
266,The road to hell is paved with good intentions,The intention to engage in good acts often fails. It points up the principle that there is no merit in good intentions unless they are acted on.
267,The salt of the earth,People who are described as 'the salt of the earth' are those who are considered to be of great worth and reliability.
268,The shoemaker always wears the worst shoes,Artisans work for the wealthy but cannot afford their own produce.
269,The short end of the stick,To get the short end of the stick is to come off worst in a bargain or contest.
271,The writing is on the wall,The expression 'the writing is on the wall' is used whenever an inevitable result or imminent danger has become apparent.
272,There is more than one way to kill a cat,The proverbial saying 'There is more than one way to skin a cat' means there is more than one way of achieving an aim.
274,There's one law for the rich and another law for the poor,"This proverbial saying express the opinion that the poor are treated harshly by the law whereas the rich, with their access to clever lawyers and bribes, usually escape punishment."
275,Thick and thin,Through all forms of obstacle that are put in one's way.
276,thick as thieves,Close friends with; sharing confidences.
277,Thinking cap,Take time for consideration of some question.
278,Third time lucky,The belief that the third time something is attempted is more likely to succeed than the previous two attempts. It is also used as a good luck charm - spoken just before trying something for the third time.
279,Thorn in the flesh,A persistent difficulty or annoyance.
280,"Though this be madness, yet there is method in it",Reason behind apparent folly or disorder.
281,Three score and ten,Three score and ten' is the nominal span of a human life. In the days that this expression was coined that span was considered to be seventy years.
283,Throw in the towel,"To throw in the towel (or, to throw the towel in) is to give up, to avoid further punishment when facing certain defeat."
285,Throw your hat into the ring,"Make or take up a challenge, or demonstrate one's willingness to join an enterprise."
287,Till the cows come home,For a long but indefinite time.
288,Time and tide wait for no man,No one is so powerful that they can stop the march of time.
289,Tilting at windmills,To 'tilt at windmills' is to attack imaginary enemies.
290,Tissue of lies,A story invented in order to deceive.
291,To a T,If something is said to fit 'to a T' it fits exactly; properly; precisely.
293,To err is human; to forgive divine,A proverb expressing the idea that forgiveness is a worthy response to human failings.
296,To travel hopefully is a better thing than to arrive,Hope and anticipation are often better than reality.
297,Toast of the town,A person who is widely admired.
298,Toe the line,To conform to an established standard or political programme.
299,Toffee-nosed,To be 'toffee-nosed' is to be snobbish; supercilious; stuck-up.
300,Too big for your breeches,Conceited; having a too high opinion of oneself.
301,Too much of a good thing,Excess may do you harm.
302,Tooth and nail,"A fight, undertaken with all one's efforts and with the intensity of a wild animal."
303,Top dog,One who is dominant or victorious.
305,Touch and go,"A risky, precarious or delicate case or state of things - such that the slightest change could prove disastrous."
306,Touch wood,"This phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck. In the UK, the phrase 'touch wood' is used - often jokingly by tapping one's head. The phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue - for example ""I've been winning on every race - touch wood""."
307,Tower of strength,Someone who can be relied on to provide support and comfort.
308,True blue,Loyal and unwavering in one's opinions or support for a cause.
309,Truth will out,The truth will become known eventually.
310,Turkeys voting for Christmas,Turkeys voting for Christmas' is used to describe people acting in a way that is harmful to their own interests.
311,Turn a blind eye,To turn a blind eye is to knowingly refuse to acknowledge something which you know to be real.
312,Turn the tables,Reverse the positions of adversaries. The phrases is often used when the weaker position subsequently becomes dominant.
313,Turn up trumps,To turn out well or successfully.
314,Uneasy lies the head that wears a crown,"The expression 'uneasy lies the head that wears a crown' means that a person with great power, such as a king, is constantly apprehensive."
315,Up a blind alley,Following a course of action that leads to no good outcome.
316,Up a gum tree,With most phrases it is the origin rather than the meaning that is in doubt. 'Up a gum tree' has several meanings. The most commonly used is 'in great difficulties'. Other meanings are 'in a state of contentment' or 'with great speed'.
317,Up in arms,Roused; incensed.
318,Up the creek without a paddle,In an awkward situation or unpleasant predicament.
319,Up the duff,"Up the duff' is a euphemism for pregnant. It is used most commonly, although not exclusively, to describe unplanned pregnancy."
320,Up the wooden hill to Bedfordshire,Go up the hill to Bedfordshire was phrase uttered to children in the UK when it was time to go upstairs to prepare for bed. The expression is now rather archaic and little-used.
321,Up to snuff,"Initially, the phrase meant 'sharp and in the know'; more recently, 'up to the required standard'."
322,Upper crust,Aristocratic; society superior.
323,Up the ante,"To raise the stakes, either in betting or in any form of conflict or competition."
324,Using a sledgehammer to crack a nut,To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem.
325,Vicious circle,A self-perpetuating process which returns to its starting point with no improvement from when it was begun.
326,Warts and all,Warts and all' means the whole thing; not concealing the less attractive parts.
328,Wax lyrical,Speak niin an increasingly enthusiastic and poetic manner.
20,Don’t put off until tomorrow what you can do today,"If you can do something today, do it. Don’t wait until tomorrow; don’t procrastinate."
40,The enemy of my enemy is my friend,"If someone whom I don’t like doesn’t like someone else whom I don’t like, we can act like friends and unite against the other person (common in war)"
42,The pen is mightier than the sword,"If you’re trying to convince someone of something, words and ideas are stronger than using physical force (common in politics)"
45,There is no time like the present,Don’t wait to do something. Do it now.
46,The squeaky wheel gets the grease,The person who complains in a situation is more likely to get something.
57,A fool and his money are soon parted.,Fools lose money because of their foolish conduct.
58,"After victory, tighten your helmet chord.","There is no room for complacency. Get down to work after a victory. Jeff Bezos, the founder of Amazon, calls it Day 0 mentality."
59,A good listener is a silent flatterer.,"Human beings have an innate desire to be listened, but only few are good listeners. So, if you listen to someone attentively, you’ll flatter them."
60,A goose quill is more dangerous than a lion’s claw.,"Foul, inconsiderate words can cause more pain than a physical attack."
61,One law for the rich and another for the poor.,"The law is same for both, but the rich, through their abundant resources, can get favourable decisions by influencing decision makers, hiring the best lawyers, and delaying the case if it suits them, among several measures at their command."
62,Give a man a fish and you feed him for a day; teach a man to fish and you feed him for a lifetime.,"Teaching fishing, a skill, is far more important than merely handing doles (fish, here) to people. It serves an important reminder to our educational institutions, especially higher education, where majority of graduates are churned out without marketable skills. Most animals, in contrast, teach only the most essential skills – finding food and escaping predators – to their young ones. Nothing superfluous there."
75,Hope for the best and prepare for the worst.,"One should be positive, but at the same time be ready to face hardships."
76,History repeats itself.,What has happened once is likely to happen again.
77,A hedge between keeps friendship green.,Giving enough space to each other help maintain a good relationship.
78,Health is better than wealth.,Physical well-being is more important than financial prosperity.
79,He laughs best who laughs last.,People who laugh first may have others laugh at them in the end.
80,Haste makes waste.,Too much of a hurry leads to mistakes and loss of productivity.
81,The hand that rocks the cradle rules the world.,Mothers who care for their children are creating the next generation of men.
82,Half a loaf is better than no bread.,"One should be thankful for whatever one gets, considering one may otherwise get nothing."
83,Great oaks from little acorns grow.,Much may come from a small beginning.
84,Grapes are sour.,"When people cannot get what they desire, they save face by pretending they never wanted it."
85,A good name is sooner lost than won.,"A reputation takes long to build, but can be quickly destroyed."
86,A good husband makes a good wife.,One who treats others well will be treated well in return.
87,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak.
88,A friend in need is a friend indeed.,True friends are those who help in difficult times.
89,Don't put all your eggs in one basket.,Spread your risks widely and wisely.
90,Don't put the cart before the horse.,Always do things in the right order.
91,Don't ride the high horse.,One should not be arrogant.
92,Don't wash your dirty linen in public.,It is best to confine shameful family matters to the home.
93,"East or west, home is best.","Wherever one may travel, the happiest place is one's abode."
94,"Easy come, easy go.",What is acquired without effort especially money is likely to be lost.
95,Empty vessels make the most sound.,People who are stupid are very talkative.
