Sample_ID,Source_Text_Yo,Target_Text_En,Cultural_Context,Provenance,QA_Flag,Comments
YOR0024,A kì í gbọ́n tó ‘‘Èmi-lóni-í.’’,One cannot be as wise as ‘‘I-am-the-owner.’’,One should not presume to know as much about a thing as the owner of it.,part1.docx,,
YOR0025,A kì í gbọ́n tó ẹni tí ńtannijẹ.,One is never as wise as the person deceiving one.,The deceiver always has the advantage of the dupe.,part1.docx,,
YOR0026,A kì í jayé ọba ká ṣu sára.,One does not so luxuriate in one’s majesty that one shits on oneself.,Lack of moderation and decorum will bring disgrace to even the most elevated person.,part1.docx,,
YOR0027,A kì í jẹ oyè ẹnu ọ̀nà kalẹ́.,One does not bear the title of gatekeeper even until nighttime.,"As one advances in age, so should one’s responsibilities advance in gravity and importance.",part1.docx,FIX,"Added ""full stop"" to the end of Source_Text_Yo"
YOR0028,A kì í kó èlé ṣẹ̀ṣọ́.,One does not live fashionably on borrowed money.,Live within your means.,part1.docx,,
YOR0029,A kì í kórira ọ̀fọ́n-ọ̀n ká finá bọ ahéré.,One does not so hate the bush rat that one sets one’s farm hut alight.,One should not destroy oneself simply to get at one’s enemy.,part1.docx,,
YOR0030,A kì í kọ́ àgbàlagbà pé bó bá rún kó rún.,"One does not teach an elder that, what has been crushed should remain crushed.",An elder should know when a matter should end.,part1.docx,,
YOR0031,A kì í kọ ẹlẹ́ṣin ká tún lọ fẹ́ ẹlẹ́ṣẹ̀.,One does not divorce a horse rider and go marry a pedestrian.,"One should ever progress, never regress.",part1.docx,FIX,"Added ""full stop"" to the end of Source_Text_Yo"
YOR0032,A kì í lé èkúté ilé ẹni ká fọwọ́ ṣẹ́.,One does not shoo the mouse in one’s house and break one’s hand.,One should be safe from hazards in one’s own home.,part1.docx,,
YOR0033,A kì í mọ́ egbò fúnra ẹni ká sunkún.,One does not treat one’s own sore and yet cry from the pain.,One should know one’s own pain threshold.,part1.docx,,
YOR0034,A kì í mọ ìyá Òjó ju Òjó lọ.,One does not presume to know Òjó’s mother better than Òjó himself does.,Never claim to know a thing better than the people closest to it.,part1.docx,,
YOR0035,A kì í mọ ọ̀nà ọgbà ju ọlọ́gbà lọ; ẹní múni wá là ńtẹ̀lé.,Do not presume to know the way to or around a garden better than the owner of the garden; always follow the person who brought you.,Never presume to have a better knowledge of a matter than has the person most intimately involved.,part1.docx,,
YOR0036,A kì í mọ̀-ọ́ rò bí ẹlẹ́jọ́,One never knows how to present it like the owner of the case.,No one can know better than the person himself or herself where it hurts most and what relief is needed.,part1.docx,,
YOR0037,A kì í mú oko lọ́nà ká ṣèmẹ́lẹ́; tajá tẹran ní ḿbúni.,One does not farm a plot by the road and neglect its care; every dog and goat would ridicule one.,Never expose yourself to insult by behaving badly in public view.,part1.docx,,
YOR0038,A kì í ní agbára kékeré ṣe èkejì.,One does not offer to second a combatant in spite of one’s negligible strength.,Never attempt more than you have the power to accomplish.,part1.docx,,
YOR0039,A kì í ní ọ̀kánjúwà ká mọ̀; ará ilé ẹni ní ńsọ fúnni.,One does not know that one has covetousness; it is one’s kin who so inform one.,"Often, only those close to one can recognize and point out one’s flaws.",part1.docx,,
YOR0040,A kì í pe ìyàwó kó kan alárẹnà.,One does not summon the wife and so involve the go-between.,People should mind their own business.,part1.docx,,
YOR0041,A kì í peni lákọ ẹran ká ṣorí bòró.,One does not enjoy the designation ‘‘He Goat’’ and yet sport a smooth [hornless] head.,A person should live up to his or her billing.,part1.docx,,
YOR0042,A kì í pẹ̀lú ọ̀bọ jáko.,One does not join a monkey in roaming the bush.,Do not join others in their madness.,part1.docx,,
YOR0043,A kì í ṣíwájú ẹlẹ́ẹ̀ẹ́dẹ́.,"One does not conclude for the person who says, ‘‘Ẹ̀ẹ́dẹ́ . . .’’",Never presume to know what someone else intends to say.,Unknown,FIX,"Added ""full stop"" to the end of Source_Text_Yo"
YOR0044,A kì í yàgò fún ẹlẹ́ṣin àná.,One does not get out of the way for a person who rode a horse yesterday.,Past glory avails little in the present.,part1.docx,,
YOR0045,A kì í yàgò fún ‘‘Mo gun ẹṣin rí o!’’,One does not get out of the way for ‘‘I used to ride a horse!’’,People should not expect to live on past glory.,part1.docx,,
YOR0046,A léṣu sílẹ̀ páńdọ̀rọ̀-ọ̀ já lù ú; èlé mbénì?,"We group yams in lots, and the fruit of the sausage tree drops among them; does it count as complement to a lot, or as gratuity?","The fruit might look something like a yam, but it does not belong with yams.",part1.docx,,
YOR0047,"À ḿbáni mú adìẹ à ńforúnkún bó; bọ́wọ́ bá ba òkókó, a ò ní fún aládìẹ?","One helps to catch a chicken and scrapes one’s knees; having laid hands on the chick, will one not hand it over to the owner?","One should not be overzealous in helping others, especially when no benefit will accrue to one from the effort.",Unknown,,
YOR0048,"À ḿbẹ̀rù alájá, ajá ṣebí òun là ḿbẹ̀rù.","One shows deference to the dog’s owner, and the dog thinks the deference is to it.","A person who has a powerful patron mistakenly believes that the respect he enjoys from others is due to his or her own qualities, whereas it is reflected from the patron.",Unknown,FIX,"Removes hyphen from cultural context ""mis-takenly"""
YOR0049,"À ńgé e lọ́wọ́, ó ḿbọ òrùka.","His hand is being severed, yet he is slip ping on a ring.","The person has been judged undeserving of a hand; it is an affront, there fore, for him or her to adorn the fingers—an indication of heedlessness.",part1.docx,FIX,"Removed space from ""there fore"" in cultural context"
YOR0050,"A ní ká wá ẹni tó lẹ́hìn ká fọmọ fún, abuké ní òun rèé; ti gànnàkù ẹ̀hìn-in rẹ̀ là ńwí?","One seeks a person with a prominent back as suitor for one’s daughter, and the hump back presents himself; who spoke of protruding back?",Since the expression that translates as ‘‘prominent back’’ is an idiom meaning a proud pedigree. the humpback makes a rather embarrassing mistake. Com pare 55.,part1.docx,FIX,"Removed space from ""there fore"" in cultural context"
YOR0051,"A ní Tanlúkú ò mọ̀-ọ́ jó, Tàǹlukú wá gbè é lẹ́sẹ̀.","People say that Tanlúkú is a poor dancer, and Tanlùkù comes to his aid.",A person who is as helpless as the person in trouble should not offer to rescue him/her.,Unknown,,
YOR0052,"À ńjá ìbàǹtẹ́ ẹ̀ lẹ́hìn, ó ńjá tará iwájú.","His loincloth is being stripped from behind, yet he is stripping those of the people ahead of him.",Attacks on him do not stop him from belaboring his enemies.,Unknown,,
YOR0053,"À ńsọ̀rọ̀ olè, aboyún ńdáhùn; odiidi èèyàn ló gbé pamọ́.","We speak of stealing, and a pregnant woman intervenes; she herself is concealing a whole person.",Her condition makes her guilty of concealment.,part1.docx,,
YOR0054,"À ńsunkún Awúgbó, Awúgbó ò sunkún ara-a ẹ̀.",We lament Awúgbó’s plight; Awúgbó does not lament his own plight.,The person the proverb is aimed at is too daft to realize his or her sorry plight.,part1.docx,,
YOR0055,"À ńwá ẹni tí a ó fọmọ fún, olòṣì ńyọjú.","We seek a person to give a child to [in marriage], and a worthless person presents him self.",People should know their place and not overrate themselves. This is a variant of 50.,part1.docx,FIX,"Removed space in ""mar riage"" in Target_Text_En"
YOR0056,"À ńwọ́nà àti fi aṣiwèrè sílẹ̀, ó ní bí a bá dé òkè odò ká dúró de òun.","People are scheming to shake an imbecile from their company, and he asks that they wait for him on reaching the bank of the river.","If people are seeking ways of getting rid of a person, that person should not lay down his conditions for remaining with them.",part1.docx,,
YOR0057,A ò lóbìnrin à ńdá oóyọ́ sí; bí a bá dá oóyọ́ sí ewúrẹ́ ni yó jẹ ẹ́.,"Without having a wife, a person spares oóyọ́ to grow; if it flourishes, it is destined to be food for goats.","The vegetable is used in stews, and stews are for wives to cook.",Unknown,FIX,"fix  ""oóy 8"" to ""oóyọ́"" in Target_Text_En"
YOR0058,A ò mọ ohun tí Dárò-ó ní kó tó wí pé olè-é kó òun.,One does not know what Dárò owned before he claimed to have been robbed.,The poor person conveniently blames his poverty on thieves.,part1.docx,,
YOR0059,A ò mọ ohun tí eléwé-e gbégbé ńtà kó tó sọ pé ọjà ò tà.,One does not know what the seller of gbégbé leaves was selling before she started complaining about the slow market.,The seller of goods nobody wants blames her fortune on the slow market.,Unknown,,
YOR0060,A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?,"You are described as the child of the elephant that swallows coconuts, and you rejoice; are you the one who swallows coconuts?","The description honors the father, not the person being addressed.",part1.docx,FIX,"Removed space from ""coco nuts"" and ""ele phant"" in Target_Text_En"
YOR0061,"A rí èyí rí ni tonílé; a ò rí èyí rí ni tàlejò; bónílé bá ní ká jẹ ẹ́ tán, àlejò a ní ká jẹ ẹ́ kù.","‘‘Its like has been seen before’’ is what the host says; ‘‘No one has ever seen its like before’’ is what the guest says; if the host says that we should empty the plate, the guest should argue for leaving a little.","A host might minimize his hospitality, but the guest should praise it; if the host is lavish, the guest should not be greedy.",part1.docx,,
YOR0063,Aaka ò gbé ọ̀dàn; igbó ní ńgbé.,"The hedgehog does not live in the grass land, only in the forest.",Certain things are proper; certain things are not.,part1.docx,FIX,"fixed ""dan"" to ""odan"" in the source yoruba text"
YOR0064,"Àáyá yó níjọ́ kan, ó ní ká ká òun léhín ọ̀kánkán.",The colobus monkey ate its fill one day and asked that its front teeth be knocked out.,Excessive happiness made the animal careless.,part1.docx,FIX,"fixed ""nij"" to ""nijo"", and ""kankan"" to ""'okankan"""
YOR0065,Àgbò dúdú kojá odò ó di funfun.,The black ram crosses the river and becomes white.,Propitious events can drastically change a person’s fortunes for the better.,part1.docx,PERFECT,too long to complete
YOR0066,Aáyán fẹ́rẹ́gẹṣin; adìẹ ni ò gbà fún un.,The cockroach would ride a horse; it is the chicken that does not allow.,A cockroach that stirs in the presence of a chicken is as good as dead. ,part1.docx,,
YOR0069,Aáyán fẹ́ẹ́jó; adìẹ ni ò jẹ́.,The cockroach would dance; it is the chicken that does not allow.,A cockroach that stirs in the presence of a chicken is as good as dead.,part1.docx,PERFECT,
YOR0062,Aáyán kì í yán ẹsẹ̀ erin; èèyàn kì í yán ẹsẹ̀ irò,A cockroach does not trip an elephant; a human being does not trip a chimpanzee.,One should not take on adversaries one cannot match.,part1.docx,FIX,"Added ""ẹ̀"" to ese twice"
YOR0063,Àbá ni ikán ńdá; ikán ò lè mu òkúta.,The termite is only striving; it can never eat a rock.,"Though termites may make their tunnels on a rock, the rock will be safe.",part1.docx,,
YOR0067,Abinú-fùfù ní ńwá oúnjẹ fún abínú wẹ́rẹ́ wẹ́rẹ́.,A volatile-tempered person secures food for a mild-tempered person.,Whatever good fortune might have been meant for the volatile person will wind up in the lot of the mild-mannered person.,part1.docx,FIX,"fix ""ororo"" to ""were were"" in the yoruba proverb"
YOR0068,Àbọ̀ ejò kì í gbé isà.,Half a snake does not live in a burrow.,One should act according to one’s circumstances.,part1.docx,FIX,"fix  ""ọ́"" to ''Àbọ̀"""
YOR0071,Abùléra ọ̀fọ́n-ọ̀n: ó ní ọjọ́ tí ológbò-ó ti bí òun ò ìtí-ì dá a ní báríkà.,"Mouse-that-does-not-know-its-place: it says that since the day the cat delivered [a baby], it has not gone to offer congratula tions.",Never forget your vulnerabilities and limitations.,part1.docx,,"fixed multiple omission of ""ọ́"" in the yoruba text"
YOR0072,Àbúrò kì í pa ẹ̀gbọ́n nítàn.,The younger person does not give the older person history lectures.,One should not exceed one’s station.,part1.docx,,
YOR0073,"Àbúrò rẹ ńdáṣọ fún ọ, o ní o ò lo elékuru; ta ní ńlo alákàrà?","Your junior brother [or sister] buys clothing for you, and you say you will not wear anything with bean-grits patterns; who has the fright to opt for clothing with a bean-fritter pattern",One should act in accordance to one's station in life.,part1.docx,PERFECT,missing cultural context
YOR0074,A-dá-má-lè-ṣe àdàbà tí ńdún bẹ̀m̀bẹ̀.,Start-something-it-cannot-finish dove makes bombastic noises.,Bombast often masks fickleness.,part1.docx,,
YOR0075,"Adẹ́tẹ̀ẹ́ ni òun ò lè fún wàrà, ṣùgbọ́n òún lè yí i dànù.","The leper says he may not be able to squeeze out milk, but he can spill it.",Even feckless people can cause some damage.,part1.docx,FIX,"fixed lots of missing ""ẹ́"" in t"
YOR0076,"Adarí wèrè, ó kán lógbò.",The leper sees a mad person and dashes into the bush.,A person who should be ostracized ostracizes others.,part1.docx,,
YOR0078,"Adẹ́tẹ̀ẹ́ méjì, ó fìkan purọ́; ó ní nígbàtí òún lu ọmọ òun lábàrá, ó já à léékánná pàtì.","The leper said two things, one of them being a lie; he said after he had struck his child with his palm, he also pinched him severely with his nails.",One fools only oneself when one claims to have done the impossible.,part1.docx,,
YOR0079,"Adìẹ́ tó ṣu tí kò tọ̀, ara-a rẹ̀ ló kù sí.",The chicken that shits and does not piss retains the rest in its body.,"Self-deprivation hurts the person concerned, not anyone else.",part1.docx,PERFECT,can't make any sense of the Yoruba text
YOR0080,A-dìtan-mọ́ èsúó; ó ní èkùlù ló bí ìyá òun.,"The red-flanked duiker, desperate to claim relationship, says that its mother was born of a crested duiker.",Never make preposterous claims of kinship.,part1.docx,,
YOR0081,"Adití ò gbọ́, ‘‘Yàgò!’’","The deaf do not hear, ‘‘Make way!’’",Cautionary words are lost on reckless people.,part1.docx,,
YOR0082,"À-fà-tiiri ni tìyàwó; bí a bá fà á tí kò tiiri, ó ní ohun tó ńṣe é.","Resisting-while-being-pulled is the proper behavior for a bride; if she is pulled and does not resist, something is the matter with her.","However eager the bride, she must ap pear coy and shy; one should behave with decorum appropriate to one’s position.",part1.docx,,
YOR0083,Àfi ohun tí a kì í tà lọ́jà lẹrú kì í jẹ.,The only thing a slave cannot eat is some thing not available in the market.,A slave has no choice.,part1.docx,,
YOR0084,Afínjú wọ ọjà ó rìn gbẹndẹkẹ; ọ̀bún wọ ọjà ó rìn ṣù ṣù; ọ̀bùn ní ó rù ẹrù àfínjú relé,The fashionable person enters the market and walks in a leisurely manner; the filthy person enters the market and walks in a sluggish manner; it is the filthy person that will carry the fashionable person’s load to the house for him or her.,Good breeding confers great advantages.,part1.docx,,
YOR0085,"Ahún ńre àjò, ó gbé ilé-e rẹ̀ dání.",Tortoise embarks on a journey and takes his house along.,One’s dearest possessions deserve the closest attention.,part1.docx,DROP,makes no sense together
YOR0086,"Afínjú-u póńpólà, ogé kun osùn láìwẹ̀.","Unusual-fashionable-person, the preener anoints herself with camwood without taking a bath.",Cleanliness should be more than a matter of appearance.,part1.docx,,
YOR0087,Àfòpiná tó fókúnpáná-a súyà; ẹrán pọ̀ sí i.,The moth tries to put out the barbecue fire; the meat becomes more plentiful.,A person who foolishly attempts dangerous tasks courts destruction. This is a variant of the following entry.,part1.docx,FIX,fixed space in cultural context and ọ́ in the yoruba proverb
YOR0088,"Àfòpiná tó ní òun ó pa fìtílà, ara ẹ̀ ni yó pa.",The moth that attempts to kill [put out] the oil lamp will kill itself.,It is unwise to take on an adversary one knows can destroy one.,part1.docx,FIX,added ẹ̀ to the yoruba text
YOR0089,"Afọ́jú tó dijú, tó ní òún sùn, ìgbàtí kò sùn ta ló rí?","The blind person who shuts his eyes and says he is asleep, when he was not asleep, whom did he see?",The deceiver deceives himself or herself.,part1.docx,FIX,"fixed ""ọ́"" in proverb"
YOR0090,"Àgó tó gbó ṣáṣá, bìtí pa á; áḿb sì olóósè a-bara-kù kù .","The nimble, sprightly rat fell victim to the trap; how much more the sluggish, sickly",Not Provided,part1.docx,DROP,makes no sense
YOR0091,Àgbẹ̀jẹ ò koro nílé ńlá.,Pumpkin is never bitter in a big household.,"When one is in need, one cannot be too choosy.",part1.docx,PERFECT,makes no sense
YOR0092,Àgùnbánirọ̀ ní ńfojúdini.,It is the person taller than another who shows no respect for the other.,"Even in a company, each person should know his or her relative station.",part1.docx,,
YOR0093,Àgbà ajá kì í bàwọ̀jẹ́,A grown dog does not deface its skin.,Decorum goes with age.,part1.docx,FIX,"added ẹ́ and ọ́ to the Yoruba proverb. ""ẹ́"" was miswritten as ""o"""
YOR0094,Àgbà ìmàle kì káṣọ kọ́rùn.,Muslim elder does not throw a sheet over his shoulder for clothing.,One should behave as is proper for one’s position.,part1.docx,FIX,"swapped ""lagbada"" for ""korun"" in the yoruba text"
YOR0095,Àgbà kán ṣe bẹ́ẹ̀ lÓgùn; Yemaja ló gbé e lọ.,An elderly person tried it [something] in the river Ògùn; the river goddess carried him away.,Thoughtless emulation of others could be disastrous.,part1.docx,FIX,"Added ""ẹ́ẹ̀"" to ther yoruba text"
YOR0096,Àgbà kì í ṣerée kí-ló-bá-yìí-wá?,"An elderly person does not engage in the kind of play that provokes the comment, ‘‘What brought all this about?’’",Elders should show decorum.,part1.docx,FIX,"Removed ""See 126."" from cultural context"
YOR0097,Àgbà kì í ṣorò bí èwe.,An elderly person does not perform ritu als like a youth.,The elder’s performance should be commensurate with his station and status.,part1.docx,PERFECT,
YOR0098,Àgbá òfìfo ní ńpariwo; àpò tó kún fówó kì í dún.,It is an empty barrel that is noisy; a sack full of money makes no sound.,Persons of little worth make the most noise.,part1.docx,,
YOR0099,Àgbà tí kò mọ ìwọ̀n ara-a rẹ̀ lodò ńgbé lọ́.,It is an elder who does not know his limita tions that is washed away by a river.,Elders who cannot swim will be cautious near rivers.,part1.docx,FIX,"fixed ""ọ́, ẹ̀"" in the yoruba proverb"
YOR0100,"Àgbà tí kò nítìjú, ojú kan ni ìbá ní; ojú kan náà a wà lọ́gangan iwájú-u rẹ̀.","An elder without self-respect might as well have only one eye, that one eye being in the center of his forehead.",Shamelessness does not become an elder.,part1.docx,FIX,"fixed ""ọ́, ẹ̀"" in the yoruba proverb. ""ẹ́"" was miswritten as ""o"""
YOR0101,"Àgbà tí yó tẹ̀ẹ́, bó fárí tán, a ní ó ku járà ẹnu.","An elder courting disgrace, after his head has been shaved, says, ‘‘Now, how about shaving the beard [as a gratuity]?’’",One should know how far one may go before one suffers disgrace.,part1.docx,FIX,"Removed ""o"" for ""ẹ̀ẹ́"" in the yoruba proverb"
YOR0103,Àgbà tó bú ọmọdé fi èébú-u rẹ̀ tọrọ.,An elder who insults a youth makes a present of his own insult.,Only those who show respect for others may expect respect in return. Compare the preceding and following entries.,part1.docx,FIX,"Added ""ẹ̀"" to the yoruba proverb. removed unnecessary space in the cultural context"
YOR0104,Àgbà tó fi ara-a rẹ̀ féwe lèwe ḿbú.,It is an elder who delivers himself unto youths that the youth will insult.,"If one wants to be respected, one should respect oneself. Compare the preceding two entries.",part1.docx,FIX,"Added ""ẹ̀"" to the yoruba proverb"
YOR0105,Àgbà tó mọ ìtìjú kì í folè ṣeré.,An elder who is wary of disgrace will not play at stealing.,Anything that smacks of stealing will disgrace an elder.,part1.docx,,
YOR0106,Àgbà-ìyà tí ńmùkọ ọ̀níní: ó ní nítorí omi gbígbóná orí-i rẹ̀ ni.,Worthless elderly person who is eating corn gruel worth one-tenth of a penny: he says he only wants the hot water on top of it.,One should act according to the demands of one’s status.,part1.docx,FIX,"added ""ọ́"" to the yoruba proverb"
YOR0107,"Àgbàlagbà akàn tó kó sí garawa; yègèdè, ojú tì í.",The elderly crab that enters into a bucket is thoroughly disgraced.,One should avoid potentially disgraceful actions.,part1.docx,,
YOR0108,Àgbàlagbà kì í ṣe lágbalàgba.,An elder should not behave in an unbecoming manner.,One should behave according to one’s status.,part1.docx,FIX,Removed space in target text_en
YOR0109,Àgbàlagbà kì í yọ ayọ̀-ọ kí-ló-báyìí-wá?,"An elder does not rejoice in a manner that would provoke, ‘‘What brought all this about?’’",Moderation and decorum in every thing.,part1.docx,FIX,"Added ""ọ́"" to the yoruba proverb. removed "" This is identical in intent with 108."" from cultural context"
YOR0110,"Àgbàlagbà tó ńgun ọ̀pẹ, bó bá já lulẹ̀ ó dọrun.","An elder who climbs palm trees: if he crashes from the tree, he will find himself in heaven.",An elder should know better than to climb palm trees; one should not court danger. Compare 223; see also 1500.,part1.docx,FIX,"Added ""ọ"" thrice to the yoruba proverb"
YOR0111,"Àgbàlagbà tó wẹ́wù àṣejù, ẹ̀tẹ́ ni yó fi rí.",An elder who wears the garment of im moderation will find disgrace because of it.,Immoderation brings disgrace.,part1.docx,FIX,"""ẹ̀tẹ́ ni yó"" was omitted in the yoruba proverb"
YOR0112,"Àgbàrá ba ọ̀nà jẹ́, ó rò pé òún tún ọ̀nà ṣe.",The rain flood ruins the path believing that it is repairing it.,Ignorance or incompetence in tackling a task often leads to unintended results.,part1.docx,FIX,"""ọ̀"" x2 and ""ẹ́"" were omitted in the yoruba proverb"
YOR0113,Agbára wo ló wà lọ́wọ́ igbá tó fẹ́ fí gbọ́n omi òkun.,What strength does the calabash have at its disposal that makes it attempt to scoop up all the water in the ocean?,People should not overreach.,part1.docx,FIX,"""ọ̀"" x3 was missing. also ""ẹ́"" was miswritten as ""o"""
YOR0114,Àgbéré laáyán gbé tó ní òun ó jòó láàárín adìẹ.,The cockroach overreaches itself when it says it will dance in the company of chick ens.,The chickens will eagerly peck it to death.,part1.docx,FIX,""" Compare 67 and 68."" was removed from the cultural context"
YOR0115,Àgbéré lẹyẹ ńgbé; kò lè mu omi inú àgbọn.,The bird only attempts the impossible; it cannot drink the milk in a coconut.,One should know one’s limits.,part1.docx,FIX,"Absent cultural context, target_text_en cut off halfway at ""it"""
YOR0116,Àgbéré-e ṣìgìdì tó ní ká gbé òun sójò: bí apá ti ńya nitan ńya; kidiri orí ò lè dá dúró.,"The overreaching mud idol that asked to be put in the rain: as the arms fell off, so did the thighs; the rounded head could not support itself.",One should know one’s limitations.,part1.docx,,
YOR0117,Ahọ́n ni ìpínnlẹ̀ ẹnu.,The tongue is the border of the mouth.,There is a limit to everything.,part1.docx,FIX,"""ẹ̀"" and ""ọ́"" were absent in the yoruba proverb"
YOR0118,"Àì-kúkú-joyè, ó sàn ju, ‘‘Ẹnuù mi ò ká ìlú’’ lọ.","Not-assuming-the-position-of-ruler-at-all is far better than, ‘‘My word is not heeded by the people.’’",A person who does not assume a responsibility is better off than a person who takes it on and fails to fulfill it.,part1.docx,,
YOR0119,"Àì-lápá làdá ò mú; bí a bá lápá, ọmọ owú tó-ó gégi.","It is a deficiency of biceps that blunts the machete; if one has strong biceps, one can cut trees with a cudgel.",One should not blame one’s deficiencies on one’s tools.,part1.docx,,
YOR0120,"Àì-lè-jà ni à ńsọ pé, ‘‘Ojúde baba-à mi ò dé ìhín.’’","It is inability to fight that prompts one to say, ‘‘My father’s front yard does not extend this far",A coward will find any excuse to avoid a just fight.,part1.docx,FIX,Cultural context was excluded
YOR0121,"Àì-mọ̀-kan, àì-mọ̀-kàn ní ḿmú èkúté-ilé pe ológbò níjà.",It is severe ignorance that prompts a mouse to challenge a cat to a fight.,Never taunt an adversary you cannot handle.,part1.docx,FIX,"""ọ̀"" was omitted twice in the Yoruba proverb"
