Sample_ID,source_text,english_translation,Cultural_Context
MID0021,La nuit porte conseil,The night brings advice.,"This saying is the equivalent of the English saying “Sleep on it,”..."
MID0022,C’est la fin des haricots,It’s the end of the (green) beans.,...synonymous with Il n’y a plus rien ! (“There’s nothing left!”). This saying dates back to the 18th century...
MID0023,Battre le fer pendant qu’il est chaud,Strike the iron while it’s hot.,...means to take advantage of favorable conditions.
MID0024,Il faut qu’une porte soit ouverte ou fermée,A door must be open or closed.,Pure and simple: “You can’t have it both ways.”
MID0025,Voir venir quelqu’un avec ses gros sabots,To see someone coming with his/her big clogs.,To be able to clearly and easily decipher someone’s intentions...
MID0026,Il ne faut rien laisser au hasard,One should leave nothing to chance.,"This one simply means, “Plan ahead.”"
MID0027,Les murs ont des oreilles,The walls have ears.,"One should pay attention to what they say, because there’s a chance they could be overheard..."
MID0028,Il n’y a pas de quoi fouetter un chat,It’s nothing to whip a cat about.,"It’s a lively way of saying, C’est pas grave ! (It’s no big deal!)"
MID0029,Tout est bien qui finit bien,All’s well that ends well.,"...as long as the final outcomes are successful, such experiences should be considered positive overall."
MID0030,Les bons comptes font les bons amis,Good accounts make good friends.,"In English we say, “A debt paid is a friend kept.”"
MID0031,Être sage comme une image,To be well-behaved like a picture.,"In English, an equivalent saying is “to be good as gold.”"
MID0032,"La jeunesse est le temps d’étudier la sagesse, la vieillesse est le temps de la pratiquer","Youth is the time to study wisdom, old age the time to practice it.","...nothing should be taken for granted, because La vie est courte (Life is short)!"
MID0033,Rien ne sert de courir; il faut partir à point,There’s no point in running; you have to set out in due time.,This one is from the first lines of “Le lièvre et la tortue”... “Slow and steady wins the race.”
MID0034,"Qui sème le vent, récolte la tempête",Who sows the wind reaps the storm,...eventually you will always have to face the consequences of your actions.
MID0035,Ce n’est pas à un vieux singe qu’on apprend à faire des grimaces,It’s not to an old monkey that one can teach to pull faces,This is a fun version of the familiar English proverb...
MID0036,Il faut casser le noyau pour avoir l’amande,You have to break the shell to get the almond,The English version of this seems much more modern...
MID0037,De mauvais grain jamais bon pain,"From bad grain, never good bread",...the quality of something depends on its origin...
MID0038,Faire d'une mouche un éléphant,Make of a fly an elephant,Another proverb that needs little explanation.
MID0039,C'est en forgeant qu'on devient forgeron,It’s by forging that one becomes a blacksmith,This proverb transports you right back to a medieval French town...
MID0040,Rome ne s'est pas faite en un jour,Rome wasn’t made in a day,...reminds us that great tasks take time and that we need patience...
MID0041,C'est la paille et la poutre,It's the straw and the beam,...points out people’s ability to see faults in others while not recognising their own.
MID0042,C'est vouloir prendre des lièvres au son du tambour,It’s wanting to catch hares by beating a drum,...refers to taking the wrong approach to doing something.
MID0043,On ne fait pas boire un âne qui n'a pas soif,You can’t make an ass drink that isn’t thirsty,...remind us of a world where transport by horse or donkey was common.
MID0044,Mieux vaut être seul que mal accompagné,Better to be alone than in bad company,A proverb that requires little explanation.
MID0045,Chien qui aboie ne mord pas,The dog that barks doesn’t bite,Another proverb that is well known in both French and English.
MID0046,à beau mentir qui vient de loiny,"long ways, long lies",(lit.: he who comes from afar can lie well; i.e.: someone from far away can more easily tell lies without fear of being caught because he is unknown in his new region)
MID0047,"à bon chat, bon rat",meet one's match; tit for tat; an equal [in combat],(lit.: a good rat for a good cat)
MID0048,"à bon vin, point d’enseigne",the reputation of a good thing precedes it,(lit.: not need to explain a good wine; i.e.: what is good needs no recomendation)
MID0049,à brebis tondue Dieu mesure le vent,the Lord tempers the wind to the shorn lamb,(a Biblical reference)
MID0050,à chaque jour suffit sa peine,sufficient unto the day is the evil thereof,"(lit.: for each day there suffices suffering; i.e.: deal with today’s difficulties without worrying about what might come tomorrow; n.b.: from the New Testament, Matthew 6:34)"
MID0051,à cheval donné on ne regarde pas le dents,don’t look a gift horse in the mouth,(lit.: one doesn’t look at the reins of a horse given as a gift)
MID0052,à cœur vaillant rien d’impossible,nothing is impossible to a willing heart,"(lit.: for a brave heart, nothing is impossible)"
MID0053,"à l’impossible, nul n’est tenu",no one can be expected to do the impossible,"(lit.: for what is impossible, nothing is expected)"
MID0054,à l’œuvre on reconnaît l’artisan,you can tell an artist by his work,(lit.: by his work one recognizes the artisan)
MID0055,"à la Chandeleur, l’hiver se passe ou prend vigueur","as of February 2, winter either wanes or gains strength","(lit.: on Candlemass [Feb. 2], winter ends or becomes stronger than before; n.b.: the date Feb. 2 is also Groundhog Day, whose connotations are similar)"
MID0056,"à la Sante-Luce, les jours croissent du saut d’une puce","as of Sainte Luce Day (Dec. 13), the days start to lengthen ever so slowly","(lit.: on Sainte Luce, the days grow at the pace of a flea)"
MID0057,à mauvais ouvrier point de bons outils,a bad workman blames his tools,"(lit.: for a bad workman, no good tools)"
MID0058,à père avare fils prodigue,the miser’s son is a spendthrift,(lit.: for a miserly father a prodigal son; i.e.: a vice or fault in a parent can turn into the opposite vice or fault in a child)
MID0059,à quelque chose malheur est bon,every cloud has a silver lining,(lit.: for something bad there is good; i.e.: bad things can have a positive aspect)
MID0060,"à tout seigneur, tout honneur",honor to whom honor is due,"(lit.: to all nobles, all honor; i.e.: honor should be bestowed upon people according to rank and achievement)"
MID0061,"à vieille mule, frein doré",a golden brake for an old mule,(i.e.: be nice to older animals so they can be sold at market; also used to refer to older women who apply makeup excessively)
MID0062,abondance de biens ne nuit pas,an abundance of goods does no harm,(said when receiving something that one already has in sufficient quantity)
MID0063,"aide-toi, le ciel t’aidera",God helps those who help themselves,"(lit.: help yourself, and the heavens will help you)"
MID0064,"après la pluie, le beau temps",every cloud has a silver lining; good and bad things come one after the other,"(lit.: after the rain, nice weather)"
MID0065,"araignée du matin, chagrin, araignée du soir, espoir","seeing a spider in the morning brings bad luck, seeing a spider in the evening brings good luck",(a commonly cited French superstition)
MID0066,"au bout du fossé, la culbute",danger is imminent,"(lit.: at the end of a ditch, a somersault)"
MID0067,"au royaume des aveugles, les borgnes sont rois","in the kingdom of the blind, the one-eyed man is king","(lit.: in the kingdom of the blind, the one-eyed are kings)"
MID0068,"aussitôt dit, aussitôt fait",said and done,"(lit.: soon said, soon done)"
MID0069,"autant des têtes, autant d’avis",too many cooks spoil the broth,"(lit.: so many heads, so much advice)"
MID0070,autant en emporte le vent,empty promises,(lit.: as much as the wind can carry)
MID0071,"autres temps, autres mœurs",times change,"(lit.: other times, other customs)"
MID0072,"aux grands maux, les grands remèdes",big problems require big solutions; desperate situations call for desperate measures,"(lit.: for large evils, great remedies)"
MID0073,aux innocents les mains pleines,fortune favors the innocent,(lit.: the innocent have their hands full)
MID0074,"avant de balayer devant la porte du voisin, il faut commencer par balayer devant sa propre porte","before cleaning up your neighbor’s door, you must start by cleaning your own","(lit.: before sweeping at your neighbor's door, you must sweep your own door)"
MID0075,"avec des “si,” on mettrait Paris en bouteille","if ifs and ands were pots and pans, there’d be no work for tinker’s hands; if wishes were horses","(lit.: with ifs, Paris could be put in a bottle)"
MID0076,avoir le beurre et l’argent du beurre,have one’s cake and eat it too,(lit.: to have one’s butter and the money for it)
MID0077,L’argent ne se trouve pas sous le sabot d'un cheval,Money doesn't grow on trees,"Money must be earned through work, not easily found."
MID0078,Le monde appartient à ceux qui se lèvent tôt,The early bird catches the worm,Success comes to those who are diligent and start early.
MID0079,Deux avis valent mieux qu'un,Two heads are better than one,Two opinions are worth more than one.
MID0080,"À mauvais ouvrier, mauvais outils",A bad workman quarrels with his tools,"To a bad workman, bad tools."
MID0081,"Faire d'une pierre, deux coups",To kill two birds with one stone,"To make from one stone, two strikes."
MID0082,'Impossible' n'est pas français,There is no such word as 'can't.','Impossible' is not French.
MID0083,"Deux s'amusent, trois s'ennuient","Two is company, three is a crowd","Two have fun, three get bored."
MID0084,"Qui se ressemble, s'assemble",Birds of a feather flock together,"Those who are similar, gather together."
MID0085,"Vouloir, c'est pouvoir",Where there's a will there's a way,To want is to be able.
MID0086,Ce ne sont pas les mots qui comptent mais les actions,Actions speak louder than words,It is not the words that count but the actions.
MID0087,À beaucoup d'ouvriers la tâche est aisée,Many hands make light work,To lots of workers the task is easy.
MID0088,Bouillon de chou fait perdre au médecin cinq sous,An apple a day keeps the doctor away,Cabbage soup costs the doctor five pennies.
MID0089,La beauté est affaire de goût,Beauty is in the eyes of the beholder,Beauty is a matter of taste.
MID0090,Ce n'est pas la mer à boire!,It's not that bad / hard / difficult! It's not such a big deal!,It's not the sea that you have to drink!
MID0091,C'est mon petit doigt qui me le dit,A little bird tells me,It's my little finger that tells me.
MID0092,"Quand le vin est tiré, il faut le boire",There's no going back. You have to see it through.,"Once the wine has been fetched, you have to drink it."
MID0093,Il n’y a que les imbéciles qui ne changent pas d’avis,Only fools never change their minds,"Our opinions may vary, and people clinging to their beliefs or decisions when they have every reason not to are being stupid. We use this proverb to point out stubbornness or to justify changing our minds."
MID0094,On n’apprend pas au vieux singe à faire la grimace,This old dog knows all the tricks,You don’t need to teach something to someone who has much more experience than you have. We typically use this expression when someone with less experience or knowledge is trying to explain something we find obvious or easy.
MID0095,Il n’y a que la vérité qui blesse,Truth hurts,"If you feel offended by a statement or reproach, it only proves that it was true. The most hurtful comments are the ones we deserve. This expression is often used as a taunt, or when someone is denying their fault or wrongdoing and acting offended by the accusation."
MID0096,La vengeance est un plat qui se mange froid,Revenge is a dish best served cold,"Vengeance is more satisfying when delayed and exacted with a clear head. You’ll take more pleasure if you wait until the heat of anger has cooled off, rather than take revenge as an immediate act of rage."
MID0097,"À vaincre sans péril, on triomphe sans gloire","No guts, no glory",Success won’t come if you’re not brave enough to take risks. This is a quote from Le Cid.
MID0098,Il ne faut pas mettre la charrue avant les bœufs,Don’t put the cart before the horse,This expression from the fifteenth century means that you shouldn’t go so fast that you fail to do things in the right order.
MID0099,On n’est jamais mieux servi que par soi-même,"If you want something done right, do it yourself","If you want something done exactly the way you want it, you should just do it yourself."
MID0100,Qui ne risque rien n’a rien,"Nothing ventured, nothing gained","One must take risks to achieve something. If you don’t risk anything, you won’t get anything good."
MID0101,Ne remets pas à demain ce que tu peux faire aujourd’hui,Don’t put off until tomorrow what you can do today,No time like the present! You shouldn’t delay doing something if you can do it right now.
MID0102,Les chiens ne font pas des chats,The apple doesn’t fall far from the tree,Children usually have similar characteristics or qualities to those of their parents.
MID0103,"Rien ne sert de courir, il faut partir à point",Slow and steady wins the race,(from La Fontaine’s fable Le Lièvre et la Tortue)
MID0104,"Chassez le naturel, il revient au galop",A leopard cannot change its spots,"If you go against your nature, it will never last."
MID0105,Il n’est pire aveugle que celui qui ne veut pas voir,You cannot reason with someone who’s not interested in the truth,(variant of “There are none so blind as those who will not see”)
MID0106,On ne fait pas d’omelette sans casser d’oeufs,No pain no gain,You cannot achieve great things without making sacrifices.
MID0107,Les petits ruisseaux font les grandes rivières,Little streams make great rivers,This proverb emphasizes that small efforts or contributions can accumulate into something much larger over time. It is often used to encourage consistency and patience in achieving goals.
MID0108,Ce qui est fait n’est plus à faire,What is done is no longer to be done,"This simply means that once a task is completed, there’s no need to do it again. Often used to underline that you should complete tasks properly the first time."
MID0109,L’appétit vient en mangeant,Appetite comes while eating,"This suggests that the more you have of something, the more you want. It can refer to food literally, but it’s also used figuratively to highlight how taking the first step can increase motivation."
MID0110,Il faut réfléchir avant d’agir,One must think before acting,A straightforward exhortation to consider consequences before taking action. Similar to “Look before you leap.”
MID0111,Un malheur ne vient jamais seul,A misfortune never arrives alone,"This proverb reflects the belief that bad events tend to happen in clusters (“When it rains, it pours”)."
MID0112,Qui va à la chasse perd sa place,He who goes hunting loses his seat,"Commonly used when someone leaves their seat or position temporarily and finds it taken upon return. “You snooze, you lose.”"
MID0113,"Tel père, tel fils","Like father, like son","This emphasizes that children often resemble their parents in character, behavior, or fate."
MID0114,"Loin des yeux, loin du cœur","Far from the eyes, far from the heart","Suggests that if someone or something is not physically present, it can be easily forgotten."
MID0115,Mieux vaut tard que jamais,Better late than never,"Encourages taking action or completing a task even if it’s delayed, rather than abandoning it altogether."
MID0116,La fin justifie les moyens,The end justifies the means,This can be used either positively or critically to say that achieving a goal can sometimes excuse the methods used.
MID0117,Qui veut voyager loin ménage sa monture,He who wants to travel far spares his mount,Encourages pacing oneself and preserving one’s resources to achieve long-term objectives.
MID0118,À l’impossible nul n’est tenu,No one is bound to do the impossible,This proverb means that no one can be expected to accomplish the unachievable.
MID0119,"Quand on parle du loup, on en voit la queue","When one speaks of the wolf, you see its tail",The French counterpart to “Speak of the devil and he appears.” It’s often said when the subject of a conversation suddenly appears.
MID0120,Un ‘tiens’ vaut mieux que deux ‘tu l’auras’,One “here you go” is better than two “you’ll get it”,"Similar to “A bird in the hand is worth two in the bush,” it emphasizes that a guaranteed or immediate gain is more valuable than a larger but uncertain promise."
MID0121,A beau mentir qui vient de loin,He who comes from afar can easily lie,Suggests that someone whose story cannot be easily verified can make grand or false claims without fear of being exposed.
MID0122,L’argent est la racine de tous les maux,Money is the root of all evil,Classic warning about the dangers of greed and how money can corrupt.
MID0123,Nécessité est mère d’invention,Necessity is the mother of invention,"When you really need something, you find a way to make it happen."
MID0124,Rira bien qui rira le dernier,He who laughs last laughs longest,The person who has the last laugh is the one who ultimately succeeds.
MID0125,Une minute d’hésitation peut coûter cher,He who hesitates is lost,A moment of doubt can lead to missing a great opportunity.
MID0126,C’est dans le besoin que l’on connaît ses vrais amis,A friend in need is a friend indeed,True friends reveal themselves when times are hard.
MID0127,Nécessité fait loi,Beggars can’t be choosers,"When you have no choice, you must accept what is offered."
MID0128,Rira vendredi dimanche pleurera,He who laughs on Friday will cry on Sunday,What starts well may end badly — don’t get too cocky too soon.
MID0129,Chaque chose en son temps,Don’t cross your bridges before you come to them,Do things in the proper order; don’t rush ahead.
MID0130,Un petit service en vaut un autre,You scratch my back and I’ll scratch yours,One good turn deserves another.
MID0131,Un point à temps en vaut cent,A stitch in time saves nine,Fixing a small problem early saves much bigger trouble later.
MID0132,L’argent ne fait pas le bonheur,Money cannot buy happiness,"Nearly identical to its English counterpart, this expression means that although money lets you buy things, it’s not enough to achieve happiness. The most materialistic people often follow it with mais il y contribue (“but it contributes to it”)."
MID0133,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué,Don’t count your chickens before they hatch,This traditional saying comes from Old French. It means that you should wait to act until you know that something is certain.
MID0134,Chat échaudé craint l’eau froide,"Once bitten, twice shy",This is what you’d say if you were scared of doing something again because you previously had an unpleasant experience doing that thing. Bad experiences make us cautious.
MID0135,On ne change pas une équipe qui gagne,"If it ain’t broken, don’t fix it",There’s no need to make any changes to something that’s already working well.
MID0136,Il vaut mieux prévenir que guérir,Better safe than sorry,You might use this proverb when it seems wiser to be careful and protect yourself instead of taking unnecessary risks.
MID0137,Il n’y a pas de fumée sans feu,"Where there is smoke, there is fire","If there’s any sign of something being true, then it must be at least partly true."
MID0138,Qui aime bien châtie bien,Spare the rod and spoil the child,"When you love someone, you’ll punish them proportionally to their wrongdoing instead of being too harsh or ignoring their fault."
MID0139,Paris ne s’est pas fait en un jour,Paris wasn’t built in a day,"Just like the English saying “Rome wasn’t built in a day,” it reminds us that significant achievements require time and effort. It’s a call for patience and perseverance."
MID0140,Qui vole un œuf vole un bœuf,He who steals an egg will steal an ox,It warns that small misdeeds can lead to bigger crimes or that a dishonest person might not stop at minor offenses.
MID0141,Un clou chasse l'autre,One nail drives out another,Life goes on.
MID0142,"En tout pays, il y a une lieue de mauvais chemin",In every country there is a league/area of bad road,There will be bumps in the smoothest roads.
MID0143,Tout vient à point à qui sait attendre,All comes on time to the one who knows how to wait,All things come to those who wait.
MID0144,Il n’y a pas plus sourd que celui qui ne veut pas entendre,The deafest are those who don’t want to listen,"Stubborn teenagers might hear this French proverb quite often, especially if they’re not heeding their parents’ advice."
MID0145,Ce n’est pas la mer à boire,It’s not the end of the world,"If you’re exasperated by someone who complains, and complains, and complains some more, simply for the sake of complaining (and their life is pretty easy and carefree) you can say to them: Stop complaining. It’s not the end of the world."
MID0146,"À bon chat, bon rat","To a good cat, a good rat",Tit for tat./Equally matched./To meet your match
MID0147,Il faut tourner sept fois sa langue dans sa bouche avant de parler,You should turn your tongue around in your mouth seven times before you speak,Think before you speak
MID0148,Ce n’est pas à un vieux singe qu’on apprend à faire des grimaces,You don’t teach an old monkey how to make funny faces,I wasn’t born yesterday
MID0149,Impossible n’est pas français,Impossible isn’t French,There’s no such thing as “impossible”
MID0150,Bien mal acquis ne profite jamais,Goods badly acquired never benefit,"This proverb is used to admonish someone, like a wayward child who steals, emphasizing that ill-gotten gains do not benefit and carry wider implications, staying with them for life."
MID0151,Qui vole un oeuf vole un boeuf,Who steals an egg steals a cow,"This 19th Century proverb communicates that theft is theft regardless of scale, and stealing small things leads to stealing bigger ones, with punishment being equally harsh in the era it originated."
MID0152,Les jours se suivent et ne se ressemblent pas,The days follow one another and do not resemble each other,"This saying, with origins unknown but noted as originating in a different language, highlights how consecutive days can vary greatly."
MID0153,C'est pas demain la veille!,It's not the day before tomorrow!,This short proverb about life is roughly similar to 'Don't put the cart before the horse'.
MID0154,On ne peut pas plaire à tout le monde,We can't please everyone,-
MID0155,Tall oaks from little acorns grow,Tall oaks from little acorns grow,-
MID0156,Vouloir c'est pouvoir,"Where there's a will, there's a way",-
MID0157,"Tant qu'il y a de la vie, il y a de l'espoir","While there is life, there is hope",-
MID0158,Les grands esprits se rencontrent,Great minds think alike,-
MID0159,Même les meilleures choses ont une fin,Even the best things come to an end,-
MID0160,"Bon à tout, bon à rien","Jack of all trades, master of none",-
