Sample_ID,Proverb,Correct_Meaning
ENG0018,Beggars can't be choosers,If you request something to be given you should not question what you are given.
ENG0019,Beware of Greeks bearing gifts,Don't trust your enemies.
ENG0020,Big fleas have little fleas upon their back to bite 'em,"Everyone is preyed upon by someone, who in turn has someone preying on them."
ENG0021,Birds of a feather flock together,Those of similar taste congregate in groups.
ENG0022,Blood is thicker than water,By saying 'blood is thicker than water' we mean that family bonds are closer than those of outsiders.
ENG0023,Bolt from the blue,"A complete surprise, like a bolt of lightning from a clear blue sky."
ENG0024,Born with a silver spoon in one's mouth,To be born with a silver spoon in one's mouth is to be born into a wealthy and privileged family.
ENG0025,Boys will be boys,"The proverbial saying 'boys will be boys' is used to express resignation at, or even encouragement of, the bad behaviour of boys, imagining it to be an inevitable consequence of their gender."
ENG0026,Bread always falls buttered side down,The 'buttered side down' view of life is one that is pessimistic and fatalistic.
ENG0027,Buck stops here - The,The slogan 'The buck stops here' is a promise that responsibility will not be passed on to anyone else.
ENG0028,Build a better mousetrap and the world will beat a path to your door,To 'build a better mousetrap' is to make an improvement to an existing product or service. It especially refers to simple and straightforward changes that are obvious advances on earlier devices.
ENG0029,Burn the candle at both ends,To live at a hectic pace.
ENG0030,Burning the midnight oil,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting."
ENG0031,Bury the hatchet,To bury the hatchett is to settle your differences with an adversary.
ENG0032,Bury your head in the sand,Refuse to confront or acknowledge a problem.
ENG0033,Butter no parsnips - Fine words,The proverb 'Fine words butter no parsnips' means that nothing concrete is achieved by empty words or flattery.
ENG0034,By hook or by crook,To do something 'by hook or by crook' is to do it by whatever means are necessary - be they fair or foul.
ENG0035,By the skin of your teeth,Narrowly; barely. Usually used in regard to a narrow escape from a disaster.
ENG0036,Bygones be bygones - Let,To 'let bygones be bygones' is to allow the unpleasant things that have happened in the past be forgotten.
ENG0037,Call a spade a spade,To call a spade a spade is to speak plainly - to describe something as it really is.
ENG0038,Can't hold a candle to,The expression 'can't hold a candle to' refers to someone who compares badly to an known authority - to be unfit even to hold a subordinate position.
ENG0039,Carry coals to Newcastle,To do something pointless and superfluous.
ENG0040,Cart before the horse - Put the,Reverse the accepted or logical order of things.
ENG0041,Cast the first stone,"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'."
ENG0042,Cat may look at a king - A,An inferior isn't completely restricted in what they may do in the presence of a superior.
ENG0043,Cat out of the bag - Let the,"To let the cat out of the bag is to disclose a secret, either deliberately or inadvertently."
ENG0044,Chain is only as strong as its weakest link - A,"The proverb 'A chain is only as strong as its weakest link' has a literal meaning, although the 'weakest link' referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain."
ENG0045,Charity begins at home,"The proverb 'charity begins at home' expresses the overriding demand to take care of one's family, before caring for others."
ENG0046,Chickens come home to roost,Bad deeds or words return to discomfort their perpetrator.
ENG0047,Cleanliness is next to godliness,The proverb 'cleanliness is next to godliness' expresses the idea that those who are pure and wholesome are close to God.
ENG0048,"Close, but no cigar",The expression 'close but no cigar' is used to indicate that someone has fallen just short of a successful outcome and failed to secure any reward.
ENG0049,Clutch at straws,"Try any route to get out of a desperate situation, no matter how unlikely it is to succeed."
ENG0050,Cock and bull story,A fanciful and unbelievable tale.
ENG0051,Cold feet,"To 'get cold feet' is to become disheartened or timid, losing one's previous enthusiasm or courage."
ENG0052,Come clean,To make a full disclosure; to confess.
ENG0053,Come up trumps,"To complete something well or successfully, especially in circumstances in which it isn't expected."
ENG0054,Come what come may,Let whatever events crop up come to pass.
ENG0055,Cool as a cucumber,As cool as a cucumber' means calm and unruffled.
ENG0056,Cost an arm and a leg,"A large, possibly exorbitant, amount of money."
ENG0057,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.
ENG0058,Crocodile tears,To weep crocodile tears is to put on an insincere show of sorrow.
ENG0059,Curate's egg,Something bad that is called good out of politeness or timidity.
ENG0060,Curiosity killed the cat,Inquisitiveness can lead one into dangerous situations.
ENG0061,Customer is always right - The,"The customer is always right' is a trading slogan that states a company's keenness to be seen to put the customer first. The implied suggestion is that the company is so customer focussed that they will say the customer is right, even if they aren't."
ENG0062,Cut off your nose to spite your face,To 'cut off your nose to spite your face' is to disadvantage yourself in order to do harm to an adversary.
ENG0063,Daniel come to judgement,Someone who makes a wise judgement about something that has previously proven difficult to resolve.
ENG0064,Dark horse,"A dark horse is someone, who was previously little known, emerges to prominence in a competition."
ENG0065,Darkest hour - The,The darkest hour is the time when bad events are at their worst and most dispiriting.
ENG0066,Darkest hour is just before the dawn - The,"There is hope, even in the worst of circumstances."
ENG0067,Dead as a dodo,Unambiguously and unequivocally dead.
ENG0068,Dead as a doornail,"To be 'as dead as a doornail' is to be utterly dead, devoid of life (when applied to people, plants or animals) or finished with, unusable (when applied to inanimate objects)."
ENG0069,Dead in the water,A dead in the water ship is one that is motionless and without power. The figurative expression 'dead in the water' means 'unable to function; without hope of future success; doomed'.
ENG0070,Devil and the deep blue sea,"In difficulty, faced with two dangerous alternatives."
ENG0071,Devil take the hindmost - The,A proverbial phrase indicating that those who lag behind will receive no aid.
ENG0072,Diamond in the rough,Someone who is basically good hearted but lacking social graces and respect for the law.
ENG0073,Die has been cast - The,The die has been cast' means that an irrevocable choice has been made.
ENG0074,Different kettle of fish,A different kettle of fish' is an alternative to what has been previously considered; a different thing altogether.
ENG0075,Dish fit for the gods - A,An offering of high quality.
ENG0076,Dog in the manger,Spiteful and mean-spirited.
ENG0077,Dog is a man's best friend,"An animal that performs valuable service to humans, often with reference to dogs."
ENG0078,Dollars to doughnuts,An outcome that is almost assured; a certainty.
ENG0079,Donkey's years,A very long time.
ENG0080,Don't cast your pearls before swine,Items of quality offered to those who aren't cultured enough to appreciate them.
ENG0081,Don't change horses in midstream,Don't change your leader or your basic position when part-way through a campaign or a project .
ENG0082,Don't keep a dog and bark yourself,The proverbial saying 'don't keep a dog and bark yourself' is advice that you should not pay someone to do a task and then do it yourself.
ENG0083,Don't look a gift horse in the mouth,The proverbial saying 'don't look a gift horse in the mouth' means don't be ungrateful when you receive a gift.
ENG0084,Don't shut the stable door after the horse has bolted,Don't waste time taking precautions when the damage has already been done.
ENG0085,Don't throw good money after bad,"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good."
ENG0086,Don't throw the baby out with the bathwater,Don't discard something valuable along with something undesirable.
ENG0087,Don't try to teach your Grandma to suck eggs,Don't offer advice to someone who has more experience than oneself.
ENG0088,Drop in the bucket - A,A drop in the bucket is a very small and insignificant proportion of the whole.
ENG0089,Early bird catches the worm - The,Success comes to those who prepare well and put in effort.
ENG0090,"East, west, home's best","This proverbial saying express the idea that, wherever you travel in the world, your home is the best place to be."
ENG0091,Eat humble pie,"Act submissively and apologetically, especially in admitting an error."
ENG0092,Elephant in the room,"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable."
ENG0093,Emperor's new clothes,The label given to any fictional item that viewers have been induced into believing as real..
ENG0094,Enough is as good as a feast,To get Enough is enough is to come off worst in a bargain or contest.
ENG0095,Englishman's home is his castle,The English dictum that a man's home is his refuge.
ENG0096,Every cloud has a silver lining,"The proverbial saying 'every cloud has a silver lining' is used to convey the notion that, no matter how bad a situation might seem, there is always has some good aspect to it."
ENG0097,Exception that proves the rule - The,"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood."
ENG0098,Face the music,Accept the unpleasant consequences of one's actions.
ENG0099,Fair exchange is no robbery,An exchange of two things of equal value is a reasonable and honest trade.
ENG0100,Faith will move mountains,Faith is immensely powerful.
ENG0101,Fall on your sword,"To 'fall on your sword' is, literally, to commit suicide or, figuratively, to offer your resignation."
ENG0102,Feather in one's cap - A,A symbol of honour and achievement.
ENG0103,Fiddling while Rome burns,To occupy oneself with unimportant matters and neglect priorities during a crisis.
ENG0104,Fight fire with fire,Respond to an attack by using a similar method as one's attacker.
ENG0105,Fish rot from the head down,"When an organization or state fails, it is the leadership that is the root cause."
ENG0106,Fish or cut bait,"There is some uncertainty about the precise meaning of this phrase. Some use it to mean 'make a choice about what you intend to do'; others have it that it means 'either get to work in a productive manner or do something else and let someone else work'. The second meaning, which I favour, and which is more common, is similar in meaning to 'put up or shut up', or the 20th century US vulgarism 'shit or get off the pot'."
ENG0107,Fish out of water - A,Someone who is in a situation they are unsuited to.
ENG0108,Flash in the pan,"Something which disappoints by failing to deliver anything of value, despite a showy beginning."
ENG0109,Flogging a dead horse,To flog a dead horse is to attempt to revive an interest which has died out; to engage in fruitless effort.
ENG0110,Fly by the seat of one's pants,"To 'fly by the seat of your pants' is to decide a course of action as you go along, using your own initiative and perceptions rather than a predetermined plan or mechanical aids."
ENG0111,Fly in the ointment,A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil an otherwise faultless plan.
ENG0112,Fools rush in where angels fear to tread,The rash or inexperienced will attempt things that wiser people are more cautious of.
ENG0113,Fool's errand,A pointless undertaking.
ENG0114,Fool's paradise - A,A state of happiness based on false hope.
ENG0115,Foot in the door - A,"An introduction or way in to something, made in order that progress may be made later."
ENG0116,For all intents and purposes,In effect; for all practical purposes.
ENG0117,For every thing there is a season,There is an appropriate time for everything.
ENG0118,Foregone conclusion,A decision made before the evidence for it is known. An inevitable conclusion.
ENG0119,Forewarned is forearmed,Advance warning provides an advantage.
ENG0120,From strength to strength,Progress from one success to another higher level of success.
ENG0121,Genius is one percent inspiration and 99 percent perspiration,"Genius is largely the result of hard work, rather than an inspired flash of insight."
ENG0122,Get down to brass tacks,Engage with the basic facts or realities.
ENG0123,Gild the lily,To apply unnecessary ornament - to over embellish.
ENG0124,Give a man a fish and you will feed him for a day,This proverbial saying suggests that the ability to work is of greater benefit than a one-off handout.
ENG0125,Go by the book,Correctly; according to the rules.
ENG0126,Go off half-cocked,Speak or act prematurely.
ENG0127,Go out on a limb,Put oneself in an isolated position in one's support of someone or something.
ENG0128,Go the whole hog,To perform some act or adopt some opinion fully and thoroughly.
ENG0129,Golden key can open any door - A,"A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish."
ENG0130,grain of salt,To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.
ENG0131,Grasp the nettle,To tackle a difficult problem boldly.
ENG0132,Great minds think alike,"The proverb 'great minds think alike' has a straightforward literal meaning. However, the usage is often ironic, that is, it is used when two unexceptional minds have the same thought."
ENG0133,Grist to the mill,All things are a potential source of profit or advantage.
ENG0134,Half a loaf is better than no bread,"Something, even if it isn't what you ideally would prefer, is better than nothing."
ENG0135,Handle with kid gloves,"Handle a situation, or a person or an object, delicately and gingerly."
ENG0136,Hard and fast,Rigidly adhered to - without doubt or debate.
ENG0137,Hard cases make bad law,"Hard', that is, exceptional, legal cases aren't suitable as the source of generalised laws."
ENG0138,Haste makes waste,Rushing into a decision may cause mistakes that waste more time than would have been taken by proceeding more carefully.
ENG0139,Have an axe to grind,"To have an axe to grind is to have a dispute to take up with someone or, to have an ulterior motive; to have private ends to serve."
ENG0140,He who laughs last laughs longest,See also: the List of Proverbs.
ENG0141,He who sups with the devil should have a long spoon,"This proverbial saying suggests that, if you have dealings with wicked people you should be cautious and distance yourself from them, or else you may be corrupted into their evil ways."
ENG0142,Hedge your bets,To avoid committing oneself; to leave a means of retreat open.
ENG0143,Hell has no fury like a woman scorned,"Hell has no fury like a woman scorned' conveys the idea that a scorned woman (that is, one who has been betrayed) is more furious than anything that hell can devise."
ENG0144,Here lies one whose name is writ in water,"Fame, and indeed life, is fleeting."
ENG0145,Home is where the heart is,"The proverb 'home is where the heart is' means that, wherever you are and whoever you are with, your home and family provide the greatest emotional bond."
ENG0146,Honesty is the best policy,"The proverb 'Honesty is the best policy' has a straightforward literal meaning, which encourages the populace to tell the turth and avoid crime."
ENG0147,Honey catches more flies than vinegar,This proverbial saying expresses the idea that it is more effective to be polite and ingratiating than to be hostile or demanding.
ENG0148,Horse-sense,A robust form of common sense believed to be found in poorly educated but shrewd people.
ENG0149,"If the mountain will not come to Muhammad, then Muhammad must go to the mountain","The proverbial phrase 'If the mountain will not come to Muhammad...' means that , if one's will does not prevail, one must submit to an alternative."
ENG0150,"If you can't stand the heat, get out of the kitchen","Don't persist with a task if the pressure of it is too much for you. The implication being that, if you can't cope, you should leave the work to someone who can."
ENG0151,"If you think that, you have another think coming","To have 'another think coming' is to be greatly mistaken. The phrase is usually spoken by an antagonist as 'you have another think coming'; the implication being that one will shortly be obliged to adopt a different viewpoint, either by the presentation of indisputable evidence, or by force."
ENG0152,It's better to give than to receive,The proverb 'It's better to give than to receive' has a straightforward literal meaning which needs no further explanation.
ENG0153,It's better to have loved and lost than never to have loved at all,The proverbial saying 'It's better to have loved and lost than never to have loved at all' has a straightforward literal meaning.
ENG0154,Necessity is the mother of invention,Difficult situations inspire ingenious solutions.
ENG0155,Nothing is certain but death and taxes,A rather fatalistic and sardonic proverb. It draws on the actual inevitability of death to highlight the difficulty in avoiding the burden of taxes.
ENG0156,Nothing succeeds like success,"A proverb, expressing the idea that success breeds further success."
ENG0157,"Nothing ventured, nothing gained","In order to achieve, you need to act and take risks."
ENG0158,"Once bitten, twice shy","The proverb 'once bitten, twice shy' suggests that, when someone is hurt doing something, they are wary of doing it again for fear of being hurt a second time."
ENG0159,One-hit wonder,"A performer or act, usually a singer or band, who has just one popular success."
ENG0160,One good turn deserves another,"One good turn deserves another' is a proverbial expression that means, when someone does you a good turn, a good turn done in return is appropriate."
ENG0161,One hand washes the other,The proverb 'one hand washes the other' expresses the idea that mutual cooperation can help both parties.
ENG0162,One swallow doesn't make a summer,A single instance of something is just that; it doesn't indicate a trend.
ENG0163,One's heart's content,To one's (or your) heart's content means to one's complete inner satisfaction - until one's heart is content.
ENG0164,Paddle your own canoe,Act independently and decide your own fate.
ENG0165,Penny saved is a penny earned - A,The notion expressed in the proverbial saying 'A penny saved is a penny earned' is that it is as useful to save money that you already have as it is to earn more.
ENG0166,Place for everything and everything in its place - A,The proverbial notion that there should be 'a place for everything and everything in its place' is the idea that everything should have somewhere to be stored and that it should be tidily returned there when not in use.
ENG0167,Plague on both your houses - A,A frustrated curse on both sides of an argument.
ENG0168,Pound of flesh,Something which is owed that is ruthlessly required to be paid back.
ENG0169,Pour oil on troubled waters,Attempt to calm a problematic situation.
ENG0170,Pride comes before a fall,The proverbial saying 'pride comes before a fall' is a warning that haughtiness and hubris leads to failure and loss.
ENG0171,Procrastination is the thief of time,"Putting off an action leads to time wasting. If something is necessary, it is best to act quickly to accomplish it."
ENG0172,Proof of the pudding is in the eating - The,To fully judge how effective something is you need to use it for its intended purpose.
ENG0173,Rose by any other name would smell as sweet - A,"The saying 'A rose by any other name would smell as sweet' means that what matters is what something is, not what it is called."
ENG0174,Rose is a rose is a rose,"The meaning most often attributed to 'a rose is a rose is a rose' is the notion that, when all is said and done, a thing is what it is. This is in similar vein to Shakespeare's 'a rose by any other name would smell as sweet'. However, that's not the interpretation given by the author of the phrase - see below."
ENG0175,Rule of thumb,"A rule of thumb is a means of estimation made according to a rough and ready practical rule, not based on science or exact measurement."
ENG0176,"See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day",A proverb extolling the virtue of thrift.
ENG0177,Seek and you shall find,"The proverbial saying 'Seek and you shall find' means, in the Biblical sense, 'come to God and your prayers will be answered. In a wider literal sense it just means 'effort will be rewarded'."
ENG0178,Seen better days,To have been more wealthy or in better condition in former times.
ENG0179,Separate the sheep from the goats,Separate the good from the bad.
ENG0180,Shebang - The whole,All of it; the whole thing.
ENG0181,Share and share alike,To 'share and share alike' is to give equal shares to all.
ENG0182,Shiver my timbers,"An oath, expressing annoyance or surprise."
ENG0183,Silence is golden,"A proverbial saying, often used in circumstances where it is thought that saying nothing is preferable to speaking."
ENG0184,sky's the limit,There is no apparent limit.
ENG0185,Snug as a bug in a rug,To be 'as snug as a bug in a rug' is to be very comfortable and cosy.
ENG0186,Sour grapes,Acting meanly after a disappointment.
ENG0187,Spare the rod and spoil the child,"Spare the rod and spoil the child' is the notion that children will become weak and vulnerable if not chastised, physically or otherwise, for any wrongdoing."
ENG0188,Speak of the Devil,A reference to someone who appears unexpectedly while being talked about.
ENG0189,Speak softly and carry a big stick,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required."
ENG0190,Standing on the shoulders of giants,Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.
ENG0191,Sticks and stones may break my bones,"Sticks and stones may break my bones' is a response to an insult, implying that ""You might be hurt able to hurt me by physical force but not by insults""."
ENG0192,Stiff upper lip,"Remain resolute and unemotional in the face of adversity, or even tragedy."
ENG0193,Storm in a teacup,"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence."
ENG0194,Strike while the iron is hot,To strike while the iron is hot is to act decisively and take an opportunity when it arises.
ENG0195,Such is life,"An acceptance of the unpredictable fortunes of existence, often spoken with an air of weary resignation."
ENG0196,Survival of the fittest,The idea that species adapt and change by natural selection with the best suited mutations becoming dominant.
ENG0197,Take a back seat,To 'take a back seat' is take a subordinate or reclusive position.
ENG0198,Take down a peg or two,"To 'take (or pull, or bring) down a peg (or two)' is to lower someone's high opinion of themselves."
ENG0199,Take the bit between your teeth,Take control of a situation.
ENG0200,Take the cake,"Carry off the honours. Sometimes used to express incredulity; for example, ""That's three goals he's missed in one game. If that don't take the cake...""."
ENG0201,Take the gilt off the gingerbread,Remove an item's most attractive qualities.
ENG0202,Take the Mickey,Tease or make fun of.
ENG0203,Take the upper hand,Take a dominant position.
ENG0204,Take umbrage,To be displeased or offended by the actions of others.
ENG0205,Taken aback,To be taken aback is to be surprised or startled by a sudden turn of events.
ENG0206,Taken for a ride,"To be 'taken for a ride' is to be deliberately misled or cheated. Alternatively, and primarily in the USA, it means to be abducted in a vehicle and murdered."
ENG0207,Talk the talk,Back up one's talk with action.
ENG0208,Tall story,An untrue and unbelievable story.
ENG0209,Tanstaafl -,"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl."
ENG0210,The apple never falls far from the tree,"The proverbial saying 'the apple never falls far from the tree', or 'the apple doesn't fall far from the tree' expresses the idea that a person inevitably shares traits with or resembles his or her parents or family.."
ENG0211,The apple of my eye,"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others."
ENG0212,The bane of my life,The agent of ruin or woe.
ENG0213,The best defense is a good offence,The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.
ENG0214,The best laid schemes of mice and men,The most carefully prepared plans may go wrong.
ENG0215,The bitter end,To the limit of one's efforts - to the last extremity.
ENG0216,The child is father to the man,The proverb 'The child is father to the man' expresses the idea that the character that we form as children stays with us into our adult life.
ENG0217,The Devil is in the details,"The details of a plan, while seeming insignificant, may contain hidden problems that threaten its overall feasibility."
ENG0218,The Devil makes work for idle hands to do,The devil makes work for idle hands' is one of the numerous variants of phrase that express the idea that trouble or evil arises from not keeping busy.
ENG0219,The Devil to pay,The devil to pay' means serious trouble because of a particular circumstance or obligation.
ENG0220,The ends of the earth,The furthest reaches of the land.
ENG0221,The jury is still out,Judgement has not yet been finalised on a particular subject; especially due to information being incomplete.
ENG0222,The last straw,The final additional small burden that makes the entirety of one's difficulties unbearable.
ENG0223,The law is an ass,Said of the application of the law that is contrary to common sense.
ENG0224,The monstrous regiment of women,"A disparaging description, often used to describe feminist or rowdy women by their detractors."
ENG0225,The more the merrier,"The more people who are present, the better an occasion or situation (especially a party) will be."
ENG0226,The mutt's nuts,Excellent - the highest quality.
ENG0227,The nth degree,To the utmost degree; without limit.
ENG0228,The opera ain't over till the fat lady sings,Nothing is irreversible until the final act is played out.
ENG0229,The pip - Get/got/have,Become irritated or annoyed.
ENG0230,The real McCoy,The real thing - not a substitute.
ENG0231,The road less travelled,"The road less travelled is the unconventional or uninvestigated option. More metaphorically, it is also used to refer to 'the life you never had' - what might have been had you made different choices. The notion is near to what is nowadays called 'alternative'."
ENG0232,The road to hell is paved with good intentions,The intention to engage in good acts often fails. It points up the principle that there is no merit in good intentions unless they are acted on.
ENG0233,The salt of the earth,People who are described as 'the salt of the earth' are those who are considered to be of great worth and reliability.
ENG0234,The shoemaker always wears the worst shoes,Artisans work for the wealthy but cannot afford their own produce.
ENG0235,The short end of the stick,To get the short end of the stick is to come off worst in a bargain or contest.
ENG0236,The writing is on the wall,The expression 'the writing is on the wall' is used whenever an inevitable result or imminent danger has become apparent.
ENG0237,There is more than one way to kill a cat,The proverbial saying 'There is more than one way to skin a cat' means there is more than one way of achieving an aim.
ENG0238,There's one law for the rich and another law for the poor,"This proverbial saying express the opinion that the poor are treated harshly by the law whereas the rich, with their access to clever lawyers and bribes, usually escape punishment."
ENG0239,Thick and thin,Through all forms of obstacle that are put in one's way.
ENG0240,thick as thieves,Close friends with; sharing confidences.
ENG0241,Thinking cap,Take time for consideration of some question.
ENG0242,Third time lucky,The belief that the third time something is attempted is more likely to succeed than the previous two attempts. It is also used as a good luck charm - spoken just before trying something for the third time.
ENG0243,Thorn in the flesh,A persistent difficulty or annoyance.
ENG0244,"Though this be madness, yet there is method in it",Reason behind apparent folly or disorder.
ENG0245,Three score and ten,Three score and ten' is the nominal span of a human life. In the days that this expression was coined that span was considered to be seventy years.
ENG0246,Throw in the towel,"To throw in the towel (or, to throw the towel in) is to give up, to avoid further punishment when facing certain defeat."
ENG0247,Throw your hat into the ring,"Make or take up a challenge, or demonstrate one's willingness to join an enterprise."
ENG0248,Till the cows come home,For a long but indefinite time.
ENG0249,Time and tide wait for no man,No one is so powerful that they can stop the march of time.
ENG0250,Tilting at windmills,To 'tilt at windmills' is to attack imaginary enemies.
ENG0251,Tissue of lies,A story invented in order to deceive.
ENG0252,To a T,If something is said to fit 'to a T' it fits exactly; properly; precisely.
ENG0253,To err is human; to forgive divine,A proverb expressing the idea that forgiveness is a worthy response to human failings.
ENG0254,To travel hopefully is a better thing than to arrive,Hope and anticipation are often better than reality.
ENG0255,Toast of the town,A person who is widely admired.
ENG0256,Toe the line,To conform to an established standard or political programme.
ENG0257,Toffee-nosed,To be 'toffee-nosed' is to be snobbish; supercilious; stuck-up.
ENG0258,Too big for your breeches,Conceited; having a too high opinion of oneself.
ENG0259,Too much of a good thing,Excess may do you harm.
ENG0260,Tooth and nail,"A fight, undertaken with all one's efforts and with the intensity of a wild animal."
ENG0261,Top dog,One who is dominant or victorious.
ENG0262,Touch and go,"A risky, precarious or delicate case or state of things - such that the slightest change could prove disastrous."
ENG0263,Touch wood,"This phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck. In the UK, the phrase 'touch wood' is used - often jokingly by tapping one's head. The phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue - for example ""I've been winning on every race - touch wood""."
ENG0264,Tower of strength,Someone who can be relied on to provide support and comfort.
ENG0265,True blue,Loyal and unwavering in one's opinions or support for a cause.
ENG0266,Truth will out,The truth will become known eventually.
ENG0267,Turkeys voting for Christmas,Turkeys voting for Christmas' is used to describe people acting in a way that is harmful to their own interests.
ENG0268,Turn a blind eye,To turn a blind eye is to knowingly refuse to acknowledge something which you know to be real.
ENG0269,Turn the tables,Reverse the positions of adversaries. The phrases is often used when the weaker position subsequently becomes dominant.
ENG0270,Turn up trumps,To turn out well or successfully.
ENG0271,Uneasy lies the head that wears a crown,"The expression 'uneasy lies the head that wears a crown' means that a person with great power, such as a king, is constantly apprehensive."
ENG0272,Up a blind alley,Following a course of action that leads to no good outcome.
ENG0273,Up a gum tree,With most phrases it is the origin rather than the meaning that is in doubt. 'Up a gum tree' has several meanings. The most commonly used is 'in great difficulties'. Other meanings are 'in a state of contentment' or 'with great speed'.
ENG0274,Up in arms,Roused; incensed.
ENG0275,Up the creek without a paddle,In an awkward situation or unpleasant predicament.
ENG0276,Up the duff,"Up the duff' is a euphemism for pregnant. It is used most commonly, although not exclusively, to describe unplanned pregnancy."
ENG0277,Up the wooden hill to Bedfordshire,Go up the hill to Bedfordshire was phrase uttered to children in the UK when it was time to go upstairs to prepare for bed. The expression is now rather archaic and little-used.
ENG0278,Up to snuff,"Initially, the phrase meant 'sharp and in the know'; more recently, 'up to the required standard'."
ENG0279,Upper crust,Aristocratic; society superior.
ENG0280,Up the ante,"To raise the stakes, either in betting or in any form of conflict or competition."
ENG0281,Using a sledgehammer to crack a nut,To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem.
ENG0282,Vicious circle,A self-perpetuating process which returns to its starting point with no improvement from when it was begun.
ENG0283,Warts and all,Warts and all' means the whole thing; not concealing the less attractive parts.
ENG0284,Wax lyrical,Speak niin an increasingly enthusiastic and poetic manner.
ENG0285,Don’t put off until tomorrow what you can do today,"If you can do something today, do it. Don’t wait until tomorrow; don’t procrastinate."
ENG0286,The enemy of my enemy is my friend,"If someone whom I don’t like doesn’t like someone else whom I don’t like, we can act like friends and unite against the other person (common in war)"
ENG0287,The pen is mightier than the sword,"If you’re trying to convince someone of something, words and ideas are stronger than using physical force (common in politics)"
ENG0288,There is no time like the present,Don’t wait to do something. Do it now.
