Sample_ID,source_text,english_translation,Cultural_Context
MID0137,A mal tiempo buena cara,To bad weather a good face,Maintain dignity and positivity during hardship or misfortune.
MID0139,La ocasión la pintan calva,Opportunity is bald,You must seize opportunities quickly because they don't last long.
MID0140,El muerto al hoyo y el vivo al bollo,The dead to the grave and the living to the bun,Life goes on — focus on the living after loss or tragedy.
MID0141,A falta de pan buenas son tortas,"When there's no bread, cakes are good",Be content with what is available when the ideal is not possible.
MID0142,El que a buen árbol se arrima buena sombra le cobija,He who leans on a good tree gets good shade,Associating with good people brings protection and benefits.
MID0147,Al mal tiempo buena cara,To bad times a good face,Show strength and optimism even when facing difficulties.
MID0148,Ojos que no ven corazón que no siente,Eyes that don't see heart that doesn't feel,Ignorance of painful facts spares emotional suffering.
MID0151,A río revuelto ganancia de pescadores,In troubled river profit for fishermen,Chaos and confusion allow clever people to take advantage.
MID0154,Camarón que se duerme se lo lleva la corriente,The sleeping shrimp is carried by the current,Complacency causes you to miss opportunities and fall behind.
MID0157,Quien siembra vientos recoge tempestades,He who sows winds reaps storms,Harmful or negative actions return amplified as consequences.
MID0158,El que calla otorga,He who is silent grants,Not speaking up is often interpreted as agreement or consent.
MID0161,El que espera desespera,He who waits despairs,Passive waiting leads to frustration — act decisively when possible.
MID0181,A buen entendedor pocas palabras bastan,To a good listener few words suffice,Intelligent people understand quickly with minimal explanation.
MID0186,A palabras necias oídos sordos,To foolish words deaf ears,The best response to nonsense is to ignore it completely.
MID0331,A cada cerdo le llega su San Martín,To every pig comes its Saint Martin's day,Everyone eventually faces the consequences of their actions (judgment day arrives).
MID0332,El que come y canta por algo se levanta,He who eats and sings gets up for something,People who enjoy life and stay positive tend to have motivation and energy.
MID0333,No hay peor sordo que el que no quiere oír,There is no worse deaf person than the one who does not want to hear,Willful refusal to listen or accept advice is the most stubborn form of ignorance.
MID0334,El que da primero da dos veces,He who gives first gives twice,Being the first to offer help or generosity creates double the benefit or goodwill.
MID0336,El que ríe último ríe mejor,He who laughs last laughs best,The final outcome determines true success — don't celebrate too early.
MID0337,En tierra de ciegos el tuerto es rey,In the land of the blind the one-eyed man is king,"In a group lacking skill or knowledge, even mediocre ability stands out as exceptional."
